Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Arboleda,0.492,3.317,18:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Arboleda,1.325,3.317,18:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Arboleda,2.781,3.317,18:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Arboleda,1.694,3.317,18:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Arboleda,0.329,3.317,18:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Arboleda,0.0,3.317,18:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Arboleda,0.27,3.317,18:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Arboleda,0.484,12.759,11:15,2024-09-02,01:00:00
2024-09-02 02:00:00,Arboleda,0.0,12.759,11:15,2024-09-02,02:00:00
2024-09-02 03:00:00,Arboleda,0.0,12.759,11:15,2024-09-02,03:00:00
2024-09-02 04:00:00,Arboleda,0.0,12.759,11:15,2024-09-02,04:00:00
2024-09-02 05:00:00,Arboleda,0.0,12.759,11:15,2024-09-02,05:00:00
2024-09-02 06:00:00,Arboleda,0.0,12.759,11:15,2024-09-02,06:00:00
2024-09-02 07:00:00,Arboleda,0.0,12.759,11:15,2024-09-02,07:00:00
2024-09-02 08:00:00,Arboleda,0.575,12.759,11:15,2024-09-02,08:00:00
2024-09-02 09:00:00,Arboleda,3.971,12.759,11:15,2024-09-02,09:00:00
2024-09-02 10:00:00,Arboleda,6.249,12.759,11:15,2024-09-02,10:00:00
2024-09-02 11:00:00,Arboleda,10.137,12.759,11:15,2024-09-02,11:00:00
2024-09-02 12:00:00,Arboleda,11.863,12.759,11:15,2024-09-02,12:00:00
2024-09-02 13:00:00,Arboleda,9.336,12.759,11:15,2024-09-02,13:00:00
2024-09-02 14:00:00,Arboleda,9.816,12.759,11:15,2024-09-02,14:00:00
2024-09-02 15:00:00,Arboleda,10.454,12.759,11:15,2024-09-02,15:00:00
2024-09-02 16:00:00,Arboleda,10.177,12.759,11:15,2024-09-02,16:00:00
2024-09-02 17:00:00,Arboleda,7.653,12.759,11:15,2024-09-02,17:00:00
2024-09-02 18:00:00,Arboleda,3.099,12.759,11:15,2024-09-02,18:00:00
2024-09-02 19:00:00,Arboleda,3.234,12.759,11:15,2024-09-02,19:00:00
2024-09-02 20:00:00,Arboleda,2.623,12.759,11:15,2024-09-02,20:00:00
2024-09-02 21:00:00,Arboleda,1.658,12.759,11:15,2024-09-02,21:00:00
2024-09-02 22:00:00,Arboleda,0.111,12.759,11:15,2024-09-02,22:00:00
2024-09-02 23:00:00,Arboleda,0.353,12.759,11:15,2024-09-02,23:00:00
2024-09-03 00:00:00,Arboleda,1.349,12.759,11:15,2024-09-03,00:00:00
2024-09-03 01:00:00,Arboleda,0.591,18.282,15:00,2024-09-03,01:00:00
2024-09-03 02:00:00,Arboleda,0.0,18.282,15:00,2024-09-03,02:00:00
2024-09-03 03:00:00,Arboleda,0.0,18.282,15:00,2024-09-03,03:00:00
2024-09-03 04:00:00,Arboleda,0.0,18.282,15:00,2024-09-03,04:00:00
2024-09-03 05:00:00,Arboleda,0.0,18.282,15:00,2024-09-03,05:00:00
2024-09-03 06:00:00,Arboleda,0.0,18.282,15:00,2024-09-03,06:00:00
2024-09-03 07:00:00,Arboleda,0.0,18.282,15:00,2024-09-03,07:00:00
2024-09-03 08:00:00,Arboleda,0.861,18.282,15:00,2024-09-03,08:00:00
2024-09-03 09:00:00,Arboleda,3.694,18.282,15:00,2024-09-03,09:00:00
2024-09-03 10:00:00,Arboleda,4.793,18.282,15:00,2024-09-03,10:00:00
2024-09-03 11:00:00,Arboleda,6.162,18.282,15:00,2024-09-03,11:00:00
2024-09-03 12:00:00,Arboleda,8.161,18.282,15:00,2024-09-03,12:00:00
2024-09-03 13:00:00,Arboleda,9.217,18.282,15:00,2024-09-03,13:00:00
2024-09-03 14:00:00,Arboleda,14.323,18.282,15:00,2024-09-03,14:00:00
2024-09-03 15:00:00,Arboleda,17.159,18.282,15:00,2024-09-03,15:00:00
2024-09-03 16:00:00,Arboleda,17.628,18.282,15:00,2024-09-03,16:00:00
2024-09-03 17:00:00,Arboleda,13.886,18.282,15:00,2024-09-03,17:00:00
2024-09-03 18:00:00,Arboleda,6.233,18.282,15:00,2024-09-03,18:00:00
2024-09-03 19:00:00,Arboleda,7.979,18.282,15:00,2024-09-03,19:00:00
2024-09-03 20:00:00,Arboleda,7.554,18.282,15:00,2024-09-03,20:00:00
2024-09-03 21:00:00,Arboleda,5.662,18.282,15:00,2024-09-03,21:00:00
2024-09-03 22:00:00,Arboleda,5.047,18.282,15:00,2024-09-03,22:00:00
2024-09-03 23:00:00,Arboleda,1.0,18.282,15:00,2024-09-03,23:00:00
2024-09-04 00:00:00,Arboleda,4.194,18.282,15:00,2024-09-04,00:00:00
2024-09-04 01:00:00,Arboleda,4.773,20.647,15:00,2024-09-04,01:00:00
2024-09-04 02:00:00,Arboleda,4.42,20.647,15:00,2024-09-04,02:00:00
2024-09-04 03:00:00,Arboleda,3.916,20.647,15:00,2024-09-04,03:00:00
2024-09-04 04:00:00,Arboleda,4.503,20.647,15:00,2024-09-04,04:00:00
2024-09-04 05:00:00,Arboleda,2.603,20.647,15:00,2024-09-04,05:00:00
2024-09-04 06:00:00,Arboleda,3.36,20.647,15:00,2024-09-04,06:00:00
2024-09-04 07:00:00,Arboleda,1.139,20.647,15:00,2024-09-04,07:00:00
2024-09-04 08:00:00,Arboleda,1.527,20.647,15:00,2024-09-04,08:00:00
2024-09-04 09:00:00,Arboleda,7.705,20.647,15:00,2024-09-04,09:00:00
2024-09-04 10:00:00,Arboleda,9.292,20.647,15:00,2024-09-04,10:00:00
2024-09-04 11:00:00,Arboleda,12.918,20.647,15:00,2024-09-04,11:00:00
2024-09-04 12:00:00,Arboleda,15.838,20.647,15:00,2024-09-04,12:00:00
2024-09-04 13:00:00,Arboleda,14.842,20.647,15:00,2024-09-04,13:00:00
2024-09-04 14:00:00,Arboleda,16.279,20.647,15:00,2024-09-04,14:00:00
2024-09-04 15:00:00,Arboleda,19.992,20.647,15:00,2024-09-04,15:00:00
2024-09-04 16:00:00,Arboleda,18.131,20.647,15:00,2024-09-04,16:00:00
2024-09-04 17:00:00,Arboleda,15.12,20.647,15:00,2024-09-04,17:00:00
2024-09-04 18:00:00,Arboleda,8.209,20.647,15:00,2024-09-04,18:00:00
2024-09-04 19:00:00,Arboleda,6.614,20.647,15:00,2024-09-04,19:00:00
2024-09-04 20:00:00,Arboleda,5.301,20.647,15:00,2024-09-04,20:00:00
2024-09-04 21:00:00,Arboleda,2.067,20.647,15:00,2024-09-04,21:00:00
2024-09-04 22:00:00,Arboleda,0.0,20.647,15:00,2024-09-04,22:00:00
2024-09-04 23:00:00,Arboleda,0.464,20.647,15:00,2024-09-04,23:00:00
2024-09-05 00:00:00,Arboleda,2.67,20.647,15:00,2024-09-05,00:00:00
