Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Bermejo,2.453,3.757,19:15,2024-09-01,01:00:00
2024-09-01 02:00:00,Bermejo,2.253,3.757,19:15,2024-09-01,02:00:00
2024-09-01 03:00:00,Bermejo,2.18,3.757,19:15,2024-09-01,03:00:00
2024-09-01 04:00:00,Bermejo,2.119,3.757,19:15,2024-09-01,04:00:00
2024-09-01 05:00:00,Bermejo,2.078,3.757,19:15,2024-09-01,05:00:00
2024-09-01 06:00:00,Bermejo,2.091,3.757,19:15,2024-09-01,06:00:00
2024-09-01 07:00:00,Bermejo,1.979,3.757,19:15,2024-09-01,07:00:00
2024-09-01 08:00:00,Bermejo,1.972,3.757,19:15,2024-09-01,08:00:00
2024-09-01 09:00:00,Bermejo,2.149,3.757,19:15,2024-09-01,09:00:00
2024-09-01 10:00:00,Bermejo,2.283,3.757,19:15,2024-09-01,10:00:00
2024-09-01 11:00:00,Bermejo,2.376,3.757,19:15,2024-09-01,11:00:00
2024-09-01 12:00:00,Bermejo,2.419,3.757,19:15,2024-09-01,12:00:00
2024-09-01 13:00:00,Bermejo,2.464,3.757,19:15,2024-09-01,13:00:00
2024-09-01 14:00:00,Bermejo,2.439,3.757,19:15,2024-09-01,14:00:00
2024-09-01 15:00:00,Bermejo,2.506,3.757,19:15,2024-09-01,15:00:00
2024-09-01 16:00:00,Bermejo,2.576,3.757,19:15,2024-09-01,16:00:00
2024-09-01 17:00:00,Bermejo,2.596,3.757,19:15,2024-09-01,17:00:00
2024-09-01 18:00:00,Bermejo,2.732,3.757,19:15,2024-09-01,18:00:00
2024-09-01 19:00:00,Bermejo,3.404,3.757,19:15,2024-09-01,19:00:00
2024-09-01 20:00:00,Bermejo,3.682,3.757,19:15,2024-09-01,20:00:00
2024-09-01 21:00:00,Bermejo,3.639,3.757,19:15,2024-09-01,21:00:00
2024-09-01 22:00:00,Bermejo,3.472,3.757,19:15,2024-09-01,22:00:00
2024-09-01 23:00:00,Bermejo,3.12,3.757,19:15,2024-09-01,23:00:00
2024-09-02 00:00:00,Bermejo,2.692,3.757,19:15,2024-09-02,00:00:00
2024-09-02 01:00:00,Bermejo,2.386,4.065,19:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Bermejo,2.178,4.065,19:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Bermejo,2.06,4.065,19:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Bermejo,1.979,4.065,19:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Bermejo,2.07,4.065,19:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Bermejo,2.186,4.065,19:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Bermejo,2.433,4.065,19:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Bermejo,2.5,4.065,19:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Bermejo,2.567,4.065,19:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Bermejo,2.704,4.065,19:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Bermejo,2.792,4.065,19:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Bermejo,2.851,4.065,19:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Bermejo,2.911,4.065,19:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Bermejo,2.927,4.065,19:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Bermejo,2.878,4.065,19:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Bermejo,2.933,4.065,19:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Bermejo,2.99,4.065,19:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Bermejo,3.094,4.065,19:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Bermejo,3.72,4.065,19:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Bermejo,4.006,4.065,19:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Bermejo,3.904,4.065,19:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Bermejo,3.63,4.065,19:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Bermejo,3.24,4.065,19:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Bermejo,2.802,4.065,19:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Bermejo,2.408,4.081,19:15,2024-09-03,01:00:00
2024-09-03 02:00:00,Bermejo,2.22,4.081,19:15,2024-09-03,02:00:00
2024-09-03 03:00:00,Bermejo,2.115,4.081,19:15,2024-09-03,03:00:00
2024-09-03 04:00:00,Bermejo,2.065,4.081,19:15,2024-09-03,04:00:00
2024-09-03 05:00:00,Bermejo,2.107,4.081,19:15,2024-09-03,05:00:00
2024-09-03 06:00:00,Bermejo,2.227,4.081,19:15,2024-09-03,06:00:00
2024-09-03 07:00:00,Bermejo,2.358,4.081,19:15,2024-09-03,07:00:00
2024-09-03 08:00:00,Bermejo,2.52,4.081,19:15,2024-09-03,08:00:00
2024-09-03 09:00:00,Bermejo,2.618,4.081,19:15,2024-09-03,09:00:00
2024-09-03 10:00:00,Bermejo,2.801,4.081,19:15,2024-09-03,10:00:00
2024-09-03 11:00:00,Bermejo,2.935,4.081,19:15,2024-09-03,11:00:00
2024-09-03 12:00:00,Bermejo,3.04,4.081,19:15,2024-09-03,12:00:00
2024-09-03 13:00:00,Bermejo,2.965,4.081,19:15,2024-09-03,13:00:00
2024-09-03 14:00:00,Bermejo,3.04,4.081,19:15,2024-09-03,14:00:00
2024-09-03 15:00:00,Bermejo,2.993,4.081,19:15,2024-09-03,15:00:00
2024-09-03 16:00:00,Bermejo,3.049,4.081,19:15,2024-09-03,16:00:00
2024-09-03 17:00:00,Bermejo,3.098,4.081,19:15,2024-09-03,17:00:00
2024-09-03 18:00:00,Bermejo,3.109,4.081,19:15,2024-09-03,18:00:00
2024-09-03 19:00:00,Bermejo,3.787,4.081,19:15,2024-09-03,19:00:00
2024-09-03 20:00:00,Bermejo,4.047,4.081,19:15,2024-09-03,20:00:00
2024-09-03 21:00:00,Bermejo,3.98,4.081,19:15,2024-09-03,21:00:00
2024-09-03 22:00:00,Bermejo,3.713,4.081,19:15,2024-09-03,22:00:00
2024-09-03 23:00:00,Bermejo,3.283,4.081,19:15,2024-09-03,23:00:00
2024-09-04 00:00:00,Bermejo,2.838,4.081,19:15,2024-09-04,00:00:00
2024-09-04 01:00:00,Bermejo,2.446,4.071,19:45,2024-09-04,01:00:00
2024-09-04 02:00:00,Bermejo,2.243,4.071,19:45,2024-09-04,02:00:00
2024-09-04 03:00:00,Bermejo,2.126,4.071,19:45,2024-09-04,03:00:00
2024-09-04 04:00:00,Bermejo,2.077,4.071,19:45,2024-09-04,04:00:00
2024-09-04 05:00:00,Bermejo,2.122,4.071,19:45,2024-09-04,05:00:00
2024-09-04 06:00:00,Bermejo,2.315,4.071,19:45,2024-09-04,06:00:00
2024-09-04 07:00:00,Bermejo,2.475,4.071,19:45,2024-09-04,07:00:00
2024-09-04 08:00:00,Bermejo,2.531,4.071,19:45,2024-09-04,08:00:00
2024-09-04 09:00:00,Bermejo,2.683,4.071,19:45,2024-09-04,09:00:00
2024-09-04 10:00:00,Bermejo,2.75,4.071,19:45,2024-09-04,10:00:00
2024-09-04 11:00:00,Bermejo,2.847,4.071,19:45,2024-09-04,11:00:00
2024-09-04 12:00:00,Bermejo,2.948,4.071,19:45,2024-09-04,12:00:00
2024-09-04 13:00:00,Bermejo,2.947,4.071,19:45,2024-09-04,13:00:00
2024-09-04 14:00:00,Bermejo,2.992,4.071,19:45,2024-09-04,14:00:00
2024-09-04 15:00:00,Bermejo,2.999,4.071,19:45,2024-09-04,15:00:00
2024-09-04 16:00:00,Bermejo,3.038,4.071,19:45,2024-09-04,16:00:00
2024-09-04 17:00:00,Bermejo,3.039,4.071,19:45,2024-09-04,17:00:00
2024-09-04 18:00:00,Bermejo,3.183,4.071,19:45,2024-09-04,18:00:00
2024-09-04 19:00:00,Bermejo,3.88,4.071,19:45,2024-09-04,19:00:00
2024-09-04 20:00:00,Bermejo,4.046,4.071,19:45,2024-09-04,20:00:00
2024-09-04 21:00:00,Bermejo,3.956,4.071,19:45,2024-09-04,21:00:00
2024-09-04 22:00:00,Bermejo,3.749,4.071,19:45,2024-09-04,22:00:00
2024-09-04 23:00:00,Bermejo,3.415,4.071,19:45,2024-09-04,23:00:00
2024-09-05 00:00:00,Bermejo,3.006,4.071,19:45,2024-09-05,00:00:00
2024-09-05 01:00:00,Bermejo,2.56,4.186,19:15,2024-09-05,01:00:00
2024-09-05 02:00:00,Bermejo,2.363,4.186,19:15,2024-09-05,02:00:00
2024-09-05 03:00:00,Bermejo,2.253,4.186,19:15,2024-09-05,03:00:00
2024-09-05 04:00:00,Bermejo,2.184,4.186,19:15,2024-09-05,04:00:00
2024-09-05 05:00:00,Bermejo,2.198,4.186,19:15,2024-09-05,05:00:00
2024-09-05 06:00:00,Bermejo,2.354,4.186,19:15,2024-09-05,06:00:00
2024-09-05 07:00:00,Bermejo,2.544,4.186,19:15,2024-09-05,07:00:00
2024-09-05 08:00:00,Bermejo,2.647,4.186,19:15,2024-09-05,08:00:00
2024-09-05 09:00:00,Bermejo,2.75,4.186,19:15,2024-09-05,09:00:00
2024-09-05 10:00:00,Bermejo,2.874,4.186,19:15,2024-09-05,10:00:00
2024-09-05 11:00:00,Bermejo,3.017,4.186,19:15,2024-09-05,11:00:00
2024-09-05 12:00:00,Bermejo,3.129,4.186,19:15,2024-09-05,12:00:00
2024-09-05 13:00:00,Bermejo,3.166,4.186,19:15,2024-09-05,13:00:00
2024-09-05 14:00:00,Bermejo,3.096,4.186,19:15,2024-09-05,14:00:00
2024-09-05 15:00:00,Bermejo,3.086,4.186,19:15,2024-09-05,15:00:00
2024-09-05 16:00:00,Bermejo,3.179,4.186,19:15,2024-09-05,16:00:00
2024-09-05 17:00:00,Bermejo,3.159,4.186,19:15,2024-09-05,17:00:00
2024-09-05 18:00:00,Bermejo,3.241,4.186,19:15,2024-09-05,18:00:00
2024-09-05 19:00:00,Bermejo,3.827,4.186,19:15,2024-09-05,19:00:00
2024-09-05 20:00:00,Bermejo,4.14,4.186,19:15,2024-09-05,20:00:00
2024-09-05 21:00:00,Bermejo,3.995,4.186,19:15,2024-09-05,21:00:00
2024-09-05 22:00:00,Bermejo,3.756,4.186,19:15,2024-09-05,22:00:00
2024-09-05 23:00:00,Bermejo,3.306,4.186,19:15,2024-09-05,23:00:00
2024-09-06 00:00:00,Bermejo,2.843,4.186,19:15,2024-09-06,00:00:00
2024-09-06 01:00:00,Bermejo,2.434,4.254,19:15,2024-09-06,01:00:00
2024-09-06 02:00:00,Bermejo,2.246,4.254,19:15,2024-09-06,02:00:00
2024-09-06 03:00:00,Bermejo,2.202,4.254,19:15,2024-09-06,03:00:00
2024-09-06 04:00:00,Bermejo,2.116,4.254,19:15,2024-09-06,04:00:00
2024-09-06 05:00:00,Bermejo,2.158,4.254,19:15,2024-09-06,05:00:00
2024-09-06 06:00:00,Bermejo,2.361,4.254,19:15,2024-09-06,06:00:00
2024-09-06 07:00:00,Bermejo,2.42,4.254,19:15,2024-09-06,07:00:00
2024-09-06 08:00:00,Bermejo,2.516,4.254,19:15,2024-09-06,08:00:00
2024-09-06 09:00:00,Bermejo,2.706,4.254,19:15,2024-09-06,09:00:00
2024-09-06 10:00:00,Bermejo,2.806,4.254,19:15,2024-09-06,10:00:00
2024-09-06 11:00:00,Bermejo,2.948,4.254,19:15,2024-09-06,11:00:00
2024-09-06 12:00:00,Bermejo,3.054,4.254,19:15,2024-09-06,12:00:00
2024-09-06 13:00:00,Bermejo,3.115,4.254,19:15,2024-09-06,13:00:00
2024-09-06 14:00:00,Bermejo,3.095,4.254,19:15,2024-09-06,14:00:00
2024-09-06 15:00:00,Bermejo,3.195,4.254,19:15,2024-09-06,15:00:00
2024-09-06 16:00:00,Bermejo,3.295,4.254,19:15,2024-09-06,16:00:00
2024-09-06 17:00:00,Bermejo,3.348,4.254,19:15,2024-09-06,17:00:00
