Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Bélgica,12.638,13.132,00:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Bélgica,12.638,13.132,00:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Bélgica,12.041,13.132,00:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Bélgica,11.796,13.132,00:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Bélgica,10.692,13.132,00:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Bélgica,11.128,13.132,00:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Bélgica,10.509,13.132,00:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Bélgica,7.157,13.132,00:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Bélgica,7.252,13.132,00:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Bélgica,7.616,13.132,00:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Bélgica,7.911,13.132,00:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Bélgica,8.179,13.132,00:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Bélgica,8.116,13.132,00:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Bélgica,8.262,13.132,00:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Bélgica,8.423,13.132,00:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Bélgica,8.608,13.132,00:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Bélgica,8.785,13.132,00:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Bélgica,9.154,13.132,00:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Bélgica,11.491,13.132,00:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Bélgica,12.436,13.132,00:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Bélgica,12.367,13.132,00:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Bélgica,12.018,13.132,00:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Bélgica,11.127,13.132,00:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Bélgica,9.75,13.132,00:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Bélgica,8.631,16.734,15:45,2024-09-02,01:00:00
2024-09-02 02:00:00,Bélgica,8.157,16.734,15:45,2024-09-02,02:00:00
2024-09-02 03:00:00,Bélgica,7.922,16.734,15:45,2024-09-02,03:00:00
2024-09-02 04:00:00,Bélgica,10.559,16.734,15:45,2024-09-02,04:00:00
2024-09-02 05:00:00,Bélgica,10.744,16.734,15:45,2024-09-02,05:00:00
2024-09-02 06:00:00,Bélgica,11.083,16.734,15:45,2024-09-02,06:00:00
2024-09-02 07:00:00,Bélgica,9.866,16.734,15:45,2024-09-02,07:00:00
2024-09-02 08:00:00,Bélgica,11.967,16.734,15:45,2024-09-02,08:00:00
2024-09-02 09:00:00,Bélgica,13.01,16.734,15:45,2024-09-02,09:00:00
2024-09-02 10:00:00,Bélgica,13.686,16.734,15:45,2024-09-02,10:00:00
2024-09-02 11:00:00,Bélgica,14.169,16.734,15:45,2024-09-02,11:00:00
2024-09-02 12:00:00,Bélgica,14.814,16.734,15:45,2024-09-02,12:00:00
2024-09-02 13:00:00,Bélgica,15.248,16.734,15:45,2024-09-02,13:00:00
2024-09-02 14:00:00,Bélgica,15.806,16.734,15:45,2024-09-02,14:00:00
2024-09-02 15:00:00,Bélgica,16.177,16.734,15:45,2024-09-02,15:00:00
2024-09-02 16:00:00,Bélgica,16.484,16.734,15:45,2024-09-02,16:00:00
2024-09-02 17:00:00,Bélgica,16.346,16.734,15:45,2024-09-02,17:00:00
2024-09-02 18:00:00,Bélgica,14.503,16.734,15:45,2024-09-02,18:00:00
2024-09-02 19:00:00,Bélgica,13.607,16.734,15:45,2024-09-02,19:00:00
2024-09-02 20:00:00,Bélgica,14.582,16.734,15:45,2024-09-02,20:00:00
2024-09-02 21:00:00,Bélgica,14.859,16.734,15:45,2024-09-02,21:00:00
2024-09-02 22:00:00,Bélgica,14.603,16.734,15:45,2024-09-02,22:00:00
2024-09-02 23:00:00,Bélgica,13.579,16.734,15:45,2024-09-02,23:00:00
2024-09-03 00:00:00,Bélgica,11.866,16.734,15:45,2024-09-03,00:00:00
2024-09-03 01:00:00,Bélgica,10.667,18.825,15:30,2024-09-03,01:00:00
2024-09-03 02:00:00,Bélgica,10.067,18.825,15:30,2024-09-03,02:00:00
2024-09-03 03:00:00,Bélgica,9.833,18.825,15:30,2024-09-03,03:00:00
2024-09-03 04:00:00,Bélgica,12.252,18.825,15:30,2024-09-03,04:00:00
2024-09-03 05:00:00,Bélgica,11.91,18.825,15:30,2024-09-03,05:00:00
2024-09-03 06:00:00,Bélgica,12.273,18.825,15:30,2024-09-03,06:00:00
2024-09-03 07:00:00,Bélgica,10.188,18.825,15:30,2024-09-03,07:00:00
2024-09-03 08:00:00,Bélgica,11.217,18.825,15:30,2024-09-03,08:00:00
2024-09-03 09:00:00,Bélgica,12.639,18.825,15:30,2024-09-03,09:00:00
2024-09-03 10:00:00,Bélgica,14.151,18.825,15:30,2024-09-03,10:00:00
2024-09-03 11:00:00,Bélgica,15.089,18.825,15:30,2024-09-03,11:00:00
2024-09-03 12:00:00,Bélgica,15.808,18.825,15:30,2024-09-03,12:00:00
2024-09-03 13:00:00,Bélgica,16.354,18.825,15:30,2024-09-03,13:00:00
2024-09-03 14:00:00,Bélgica,17.386,18.825,15:30,2024-09-03,14:00:00
2024-09-03 15:00:00,Bélgica,17.561,18.825,15:30,2024-09-03,15:00:00
2024-09-03 16:00:00,Bélgica,18.683,18.825,15:30,2024-09-03,16:00:00
2024-09-03 17:00:00,Bélgica,18.378,18.825,15:30,2024-09-03,17:00:00
2024-09-03 18:00:00,Bélgica,14.909,18.825,15:30,2024-09-03,18:00:00
2024-09-03 19:00:00,Bélgica,15.66,18.825,15:30,2024-09-03,19:00:00
2024-09-03 20:00:00,Bélgica,16.591,18.825,15:30,2024-09-03,20:00:00
2024-09-03 21:00:00,Bélgica,16.994,18.825,15:30,2024-09-03,21:00:00
2024-09-03 22:00:00,Bélgica,16.929,18.825,15:30,2024-09-03,22:00:00
2024-09-03 23:00:00,Bélgica,15.982,18.825,15:30,2024-09-03,23:00:00
2024-09-04 00:00:00,Bélgica,14.678,18.825,15:30,2024-09-04,00:00:00
2024-09-04 01:00:00,Bélgica,15.563,19.578,16:15,2024-09-04,01:00:00
2024-09-04 02:00:00,Bélgica,14.659,19.578,16:15,2024-09-04,02:00:00
2024-09-04 03:00:00,Bélgica,13.896,19.578,16:15,2024-09-04,03:00:00
2024-09-04 04:00:00,Bélgica,13.468,19.578,16:15,2024-09-04,04:00:00
2024-09-04 05:00:00,Bélgica,13.371,19.578,16:15,2024-09-04,05:00:00
2024-09-04 06:00:00,Bélgica,13.616,19.578,16:15,2024-09-04,06:00:00
2024-09-04 07:00:00,Bélgica,13.777,19.578,16:15,2024-09-04,07:00:00
2024-09-04 08:00:00,Bélgica,13.389,19.578,16:15,2024-09-04,08:00:00
2024-09-04 09:00:00,Bélgica,14.163,19.578,16:15,2024-09-04,09:00:00
2024-09-04 10:00:00,Bélgica,14.714,19.578,16:15,2024-09-04,10:00:00
2024-09-04 11:00:00,Bélgica,13.514,19.578,16:15,2024-09-04,11:00:00
2024-09-04 12:00:00,Bélgica,16.064,19.578,16:15,2024-09-04,12:00:00
2024-09-04 13:00:00,Bélgica,16.735,19.578,16:15,2024-09-04,13:00:00
2024-09-04 14:00:00,Bélgica,17.909,19.578,16:15,2024-09-04,14:00:00
2024-09-04 15:00:00,Bélgica,19.204,19.578,16:15,2024-09-04,15:00:00
2024-09-04 16:00:00,Bélgica,19.428,19.578,16:15,2024-09-04,16:00:00
2024-09-04 17:00:00,Bélgica,19.137,19.578,16:15,2024-09-04,17:00:00
