Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,COBOCE,6.856,6.889,00:30,2024-09-01,01:00:00
2024-09-01 02:00:00,COBOCE,6.732,6.889,00:30,2024-09-01,02:00:00
2024-09-01 03:00:00,COBOCE,6.72,6.889,00:30,2024-09-01,03:00:00
2024-09-01 04:00:00,COBOCE,5.168,6.889,00:30,2024-09-01,04:00:00
2024-09-01 05:00:00,COBOCE,3.096,6.889,00:30,2024-09-01,05:00:00
2024-09-01 06:00:00,COBOCE,3.299,6.889,00:30,2024-09-01,06:00:00
2024-09-01 07:00:00,COBOCE,3.224,6.889,00:30,2024-09-01,07:00:00
2024-09-01 08:00:00,COBOCE,3.239,6.889,00:30,2024-09-01,08:00:00
2024-09-01 09:00:00,COBOCE,3.382,6.889,00:30,2024-09-01,09:00:00
2024-09-01 10:00:00,COBOCE,3.73,6.889,00:30,2024-09-01,10:00:00
2024-09-01 11:00:00,COBOCE,3.781,6.889,00:30,2024-09-01,11:00:00
2024-09-01 12:00:00,COBOCE,3.678,6.889,00:30,2024-09-01,12:00:00
2024-09-01 13:00:00,COBOCE,3.696,6.889,00:30,2024-09-01,13:00:00
2024-09-01 14:00:00,COBOCE,3.638,6.889,00:30,2024-09-01,14:00:00
2024-09-01 15:00:00,COBOCE,3.654,6.889,00:30,2024-09-01,15:00:00
2024-09-01 16:00:00,COBOCE,3.661,6.889,00:30,2024-09-01,16:00:00
2024-09-01 17:00:00,COBOCE,3.729,6.889,00:30,2024-09-01,17:00:00
2024-09-01 18:00:00,COBOCE,3.683,6.889,00:30,2024-09-01,18:00:00
2024-09-01 19:00:00,COBOCE,3.723,6.889,00:30,2024-09-01,19:00:00
2024-09-01 20:00:00,COBOCE,3.658,6.889,00:30,2024-09-01,20:00:00
2024-09-01 21:00:00,COBOCE,3.706,6.889,00:30,2024-09-01,21:00:00
2024-09-01 22:00:00,COBOCE,3.442,6.889,00:30,2024-09-01,22:00:00
2024-09-01 23:00:00,COBOCE,2.922,6.889,00:30,2024-09-01,23:00:00
2024-09-02 00:00:00,COBOCE,3.081,6.889,00:30,2024-09-02,00:00:00
2024-09-02 01:00:00,COBOCE,3.788,5.837,21:30,2024-09-02,01:00:00
2024-09-02 02:00:00,COBOCE,3.736,5.837,21:30,2024-09-02,02:00:00
2024-09-02 03:00:00,COBOCE,3.789,5.837,21:30,2024-09-02,03:00:00
2024-09-02 04:00:00,COBOCE,3.659,5.837,21:30,2024-09-02,04:00:00
2024-09-02 05:00:00,COBOCE,4.031,5.837,21:30,2024-09-02,05:00:00
2024-09-02 06:00:00,COBOCE,4.362,5.837,21:30,2024-09-02,06:00:00
2024-09-02 07:00:00,COBOCE,4.373,5.837,21:30,2024-09-02,07:00:00
2024-09-02 08:00:00,COBOCE,4.293,5.837,21:30,2024-09-02,08:00:00
2024-09-02 09:00:00,COBOCE,4.401,5.837,21:30,2024-09-02,09:00:00
2024-09-02 10:00:00,COBOCE,4.406,5.837,21:30,2024-09-02,10:00:00
2024-09-02 11:00:00,COBOCE,4.465,5.837,21:30,2024-09-02,11:00:00
2024-09-02 12:00:00,COBOCE,4.079,5.837,21:30,2024-09-02,12:00:00
2024-09-02 13:00:00,COBOCE,3.517,5.837,21:30,2024-09-02,13:00:00
