Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Caranavi,9.012,12.813,20:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Caranavi,8.385,12.813,20:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Caranavi,8.044,12.813,20:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Caranavi,7.79,12.813,20:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Caranavi,7.59,12.813,20:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Caranavi,7.597,12.813,20:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Caranavi,7.572,12.813,20:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Caranavi,7.436,12.813,20:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Caranavi,7.812,12.813,20:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Caranavi,8.099,12.813,20:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Caranavi,8.391,12.813,20:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Caranavi,8.661,12.813,20:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Caranavi,8.847,12.813,20:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Caranavi,8.987,12.813,20:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Caranavi,9.185,12.813,20:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Caranavi,9.26,12.813,20:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Caranavi,9.193,12.813,20:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Caranavi,9.595,12.813,20:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Caranavi,11.176,12.813,20:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Caranavi,12.749,12.813,20:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Caranavi,12.737,12.813,20:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Caranavi,12.238,12.813,20:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Caranavi,11.127,12.813,20:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Caranavi,9.777,12.813,20:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Caranavi,8.789,13.352,20:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Caranavi,8.168,13.352,20:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Caranavi,7.805,13.352,20:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Caranavi,7.542,13.352,20:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Caranavi,7.532,13.352,20:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Caranavi,7.642,13.352,20:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Caranavi,8.026,13.352,20:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Caranavi,8.019,13.352,20:30,2024-09-02,08:00:00
