Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Carrasco,4.012,5.171,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Carrasco,3.838,5.171,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Carrasco,3.734,5.171,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Carrasco,3.72,5.171,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Carrasco,3.629,5.171,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Carrasco,3.705,5.171,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Carrasco,3.798,5.171,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Carrasco,3.732,5.171,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Carrasco,3.79,5.171,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Carrasco,3.81,5.171,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Carrasco,3.837,5.171,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Carrasco,3.833,5.171,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Carrasco,3.917,5.171,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Carrasco,3.931,5.171,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Carrasco,3.971,5.171,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Carrasco,3.96,5.171,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Carrasco,3.933,5.171,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Carrasco,4.047,5.171,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Carrasco,4.783,5.171,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Carrasco,5.138,5.171,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Carrasco,5.035,5.171,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Carrasco,4.668,5.171,19:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Carrasco,4.293,5.171,19:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Carrasco,3.941,5.171,19:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Carrasco,3.691,5.732,20:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Carrasco,3.55,5.732,20:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Carrasco,3.46,5.732,20:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Carrasco,3.432,5.732,20:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Carrasco,3.375,5.732,20:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Carrasco,3.48,5.732,20:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Carrasco,3.839,5.732,20:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Carrasco,3.59,5.732,20:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Carrasco,3.547,5.732,20:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Carrasco,3.725,5.732,20:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Carrasco,3.865,5.732,20:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Carrasco,4.103,5.732,20:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Carrasco,4.101,5.732,20:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Carrasco,4.281,5.732,20:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Carrasco,4.528,5.732,20:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Carrasco,4.627,5.732,20:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Carrasco,4.688,5.732,20:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Carrasco,4.668,5.732,20:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Carrasco,5.253,5.732,20:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Carrasco,5.68,5.732,20:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Carrasco,5.547,5.732,20:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Carrasco,5.199,5.732,20:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Carrasco,4.644,5.732,20:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Carrasco,4.173,5.732,20:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Carrasco,3.881,5.939,20:00,2024-09-03,01:00:00
2024-09-03 02:00:00,Carrasco,3.686,5.939,20:00,2024-09-03,02:00:00
2024-09-03 03:00:00,Carrasco,3.51,5.939,20:00,2024-09-03,03:00:00
2024-09-03 04:00:00,Carrasco,3.503,5.939,20:00,2024-09-03,04:00:00
2024-09-03 05:00:00,Carrasco,3.571,5.939,20:00,2024-09-03,05:00:00
2024-09-03 06:00:00,Carrasco,3.758,5.939,20:00,2024-09-03,06:00:00
2024-09-03 07:00:00,Carrasco,3.911,5.939,20:00,2024-09-03,07:00:00
2024-09-03 08:00:00,Carrasco,3.601,5.939,20:00,2024-09-03,08:00:00
2024-09-03 09:00:00,Carrasco,3.661,5.939,20:00,2024-09-03,09:00:00
2024-09-03 10:00:00,Carrasco,3.861,5.939,20:00,2024-09-03,10:00:00
2024-09-03 11:00:00,Carrasco,4.081,5.939,20:00,2024-09-03,11:00:00
2024-09-03 12:00:00,Carrasco,4.263,5.939,20:00,2024-09-03,12:00:00
2024-09-03 13:00:00,Carrasco,4.308,5.939,20:00,2024-09-03,13:00:00
2024-09-03 14:00:00,Carrasco,4.583,5.939,20:00,2024-09-03,14:00:00
2024-09-03 15:00:00,Carrasco,4.841,5.939,20:00,2024-09-03,15:00:00
2024-09-03 16:00:00,Carrasco,4.845,5.939,20:00,2024-09-03,16:00:00
2024-09-03 17:00:00,Carrasco,4.78,5.939,20:00,2024-09-03,17:00:00
2024-09-03 18:00:00,Carrasco,4.145,5.939,20:00,2024-09-03,18:00:00
2024-09-03 19:00:00,Carrasco,4.947,5.939,20:00,2024-09-03,19:00:00
2024-09-03 20:00:00,Carrasco,5.875,5.939,20:00,2024-09-03,20:00:00
2024-09-03 21:00:00,Carrasco,5.85,5.939,20:00,2024-09-03,21:00:00
2024-09-03 22:00:00,Carrasco,5.426,5.939,20:00,2024-09-03,22:00:00
2024-09-03 23:00:00,Carrasco,4.876,5.939,20:00,2024-09-03,23:00:00
2024-09-04 00:00:00,Carrasco,4.322,5.939,20:00,2024-09-04,00:00:00
2024-09-04 01:00:00,Carrasco,3.976,6.145,20:00,2024-09-04,01:00:00
2024-09-04 02:00:00,Carrasco,3.836,6.145,20:00,2024-09-04,02:00:00
2024-09-04 03:00:00,Carrasco,3.718,6.145,20:00,2024-09-04,03:00:00
2024-09-04 04:00:00,Carrasco,3.66,6.145,20:00,2024-09-04,04:00:00
2024-09-04 05:00:00,Carrasco,3.596,6.145,20:00,2024-09-04,05:00:00
2024-09-04 06:00:00,Carrasco,3.719,6.145,20:00,2024-09-04,06:00:00
2024-09-04 07:00:00,Carrasco,3.942,6.145,20:00,2024-09-04,07:00:00
2024-09-04 08:00:00,Carrasco,3.743,6.145,20:00,2024-09-04,08:00:00
2024-09-04 09:00:00,Carrasco,3.872,6.145,20:00,2024-09-04,09:00:00
2024-09-04 10:00:00,Carrasco,4.111,6.145,20:00,2024-09-04,10:00:00
2024-09-04 11:00:00,Carrasco,4.308,6.145,20:00,2024-09-04,11:00:00
2024-09-04 12:00:00,Carrasco,4.537,6.145,20:00,2024-09-04,12:00:00
2024-09-04 13:00:00,Carrasco,4.482,6.145,20:00,2024-09-04,13:00:00
2024-09-04 14:00:00,Carrasco,4.795,6.145,20:00,2024-09-04,14:00:00
2024-09-04 15:00:00,Carrasco,5.101,6.145,20:00,2024-09-04,15:00:00
2024-09-04 16:00:00,Carrasco,5.192,6.145,20:00,2024-09-04,16:00:00
2024-09-04 17:00:00,Carrasco,5.179,6.145,20:00,2024-09-04,17:00:00
2024-09-04 18:00:00,Carrasco,5.198,6.145,20:00,2024-09-04,18:00:00
2024-09-04 19:00:00,Carrasco,5.71,6.145,20:00,2024-09-04,19:00:00
2024-09-04 20:00:00,Carrasco,6.073,6.145,20:00,2024-09-04,20:00:00
2024-09-04 21:00:00,Carrasco,6.104,6.145,20:00,2024-09-04,21:00:00
2024-09-04 22:00:00,Carrasco,5.828,6.145,20:00,2024-09-04,22:00:00
2024-09-04 23:00:00,Carrasco,5.236,6.145,20:00,2024-09-04,23:00:00
2024-09-05 00:00:00,Carrasco,4.635,6.145,20:00,2024-09-05,00:00:00
2024-09-05 01:00:00,Carrasco,4.308,5.99,19:45,2024-09-05,01:00:00
2024-09-05 02:00:00,Carrasco,4.091,5.99,19:45,2024-09-05,02:00:00
2024-09-05 03:00:00,Carrasco,3.897,5.99,19:45,2024-09-05,03:00:00
2024-09-05 04:00:00,Carrasco,3.809,5.99,19:45,2024-09-05,04:00:00
2024-09-05 05:00:00,Carrasco,3.767,5.99,19:45,2024-09-05,05:00:00
2024-09-05 06:00:00,Carrasco,3.923,5.99,19:45,2024-09-05,06:00:00
2024-09-05 07:00:00,Carrasco,4.208,5.99,19:45,2024-09-05,07:00:00
2024-09-05 08:00:00,Carrasco,3.989,5.99,19:45,2024-09-05,08:00:00
2024-09-05 09:00:00,Carrasco,3.946,5.99,19:45,2024-09-05,09:00:00
2024-09-05 10:00:00,Carrasco,4.052,5.99,19:45,2024-09-05,10:00:00
2024-09-05 11:00:00,Carrasco,4.114,5.99,19:45,2024-09-05,11:00:00
2024-09-05 12:00:00,Carrasco,4.17,5.99,19:45,2024-09-05,12:00:00
2024-09-05 13:00:00,Carrasco,4.128,5.99,19:45,2024-09-05,13:00:00
2024-09-05 14:00:00,Carrasco,4.232,5.99,19:45,2024-09-05,14:00:00
2024-09-05 15:00:00,Carrasco,4.536,5.99,19:45,2024-09-05,15:00:00
2024-09-05 16:00:00,Carrasco,4.519,5.99,19:45,2024-09-05,16:00:00
2024-09-05 17:00:00,Carrasco,4.597,5.99,19:45,2024-09-05,17:00:00
2024-09-05 18:00:00,Carrasco,4.719,5.99,19:45,2024-09-05,18:00:00
2024-09-05 19:00:00,Carrasco,5.41,5.99,19:45,2024-09-05,19:00:00
2024-09-05 20:00:00,Carrasco,5.945,5.99,19:45,2024-09-05,20:00:00
2024-09-05 21:00:00,Carrasco,5.662,5.99,19:45,2024-09-05,21:00:00
2024-09-05 22:00:00,Carrasco,5.154,5.99,19:45,2024-09-05,22:00:00
2024-09-05 23:00:00,Carrasco,4.545,5.99,19:45,2024-09-05,23:00:00
2024-09-06 00:00:00,Carrasco,4.114,5.99,19:45,2024-09-06,00:00:00
2024-09-06 01:00:00,Carrasco,3.865,5.662,20:15,2024-09-06,01:00:00
2024-09-06 02:00:00,Carrasco,3.698,5.662,20:15,2024-09-06,02:00:00
2024-09-06 03:00:00,Carrasco,3.538,5.662,20:15,2024-09-06,03:00:00
2024-09-06 04:00:00,Carrasco,3.453,5.662,20:15,2024-09-06,04:00:00
2024-09-06 05:00:00,Carrasco,3.423,5.662,20:15,2024-09-06,05:00:00
2024-09-06 06:00:00,Carrasco,3.638,5.662,20:15,2024-09-06,06:00:00
2024-09-06 07:00:00,Carrasco,3.765,5.662,20:15,2024-09-06,07:00:00
2024-09-06 08:00:00,Carrasco,3.502,5.662,20:15,2024-09-06,08:00:00
2024-09-06 09:00:00,Carrasco,3.66,5.662,20:15,2024-09-06,09:00:00
2024-09-06 10:00:00,Carrasco,4.069,5.662,20:15,2024-09-06,10:00:00
2024-09-06 11:00:00,Carrasco,4.351,5.662,20:15,2024-09-06,11:00:00
2024-09-06 12:00:00,Carrasco,4.447,5.662,20:15,2024-09-06,12:00:00
2024-09-06 13:00:00,Carrasco,4.233,5.662,20:15,2024-09-06,13:00:00
2024-09-06 14:00:00,Carrasco,4.275,5.662,20:15,2024-09-06,14:00:00
2024-09-06 15:00:00,Carrasco,4.489,5.662,20:15,2024-09-06,15:00:00
2024-09-06 16:00:00,Carrasco,4.67,5.662,20:15,2024-09-06,16:00:00
2024-09-06 17:00:00,Carrasco,4.75,5.662,20:15,2024-09-06,17:00:00
2024-09-06 18:00:00,Carrasco,4.794,5.662,20:15,2024-09-06,18:00:00
2024-09-06 19:00:00,Carrasco,5.265,5.662,20:15,2024-09-06,19:00:00
2024-09-06 20:00:00,Carrasco,5.607,5.662,20:15,2024-09-06,20:00:00
2024-09-06 21:00:00,Carrasco,5.573,5.662,20:15,2024-09-06,21:00:00
2024-09-06 22:00:00,Carrasco,5.216,5.662,20:15,2024-09-06,22:00:00
2024-09-06 23:00:00,Carrasco,4.684,5.662,20:15,2024-09-06,23:00:00
2024-09-07 00:00:00,Carrasco,4.268,5.662,20:15,2024-09-07,00:00:00
2024-09-07 01:00:00,Carrasco,3.946,5.618,20:30,2024-09-07,01:00:00
2024-09-07 02:00:00,Carrasco,3.854,5.618,20:30,2024-09-07,02:00:00
2024-09-07 03:00:00,Carrasco,3.728,5.618,20:30,2024-09-07,03:00:00
2024-09-07 04:00:00,Carrasco,3.665,5.618,20:30,2024-09-07,04:00:00
2024-09-07 05:00:00,Carrasco,3.695,5.618,20:30,2024-09-07,05:00:00
2024-09-07 06:00:00,Carrasco,3.863,5.618,20:30,2024-09-07,06:00:00
2024-09-07 07:00:00,Carrasco,3.911,5.618,20:30,2024-09-07,07:00:00
2024-09-07 08:00:00,Carrasco,3.854,5.618,20:30,2024-09-07,08:00:00
2024-09-07 09:00:00,Carrasco,3.951,5.618,20:30,2024-09-07,09:00:00
2024-09-07 10:00:00,Carrasco,4.167,5.618,20:30,2024-09-07,10:00:00
2024-09-07 11:00:00,Carrasco,4.244,5.618,20:30,2024-09-07,11:00:00
2024-09-07 12:00:00,Carrasco,4.346,5.618,20:30,2024-09-07,12:00:00
2024-09-07 13:00:00,Carrasco,4.158,5.618,20:30,2024-09-07,13:00:00
