Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Carreras,3.251,4.472,19:15,2024-09-01,01:00:00
2024-09-01 02:00:00,Carreras,3.176,4.472,19:15,2024-09-01,02:00:00
2024-09-01 03:00:00,Carreras,3.097,4.472,19:15,2024-09-01,03:00:00
2024-09-01 04:00:00,Carreras,3.082,4.472,19:15,2024-09-01,04:00:00
2024-09-01 05:00:00,Carreras,3.068,4.472,19:15,2024-09-01,05:00:00
2024-09-01 06:00:00,Carreras,3.113,4.472,19:15,2024-09-01,06:00:00
2024-09-01 07:00:00,Carreras,3.138,4.472,19:15,2024-09-01,07:00:00
2024-09-01 08:00:00,Carreras,3.116,4.472,19:15,2024-09-01,08:00:00
2024-09-01 09:00:00,Carreras,3.244,4.472,19:15,2024-09-01,09:00:00
2024-09-01 10:00:00,Carreras,3.272,4.472,19:15,2024-09-01,10:00:00
2024-09-01 11:00:00,Carreras,3.283,4.472,19:15,2024-09-01,11:00:00
2024-09-01 12:00:00,Carreras,3.286,4.472,19:15,2024-09-01,12:00:00
2024-09-01 13:00:00,Carreras,3.255,4.472,19:15,2024-09-01,13:00:00
2024-09-01 14:00:00,Carreras,3.208,4.472,19:15,2024-09-01,14:00:00
2024-09-01 15:00:00,Carreras,3.316,4.472,19:15,2024-09-01,15:00:00
2024-09-01 16:00:00,Carreras,3.468,4.472,19:15,2024-09-01,16:00:00
2024-09-01 17:00:00,Carreras,3.383,4.472,19:15,2024-09-01,17:00:00
2024-09-01 18:00:00,Carreras,3.569,4.472,19:15,2024-09-01,18:00:00
2024-09-01 19:00:00,Carreras,4.14,4.472,19:15,2024-09-01,19:00:00
2024-09-01 20:00:00,Carreras,4.464,4.472,19:15,2024-09-01,20:00:00
2024-09-01 21:00:00,Carreras,4.33,4.472,19:15,2024-09-01,21:00:00
2024-09-01 22:00:00,Carreras,4.051,4.472,19:15,2024-09-01,22:00:00
2024-09-01 23:00:00,Carreras,3.677,4.472,19:15,2024-09-01,23:00:00
2024-09-02 00:00:00,Carreras,3.358,4.472,19:15,2024-09-02,00:00:00
2024-09-02 01:00:00,Carreras,3.138,4.756,20:15,2024-09-02,01:00:00
2024-09-02 02:00:00,Carreras,3.078,4.756,20:15,2024-09-02,02:00:00
2024-09-02 03:00:00,Carreras,2.981,4.756,20:15,2024-09-02,03:00:00
2024-09-02 04:00:00,Carreras,2.987,4.756,20:15,2024-09-02,04:00:00
2024-09-02 05:00:00,Carreras,3.008,4.756,20:15,2024-09-02,05:00:00
2024-09-02 06:00:00,Carreras,3.042,4.756,20:15,2024-09-02,06:00:00
2024-09-02 07:00:00,Carreras,3.366,4.756,20:15,2024-09-02,07:00:00
2024-09-02 08:00:00,Carreras,3.596,4.756,20:15,2024-09-02,08:00:00
2024-09-02 09:00:00,Carreras,3.299,4.756,20:15,2024-09-02,09:00:00
2024-09-02 10:00:00,Carreras,2.575,4.756,20:15,2024-09-02,10:00:00
2024-09-02 11:00:00,Carreras,1.94,4.756,20:15,2024-09-02,11:00:00
2024-09-02 12:00:00,Carreras,1.906,4.756,20:15,2024-09-02,12:00:00
2024-09-02 13:00:00,Carreras,1.876,4.756,20:15,2024-09-02,13:00:00
2024-09-02 14:00:00,Carreras,1.97,4.756,20:15,2024-09-02,14:00:00
2024-09-02 15:00:00,Carreras,2.017,4.756,20:15,2024-09-02,15:00:00
2024-09-02 16:00:00,Carreras,2.14,4.756,20:15,2024-09-02,16:00:00
2024-09-02 17:00:00,Carreras,2.216,4.756,20:15,2024-09-02,17:00:00
2024-09-02 18:00:00,Carreras,2.289,4.756,20:15,2024-09-02,18:00:00
2024-09-02 19:00:00,Carreras,3.956,4.756,20:15,2024-09-02,19:00:00
2024-09-02 20:00:00,Carreras,4.65,4.756,20:15,2024-09-02,20:00:00
2024-09-02 21:00:00,Carreras,4.652,4.756,20:15,2024-09-02,21:00:00
2024-09-02 22:00:00,Carreras,4.252,4.756,20:15,2024-09-02,22:00:00
2024-09-02 23:00:00,Carreras,3.828,4.756,20:15,2024-09-02,23:00:00
2024-09-03 00:00:00,Carreras,3.512,4.756,20:15,2024-09-03,00:00:00
2024-09-03 01:00:00,Carreras,3.327,4.928,19:30,2024-09-03,01:00:00
