Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-11-01 01:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,01:00:00
2024-11-01 02:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,02:00:00
2024-11-01 03:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,03:00:00
2024-11-01 04:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,04:00:00
2024-11-01 05:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,05:00:00
2024-11-01 06:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,06:00:00
2024-11-01 07:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,07:00:00
2024-11-01 08:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,08:00:00
2024-11-01 09:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,09:00:00
2024-11-01 10:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,10:00:00
2024-11-01 11:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,11:00:00
2024-11-01 12:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,12:00:00
2024-11-01 13:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,13:00:00
2024-11-01 14:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,14:00:00
2024-11-01 15:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,15:00:00
2024-11-01 16:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,16:00:00
2024-11-01 17:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,17:00:00
2024-11-01 18:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,18:00:00
2024-11-01 19:00:00,Cerámica Guadalquivir,0.0,0.722,24:00,2024-11-01,19:00:00
2024-11-01 20:00:00,Cerámica Guadalquivir,0.005,0.722,24:00,2024-11-01,20:00:00
2024-11-01 21:00:00,Cerámica Guadalquivir,0.095,0.722,24:00,2024-11-01,21:00:00
2024-11-01 22:00:00,Cerámica Guadalquivir,0.182,0.722,24:00,2024-11-01,22:00:00
2024-11-01 23:00:00,Cerámica Guadalquivir,0.26,0.722,24:00,2024-11-01,23:00:00
2024-11-02 00:00:00,Cerámica Guadalquivir,0.629,0.722,24:00,2024-11-02,00:00:00
2024-11-02 01:00:00,Cerámica Guadalquivir,0.675,0.747,18:00,2024-11-02,01:00:00
2024-11-02 02:00:00,Cerámica Guadalquivir,0.453,0.747,18:00,2024-11-02,02:00:00
2024-11-02 03:00:00,Cerámica Guadalquivir,0.577,0.747,18:00,2024-11-02,03:00:00
2024-11-02 04:00:00,Cerámica Guadalquivir,0.589,0.747,18:00,2024-11-02,04:00:00
2024-11-02 05:00:00,Cerámica Guadalquivir,0.496,0.747,18:00,2024-11-02,05:00:00
2024-11-02 06:00:00,Cerámica Guadalquivir,0.489,0.747,18:00,2024-11-02,06:00:00
2024-11-02 07:00:00,Cerámica Guadalquivir,0.542,0.747,18:00,2024-11-02,07:00:00
2024-11-02 08:00:00,Cerámica Guadalquivir,0.668,0.747,18:00,2024-11-02,08:00:00
2024-11-02 09:00:00,Cerámica Guadalquivir,0.675,0.747,18:00,2024-11-02,09:00:00
2024-11-02 10:00:00,Cerámica Guadalquivir,0.671,0.747,18:00,2024-11-02,10:00:00
2024-11-02 11:00:00,Cerámica Guadalquivir,0.658,0.747,18:00,2024-11-02,11:00:00
2024-11-02 12:00:00,Cerámica Guadalquivir,0.568,0.747,18:00,2024-11-02,12:00:00
2024-11-02 13:00:00,Cerámica Guadalquivir,0.376,0.747,18:00,2024-11-02,13:00:00
2024-11-02 14:00:00,Cerámica Guadalquivir,0.434,0.747,18:00,2024-11-02,14:00:00
2024-11-02 15:00:00,Cerámica Guadalquivir,0.557,0.747,18:00,2024-11-02,15:00:00
2024-11-02 16:00:00,Cerámica Guadalquivir,0.688,0.747,18:00,2024-11-02,16:00:00
2024-11-02 17:00:00,Cerámica Guadalquivir,0.714,0.747,18:00,2024-11-02,17:00:00
2024-11-02 18:00:00,Cerámica Guadalquivir,0.702,0.747,18:00,2024-11-02,18:00:00
2024-11-02 19:00:00,Cerámica Guadalquivir,0.635,0.747,18:00,2024-11-02,19:00:00
2024-11-02 20:00:00,Cerámica Guadalquivir,0.501,0.747,18:00,2024-11-02,20:00:00
2024-11-02 21:00:00,Cerámica Guadalquivir,0.473,0.747,18:00,2024-11-02,21:00:00
2024-11-02 22:00:00,Cerámica Guadalquivir,0.307,0.747,18:00,2024-11-02,22:00:00
2024-11-02 23:00:00,Cerámica Guadalquivir,0.304,0.747,18:00,2024-11-02,23:00:00
2024-11-03 00:00:00,Cerámica Guadalquivir,0.302,0.747,18:00,2024-11-03,00:00:00
2024-11-03 01:00:00,Cerámica Guadalquivir,0.303,0.745,21:00,2024-11-03,01:00:00
2024-11-03 02:00:00,Cerámica Guadalquivir,0.303,0.745,21:00,2024-11-03,02:00:00
2024-11-03 03:00:00,Cerámica Guadalquivir,0.301,0.745,21:00,2024-11-03,03:00:00
2024-11-03 04:00:00,Cerámica Guadalquivir,0.301,0.745,21:00,2024-11-03,04:00:00
2024-11-03 05:00:00,Cerámica Guadalquivir,0.301,0.745,21:00,2024-11-03,05:00:00
2024-11-03 06:00:00,Cerámica Guadalquivir,0.303,0.745,21:00,2024-11-03,06:00:00
2024-11-03 07:00:00,Cerámica Guadalquivir,0.385,0.745,21:00,2024-11-03,07:00:00
2024-11-03 08:00:00,Cerámica Guadalquivir,0.484,0.745,21:00,2024-11-03,08:00:00
2024-11-03 09:00:00,Cerámica Guadalquivir,0.492,0.745,21:00,2024-11-03,09:00:00
2024-11-03 10:00:00,Cerámica Guadalquivir,0.493,0.745,21:00,2024-11-03,10:00:00
2024-11-03 11:00:00,Cerámica Guadalquivir,0.476,0.745,21:00,2024-11-03,11:00:00
2024-11-03 12:00:00,Cerámica Guadalquivir,0.303,0.745,21:00,2024-11-03,12:00:00
2024-11-03 13:00:00,Cerámica Guadalquivir,0.306,0.745,21:00,2024-11-03,13:00:00
2024-11-03 14:00:00,Cerámica Guadalquivir,0.305,0.745,21:00,2024-11-03,14:00:00
2024-11-03 15:00:00,Cerámica Guadalquivir,0.377,0.745,21:00,2024-11-03,15:00:00
2024-11-03 16:00:00,Cerámica Guadalquivir,0.468,0.745,21:00,2024-11-03,16:00:00
2024-11-03 17:00:00,Cerámica Guadalquivir,0.471,0.745,21:00,2024-11-03,17:00:00
2024-11-03 18:00:00,Cerámica Guadalquivir,0.474,0.745,21:00,2024-11-03,18:00:00
2024-11-03 19:00:00,Cerámica Guadalquivir,0.026,0.745,21:00,2024-11-03,19:00:00
2024-11-03 20:00:00,Cerámica Guadalquivir,0.006,0.745,21:00,2024-11-03,20:00:00
2024-11-03 21:00:00,Cerámica Guadalquivir,0.603,0.745,21:00,2024-11-03,21:00:00
2024-11-03 22:00:00,Cerámica Guadalquivir,0.704,0.745,21:00,2024-11-03,22:00:00
2024-11-03 23:00:00,Cerámica Guadalquivir,0.5,0.745,21:00,2024-11-03,23:00:00
2024-11-04 00:00:00,Cerámica Guadalquivir,0.455,0.745,21:00,2024-11-04,00:00:00
2024-11-04 01:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,01:00:00
2024-11-04 02:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,02:00:00
2024-11-04 03:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,03:00:00
2024-11-04 04:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,04:00:00
2024-11-04 05:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,05:00:00
2024-11-04 06:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,06:00:00
2024-11-04 07:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,07:00:00
2024-11-04 08:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,08:00:00
2024-11-04 09:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,09:00:00
2024-11-04 10:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,10:00:00
2024-11-04 11:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,11:00:00
2024-11-04 12:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,12:00:00
2024-11-04 13:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,13:00:00
2024-11-04 14:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,14:00:00
2024-11-04 15:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,15:00:00
2024-11-04 16:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,16:00:00
2024-11-04 17:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,17:00:00
2024-11-04 18:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,18:00:00
2024-11-04 19:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,19:00:00
2024-11-04 20:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,20:00:00
2024-11-04 21:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,21:00:00
2024-11-04 22:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,22:00:00
2024-11-04 23:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-04,23:00:00
2024-11-05 00:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,00:00:00
2024-11-05 01:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,01:00:00
2024-11-05 02:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,02:00:00
2024-11-05 03:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,03:00:00
2024-11-05 04:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,04:00:00
2024-11-05 05:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,05:00:00
2024-11-05 06:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,06:00:00
2024-11-05 07:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,07:00:00
2024-11-05 08:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,08:00:00
2024-11-05 09:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,09:00:00
2024-11-05 10:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,10:00:00
2024-11-05 11:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,11:00:00
2024-11-05 12:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,12:00:00
2024-11-05 13:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,13:00:00
2024-11-05 14:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,14:00:00
2024-11-05 15:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,15:00:00
2024-11-05 16:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,16:00:00
2024-11-05 17:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,17:00:00
2024-11-05 18:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,18:00:00
2024-11-05 19:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,19:00:00
2024-11-05 20:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,20:00:00
2024-11-05 21:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,21:00:00
2024-11-05 22:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,22:00:00
2024-11-05 23:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-05,23:00:00
2024-11-06 00:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,00:00:00
2024-11-06 01:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,01:00:00
2024-11-06 02:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,02:00:00
2024-11-06 03:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,03:00:00
2024-11-06 04:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,04:00:00
2024-11-06 05:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,05:00:00
2024-11-06 06:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,06:00:00
2024-11-06 07:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,07:00:00
2024-11-06 08:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,08:00:00
2024-11-06 09:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,09:00:00
2024-11-06 10:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,10:00:00
2024-11-06 11:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,11:00:00
2024-11-06 12:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,12:00:00
2024-11-06 13:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,13:00:00
2024-11-06 14:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,14:00:00
2024-11-06 15:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,15:00:00
2024-11-06 16:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,16:00:00
2024-11-06 17:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,17:00:00
2024-11-06 18:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,18:00:00
2024-11-06 19:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,19:00:00
2024-11-06 20:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,20:00:00
2024-11-06 21:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,21:00:00
2024-11-06 22:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,22:00:00
2024-11-06 23:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-06,23:00:00
2024-11-07 00:00:00,Cerámica Guadalquivir,0.0,0,     ,2024-11-07,00:00:00
2024-11-07 01:00:00,Cerámica Guadalquivir,0.84,0.995,11:15,2024-11-07,01:00:00
2024-11-07 02:00:00,Cerámica Guadalquivir,0.677,0.995,11:15,2024-11-07,02:00:00
2024-11-07 03:00:00,Cerámica Guadalquivir,0.505,0.995,11:15,2024-11-07,03:00:00
2024-11-07 04:00:00,Cerámica Guadalquivir,0.523,0.995,11:15,2024-11-07,04:00:00
2024-11-07 05:00:00,Cerámica Guadalquivir,0.535,0.995,11:15,2024-11-07,05:00:00
2024-11-07 06:00:00,Cerámica Guadalquivir,0.536,0.995,11:15,2024-11-07,06:00:00
2024-11-07 07:00:00,Cerámica Guadalquivir,0.808,0.995,11:15,2024-11-07,07:00:00
2024-11-07 08:00:00,Cerámica Guadalquivir,0.893,0.995,11:15,2024-11-07,08:00:00
2024-11-07 09:00:00,Cerámica Guadalquivir,0.871,0.995,11:15,2024-11-07,09:00:00
2024-11-07 10:00:00,Cerámica Guadalquivir,0.759,0.995,11:15,2024-11-07,10:00:00
2024-11-07 11:00:00,Cerámica Guadalquivir,0.784,0.995,11:15,2024-11-07,11:00:00
2024-11-07 12:00:00,Cerámica Guadalquivir,0.976,0.995,11:15,2024-11-07,12:00:00
2024-11-07 13:00:00,Cerámica Guadalquivir,0.786,0.995,11:15,2024-11-07,13:00:00
2024-11-07 14:00:00,Cerámica Guadalquivir,0.648,0.995,11:15,2024-11-07,14:00:00
2024-11-07 15:00:00,Cerámica Guadalquivir,0.752,0.995,11:15,2024-11-07,15:00:00
2024-11-07 16:00:00,Cerámica Guadalquivir,0.875,0.995,11:15,2024-11-07,16:00:00
2024-11-07 17:00:00,Cerámica Guadalquivir,0.813,0.995,11:15,2024-11-07,17:00:00
2024-11-07 18:00:00,Cerámica Guadalquivir,0.743,0.995,11:15,2024-11-07,18:00:00
2024-11-07 19:00:00,Cerámica Guadalquivir,0.839,0.995,11:15,2024-11-07,19:00:00
2024-11-07 20:00:00,Cerámica Guadalquivir,0.595,0.995,11:15,2024-11-07,20:00:00
2024-11-07 21:00:00,Cerámica Guadalquivir,0.747,0.995,11:15,2024-11-07,21:00:00
2024-11-07 22:00:00,Cerámica Guadalquivir,0.855,0.995,11:15,2024-11-07,22:00:00
2024-11-07 23:00:00,Cerámica Guadalquivir,0.75,0.995,11:15,2024-11-07,23:00:00
2024-11-08 00:00:00,Cerámica Guadalquivir,0.864,0.995,11:15,2024-11-08,00:00:00
2024-11-08 01:00:00,Cerámica Guadalquivir,0.873,0.987,11:30,2024-11-08,01:00:00
2024-11-08 02:00:00,Cerámica Guadalquivir,0.818,0.987,11:30,2024-11-08,02:00:00
2024-11-08 03:00:00,Cerámica Guadalquivir,0.538,0.987,11:30,2024-11-08,03:00:00
2024-11-08 04:00:00,Cerámica Guadalquivir,0.53,0.987,11:30,2024-11-08,04:00:00
2024-11-08 05:00:00,Cerámica Guadalquivir,0.533,0.987,11:30,2024-11-08,05:00:00
2024-11-08 06:00:00,Cerámica Guadalquivir,0.536,0.987,11:30,2024-11-08,06:00:00
2024-11-08 07:00:00,Cerámica Guadalquivir,0.808,0.987,11:30,2024-11-08,07:00:00
2024-11-08 08:00:00,Cerámica Guadalquivir,0.875,0.987,11:30,2024-11-08,08:00:00
2024-11-08 09:00:00,Cerámica Guadalquivir,0.886,0.987,11:30,2024-11-08,09:00:00
2024-11-08 10:00:00,Cerámica Guadalquivir,0.894,0.987,11:30,2024-11-08,10:00:00
2024-11-08 11:00:00,Cerámica Guadalquivir,0.885,0.987,11:30,2024-11-08,11:00:00
2024-11-08 12:00:00,Cerámica Guadalquivir,0.935,0.987,11:30,2024-11-08,12:00:00
2024-11-08 13:00:00,Cerámica Guadalquivir,0.705,0.987,11:30,2024-11-08,13:00:00
2024-11-08 14:00:00,Cerámica Guadalquivir,0.676,0.987,11:30,2024-11-08,14:00:00
2024-11-08 15:00:00,Cerámica Guadalquivir,0.697,0.987,11:30,2024-11-08,15:00:00
2024-11-08 16:00:00,Cerámica Guadalquivir,0.859,0.987,11:30,2024-11-08,16:00:00
2024-11-08 17:00:00,Cerámica Guadalquivir,0.738,0.987,11:30,2024-11-08,17:00:00
2024-11-08 18:00:00,Cerámica Guadalquivir,0.824,0.987,11:30,2024-11-08,18:00:00
2024-11-08 19:00:00,Cerámica Guadalquivir,0.819,0.987,11:30,2024-11-08,19:00:00
2024-11-08 20:00:00,Cerámica Guadalquivir,0.551,0.987,11:30,2024-11-08,20:00:00
2024-11-08 21:00:00,Cerámica Guadalquivir,0.856,0.987,11:30,2024-11-08,21:00:00
2024-11-08 22:00:00,Cerámica Guadalquivir,0.857,0.987,11:30,2024-11-08,22:00:00
