Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Chilcobija,0.805,0.931,13:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Chilcobija,0.684,0.931,13:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Chilcobija,0.787,0.931,13:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Chilcobija,0.713,0.931,13:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Chilcobija,0.807,0.931,13:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Chilcobija,0.692,0.931,13:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Chilcobija,0.61,0.931,13:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Chilcobija,0.675,0.931,13:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Chilcobija,0.608,0.931,13:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Chilcobija,0.699,0.931,13:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Chilcobija,0.638,0.931,13:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Chilcobija,0.629,0.931,13:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Chilcobija,0.724,0.931,13:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Chilcobija,0.873,0.931,13:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Chilcobija,0.787,0.931,13:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Chilcobija,0.769,0.931,13:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Chilcobija,0.815,0.931,13:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Chilcobija,0.788,0.931,13:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Chilcobija,0.702,0.931,13:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Chilcobija,0.64,0.931,13:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Chilcobija,0.581,0.931,13:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Chilcobija,0.651,0.931,13:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Chilcobija,0.669,0.931,13:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Chilcobija,0.663,0.931,13:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Chilcobija,0.677,1.138,11:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Chilcobija,0.736,1.138,11:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Chilcobija,0.7,1.138,11:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Chilcobija,0.673,1.138,11:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Chilcobija,0.658,1.138,11:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Chilcobija,0.805,1.138,11:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Chilcobija,0.612,1.138,11:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Chilcobija,0.665,1.138,11:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Chilcobija,0.596,1.138,11:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Chilcobija,0.858,1.138,11:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Chilcobija,1.007,1.138,11:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Chilcobija,1.0,1.138,11:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Chilcobija,0.547,1.138,11:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Chilcobija,0.708,1.138,11:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Chilcobija,0.813,1.138,11:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Chilcobija,1.052,1.138,11:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Chilcobija,0.782,1.138,11:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Chilcobija,0.68,1.138,11:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Chilcobija,0.62,1.138,11:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Chilcobija,0.492,1.138,11:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Chilcobija,0.53,1.138,11:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Chilcobija,0.571,1.138,11:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Chilcobija,0.606,1.138,11:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Chilcobija,0.656,1.138,11:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Chilcobija,0.76,1.185,15:15,2024-09-03,01:00:00
2024-09-03 02:00:00,Chilcobija,0.689,1.185,15:15,2024-09-03,02:00:00
2024-09-03 03:00:00,Chilcobija,0.683,1.185,15:15,2024-09-03,03:00:00
2024-09-03 04:00:00,Chilcobija,0.68,1.185,15:15,2024-09-03,04:00:00
2024-09-03 05:00:00,Chilcobija,0.666,1.185,15:15,2024-09-03,05:00:00
2024-09-03 06:00:00,Chilcobija,0.833,1.185,15:15,2024-09-03,06:00:00
2024-09-03 07:00:00,Chilcobija,0.713,1.185,15:15,2024-09-03,07:00:00
2024-09-03 08:00:00,Chilcobija,0.622,1.185,15:15,2024-09-03,08:00:00
2024-09-03 09:00:00,Chilcobija,0.58,1.185,15:15,2024-09-03,09:00:00
2024-09-03 10:00:00,Chilcobija,0.891,1.185,15:15,2024-09-03,10:00:00
2024-09-03 11:00:00,Chilcobija,0.946,1.185,15:15,2024-09-03,11:00:00
2024-09-03 12:00:00,Chilcobija,1.012,1.185,15:15,2024-09-03,12:00:00
2024-09-03 13:00:00,Chilcobija,0.593,1.185,15:15,2024-09-03,13:00:00
2024-09-03 14:00:00,Chilcobija,0.854,1.185,15:15,2024-09-03,14:00:00
2024-09-03 15:00:00,Chilcobija,1.023,1.185,15:15,2024-09-03,15:00:00
2024-09-03 16:00:00,Chilcobija,1.133,1.185,15:15,2024-09-03,16:00:00
2024-09-03 17:00:00,Chilcobija,0.823,1.185,15:15,2024-09-03,17:00:00
2024-09-03 18:00:00,Chilcobija,0.771,1.185,15:15,2024-09-03,18:00:00
2024-09-03 19:00:00,Chilcobija,0.731,1.185,15:15,2024-09-03,19:00:00
2024-09-03 20:00:00,Chilcobija,0.826,1.185,15:15,2024-09-03,20:00:00
2024-09-03 21:00:00,Chilcobija,0.735,1.185,15:15,2024-09-03,21:00:00
2024-09-03 22:00:00,Chilcobija,0.722,1.185,15:15,2024-09-03,22:00:00
2024-09-03 23:00:00,Chilcobija,0.687,1.185,15:15,2024-09-03,23:00:00
2024-09-04 00:00:00,Chilcobija,0.663,1.185,15:15,2024-09-04,00:00:00
2024-09-04 01:00:00,Chilcobija,0.74,0.975,15:30,2024-09-04,01:00:00
2024-09-04 02:00:00,Chilcobija,0.688,0.975,15:30,2024-09-04,02:00:00
2024-09-04 03:00:00,Chilcobija,0.689,0.975,15:30,2024-09-04,03:00:00
2024-09-04 04:00:00,Chilcobija,0.68,0.975,15:30,2024-09-04,04:00:00
2024-09-04 05:00:00,Chilcobija,0.667,0.975,15:30,2024-09-04,05:00:00
2024-09-04 06:00:00,Chilcobija,0.833,0.975,15:30,2024-09-04,06:00:00
2024-09-04 07:00:00,Chilcobija,0.676,0.975,15:30,2024-09-04,07:00:00
2024-09-04 08:00:00,Chilcobija,0.703,0.975,15:30,2024-09-04,08:00:00
2024-09-04 09:00:00,Chilcobija,0.607,0.975,15:30,2024-09-04,09:00:00
2024-09-04 10:00:00,Chilcobija,0.762,0.975,15:30,2024-09-04,10:00:00
2024-09-04 11:00:00,Chilcobija,0.884,0.975,15:30,2024-09-04,11:00:00
2024-09-04 12:00:00,Chilcobija,0.764,0.975,15:30,2024-09-04,12:00:00
2024-09-04 13:00:00,Chilcobija,0.426,0.975,15:30,2024-09-04,13:00:00
2024-09-04 14:00:00,Chilcobija,0.61,0.975,15:30,2024-09-04,14:00:00
2024-09-04 15:00:00,Chilcobija,0.863,0.975,15:30,2024-09-04,15:00:00
2024-09-04 16:00:00,Chilcobija,0.927,0.975,15:30,2024-09-04,16:00:00
2024-09-04 17:00:00,Chilcobija,0.824,0.975,15:30,2024-09-04,17:00:00
2024-09-04 18:00:00,Chilcobija,0.761,0.975,15:30,2024-09-04,18:00:00
2024-09-04 19:00:00,Chilcobija,0.837,0.975,15:30,2024-09-04,19:00:00
2024-09-04 20:00:00,Chilcobija,0.844,0.975,15:30,2024-09-04,20:00:00
2024-09-04 21:00:00,Chilcobija,0.706,0.975,15:30,2024-09-04,21:00:00
2024-09-04 22:00:00,Chilcobija,0.677,0.975,15:30,2024-09-04,22:00:00
2024-09-04 23:00:00,Chilcobija,0.66,0.975,15:30,2024-09-04,23:00:00
2024-09-05 00:00:00,Chilcobija,0.629,0.975,15:30,2024-09-05,00:00:00
2024-09-05 01:00:00,Chilcobija,0.598,1.05,15:45,2024-09-05,01:00:00
2024-09-05 02:00:00,Chilcobija,0.55,1.05,15:45,2024-09-05,02:00:00
2024-09-05 03:00:00,Chilcobija,0.568,1.05,15:45,2024-09-05,03:00:00
2024-09-05 04:00:00,Chilcobija,0.637,1.05,15:45,2024-09-05,04:00:00
