Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Choquetanga,0.664,0.828,19:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Choquetanga,0.688,0.828,19:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Choquetanga,0.579,0.828,19:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Choquetanga,0.456,0.828,19:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Choquetanga,0.421,0.828,19:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Choquetanga,0.435,0.828,19:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Choquetanga,0.669,0.828,19:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Choquetanga,0.736,0.828,19:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Choquetanga,0.68,0.828,19:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Choquetanga,0.523,0.828,19:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Choquetanga,0.711,0.828,19:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Choquetanga,0.769,0.828,19:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Choquetanga,0.622,0.828,19:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Choquetanga,0.524,0.828,19:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Choquetanga,0.599,0.828,19:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Choquetanga,0.573,0.828,19:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Choquetanga,0.759,0.828,19:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Choquetanga,0.796,0.828,19:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Choquetanga,0.817,0.828,19:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Choquetanga,0.611,0.828,19:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Choquetanga,0.546,0.828,19:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Choquetanga,0.561,0.828,19:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Choquetanga,0.76,0.828,19:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Choquetanga,0.752,0.828,19:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Choquetanga,0.597,0.757,20:15,2024-09-02,01:00:00
2024-09-02 02:00:00,Choquetanga,0.391,0.757,20:15,2024-09-02,02:00:00
2024-09-02 03:00:00,Choquetanga,0.43,0.757,20:15,2024-09-02,03:00:00
2024-09-02 04:00:00,Choquetanga,0.43,0.757,20:15,2024-09-02,04:00:00
2024-09-02 05:00:00,Choquetanga,0.426,0.757,20:15,2024-09-02,05:00:00
2024-09-02 06:00:00,Choquetanga,0.448,0.757,20:15,2024-09-02,06:00:00
2024-09-02 07:00:00,Choquetanga,0.509,0.757,20:15,2024-09-02,07:00:00
2024-09-02 08:00:00,Choquetanga,0.475,0.757,20:15,2024-09-02,08:00:00
2024-09-02 09:00:00,Choquetanga,0.597,0.757,20:15,2024-09-02,09:00:00
2024-09-02 10:00:00,Choquetanga,0.611,0.757,20:15,2024-09-02,10:00:00
2024-09-02 11:00:00,Choquetanga,0.523,0.757,20:15,2024-09-02,11:00:00
2024-09-02 12:00:00,Choquetanga,0.567,0.757,20:15,2024-09-02,12:00:00
2024-09-02 13:00:00,Choquetanga,0.553,0.757,20:15,2024-09-02,13:00:00
2024-09-02 14:00:00,Choquetanga,0.408,0.757,20:15,2024-09-02,14:00:00
2024-09-02 15:00:00,Choquetanga,0.458,0.757,20:15,2024-09-02,15:00:00
2024-09-02 16:00:00,Choquetanga,0.411,0.757,20:15,2024-09-02,16:00:00
2024-09-02 17:00:00,Choquetanga,0.407,0.757,20:15,2024-09-02,17:00:00
2024-09-02 18:00:00,Choquetanga,0.452,0.757,20:15,2024-09-02,18:00:00
2024-09-02 19:00:00,Choquetanga,0.487,0.757,20:15,2024-09-02,19:00:00
2024-09-02 20:00:00,Choquetanga,0.498,0.757,20:15,2024-09-02,20:00:00
2024-09-02 21:00:00,Choquetanga,0.708,0.757,20:15,2024-09-02,21:00:00
2024-09-02 22:00:00,Choquetanga,0.703,0.757,20:15,2024-09-02,22:00:00
2024-09-02 23:00:00,Choquetanga,0.692,0.757,20:15,2024-09-02,23:00:00
2024-09-03 00:00:00,Choquetanga,0.657,0.757,20:15,2024-09-03,00:00:00
2024-09-03 01:00:00,Choquetanga,0.812,0.822,00:30,2024-09-03,01:00:00
2024-09-03 02:00:00,Choquetanga,0.68,0.822,00:30,2024-09-03,02:00:00
2024-09-03 03:00:00,Choquetanga,0.57,0.822,00:30,2024-09-03,03:00:00
2024-09-03 04:00:00,Choquetanga,0.556,0.822,00:30,2024-09-03,04:00:00
2024-09-03 05:00:00,Choquetanga,0.567,0.822,00:30,2024-09-03,05:00:00
2024-09-03 06:00:00,Choquetanga,0.592,0.822,00:30,2024-09-03,06:00:00
2024-09-03 07:00:00,Choquetanga,0.669,0.822,00:30,2024-09-03,07:00:00
2024-09-03 08:00:00,Choquetanga,0.572,0.822,00:30,2024-09-03,08:00:00
2024-09-03 09:00:00,Choquetanga,0.441,0.822,00:30,2024-09-03,09:00:00
2024-09-03 10:00:00,Choquetanga,0.537,0.822,00:30,2024-09-03,10:00:00
2024-09-03 11:00:00,Choquetanga,0.652,0.822,00:30,2024-09-03,11:00:00
2024-09-03 12:00:00,Choquetanga,0.509,0.822,00:30,2024-09-03,12:00:00
2024-09-03 13:00:00,Choquetanga,0.573,0.822,00:30,2024-09-03,13:00:00
2024-09-03 14:00:00,Choquetanga,0.467,0.822,00:30,2024-09-03,14:00:00
2024-09-03 15:00:00,Choquetanga,0.428,0.822,00:30,2024-09-03,15:00:00
2024-09-03 16:00:00,Choquetanga,0.444,0.822,00:30,2024-09-03,16:00:00
2024-09-03 17:00:00,Choquetanga,0.448,0.822,00:30,2024-09-03,17:00:00
2024-09-03 18:00:00,Choquetanga,0.467,0.822,00:30,2024-09-03,18:00:00
2024-09-03 19:00:00,Choquetanga,0.574,0.822,00:30,2024-09-03,19:00:00
2024-09-03 20:00:00,Choquetanga,0.577,0.822,00:30,2024-09-03,20:00:00
2024-09-03 21:00:00,Choquetanga,0.578,0.822,00:30,2024-09-03,21:00:00
2024-09-03 22:00:00,Choquetanga,0.548,0.822,00:30,2024-09-03,22:00:00
2024-09-03 23:00:00,Choquetanga,0.513,0.822,00:30,2024-09-03,23:00:00
2024-09-04 00:00:00,Choquetanga,0.536,0.822,00:30,2024-09-04,00:00:00
2024-09-04 01:00:00,Choquetanga,0.547,0.828,07:15,2024-09-04,01:00:00
2024-09-04 02:00:00,Choquetanga,0.515,0.828,07:15,2024-09-04,02:00:00
2024-09-04 03:00:00,Choquetanga,0.521,0.828,07:15,2024-09-04,03:00:00
2024-09-04 04:00:00,Choquetanga,0.572,0.828,07:15,2024-09-04,04:00:00
2024-09-04 05:00:00,Choquetanga,0.728,0.828,07:15,2024-09-04,05:00:00
2024-09-04 06:00:00,Choquetanga,0.702,0.828,07:15,2024-09-04,06:00:00
2024-09-04 07:00:00,Choquetanga,0.749,0.828,07:15,2024-09-04,07:00:00
2024-09-04 08:00:00,Choquetanga,0.642,0.828,07:15,2024-09-04,08:00:00
2024-09-04 09:00:00,Choquetanga,0.489,0.828,07:15,2024-09-04,09:00:00
2024-09-04 10:00:00,Choquetanga,0.442,0.828,07:15,2024-09-04,10:00:00
2024-09-04 11:00:00,Choquetanga,0.401,0.828,07:15,2024-09-04,11:00:00
2024-09-04 12:00:00,Choquetanga,0.405,0.828,07:15,2024-09-04,12:00:00
2024-09-04 13:00:00,Choquetanga,0.388,0.828,07:15,2024-09-04,13:00:00
2024-09-04 14:00:00,Choquetanga,0.533,0.828,07:15,2024-09-04,14:00:00
2024-09-04 15:00:00,Choquetanga,0.605,0.828,07:15,2024-09-04,15:00:00
2024-09-04 16:00:00,Choquetanga,0.606,0.828,07:15,2024-09-04,16:00:00
2024-09-04 17:00:00,Choquetanga,0.416,0.828,07:15,2024-09-04,17:00:00
2024-09-04 18:00:00,Choquetanga,0.537,0.828,07:15,2024-09-04,18:00:00
2024-09-04 19:00:00,Choquetanga,0.529,0.828,07:15,2024-09-04,19:00:00
2024-09-04 20:00:00,Choquetanga,0.522,0.828,07:15,2024-09-04,20:00:00
2024-09-04 21:00:00,Choquetanga,0.591,0.828,07:15,2024-09-04,21:00:00
2024-09-04 22:00:00,Choquetanga,0.581,0.828,07:15,2024-09-04,22:00:00
2024-09-04 23:00:00,Choquetanga,0.611,0.828,07:15,2024-09-04,23:00:00
2024-09-05 00:00:00,Choquetanga,0.597,0.828,07:15,2024-09-05,00:00:00
2024-09-05 01:00:00,Choquetanga,0.683,0.783,01:45,2024-09-05,01:00:00
2024-09-05 02:00:00,Choquetanga,0.737,0.783,01:45,2024-09-05,02:00:00
2024-09-05 03:00:00,Choquetanga,0.438,0.783,01:45,2024-09-05,03:00:00
2024-09-05 04:00:00,Choquetanga,0.404,0.783,01:45,2024-09-05,04:00:00
2024-09-05 05:00:00,Choquetanga,0.398,0.783,01:45,2024-09-05,05:00:00
2024-09-05 06:00:00,Choquetanga,0.421,0.783,01:45,2024-09-05,06:00:00
2024-09-05 07:00:00,Choquetanga,0.541,0.783,01:45,2024-09-05,07:00:00
2024-09-05 08:00:00,Choquetanga,0.519,0.783,01:45,2024-09-05,08:00:00
2024-09-05 09:00:00,Choquetanga,0.503,0.783,01:45,2024-09-05,09:00:00
2024-09-05 10:00:00,Choquetanga,0.444,0.783,01:45,2024-09-05,10:00:00
2024-09-05 11:00:00,Choquetanga,0.429,0.783,01:45,2024-09-05,11:00:00
2024-09-05 12:00:00,Choquetanga,0.442,0.783,01:45,2024-09-05,12:00:00
2024-09-05 13:00:00,Choquetanga,0.433,0.783,01:45,2024-09-05,13:00:00
2024-09-05 14:00:00,Choquetanga,0.408,0.783,01:45,2024-09-05,14:00:00
2024-09-05 15:00:00,Choquetanga,0.416,0.783,01:45,2024-09-05,15:00:00
2024-09-05 16:00:00,Choquetanga,0.663,0.783,01:45,2024-09-05,16:00:00
2024-09-05 17:00:00,Choquetanga,0.668,0.783,01:45,2024-09-05,17:00:00
2024-09-05 18:00:00,Choquetanga,0.465,0.783,01:45,2024-09-05,18:00:00
2024-09-05 19:00:00,Choquetanga,0.571,0.783,01:45,2024-09-05,19:00:00
2024-09-05 20:00:00,Choquetanga,0.758,0.783,01:45,2024-09-05,20:00:00
2024-09-05 21:00:00,Choquetanga,0.544,0.783,01:45,2024-09-05,21:00:00
2024-09-05 22:00:00,Choquetanga,0.509,0.783,01:45,2024-09-05,22:00:00
2024-09-05 23:00:00,Choquetanga,0.492,0.783,01:45,2024-09-05,23:00:00
2024-09-06 00:00:00,Choquetanga,0.53,0.783,01:45,2024-09-06,00:00:00
