Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Chuspipata,3.37,4.824,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Chuspipata,3.093,4.824,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Chuspipata,2.974,4.824,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Chuspipata,2.892,4.824,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Chuspipata,2.873,4.824,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Chuspipata,2.965,4.824,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Chuspipata,3.128,4.824,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Chuspipata,3.382,4.824,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Chuspipata,3.507,4.824,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Chuspipata,3.502,4.824,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Chuspipata,3.559,4.824,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Chuspipata,3.563,4.824,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Chuspipata,3.588,4.824,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Chuspipata,3.59,4.824,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Chuspipata,3.556,4.824,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Chuspipata,3.608,4.824,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Chuspipata,3.608,4.824,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Chuspipata,3.745,4.824,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Chuspipata,4.242,4.824,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Chuspipata,4.797,4.824,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Chuspipata,4.707,4.824,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Chuspipata,4.376,4.824,19:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Chuspipata,3.968,4.824,19:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Chuspipata,3.494,4.824,19:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Chuspipata,3.187,5.026,20:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Chuspipata,2.979,5.026,20:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Chuspipata,2.901,5.026,20:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Chuspipata,2.816,5.026,20:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Chuspipata,2.828,5.026,20:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Chuspipata,2.937,5.026,20:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Chuspipata,3.478,5.026,20:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Chuspipata,3.843,5.026,20:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Chuspipata,3.488,5.026,20:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Chuspipata,3.415,5.026,20:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Chuspipata,3.421,5.026,20:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Chuspipata,3.479,5.026,20:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Chuspipata,3.294,5.026,20:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Chuspipata,3.61,5.026,20:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Chuspipata,3.691,5.026,20:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Chuspipata,3.673,5.026,20:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Chuspipata,3.637,5.026,20:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Chuspipata,3.665,5.026,20:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Chuspipata,4.38,5.026,20:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Chuspipata,4.998,5.026,20:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Chuspipata,4.841,5.026,20:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Chuspipata,4.526,5.026,20:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Chuspipata,4.036,5.026,20:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Chuspipata,3.548,5.026,20:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Chuspipata,3.261,5.096,20:15,2024-09-03,01:00:00
2024-09-03 02:00:00,Chuspipata,3.038,5.096,20:15,2024-09-03,02:00:00
2024-09-03 03:00:00,Chuspipata,2.979,5.096,20:15,2024-09-03,03:00:00
2024-09-03 04:00:00,Chuspipata,2.989,5.096,20:15,2024-09-03,04:00:00
2024-09-03 05:00:00,Chuspipata,3.045,5.096,20:15,2024-09-03,05:00:00
2024-09-03 06:00:00,Chuspipata,3.15,5.096,20:15,2024-09-03,06:00:00
2024-09-03 07:00:00,Chuspipata,3.531,5.096,20:15,2024-09-03,07:00:00
2024-09-03 08:00:00,Chuspipata,3.759,5.096,20:15,2024-09-03,08:00:00
2024-09-03 09:00:00,Chuspipata,3.643,5.096,20:15,2024-09-03,09:00:00
