Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Contorno Bajo,26.277,32.088,20:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Contorno Bajo,25.398,32.088,20:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Contorno Bajo,24.99,32.088,20:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Contorno Bajo,24.867,32.088,20:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Contorno Bajo,24.566,32.088,20:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Contorno Bajo,25.031,32.088,20:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Contorno Bajo,24.202,32.088,20:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Contorno Bajo,22.493,32.088,20:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Contorno Bajo,19.842,32.088,20:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Contorno Bajo,20.565,32.088,20:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Contorno Bajo,23.591,32.088,20:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Contorno Bajo,23.901,32.088,20:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Contorno Bajo,23.674,32.088,20:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Contorno Bajo,23.948,32.088,20:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Contorno Bajo,24.6,32.088,20:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Contorno Bajo,25.234,32.088,20:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Contorno Bajo,26.202,32.088,20:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Contorno Bajo,26.694,32.088,20:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Contorno Bajo,28.32,32.088,20:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Contorno Bajo,30.453,32.088,20:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Contorno Bajo,31.722,32.088,20:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Contorno Bajo,30.271,32.088,20:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Contorno Bajo,28.007,32.088,20:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Contorno Bajo,26.185,32.088,20:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Contorno Bajo,25.134,33.65,11:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Contorno Bajo,24.406,33.65,11:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Contorno Bajo,24.769,33.65,11:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Contorno Bajo,24.5,33.65,11:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Contorno Bajo,25.909,33.65,11:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Contorno Bajo,27.227,33.65,11:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Contorno Bajo,29.4,33.65,11:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Contorno Bajo,26.151,33.65,11:30,2024-09-02,08:00:00
2024-09-02 09:00:00,Contorno Bajo,28.316,33.65,11:30,2024-09-02,09:00:00
2024-09-02 10:00:00,Contorno Bajo,28.279,33.65,11:30,2024-09-02,10:00:00
2024-09-02 11:00:00,Contorno Bajo,28.433,33.65,11:30,2024-09-02,11:00:00
2024-09-02 12:00:00,Contorno Bajo,32.815,33.65,11:30,2024-09-02,12:00:00
2024-09-02 13:00:00,Contorno Bajo,28.405,33.65,11:30,2024-09-02,13:00:00
2024-09-02 14:00:00,Contorno Bajo,28.192,33.65,11:30,2024-09-02,14:00:00
2024-09-02 15:00:00,Contorno Bajo,32.578,33.65,11:30,2024-09-02,15:00:00
2024-09-02 16:00:00,Contorno Bajo,32.292,33.65,11:30,2024-09-02,16:00:00
2024-09-02 17:00:00,Contorno Bajo,30.359,33.65,11:30,2024-09-02,17:00:00
2024-09-02 18:00:00,Contorno Bajo,27.697,33.65,11:30,2024-09-02,18:00:00
2024-09-02 19:00:00,Contorno Bajo,29.568,33.65,11:30,2024-09-02,19:00:00
