Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Cumbre,45.748,97.19,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Cumbre,40.073,97.19,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Cumbre,36.018,97.19,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Cumbre,34.405,97.19,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Cumbre,33.733,97.19,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Cumbre,34.028,97.19,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Cumbre,32.605,97.19,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Cumbre,32.09,97.19,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Cumbre,39.69,97.19,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Cumbre,50.768,97.19,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Cumbre,55.938,97.19,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Cumbre,60.448,97.19,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Cumbre,60.82,97.19,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Cumbre,59.58,97.19,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Cumbre,57.15,97.19,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Cumbre,56.57,97.19,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Cumbre,59.99,97.19,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Cumbre,63.995,97.19,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Cumbre,83.173,97.19,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Cumbre,96.783,97.19,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Cumbre,93.21,97.19,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Cumbre,81.38,97.19,19:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Cumbre,66.74,97.19,19:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Cumbre,51.025,97.19,19:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Cumbre,42.915,101.57,19:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Cumbre,35.228,101.57,19:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Cumbre,32.513,101.57,19:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Cumbre,32.715,101.57,19:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Cumbre,33.423,101.57,19:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Cumbre,38.998,101.57,19:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Cumbre,60.63,101.57,19:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Cumbre,76.545,101.57,19:30,2024-09-02,08:00:00
2024-09-02 09:00:00,Cumbre,73.415,101.57,19:30,2024-09-02,09:00:00
2024-09-02 10:00:00,Cumbre,77.293,101.57,19:30,2024-09-02,10:00:00
2024-09-02 11:00:00,Cumbre,82.29,101.57,19:30,2024-09-02,11:00:00
2024-09-02 12:00:00,Cumbre,88.913,101.57,19:30,2024-09-02,12:00:00
2024-09-02 13:00:00,Cumbre,83.205,101.57,19:30,2024-09-02,13:00:00
2024-09-02 14:00:00,Cumbre,75.098,101.57,19:30,2024-09-02,14:00:00
2024-09-02 15:00:00,Cumbre,74.29,101.57,19:30,2024-09-02,15:00:00
2024-09-02 16:00:00,Cumbre,75.935,101.57,19:30,2024-09-02,16:00:00
2024-09-02 17:00:00,Cumbre,76.448,101.57,19:30,2024-09-02,17:00:00
2024-09-02 18:00:00,Cumbre,79.345,101.57,19:30,2024-09-02,18:00:00
2024-09-02 19:00:00,Cumbre,88.748,101.57,19:30,2024-09-02,19:00:00
2024-09-02 20:00:00,Cumbre,101.235,101.57,19:30,2024-09-02,20:00:00
2024-09-02 21:00:00,Cumbre,98.548,101.57,19:30,2024-09-02,21:00:00
2024-09-02 22:00:00,Cumbre,89.05,101.57,19:30,2024-09-02,22:00:00
2024-09-02 23:00:00,Cumbre,71.44,101.57,19:30,2024-09-02,23:00:00
2024-09-03 00:00:00,Cumbre,56.593,101.57,19:30,2024-09-03,00:00:00
2024-09-03 01:00:00,Cumbre,49.27,101.64,19:45,2024-09-03,01:00:00
2024-09-03 02:00:00,Cumbre,42.653,101.64,19:45,2024-09-03,02:00:00
2024-09-03 03:00:00,Cumbre,39.4,101.64,19:45,2024-09-03,03:00:00
2024-09-03 04:00:00,Cumbre,38.058,101.64,19:45,2024-09-03,04:00:00
2024-09-03 05:00:00,Cumbre,38.13,101.64,19:45,2024-09-03,05:00:00
