Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Don Diego,4.294,5.728,19:15,2024-09-01,01:00:00
2024-09-01 02:00:00,Don Diego,4.235,5.728,19:15,2024-09-01,02:00:00
2024-09-01 03:00:00,Don Diego,4.153,5.728,19:15,2024-09-01,03:00:00
2024-09-01 04:00:00,Don Diego,4.182,5.728,19:15,2024-09-01,04:00:00
2024-09-01 05:00:00,Don Diego,4.22,5.728,19:15,2024-09-01,05:00:00
2024-09-01 06:00:00,Don Diego,4.265,5.728,19:15,2024-09-01,06:00:00
2024-09-01 07:00:00,Don Diego,4.065,5.728,19:15,2024-09-01,07:00:00
2024-09-01 08:00:00,Don Diego,3.891,5.728,19:15,2024-09-01,08:00:00
2024-09-01 09:00:00,Don Diego,3.901,5.728,19:15,2024-09-01,09:00:00
2024-09-01 10:00:00,Don Diego,3.913,5.728,19:15,2024-09-01,10:00:00
2024-09-01 11:00:00,Don Diego,3.916,5.728,19:15,2024-09-01,11:00:00
2024-09-01 12:00:00,Don Diego,3.881,5.728,19:15,2024-09-01,12:00:00
2024-09-01 13:00:00,Don Diego,3.83,5.728,19:15,2024-09-01,13:00:00
2024-09-01 14:00:00,Don Diego,3.904,5.728,19:15,2024-09-01,14:00:00
2024-09-01 15:00:00,Don Diego,4.025,5.728,19:15,2024-09-01,15:00:00
2024-09-01 16:00:00,Don Diego,4.079,5.728,19:15,2024-09-01,16:00:00
2024-09-01 17:00:00,Don Diego,4.115,5.728,19:15,2024-09-01,17:00:00
2024-09-01 18:00:00,Don Diego,4.31,5.728,19:15,2024-09-01,18:00:00
2024-09-01 19:00:00,Don Diego,5.191,5.728,19:15,2024-09-01,19:00:00
2024-09-01 20:00:00,Don Diego,5.707,5.728,19:15,2024-09-01,20:00:00
2024-09-01 21:00:00,Don Diego,5.497,5.728,19:15,2024-09-01,21:00:00
2024-09-01 22:00:00,Don Diego,5.058,5.728,19:15,2024-09-01,22:00:00
2024-09-01 23:00:00,Don Diego,4.69,5.728,19:15,2024-09-01,23:00:00
2024-09-02 00:00:00,Don Diego,4.409,5.728,19:15,2024-09-02,00:00:00
2024-09-02 01:00:00,Don Diego,4.234,6.018,19:45,2024-09-02,01:00:00
2024-09-02 02:00:00,Don Diego,4.16,6.018,19:45,2024-09-02,02:00:00
2024-09-02 03:00:00,Don Diego,4.092,6.018,19:45,2024-09-02,03:00:00
2024-09-02 04:00:00,Don Diego,4.085,6.018,19:45,2024-09-02,04:00:00
2024-09-02 05:00:00,Don Diego,4.134,6.018,19:45,2024-09-02,05:00:00
2024-09-02 06:00:00,Don Diego,4.275,6.018,19:45,2024-09-02,06:00:00
2024-09-02 07:00:00,Don Diego,4.168,6.018,19:45,2024-09-02,07:00:00
2024-09-02 08:00:00,Don Diego,4.172,6.018,19:45,2024-09-02,08:00:00
2024-09-02 09:00:00,Don Diego,3.956,6.018,19:45,2024-09-02,09:00:00
2024-09-02 10:00:00,Don Diego,3.848,6.018,19:45,2024-09-02,10:00:00
2024-09-02 11:00:00,Don Diego,4.048,6.018,19:45,2024-09-02,11:00:00
2024-09-02 12:00:00,Don Diego,4.094,6.018,19:45,2024-09-02,12:00:00
2024-09-02 13:00:00,Don Diego,3.964,6.018,19:45,2024-09-02,13:00:00
2024-09-02 14:00:00,Don Diego,3.938,6.018,19:45,2024-09-02,14:00:00
2024-09-02 15:00:00,Don Diego,3.973,6.018,19:45,2024-09-02,15:00:00
2024-09-02 16:00:00,Don Diego,4.024,6.018,19:45,2024-09-02,16:00:00
2024-09-02 17:00:00,Don Diego,4.065,6.018,19:45,2024-09-02,17:00:00
2024-09-02 18:00:00,Don Diego,4.211,6.018,19:45,2024-09-02,18:00:00
2024-09-02 19:00:00,Don Diego,5.277,6.018,19:45,2024-09-02,19:00:00
2024-09-02 20:00:00,Don Diego,5.982,6.018,19:45,2024-09-02,20:00:00
2024-09-02 21:00:00,Don Diego,5.815,6.018,19:45,2024-09-02,21:00:00
2024-09-02 22:00:00,Don Diego,5.408,6.018,19:45,2024-09-02,22:00:00
2024-09-02 23:00:00,Don Diego,4.937,6.018,19:45,2024-09-02,23:00:00
2024-09-03 00:00:00,Don Diego,4.606,6.018,19:45,2024-09-03,00:00:00
2024-09-03 01:00:00,Don Diego,4.386,6.089,19:15,2024-09-03,01:00:00
2024-09-03 02:00:00,Don Diego,4.209,6.089,19:15,2024-09-03,02:00:00
2024-09-03 03:00:00,Don Diego,4.173,6.089,19:15,2024-09-03,03:00:00
2024-09-03 04:00:00,Don Diego,4.161,6.089,19:15,2024-09-03,04:00:00
2024-09-03 05:00:00,Don Diego,4.215,6.089,19:15,2024-09-03,05:00:00
2024-09-03 06:00:00,Don Diego,4.339,6.089,19:15,2024-09-03,06:00:00
2024-09-03 07:00:00,Don Diego,4.225,6.089,19:15,2024-09-03,07:00:00
2024-09-03 08:00:00,Don Diego,4.086,6.089,19:15,2024-09-03,08:00:00
2024-09-03 09:00:00,Don Diego,3.93,6.089,19:15,2024-09-03,09:00:00
2024-09-03 10:00:00,Don Diego,3.909,6.089,19:15,2024-09-03,10:00:00
2024-09-03 11:00:00,Don Diego,3.967,6.089,19:15,2024-09-03,11:00:00
2024-09-03 12:00:00,Don Diego,3.928,6.089,19:15,2024-09-03,12:00:00
2024-09-03 13:00:00,Don Diego,3.799,6.089,19:15,2024-09-03,13:00:00
2024-09-03 14:00:00,Don Diego,3.77,6.089,19:15,2024-09-03,14:00:00
2024-09-03 15:00:00,Don Diego,3.901,6.089,19:15,2024-09-03,15:00:00
2024-09-03 16:00:00,Don Diego,4.012,6.089,19:15,2024-09-03,16:00:00
2024-09-03 17:00:00,Don Diego,4.09,6.089,19:15,2024-09-03,17:00:00
2024-09-03 18:00:00,Don Diego,4.194,6.089,19:15,2024-09-03,18:00:00
2024-09-03 19:00:00,Don Diego,5.226,6.089,19:15,2024-09-03,19:00:00
2024-09-03 20:00:00,Don Diego,6.078,6.089,19:15,2024-09-03,20:00:00
2024-09-03 21:00:00,Don Diego,5.901,6.089,19:15,2024-09-03,21:00:00
2024-09-03 22:00:00,Don Diego,5.48,6.089,19:15,2024-09-03,22:00:00
2024-09-03 23:00:00,Don Diego,4.992,6.089,19:15,2024-09-03,23:00:00
2024-09-04 00:00:00,Don Diego,4.615,6.089,19:15,2024-09-04,00:00:00
2024-09-04 01:00:00,Don Diego,4.33,6.136,19:45,2024-09-04,01:00:00
2024-09-04 02:00:00,Don Diego,4.193,6.136,19:45,2024-09-04,02:00:00
2024-09-04 03:00:00,Don Diego,4.149,6.136,19:45,2024-09-04,03:00:00
2024-09-04 04:00:00,Don Diego,4.154,6.136,19:45,2024-09-04,04:00:00
2024-09-04 05:00:00,Don Diego,4.267,6.136,19:45,2024-09-04,05:00:00
2024-09-04 06:00:00,Don Diego,4.391,6.136,19:45,2024-09-04,06:00:00
2024-09-04 07:00:00,Don Diego,4.269,6.136,19:45,2024-09-04,07:00:00
2024-09-04 08:00:00,Don Diego,4.098,6.136,19:45,2024-09-04,08:00:00
2024-09-04 09:00:00,Don Diego,4.005,6.136,19:45,2024-09-04,09:00:00
2024-09-04 10:00:00,Don Diego,3.992,6.136,19:45,2024-09-04,10:00:00
2024-09-04 11:00:00,Don Diego,4.02,6.136,19:45,2024-09-04,11:00:00
2024-09-04 12:00:00,Don Diego,4.056,6.136,19:45,2024-09-04,12:00:00
2024-09-04 13:00:00,Don Diego,3.945,6.136,19:45,2024-09-04,13:00:00
2024-09-04 14:00:00,Don Diego,4.004,6.136,19:45,2024-09-04,14:00:00
2024-09-04 15:00:00,Don Diego,4.154,6.136,19:45,2024-09-04,15:00:00
2024-09-04 16:00:00,Don Diego,4.251,6.136,19:45,2024-09-04,16:00:00
2024-09-04 17:00:00,Don Diego,4.177,6.136,19:45,2024-09-04,17:00:00
2024-09-04 18:00:00,Don Diego,4.302,6.136,19:45,2024-09-04,18:00:00
2024-09-04 19:00:00,Don Diego,5.262,6.136,19:45,2024-09-04,19:00:00
2024-09-04 20:00:00,Don Diego,6.111,6.136,19:45,2024-09-04,20:00:00
2024-09-04 21:00:00,Don Diego,5.939,6.136,19:45,2024-09-04,21:00:00
2024-09-04 22:00:00,Don Diego,5.401,6.136,19:45,2024-09-04,22:00:00
2024-09-04 23:00:00,Don Diego,4.925,6.136,19:45,2024-09-04,23:00:00
2024-09-05 00:00:00,Don Diego,4.578,6.136,19:45,2024-09-05,00:00:00
2024-09-05 01:00:00,Don Diego,4.371,6.245,19:45,2024-09-05,01:00:00
2024-09-05 02:00:00,Don Diego,4.19,6.245,19:45,2024-09-05,02:00:00
2024-09-05 03:00:00,Don Diego,4.118,6.245,19:45,2024-09-05,03:00:00
2024-09-05 04:00:00,Don Diego,4.151,6.245,19:45,2024-09-05,04:00:00
2024-09-05 05:00:00,Don Diego,4.321,6.245,19:45,2024-09-05,05:00:00
2024-09-05 06:00:00,Don Diego,4.52,6.245,19:45,2024-09-05,06:00:00
2024-09-05 07:00:00,Don Diego,4.512,6.245,19:45,2024-09-05,07:00:00
2024-09-05 08:00:00,Don Diego,4.332,6.245,19:45,2024-09-05,08:00:00
2024-09-05 09:00:00,Don Diego,3.869,6.245,19:45,2024-09-05,09:00:00
2024-09-05 10:00:00,Don Diego,3.072,6.245,19:45,2024-09-05,10:00:00
2024-09-05 11:00:00,Don Diego,3.582,6.245,19:45,2024-09-05,11:00:00
2024-09-05 12:00:00,Don Diego,4.253,6.245,19:45,2024-09-05,12:00:00
2024-09-05 13:00:00,Don Diego,4.214,6.245,19:45,2024-09-05,13:00:00
2024-09-05 14:00:00,Don Diego,4.258,6.245,19:45,2024-09-05,14:00:00
2024-09-05 15:00:00,Don Diego,4.249,6.245,19:45,2024-09-05,15:00:00
2024-09-05 16:00:00,Don Diego,4.357,6.245,19:45,2024-09-05,16:00:00
