Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-11-25 01:00:00,EMVINTO - COMIBOL,4.719,4.8,03:45,2024-11-25,01:00:00
2024-11-25 02:00:00,EMVINTO - COMIBOL,4.693,4.8,03:45,2024-11-25,02:00:00
2024-11-25 03:00:00,EMVINTO - COMIBOL,4.731,4.8,03:45,2024-11-25,03:00:00
2024-11-25 04:00:00,EMVINTO - COMIBOL,4.769,4.8,03:45,2024-11-25,04:00:00
2024-11-25 05:00:00,EMVINTO - COMIBOL,4.669,4.8,03:45,2024-11-25,05:00:00
2024-11-25 06:00:00,EMVINTO - COMIBOL,4.579,4.8,03:45,2024-11-25,06:00:00
2024-11-25 07:00:00,EMVINTO - COMIBOL,4.48,4.8,03:45,2024-11-25,07:00:00
2024-11-25 08:00:00,EMVINTO - COMIBOL,4.578,4.8,03:45,2024-11-25,08:00:00
2024-11-25 09:00:00,EMVINTO - COMIBOL,4.576,4.8,03:45,2024-11-25,09:00:00
2024-11-25 10:00:00,EMVINTO - COMIBOL,4.544,4.8,03:45,2024-11-25,10:00:00
2024-11-25 11:00:00,EMVINTO - COMIBOL,4.563,4.8,03:45,2024-11-25,11:00:00
2024-11-25 12:00:00,EMVINTO - COMIBOL,4.633,4.8,03:45,2024-11-25,12:00:00
2024-11-25 13:00:00,EMVINTO - COMIBOL,4.569,4.8,03:45,2024-11-25,13:00:00
2024-11-25 14:00:00,EMVINTO - COMIBOL,4.462,4.8,03:45,2024-11-25,14:00:00
2024-11-25 15:00:00,EMVINTO - COMIBOL,4.423,4.8,03:45,2024-11-25,15:00:00
2024-11-25 16:00:00,EMVINTO - COMIBOL,4.555,4.8,03:45,2024-11-25,16:00:00
2024-11-25 17:00:00,EMVINTO - COMIBOL,4.567,4.8,03:45,2024-11-25,17:00:00
2024-11-25 18:00:00,EMVINTO - COMIBOL,4.598,4.8,03:45,2024-11-25,18:00:00
2024-11-25 19:00:00,EMVINTO - COMIBOL,4.625,4.8,03:45,2024-11-25,19:00:00
2024-11-25 20:00:00,EMVINTO - COMIBOL,4.613,4.8,03:45,2024-11-25,20:00:00
2024-11-25 21:00:00,EMVINTO - COMIBOL,4.568,4.8,03:45,2024-11-25,21:00:00
2024-11-25 22:00:00,EMVINTO - COMIBOL,4.633,4.8,03:45,2024-11-25,22:00:00
2024-11-25 23:00:00,EMVINTO - COMIBOL,4.569,4.8,03:45,2024-11-25,23:00:00
2024-11-26 00:00:00,EMVINTO - COMIBOL,4.646,4.8,03:45,2024-11-26,00:00:00
2024-11-26 01:00:00,EMVINTO - COMIBOL,4.659,5.423,21:00,2024-11-26,01:00:00
2024-11-26 02:00:00,EMVINTO - COMIBOL,4.616,5.423,21:00,2024-11-26,02:00:00
2024-11-26 03:00:00,EMVINTO - COMIBOL,4.67,5.423,21:00,2024-11-26,03:00:00
2024-11-26 04:00:00,EMVINTO - COMIBOL,5.064,5.423,21:00,2024-11-26,04:00:00
2024-11-26 05:00:00,EMVINTO - COMIBOL,5.184,5.423,21:00,2024-11-26,05:00:00
2024-11-26 06:00:00,EMVINTO - COMIBOL,5.111,5.423,21:00,2024-11-26,06:00:00
2024-11-26 07:00:00,EMVINTO - COMIBOL,5.182,5.423,21:00,2024-11-26,07:00:00
2024-11-26 08:00:00,EMVINTO - COMIBOL,5.286,5.423,21:00,2024-11-26,08:00:00
2024-11-26 09:00:00,EMVINTO - COMIBOL,5.257,5.423,21:00,2024-11-26,09:00:00
2024-11-26 10:00:00,EMVINTO - COMIBOL,5.247,5.423,21:00,2024-11-26,10:00:00
2024-11-26 11:00:00,EMVINTO - COMIBOL,5.158,5.423,21:00,2024-11-26,11:00:00
2024-11-26 12:00:00,EMVINTO - COMIBOL,5.119,5.423,21:00,2024-11-26,12:00:00
2024-11-26 13:00:00,EMVINTO - COMIBOL,5.236,5.423,21:00,2024-11-26,13:00:00
2024-11-26 14:00:00,EMVINTO - COMIBOL,5.295,5.423,21:00,2024-11-26,14:00:00
2024-11-26 15:00:00,EMVINTO - COMIBOL,5.287,5.423,21:00,2024-11-26,15:00:00
2024-11-26 16:00:00,EMVINTO - COMIBOL,5.231,5.423,21:00,2024-11-26,16:00:00
2024-11-26 17:00:00,EMVINTO - COMIBOL,5.17,5.423,21:00,2024-11-26,17:00:00
2024-11-26 18:00:00,EMVINTO - COMIBOL,5.314,5.423,21:00,2024-11-26,18:00:00
2024-11-26 19:00:00,EMVINTO - COMIBOL,5.246,5.423,21:00,2024-11-26,19:00:00
2024-11-26 20:00:00,EMVINTO - COMIBOL,5.209,5.423,21:00,2024-11-26,20:00:00
2024-11-26 21:00:00,EMVINTO - COMIBOL,5.352,5.423,21:00,2024-11-26,21:00:00
2024-11-26 22:00:00,EMVINTO - COMIBOL,5.322,5.423,21:00,2024-11-26,22:00:00
2024-11-26 23:00:00,EMVINTO - COMIBOL,5.344,5.423,21:00,2024-11-26,23:00:00
2024-11-27 00:00:00,EMVINTO - COMIBOL,5.328,5.423,21:00,2024-11-27,00:00:00
2024-11-27 01:00:00,EMVINTO - COMIBOL,5.213,5.497,11:15,2024-11-27,01:00:00
2024-11-27 02:00:00,EMVINTO - COMIBOL,5.233,5.497,11:15,2024-11-27,02:00:00
2024-11-27 03:00:00,EMVINTO - COMIBOL,5.245,5.497,11:15,2024-11-27,03:00:00
2024-11-27 04:00:00,EMVINTO - COMIBOL,5.271,5.497,11:15,2024-11-27,04:00:00
2024-11-27 05:00:00,EMVINTO - COMIBOL,5.229,5.497,11:15,2024-11-27,05:00:00
2024-11-27 06:00:00,EMVINTO - COMIBOL,5.153,5.497,11:15,2024-11-27,06:00:00
2024-11-27 07:00:00,EMVINTO - COMIBOL,5.187,5.497,11:15,2024-11-27,07:00:00
2024-11-27 08:00:00,EMVINTO - COMIBOL,5.311,5.497,11:15,2024-11-27,08:00:00
2024-11-27 09:00:00,EMVINTO - COMIBOL,5.36,5.497,11:15,2024-11-27,09:00:00
2024-11-27 10:00:00,EMVINTO - COMIBOL,5.434,5.497,11:15,2024-11-27,10:00:00
2024-11-27 11:00:00,EMVINTO - COMIBOL,5.46,5.497,11:15,2024-11-27,11:00:00
2024-11-27 12:00:00,EMVINTO - COMIBOL,5.433,5.497,11:15,2024-11-27,12:00:00
2024-11-27 13:00:00,EMVINTO - COMIBOL,5.386,5.497,11:15,2024-11-27,13:00:00
2024-11-27 14:00:00,EMVINTO - COMIBOL,5.308,5.497,11:15,2024-11-27,14:00:00
2024-11-27 15:00:00,EMVINTO - COMIBOL,5.276,5.497,11:15,2024-11-27,15:00:00
2024-11-27 16:00:00,EMVINTO - COMIBOL,5.258,5.497,11:15,2024-11-27,16:00:00
2024-11-27 17:00:00,EMVINTO - COMIBOL,5.232,5.497,11:15,2024-11-27,17:00:00
2024-11-27 18:00:00,EMVINTO - COMIBOL,5.388,5.497,11:15,2024-11-27,18:00:00
2024-11-27 19:00:00,EMVINTO - COMIBOL,5.435,5.497,11:15,2024-11-27,19:00:00
2024-11-27 20:00:00,EMVINTO - COMIBOL,5.365,5.497,11:15,2024-11-27,20:00:00
2024-11-27 21:00:00,EMVINTO - COMIBOL,5.312,5.497,11:15,2024-11-27,21:00:00
2024-11-27 22:00:00,EMVINTO - COMIBOL,5.262,5.497,11:15,2024-11-27,22:00:00
2024-11-27 23:00:00,EMVINTO - COMIBOL,5.173,5.497,11:15,2024-11-27,23:00:00
2024-11-28 00:00:00,EMVINTO - COMIBOL,5.26,5.497,11:15,2024-11-28,00:00:00
2024-11-28 01:00:00,EMVINTO - COMIBOL,5.241,5.43,12:15,2024-11-28,01:00:00
2024-11-28 02:00:00,EMVINTO - COMIBOL,5.179,5.43,12:15,2024-11-28,02:00:00
2024-11-28 03:00:00,EMVINTO - COMIBOL,5.223,5.43,12:15,2024-11-28,03:00:00
2024-11-28 04:00:00,EMVINTO - COMIBOL,5.231,5.43,12:15,2024-11-28,04:00:00
2024-11-28 05:00:00,EMVINTO - COMIBOL,5.222,5.43,12:15,2024-11-28,05:00:00
2024-11-28 06:00:00,EMVINTO - COMIBOL,5.17,5.43,12:15,2024-11-28,06:00:00
2024-11-28 07:00:00,EMVINTO - COMIBOL,5.201,5.43,12:15,2024-11-28,07:00:00
2024-11-28 08:00:00,EMVINTO - COMIBOL,5.308,5.43,12:15,2024-11-28,08:00:00
2024-11-28 09:00:00,EMVINTO - COMIBOL,5.317,5.43,12:15,2024-11-28,09:00:00
2024-11-28 10:00:00,EMVINTO - COMIBOL,5.292,5.43,12:15,2024-11-28,10:00:00
2024-11-28 11:00:00,EMVINTO - COMIBOL,5.282,5.43,12:15,2024-11-28,11:00:00
2024-11-28 12:00:00,EMVINTO - COMIBOL,5.347,5.43,12:15,2024-11-28,12:00:00
2024-11-28 13:00:00,EMVINTO - COMIBOL,5.324,5.43,12:15,2024-11-28,13:00:00
2024-11-28 14:00:00,EMVINTO - COMIBOL,5.171,5.43,12:15,2024-11-28,14:00:00
2024-11-28 15:00:00,EMVINTO - COMIBOL,5.178,5.43,12:15,2024-11-28,15:00:00
2024-11-28 16:00:00,EMVINTO - COMIBOL,5.217,5.43,12:15,2024-11-28,16:00:00
2024-11-28 17:00:00,EMVINTO - COMIBOL,5.188,5.43,12:15,2024-11-28,17:00:00
2024-11-28 18:00:00,EMVINTO - COMIBOL,5.205,5.43,12:15,2024-11-28,18:00:00
2024-11-28 19:00:00,EMVINTO - COMIBOL,5.204,5.43,12:15,2024-11-28,19:00:00
2024-11-28 20:00:00,EMVINTO - COMIBOL,5.214,5.43,12:15,2024-11-28,20:00:00
2024-11-28 21:00:00,EMVINTO - COMIBOL,5.174,5.43,12:15,2024-11-28,21:00:00
2024-11-28 22:00:00,EMVINTO - COMIBOL,5.208,5.43,12:15,2024-11-28,22:00:00
2024-11-28 23:00:00,EMVINTO - COMIBOL,5.244,5.43,12:15,2024-11-28,23:00:00
