Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Guaracachi,70.491,83.86,19:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Guaracachi,67.546,83.86,19:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Guaracachi,64.687,83.86,19:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Guaracachi,62.476,83.86,19:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Guaracachi,61.071,83.86,19:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Guaracachi,60.75,83.86,19:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Guaracachi,62.674,83.86,19:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Guaracachi,63.185,83.86,19:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Guaracachi,67.378,83.86,19:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Guaracachi,70.356,83.86,19:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Guaracachi,73.313,83.86,19:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Guaracachi,75.377,83.86,19:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Guaracachi,75.634,83.86,19:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Guaracachi,76.101,83.86,19:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Guaracachi,77.371,83.86,19:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Guaracachi,78.52,83.86,19:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Guaracachi,79.263,83.86,19:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Guaracachi,76.364,83.86,19:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Guaracachi,80.353,83.86,19:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Guaracachi,83.753,83.86,19:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Guaracachi,83.528,83.86,19:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Guaracachi,81.095,83.86,19:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Guaracachi,76.335,83.86,19:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Guaracachi,69.765,83.86,19:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Guaracachi,64.642,138.285,15:45,2024-09-02,01:00:00
2024-09-02 02:00:00,Guaracachi,60.654,138.285,15:45,2024-09-02,02:00:00
2024-09-02 03:00:00,Guaracachi,59.635,138.285,15:45,2024-09-02,03:00:00
2024-09-02 04:00:00,Guaracachi,58.711,138.285,15:45,2024-09-02,04:00:00
2024-09-02 05:00:00,Guaracachi,58.678,138.285,15:45,2024-09-02,05:00:00
2024-09-02 06:00:00,Guaracachi,60.529,138.285,15:45,2024-09-02,06:00:00
2024-09-02 07:00:00,Guaracachi,65.397,138.285,15:45,2024-09-02,07:00:00
2024-09-02 08:00:00,Guaracachi,72.587,138.285,15:45,2024-09-02,08:00:00
2024-09-02 09:00:00,Guaracachi,82.534,138.285,15:45,2024-09-02,09:00:00
2024-09-02 10:00:00,Guaracachi,90.987,138.285,15:45,2024-09-02,10:00:00
2024-09-02 11:00:00,Guaracachi,94.968,138.285,15:45,2024-09-02,11:00:00
2024-09-02 12:00:00,Guaracachi,100.486,138.285,15:45,2024-09-02,12:00:00
2024-09-02 13:00:00,Guaracachi,101.344,138.285,15:45,2024-09-02,13:00:00
2024-09-02 14:00:00,Guaracachi,105.954,138.285,15:45,2024-09-02,14:00:00
2024-09-02 15:00:00,Guaracachi,130.903,138.285,15:45,2024-09-02,15:00:00
2024-09-02 16:00:00,Guaracachi,137.935,138.285,15:45,2024-09-02,16:00:00
2024-09-02 17:00:00,Guaracachi,136.644,138.285,15:45,2024-09-02,17:00:00
2024-09-02 18:00:00,Guaracachi,130.721,138.285,15:45,2024-09-02,18:00:00
2024-09-02 19:00:00,Guaracachi,131.709,138.285,15:45,2024-09-02,19:00:00
2024-09-02 20:00:00,Guaracachi,130.385,138.285,15:45,2024-09-02,20:00:00
2024-09-02 21:00:00,Guaracachi,127.349,138.285,15:45,2024-09-02,21:00:00
2024-09-02 22:00:00,Guaracachi,122.52,138.285,15:45,2024-09-02,22:00:00
2024-09-02 23:00:00,Guaracachi,102.274,138.285,15:45,2024-09-02,23:00:00
2024-09-03 00:00:00,Guaracachi,85.894,138.285,15:45,2024-09-03,00:00:00
2024-09-03 01:00:00,Guaracachi,78.275,169.403,15:30,2024-09-03,01:00:00
2024-09-03 02:00:00,Guaracachi,73.365,169.403,15:30,2024-09-03,02:00:00
2024-09-03 03:00:00,Guaracachi,70.083,169.403,15:30,2024-09-03,03:00:00
2024-09-03 04:00:00,Guaracachi,67.702,169.403,15:30,2024-09-03,04:00:00
2024-09-03 05:00:00,Guaracachi,67.191,169.403,15:30,2024-09-03,05:00:00
2024-09-03 06:00:00,Guaracachi,68.817,169.403,15:30,2024-09-03,06:00:00
2024-09-03 07:00:00,Guaracachi,74.26,169.403,15:30,2024-09-03,07:00:00
2024-09-03 08:00:00,Guaracachi,80.699,169.403,15:30,2024-09-03,08:00:00
2024-09-03 09:00:00,Guaracachi,98.422,169.403,15:30,2024-09-03,09:00:00
2024-09-03 10:00:00,Guaracachi,125.31,169.403,15:30,2024-09-03,10:00:00
2024-09-03 11:00:00,Guaracachi,133.505,169.403,15:30,2024-09-03,11:00:00
2024-09-03 12:00:00,Guaracachi,145.607,169.403,15:30,2024-09-03,12:00:00
2024-09-03 13:00:00,Guaracachi,147.867,169.403,15:30,2024-09-03,13:00:00
2024-09-03 14:00:00,Guaracachi,153.001,169.403,15:30,2024-09-03,14:00:00
2024-09-03 15:00:00,Guaracachi,165.494,169.403,15:30,2024-09-03,15:00:00
2024-09-03 16:00:00,Guaracachi,169.218,169.403,15:30,2024-09-03,16:00:00
2024-09-03 17:00:00,Guaracachi,165.87,169.403,15:30,2024-09-03,17:00:00
2024-09-03 18:00:00,Guaracachi,157.849,169.403,15:30,2024-09-03,18:00:00
2024-09-03 19:00:00,Guaracachi,154.729,169.403,15:30,2024-09-03,19:00:00
2024-09-03 20:00:00,Guaracachi,152.255,169.403,15:30,2024-09-03,20:00:00
2024-09-03 21:00:00,Guaracachi,148.973,169.403,15:30,2024-09-03,21:00:00
2024-09-03 22:00:00,Guaracachi,144.823,169.403,15:30,2024-09-03,22:00:00
2024-09-03 23:00:00,Guaracachi,138.469,169.403,15:30,2024-09-03,23:00:00
2024-09-04 00:00:00,Guaracachi,106.892,169.403,15:30,2024-09-04,00:00:00
2024-09-04 01:00:00,Guaracachi,92.605,208.948,15:30,2024-09-04,01:00:00
2024-09-04 02:00:00,Guaracachi,84.802,208.948,15:30,2024-09-04,02:00:00
2024-09-04 03:00:00,Guaracachi,80.718,208.948,15:30,2024-09-04,03:00:00
2024-09-04 04:00:00,Guaracachi,77.832,208.948,15:30,2024-09-04,04:00:00
2024-09-04 05:00:00,Guaracachi,76.43,208.948,15:30,2024-09-04,05:00:00
2024-09-04 06:00:00,Guaracachi,76.778,208.948,15:30,2024-09-04,06:00:00
2024-09-04 07:00:00,Guaracachi,81.184,208.948,15:30,2024-09-04,07:00:00
2024-09-04 08:00:00,Guaracachi,92.584,208.948,15:30,2024-09-04,08:00:00
2024-09-04 09:00:00,Guaracachi,121.68,208.948,15:30,2024-09-04,09:00:00
2024-09-04 10:00:00,Guaracachi,133.241,208.948,15:30,2024-09-04,10:00:00
2024-09-04 11:00:00,Guaracachi,139.818,208.948,15:30,2024-09-04,11:00:00
2024-09-04 12:00:00,Guaracachi,145.598,208.948,15:30,2024-09-04,12:00:00
2024-09-04 13:00:00,Guaracachi,150.013,208.948,15:30,2024-09-04,13:00:00
2024-09-04 14:00:00,Guaracachi,162.18,208.948,15:30,2024-09-04,14:00:00
2024-09-04 15:00:00,Guaracachi,178.332,208.948,15:30,2024-09-04,15:00:00
2024-09-04 16:00:00,Guaracachi,208.204,208.948,15:30,2024-09-04,16:00:00
2024-09-04 17:00:00,Guaracachi,204.197,208.948,15:30,2024-09-04,17:00:00
2024-09-04 18:00:00,Guaracachi,196.625,208.948,15:30,2024-09-04,18:00:00
2024-09-04 19:00:00,Guaracachi,189.434,208.948,15:30,2024-09-04,19:00:00
2024-09-04 20:00:00,Guaracachi,165.232,208.948,15:30,2024-09-04,20:00:00
2024-09-04 21:00:00,Guaracachi,152.702,208.948,15:30,2024-09-04,21:00:00
2024-09-04 22:00:00,Guaracachi,142.884,208.948,15:30,2024-09-04,22:00:00
2024-09-04 23:00:00,Guaracachi,134.318,208.948,15:30,2024-09-04,23:00:00
2024-09-05 00:00:00,Guaracachi,123.953,208.948,15:30,2024-09-05,00:00:00
2024-09-05 01:00:00,Guaracachi,102.739,149.038,15:45,2024-09-05,01:00:00
2024-09-05 02:00:00,Guaracachi,86.408,149.038,15:45,2024-09-05,02:00:00
2024-09-05 03:00:00,Guaracachi,82.014,149.038,15:45,2024-09-05,03:00:00
2024-09-05 04:00:00,Guaracachi,77.943,149.038,15:45,2024-09-05,04:00:00
2024-09-05 05:00:00,Guaracachi,76.286,149.038,15:45,2024-09-05,05:00:00
2024-09-05 06:00:00,Guaracachi,76.808,149.038,15:45,2024-09-05,06:00:00
2024-09-05 07:00:00,Guaracachi,80.249,149.038,15:45,2024-09-05,07:00:00
2024-09-05 08:00:00,Guaracachi,85.297,149.038,15:45,2024-09-05,08:00:00
2024-09-05 09:00:00,Guaracachi,98.925,149.038,15:45,2024-09-05,09:00:00
2024-09-05 10:00:00,Guaracachi,122.812,149.038,15:45,2024-09-05,10:00:00
2024-09-05 11:00:00,Guaracachi,126.563,149.038,15:45,2024-09-05,11:00:00
2024-09-05 12:00:00,Guaracachi,135.686,149.038,15:45,2024-09-05,12:00:00
2024-09-05 13:00:00,Guaracachi,133.479,149.038,15:45,2024-09-05,13:00:00
2024-09-05 14:00:00,Guaracachi,136.243,149.038,15:45,2024-09-05,14:00:00
2024-09-05 15:00:00,Guaracachi,144.409,149.038,15:45,2024-09-05,15:00:00
2024-09-05 16:00:00,Guaracachi,148.138,149.038,15:45,2024-09-05,16:00:00
2024-09-05 17:00:00,Guaracachi,144.011,149.038,15:45,2024-09-05,17:00:00
2024-09-05 18:00:00,Guaracachi,139.588,149.038,15:45,2024-09-05,18:00:00
2024-09-05 19:00:00,Guaracachi,142.177,149.038,15:45,2024-09-05,19:00:00
2024-09-05 20:00:00,Guaracachi,140.247,149.038,15:45,2024-09-05,20:00:00
2024-09-05 21:00:00,Guaracachi,135.96,149.038,15:45,2024-09-05,21:00:00
2024-09-05 22:00:00,Guaracachi,109.877,149.038,15:45,2024-09-05,22:00:00
2024-09-05 23:00:00,Guaracachi,96.469,149.038,15:45,2024-09-05,23:00:00
2024-09-06 00:00:00,Guaracachi,89.702,149.038,15:45,2024-09-06,00:00:00
2024-09-06 01:00:00,Guaracachi,82.392,99.103,19:30,2024-09-06,01:00:00
2024-09-06 02:00:00,Guaracachi,77.235,99.103,19:30,2024-09-06,02:00:00
2024-09-06 03:00:00,Guaracachi,72.666,99.103,19:30,2024-09-06,03:00:00
2024-09-06 04:00:00,Guaracachi,70.072,99.103,19:30,2024-09-06,04:00:00
2024-09-06 05:00:00,Guaracachi,69.053,99.103,19:30,2024-09-06,05:00:00
2024-09-06 06:00:00,Guaracachi,68.946,99.103,19:30,2024-09-06,06:00:00
2024-09-06 07:00:00,Guaracachi,65.986,99.103,19:30,2024-09-06,07:00:00
2024-09-06 08:00:00,Guaracachi,69.117,99.103,19:30,2024-09-06,08:00:00
2024-09-06 09:00:00,Guaracachi,75.02,99.103,19:30,2024-09-06,09:00:00
2024-09-06 10:00:00,Guaracachi,80.053,99.103,19:30,2024-09-06,10:00:00
2024-09-06 11:00:00,Guaracachi,83.267,99.103,19:30,2024-09-06,11:00:00
2024-09-06 12:00:00,Guaracachi,86.675,99.103,19:30,2024-09-06,12:00:00
2024-09-06 13:00:00,Guaracachi,86.79,99.103,19:30,2024-09-06,13:00:00
2024-09-06 14:00:00,Guaracachi,87.286,99.103,19:30,2024-09-06,14:00:00
2024-09-06 15:00:00,Guaracachi,88.476,99.103,19:30,2024-09-06,15:00:00
2024-09-06 16:00:00,Guaracachi,88.981,99.103,19:30,2024-09-06,16:00:00
2024-09-06 17:00:00,Guaracachi,87.571,99.103,19:30,2024-09-06,17:00:00
2024-09-06 18:00:00,Guaracachi,87.85,99.103,19:30,2024-09-06,18:00:00
2024-09-06 19:00:00,Guaracachi,96.632,99.103,19:30,2024-09-06,19:00:00
2024-09-06 20:00:00,Guaracachi,98.728,99.103,19:30,2024-09-06,20:00:00
2024-09-06 21:00:00,Guaracachi,97.098,99.103,19:30,2024-09-06,21:00:00
2024-09-06 22:00:00,Guaracachi,94.384,99.103,19:30,2024-09-06,22:00:00
2024-09-06 23:00:00,Guaracachi,88.899,99.103,19:30,2024-09-06,23:00:00
2024-09-07 00:00:00,Guaracachi,82.446,99.103,19:30,2024-09-07,00:00:00
