Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Irpa Irpa,2.137,2.997,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Irpa Irpa,2.066,2.997,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Irpa Irpa,2.05,2.997,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Irpa Irpa,1.982,2.997,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Irpa Irpa,1.966,2.997,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Irpa Irpa,2.009,2.997,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Irpa Irpa,1.853,2.997,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Irpa Irpa,1.73,2.997,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Irpa Irpa,1.784,2.997,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Irpa Irpa,1.857,2.997,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Irpa Irpa,1.888,2.997,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Irpa Irpa,1.901,2.997,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Irpa Irpa,1.825,2.997,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Irpa Irpa,1.883,2.997,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Irpa Irpa,1.892,2.997,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Irpa Irpa,1.944,2.997,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Irpa Irpa,1.964,2.997,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Irpa Irpa,1.974,2.997,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Irpa Irpa,2.518,2.997,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Irpa Irpa,2.982,2.997,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Irpa Irpa,2.923,2.997,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Irpa Irpa,2.639,2.997,19:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Irpa Irpa,2.328,2.997,19:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Irpa Irpa,2.098,2.997,19:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Irpa Irpa,1.945,3.42,19:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Irpa Irpa,1.869,3.42,19:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Irpa Irpa,1.808,3.42,19:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Irpa Irpa,1.786,3.42,19:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Irpa Irpa,1.821,3.42,19:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Irpa Irpa,1.999,3.42,19:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Irpa Irpa,2.461,3.42,19:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Irpa Irpa,2.358,3.42,19:30,2024-09-02,08:00:00
2024-09-02 09:00:00,Irpa Irpa,2.191,3.42,19:30,2024-09-02,09:00:00
2024-09-02 10:00:00,Irpa Irpa,2.547,3.42,19:30,2024-09-02,10:00:00
2024-09-02 11:00:00,Irpa Irpa,2.571,3.42,19:30,2024-09-02,11:00:00
2024-09-02 12:00:00,Irpa Irpa,2.621,3.42,19:30,2024-09-02,12:00:00
2024-09-02 13:00:00,Irpa Irpa,2.327,3.42,19:30,2024-09-02,13:00:00
2024-09-02 14:00:00,Irpa Irpa,2.573,3.42,19:30,2024-09-02,14:00:00
2024-09-02 15:00:00,Irpa Irpa,2.904,3.42,19:30,2024-09-02,15:00:00
2024-09-02 16:00:00,Irpa Irpa,2.897,3.42,19:30,2024-09-02,16:00:00
2024-09-02 17:00:00,Irpa Irpa,2.9,3.42,19:30,2024-09-02,17:00:00
2024-09-02 18:00:00,Irpa Irpa,2.958,3.42,19:30,2024-09-02,18:00:00
2024-09-02 19:00:00,Irpa Irpa,3.025,3.42,19:30,2024-09-02,19:00:00
2024-09-02 20:00:00,Irpa Irpa,3.401,3.42,19:30,2024-09-02,20:00:00
2024-09-02 21:00:00,Irpa Irpa,3.264,3.42,19:30,2024-09-02,21:00:00
2024-09-02 22:00:00,Irpa Irpa,2.997,3.42,19:30,2024-09-02,22:00:00
2024-09-02 23:00:00,Irpa Irpa,2.621,3.42,19:30,2024-09-02,23:00:00
2024-09-03 00:00:00,Irpa Irpa,2.37,3.42,19:30,2024-09-03,00:00:00
2024-09-03 01:00:00,Irpa Irpa,2.173,3.522,19:30,2024-09-03,01:00:00
2024-09-03 02:00:00,Irpa Irpa,2.102,3.522,19:30,2024-09-03,02:00:00
2024-09-03 03:00:00,Irpa Irpa,1.975,3.522,19:30,2024-09-03,03:00:00
2024-09-03 04:00:00,Irpa Irpa,1.903,3.522,19:30,2024-09-03,04:00:00
2024-09-03 05:00:00,Irpa Irpa,1.915,3.522,19:30,2024-09-03,05:00:00
2024-09-03 06:00:00,Irpa Irpa,2.065,3.522,19:30,2024-09-03,06:00:00
2024-09-03 07:00:00,Irpa Irpa,2.339,3.522,19:30,2024-09-03,07:00:00
2024-09-03 08:00:00,Irpa Irpa,2.358,3.522,19:30,2024-09-03,08:00:00
2024-09-03 09:00:00,Irpa Irpa,2.339,3.522,19:30,2024-09-03,09:00:00
2024-09-03 10:00:00,Irpa Irpa,2.487,3.522,19:30,2024-09-03,10:00:00
2024-09-03 11:00:00,Irpa Irpa,2.551,3.522,19:30,2024-09-03,11:00:00
2024-09-03 12:00:00,Irpa Irpa,2.543,3.522,19:30,2024-09-03,12:00:00
2024-09-03 13:00:00,Irpa Irpa,2.373,3.522,19:30,2024-09-03,13:00:00
2024-09-03 14:00:00,Irpa Irpa,2.573,3.522,19:30,2024-09-03,14:00:00
2024-09-03 15:00:00,Irpa Irpa,2.926,3.522,19:30,2024-09-03,15:00:00
2024-09-03 16:00:00,Irpa Irpa,2.996,3.522,19:30,2024-09-03,16:00:00
2024-09-03 17:00:00,Irpa Irpa,3.026,3.522,19:30,2024-09-03,17:00:00
2024-09-03 18:00:00,Irpa Irpa,3.001,3.522,19:30,2024-09-03,18:00:00
2024-09-03 19:00:00,Irpa Irpa,3.079,3.522,19:30,2024-09-03,19:00:00
2024-09-03 20:00:00,Irpa Irpa,3.5,3.522,19:30,2024-09-03,20:00:00
2024-09-03 21:00:00,Irpa Irpa,3.406,3.522,19:30,2024-09-03,21:00:00
2024-09-03 22:00:00,Irpa Irpa,3.161,3.522,19:30,2024-09-03,22:00:00
2024-09-03 23:00:00,Irpa Irpa,2.709,3.522,19:30,2024-09-03,23:00:00
2024-09-04 00:00:00,Irpa Irpa,2.407,3.522,19:30,2024-09-04,00:00:00
2024-09-04 01:00:00,Irpa Irpa,2.198,3.514,19:15,2024-09-04,01:00:00
2024-09-04 02:00:00,Irpa Irpa,2.099,3.514,19:15,2024-09-04,02:00:00
2024-09-04 03:00:00,Irpa Irpa,1.993,3.514,19:15,2024-09-04,03:00:00
2024-09-04 04:00:00,Irpa Irpa,1.945,3.514,19:15,2024-09-04,04:00:00
2024-09-04 05:00:00,Irpa Irpa,1.964,3.514,19:15,2024-09-04,05:00:00
2024-09-04 06:00:00,Irpa Irpa,2.127,3.514,19:15,2024-09-04,06:00:00
2024-09-04 07:00:00,Irpa Irpa,2.415,3.514,19:15,2024-09-04,07:00:00
2024-09-04 08:00:00,Irpa Irpa,2.502,3.514,19:15,2024-09-04,08:00:00
2024-09-04 09:00:00,Irpa Irpa,2.41,3.514,19:15,2024-09-04,09:00:00
2024-09-04 10:00:00,Irpa Irpa,2.633,3.514,19:15,2024-09-04,10:00:00
2024-09-04 11:00:00,Irpa Irpa,2.637,3.514,19:15,2024-09-04,11:00:00
2024-09-04 12:00:00,Irpa Irpa,2.61,3.514,19:15,2024-09-04,12:00:00
2024-09-04 13:00:00,Irpa Irpa,2.332,3.514,19:15,2024-09-04,13:00:00
2024-09-04 14:00:00,Irpa Irpa,2.437,3.514,19:15,2024-09-04,14:00:00
2024-09-04 15:00:00,Irpa Irpa,2.844,3.514,19:15,2024-09-04,15:00:00
2024-09-04 16:00:00,Irpa Irpa,2.913,3.514,19:15,2024-09-04,16:00:00
2024-09-04 17:00:00,Irpa Irpa,2.977,3.514,19:15,2024-09-04,17:00:00
2024-09-04 18:00:00,Irpa Irpa,2.879,3.514,19:15,2024-09-04,18:00:00
2024-09-04 19:00:00,Irpa Irpa,3.031,3.514,19:15,2024-09-04,19:00:00
2024-09-04 20:00:00,Irpa Irpa,3.478,3.514,19:15,2024-09-04,20:00:00
2024-09-04 21:00:00,Irpa Irpa,3.413,3.514,19:15,2024-09-04,21:00:00
2024-09-04 22:00:00,Irpa Irpa,3.144,3.514,19:15,2024-09-04,22:00:00
2024-09-04 23:00:00,Irpa Irpa,2.719,3.514,19:15,2024-09-04,23:00:00
2024-09-05 00:00:00,Irpa Irpa,2.427,3.514,19:15,2024-09-05,00:00:00
2024-09-05 01:00:00,Irpa Irpa,2.236,3.724,19:30,2024-09-05,01:00:00
2024-09-05 02:00:00,Irpa Irpa,2.094,3.724,19:30,2024-09-05,02:00:00
2024-09-05 03:00:00,Irpa Irpa,1.999,3.724,19:30,2024-09-05,03:00:00
2024-09-05 04:00:00,Irpa Irpa,1.963,3.724,19:30,2024-09-05,04:00:00
2024-09-05 05:00:00,Irpa Irpa,1.991,3.724,19:30,2024-09-05,05:00:00
2024-09-05 06:00:00,Irpa Irpa,2.136,3.724,19:30,2024-09-05,06:00:00
2024-09-05 07:00:00,Irpa Irpa,2.474,3.724,19:30,2024-09-05,07:00:00
2024-09-05 08:00:00,Irpa Irpa,2.497,3.724,19:30,2024-09-05,08:00:00
2024-09-05 09:00:00,Irpa Irpa,2.558,3.724,19:30,2024-09-05,09:00:00
2024-09-05 10:00:00,Irpa Irpa,2.763,3.724,19:30,2024-09-05,10:00:00
2024-09-05 11:00:00,Irpa Irpa,2.824,3.724,19:30,2024-09-05,11:00:00
2024-09-05 12:00:00,Irpa Irpa,2.733,3.724,19:30,2024-09-05,12:00:00
2024-09-05 13:00:00,Irpa Irpa,2.462,3.724,19:30,2024-09-05,13:00:00
2024-09-05 14:00:00,Irpa Irpa,2.763,3.724,19:30,2024-09-05,14:00:00
2024-09-05 15:00:00,Irpa Irpa,3.008,3.724,19:30,2024-09-05,15:00:00
2024-09-05 16:00:00,Irpa Irpa,3.037,3.724,19:30,2024-09-05,16:00:00
2024-09-05 17:00:00,Irpa Irpa,2.975,3.724,19:30,2024-09-05,17:00:00
2024-09-05 18:00:00,Irpa Irpa,3.115,3.724,19:30,2024-09-05,18:00:00
2024-09-05 19:00:00,Irpa Irpa,3.267,3.724,19:30,2024-09-05,19:00:00
2024-09-05 20:00:00,Irpa Irpa,3.663,3.724,19:30,2024-09-05,20:00:00
2024-09-05 21:00:00,Irpa Irpa,3.509,3.724,19:30,2024-09-05,21:00:00
2024-09-05 22:00:00,Irpa Irpa,3.225,3.724,19:30,2024-09-05,22:00:00
2024-09-05 23:00:00,Irpa Irpa,2.777,3.724,19:30,2024-09-05,23:00:00
2024-09-06 00:00:00,Irpa Irpa,2.459,3.724,19:30,2024-09-06,00:00:00
2024-09-06 01:00:00,Irpa Irpa,2.256,3.33,19:15,2024-09-06,01:00:00
2024-09-06 02:00:00,Irpa Irpa,2.104,3.33,19:15,2024-09-06,02:00:00
2024-09-06 03:00:00,Irpa Irpa,2.014,3.33,19:15,2024-09-06,03:00:00
2024-09-06 04:00:00,Irpa Irpa,2.006,3.33,19:15,2024-09-06,04:00:00
2024-09-06 05:00:00,Irpa Irpa,2.027,3.33,19:15,2024-09-06,05:00:00
2024-09-06 06:00:00,Irpa Irpa,2.183,3.33,19:15,2024-09-06,06:00:00
2024-09-06 07:00:00,Irpa Irpa,2.457,3.33,19:15,2024-09-06,07:00:00
2024-09-06 08:00:00,Irpa Irpa,2.492,3.33,19:15,2024-09-06,08:00:00
2024-09-06 09:00:00,Irpa Irpa,2.508,3.33,19:15,2024-09-06,09:00:00
2024-09-06 10:00:00,Irpa Irpa,2.723,3.33,19:15,2024-09-06,10:00:00
2024-09-06 11:00:00,Irpa Irpa,2.747,3.33,19:15,2024-09-06,11:00:00
2024-09-06 12:00:00,Irpa Irpa,2.758,3.33,19:15,2024-09-06,12:00:00
2024-09-06 13:00:00,Irpa Irpa,2.442,3.33,19:15,2024-09-06,13:00:00
2024-09-06 14:00:00,Irpa Irpa,2.698,3.33,19:15,2024-09-06,14:00:00
2024-09-06 15:00:00,Irpa Irpa,2.881,3.33,19:15,2024-09-06,15:00:00
2024-09-06 16:00:00,Irpa Irpa,2.917,3.33,19:15,2024-09-06,16:00:00
2024-09-06 17:00:00,Irpa Irpa,2.923,3.33,19:15,2024-09-06,17:00:00
2024-09-06 18:00:00,Irpa Irpa,2.924,3.33,19:15,2024-09-06,18:00:00
2024-09-06 19:00:00,Irpa Irpa,2.907,3.33,19:15,2024-09-06,19:00:00
2024-09-06 20:00:00,Irpa Irpa,3.319,3.33,19:15,2024-09-06,20:00:00
