Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Litio 115 KV,0.843,1.451,20:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Litio 115 KV,0.806,1.451,20:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Litio 115 KV,0.79,1.451,20:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Litio 115 KV,0.774,1.451,20:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Litio 115 KV,0.778,1.451,20:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Litio 115 KV,0.805,1.451,20:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Litio 115 KV,0.742,1.451,20:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Litio 115 KV,0.655,1.451,20:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Litio 115 KV,0.733,1.451,20:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Litio 115 KV,0.857,1.451,20:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Litio 115 KV,0.911,1.451,20:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Litio 115 KV,0.972,1.451,20:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Litio 115 KV,0.935,1.451,20:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Litio 115 KV,0.892,1.451,20:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Litio 115 KV,0.989,1.451,20:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Litio 115 KV,1.026,1.451,20:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Litio 115 KV,0.993,1.451,20:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Litio 115 KV,1.021,1.451,20:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Litio 115 KV,1.23,1.451,20:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Litio 115 KV,1.405,1.451,20:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Litio 115 KV,1.419,1.451,20:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Litio 115 KV,1.308,1.451,20:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Litio 115 KV,1.119,1.451,20:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Litio 115 KV,0.935,1.451,20:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Litio 115 KV,0.834,1.379,20:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Litio 115 KV,0.762,1.379,20:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Litio 115 KV,0.74,1.379,20:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Litio 115 KV,0.739,1.379,20:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Litio 115 KV,0.793,1.379,20:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Litio 115 KV,0.836,1.379,20:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Litio 115 KV,0.828,1.379,20:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Litio 115 KV,0.917,1.379,20:30,2024-09-02,08:00:00
2024-09-02 09:00:00,Litio 115 KV,0.872,1.379,20:30,2024-09-02,09:00:00
2024-09-02 10:00:00,Litio 115 KV,0.888,1.379,20:30,2024-09-02,10:00:00
2024-09-02 11:00:00,Litio 115 KV,0.864,1.379,20:30,2024-09-02,11:00:00
2024-09-02 12:00:00,Litio 115 KV,0.893,1.379,20:30,2024-09-02,12:00:00
2024-09-02 13:00:00,Litio 115 KV,0.794,1.379,20:30,2024-09-02,13:00:00
2024-09-02 14:00:00,Litio 115 KV,0.78,1.379,20:30,2024-09-02,14:00:00
2024-09-02 15:00:00,Litio 115 KV,0.809,1.379,20:30,2024-09-02,15:00:00
2024-09-02 16:00:00,Litio 115 KV,0.814,1.379,20:30,2024-09-02,16:00:00
2024-09-02 17:00:00,Litio 115 KV,0.816,1.379,20:30,2024-09-02,17:00:00
2024-09-02 18:00:00,Litio 115 KV,0.806,1.379,20:30,2024-09-02,18:00:00
2024-09-02 19:00:00,Litio 115 KV,1.089,1.379,20:30,2024-09-02,19:00:00
2024-09-02 20:00:00,Litio 115 KV,1.34,1.379,20:30,2024-09-02,20:00:00
2024-09-02 21:00:00,Litio 115 KV,1.359,1.379,20:30,2024-09-02,21:00:00
2024-09-02 22:00:00,Litio 115 KV,1.285,1.379,20:30,2024-09-02,22:00:00
2024-09-02 23:00:00,Litio 115 KV,1.102,1.379,20:30,2024-09-02,23:00:00
2024-09-03 00:00:00,Litio 115 KV,0.93,1.379,20:30,2024-09-03,00:00:00
2024-09-03 01:00:00,Litio 115 KV,0.833,1.423,20:00,2024-09-03,01:00:00
2024-09-03 02:00:00,Litio 115 KV,0.77,1.423,20:00,2024-09-03,02:00:00
2024-09-03 03:00:00,Litio 115 KV,0.748,1.423,20:00,2024-09-03,03:00:00
2024-09-03 04:00:00,Litio 115 KV,0.734,1.423,20:00,2024-09-03,04:00:00
2024-09-03 05:00:00,Litio 115 KV,0.758,1.423,20:00,2024-09-03,05:00:00
2024-09-03 06:00:00,Litio 115 KV,0.792,1.423,20:00,2024-09-03,06:00:00
2024-09-03 07:00:00,Litio 115 KV,0.787,1.423,20:00,2024-09-03,07:00:00
2024-09-03 08:00:00,Litio 115 KV,0.806,1.423,20:00,2024-09-03,08:00:00
