Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Los Troncos 115,3.823,4.602,11:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Los Troncos 115,3.574,4.602,11:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Los Troncos 115,3.487,4.602,11:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Los Troncos 115,3.404,4.602,11:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Los Troncos 115,3.377,4.602,11:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Los Troncos 115,3.339,4.602,11:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Los Troncos 115,3.201,4.602,11:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Los Troncos 115,3.75,4.602,11:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Los Troncos 115,4.5,4.602,11:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Los Troncos 115,4.391,4.602,11:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Los Troncos 115,4.42,4.602,11:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Los Troncos 115,4.448,4.602,11:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Los Troncos 115,4.02,4.602,11:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Los Troncos 115,3.961,4.602,11:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Los Troncos 115,4.13,4.602,11:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Los Troncos 115,4.132,4.602,11:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Los Troncos 115,3.921,4.602,11:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Los Troncos 115,3.84,4.602,11:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Los Troncos 115,4.349,4.602,11:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Los Troncos 115,4.175,4.602,11:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Los Troncos 115,4.078,4.602,11:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Los Troncos 115,4.019,4.602,11:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Los Troncos 115,3.824,4.602,11:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Los Troncos 115,3.646,4.602,11:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Los Troncos 115,3.412,7.157,15:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Los Troncos 115,3.232,7.157,15:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Los Troncos 115,3.163,7.157,15:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Los Troncos 115,3.13,7.157,15:00,2024-09-02,04:00:00
