Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-11-25 01:00:00,Los Troncos Las Misiones 115,9.059,11.771,21:00,2024-11-25,01:00:00
2024-11-25 02:00:00,Los Troncos Las Misiones 115,8.538,11.771,21:00,2024-11-25,02:00:00
2024-11-25 03:00:00,Los Troncos Las Misiones 115,8.176,11.771,21:00,2024-11-25,03:00:00
2024-11-25 04:00:00,Los Troncos Las Misiones 115,7.839,11.771,21:00,2024-11-25,04:00:00
2024-11-25 05:00:00,Los Troncos Las Misiones 115,7.566,11.771,21:00,2024-11-25,05:00:00
2024-11-25 06:00:00,Los Troncos Las Misiones 115,6.875,11.771,21:00,2024-11-25,06:00:00
2024-11-25 07:00:00,Los Troncos Las Misiones 115,6.652,11.771,21:00,2024-11-25,07:00:00
2024-11-25 08:00:00,Los Troncos Las Misiones 115,7.331,11.771,21:00,2024-11-25,08:00:00
2024-11-25 09:00:00,Los Troncos Las Misiones 115,8.469,11.771,21:00,2024-11-25,09:00:00
2024-11-25 10:00:00,Los Troncos Las Misiones 115,9.144,11.771,21:00,2024-11-25,10:00:00
2024-11-25 11:00:00,Los Troncos Las Misiones 115,9.2,11.771,21:00,2024-11-25,11:00:00
2024-11-25 12:00:00,Los Troncos Las Misiones 115,9.943,11.771,21:00,2024-11-25,12:00:00
2024-11-25 13:00:00,Los Troncos Las Misiones 115,9.314,11.771,21:00,2024-11-25,13:00:00
2024-11-25 14:00:00,Los Troncos Las Misiones 115,10.225,11.771,21:00,2024-11-25,14:00:00
2024-11-25 15:00:00,Los Troncos Las Misiones 115,11.072,11.771,21:00,2024-11-25,15:00:00
2024-11-25 16:00:00,Los Troncos Las Misiones 115,11.08,11.771,21:00,2024-11-25,16:00:00
2024-11-25 17:00:00,Los Troncos Las Misiones 115,10.728,11.771,21:00,2024-11-25,17:00:00
2024-11-25 18:00:00,Los Troncos Las Misiones 115,10.203,11.771,21:00,2024-11-25,18:00:00
2024-11-25 19:00:00,Los Troncos Las Misiones 115,10.203,11.771,21:00,2024-11-25,19:00:00
2024-11-25 20:00:00,Los Troncos Las Misiones 115,11.665,11.771,21:00,2024-11-25,20:00:00
2024-11-25 21:00:00,Los Troncos Las Misiones 115,11.753,11.771,21:00,2024-11-25,21:00:00
2024-11-25 22:00:00,Los Troncos Las Misiones 115,11.653,11.771,21:00,2024-11-25,22:00:00
2024-11-25 23:00:00,Los Troncos Las Misiones 115,11.075,11.771,21:00,2024-11-25,23:00:00
2024-11-26 00:00:00,Los Troncos Las Misiones 115,10.217,11.771,21:00,2024-11-26,00:00:00
2024-11-26 01:00:00,Los Troncos Las Misiones 115,9.378,11.829,21:15,2024-11-26,01:00:00
2024-11-26 02:00:00,Los Troncos Las Misiones 115,8.774,11.829,21:15,2024-11-26,02:00:00
2024-11-26 03:00:00,Los Troncos Las Misiones 115,8.317,11.829,21:15,2024-11-26,03:00:00
2024-11-26 04:00:00,Los Troncos Las Misiones 115,7.933,11.829,21:15,2024-11-26,04:00:00
2024-11-26 05:00:00,Los Troncos Las Misiones 115,7.646,11.829,21:15,2024-11-26,05:00:00
2024-11-26 06:00:00,Los Troncos Las Misiones 115,6.962,11.829,21:15,2024-11-26,06:00:00
2024-11-26 07:00:00,Los Troncos Las Misiones 115,6.452,11.829,21:15,2024-11-26,07:00:00
2024-11-26 08:00:00,Los Troncos Las Misiones 115,6.893,11.829,21:15,2024-11-26,08:00:00
2024-11-26 09:00:00,Los Troncos Las Misiones 115,8.509,11.829,21:15,2024-11-26,09:00:00
2024-11-26 10:00:00,Los Troncos Las Misiones 115,9.584,11.829,21:15,2024-11-26,10:00:00
2024-11-26 11:00:00,Los Troncos Las Misiones 115,9.864,11.829,21:15,2024-11-26,11:00:00
2024-11-26 12:00:00,Los Troncos Las Misiones 115,10.229,11.829,21:15,2024-11-26,12:00:00
2024-11-26 13:00:00,Los Troncos Las Misiones 115,9.464,11.829,21:15,2024-11-26,13:00:00
2024-11-26 14:00:00,Los Troncos Las Misiones 115,10.449,11.829,21:15,2024-11-26,14:00:00
