Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Lucianita,2.539,2.644,02:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Lucianita,2.547,2.644,02:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Lucianita,2.594,2.644,02:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Lucianita,2.514,2.644,02:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Lucianita,2.593,2.644,02:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Lucianita,2.409,2.644,02:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Lucianita,2.447,2.644,02:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Lucianita,1.327,2.644,02:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Lucianita,0.229,2.644,02:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Lucianita,0.199,2.644,02:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Lucianita,0.267,2.644,02:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Lucianita,0.152,2.644,02:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Lucianita,0.128,2.644,02:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Lucianita,0.123,2.644,02:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Lucianita,0.129,2.644,02:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Lucianita,0.186,2.644,02:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Lucianita,0.553,2.644,02:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Lucianita,0.344,2.644,02:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Lucianita,0.164,2.644,02:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Lucianita,0.18,2.644,02:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Lucianita,0.16,2.644,02:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Lucianita,0.167,2.644,02:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Lucianita,0.199,2.644,02:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Lucianita,0.177,2.644,02:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Lucianita,0.185,3.51,22:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Lucianita,0.186,3.51,22:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Lucianita,0.154,3.51,22:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Lucianita,0.153,3.51,22:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Lucianita,0.154,3.51,22:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Lucianita,0.15,3.51,22:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Lucianita,0.142,3.51,22:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Lucianita,0.715,3.51,22:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Lucianita,0.807,3.51,22:00,2024-09-02,09:00:00
