Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Ocuri,1.013,1.887,19:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Ocuri,0.978,1.887,19:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Ocuri,0.936,1.887,19:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Ocuri,0.934,1.887,19:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Ocuri,0.93,1.887,19:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Ocuri,0.964,1.887,19:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Ocuri,0.882,1.887,19:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Ocuri,0.79,1.887,19:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Ocuri,0.79,1.887,19:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Ocuri,0.785,1.887,19:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Ocuri,0.773,1.887,19:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Ocuri,0.821,1.887,19:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Ocuri,0.807,1.887,19:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Ocuri,0.839,1.887,19:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Ocuri,0.842,1.887,19:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Ocuri,0.917,1.887,19:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Ocuri,0.973,1.887,19:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Ocuri,1.076,1.887,19:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Ocuri,1.47,1.887,19:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Ocuri,1.868,1.887,19:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Ocuri,1.737,1.887,19:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Ocuri,1.494,1.887,19:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Ocuri,1.277,1.887,19:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Ocuri,1.119,1.887,19:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Ocuri,1.056,2.051,19:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Ocuri,1.011,2.051,19:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Ocuri,0.969,2.051,19:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Ocuri,0.961,2.051,19:00,2024-09-02,04:00:00
