Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Palca,0.597,0.99,20:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Palca,0.566,0.99,20:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Palca,0.553,0.99,20:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Palca,0.549,0.99,20:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Palca,0.577,0.99,20:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Palca,0.655,0.99,20:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Palca,0.721,0.99,20:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Palca,0.727,0.99,20:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Palca,0.788,0.99,20:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Palca,0.818,0.99,20:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Palca,0.708,0.99,20:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Palca,0.635,0.99,20:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Palca,0.602,0.99,20:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Palca,0.633,0.99,20:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Palca,0.675,0.99,20:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Palca,0.637,0.99,20:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Palca,0.656,0.99,20:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Palca,0.683,0.99,20:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Palca,0.778,0.99,20:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Palca,0.97,0.99,20:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Palca,0.959,0.99,20:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Palca,0.833,0.99,20:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Palca,0.714,0.99,20:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Palca,0.655,0.99,20:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Palca,0.621,1.946,16:45,2024-09-02,01:00:00
2024-09-02 02:00:00,Palca,0.597,1.946,16:45,2024-09-02,02:00:00
2024-09-02 03:00:00,Palca,0.581,1.946,16:45,2024-09-02,03:00:00
2024-09-02 04:00:00,Palca,0.551,1.946,16:45,2024-09-02,04:00:00
2024-09-02 05:00:00,Palca,0.54,1.946,16:45,2024-09-02,05:00:00
2024-09-02 06:00:00,Palca,0.581,1.946,16:45,2024-09-02,06:00:00
2024-09-02 07:00:00,Palca,0.597,1.946,16:45,2024-09-02,07:00:00
2024-09-02 08:00:00,Palca,0.729,1.946,16:45,2024-09-02,08:00:00
2024-09-02 09:00:00,Palca,0.999,1.946,16:45,2024-09-02,09:00:00
2024-09-02 10:00:00,Palca,1.217,1.946,16:45,2024-09-02,10:00:00
2024-09-02 11:00:00,Palca,1.523,1.946,16:45,2024-09-02,11:00:00
2024-09-02 12:00:00,Palca,1.657,1.946,16:45,2024-09-02,12:00:00
2024-09-02 13:00:00,Palca,1.313,1.946,16:45,2024-09-02,13:00:00
2024-09-02 14:00:00,Palca,1.575,1.946,16:45,2024-09-02,14:00:00
2024-09-02 15:00:00,Palca,1.47,1.946,16:45,2024-09-02,15:00:00
2024-09-02 16:00:00,Palca,1.4,1.946,16:45,2024-09-02,16:00:00
2024-09-02 17:00:00,Palca,1.85,1.946,16:45,2024-09-02,17:00:00
2024-09-02 18:00:00,Palca,1.607,1.946,16:45,2024-09-02,18:00:00
2024-09-02 19:00:00,Palca,1.431,1.946,16:45,2024-09-02,19:00:00
2024-09-02 20:00:00,Palca,1.091,1.946,16:45,2024-09-02,20:00:00
2024-09-02 21:00:00,Palca,1.079,1.946,16:45,2024-09-02,21:00:00
