Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Paracaya,9.226,15.596,19:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Paracaya,8.681,15.596,19:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Paracaya,8.589,15.596,19:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Paracaya,8.633,15.596,19:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Paracaya,9.009,15.596,19:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Paracaya,9.859,15.596,19:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Paracaya,9.57,15.596,19:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Paracaya,9.887,15.596,19:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Paracaya,10.913,15.596,19:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Paracaya,11.491,15.596,19:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Paracaya,11.882,15.596,19:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Paracaya,11.853,15.596,19:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Paracaya,11.723,15.596,19:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Paracaya,11.657,15.596,19:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Paracaya,11.569,15.596,19:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Paracaya,11.386,15.596,19:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Paracaya,11.222,15.596,19:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Paracaya,11.492,15.596,19:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Paracaya,13.741,15.596,19:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Paracaya,14.939,15.596,19:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Paracaya,13.879,15.596,19:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Paracaya,12.465,15.596,19:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Paracaya,10.813,15.596,19:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Paracaya,9.431,15.596,19:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Paracaya,8.824,15.56,19:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Paracaya,8.487,15.56,19:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Paracaya,8.369,15.56,19:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Paracaya,8.455,15.56,19:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Paracaya,9.049,15.56,19:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Paracaya,10.722,15.56,19:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Paracaya,11.842,15.56,19:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Paracaya,12.295,15.56,19:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Paracaya,11.879,15.56,19:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Paracaya,12.184,15.56,19:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Paracaya,12.376,15.56,19:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Paracaya,12.349,15.56,19:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Paracaya,11.929,15.56,19:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Paracaya,12.159,15.56,19:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Paracaya,12.495,15.56,19:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Paracaya,12.385,15.56,19:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Paracaya,12.382,15.56,19:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Paracaya,12.539,15.56,19:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Paracaya,14.312,15.56,19:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Paracaya,15.101,15.56,19:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Paracaya,14.083,15.56,19:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Paracaya,12.921,15.56,19:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Paracaya,11.265,15.56,19:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Paracaya,9.844,15.56,19:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Paracaya,9.169,15.371,19:30,2024-09-03,01:00:00
2024-09-03 02:00:00,Paracaya,8.829,15.371,19:30,2024-09-03,02:00:00
2024-09-03 03:00:00,Paracaya,8.767,15.371,19:30,2024-09-03,03:00:00
2024-09-03 04:00:00,Paracaya,9.033,15.371,19:30,2024-09-03,04:00:00
2024-09-03 05:00:00,Paracaya,9.763,15.371,19:30,2024-09-03,05:00:00
2024-09-03 06:00:00,Paracaya,11.045,15.371,19:30,2024-09-03,06:00:00
2024-09-03 07:00:00,Paracaya,11.604,15.371,19:30,2024-09-03,07:00:00
2024-09-03 08:00:00,Paracaya,11.765,15.371,19:30,2024-09-03,08:00:00
2024-09-03 09:00:00,Paracaya,11.756,15.371,19:30,2024-09-03,09:00:00
2024-09-03 10:00:00,Paracaya,12.042,15.371,19:30,2024-09-03,10:00:00
2024-09-03 11:00:00,Paracaya,12.01,15.371,19:30,2024-09-03,11:00:00
2024-09-03 12:00:00,Paracaya,12.179,15.371,19:30,2024-09-03,12:00:00
2024-09-03 13:00:00,Paracaya,11.421,15.371,19:30,2024-09-03,13:00:00
2024-09-03 14:00:00,Paracaya,11.832,15.371,19:30,2024-09-03,14:00:00
2024-09-03 15:00:00,Paracaya,12.151,15.371,19:30,2024-09-03,15:00:00
2024-09-03 16:00:00,Paracaya,11.943,15.371,19:30,2024-09-03,16:00:00
2024-09-03 17:00:00,Paracaya,11.773,15.371,19:30,2024-09-03,17:00:00
2024-09-03 18:00:00,Paracaya,11.997,15.371,19:30,2024-09-03,18:00:00
2024-09-03 19:00:00,Paracaya,13.975,15.371,19:30,2024-09-03,19:00:00
2024-09-03 20:00:00,Paracaya,15.232,15.371,19:30,2024-09-03,20:00:00
2024-09-03 21:00:00,Paracaya,14.45,15.371,19:30,2024-09-03,21:00:00
