Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Portugalete,3.113,3.63,20:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Portugalete,3.05,3.63,20:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Portugalete,3.06,3.63,20:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Portugalete,3.238,3.63,20:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Portugalete,3.243,3.63,20:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Portugalete,3.335,3.63,20:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Portugalete,3.178,3.63,20:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Portugalete,3.163,3.63,20:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Portugalete,3.373,3.63,20:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Portugalete,3.225,3.63,20:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Portugalete,3.18,3.63,20:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Portugalete,3.318,3.63,20:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Portugalete,3.185,3.63,20:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Portugalete,3.158,3.63,20:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Portugalete,3.093,3.63,20:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Portugalete,3.16,3.63,20:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Portugalete,3.28,3.63,20:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Portugalete,3.338,3.63,20:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Portugalete,3.368,3.63,20:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Portugalete,3.405,3.63,20:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Portugalete,3.555,3.63,20:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Portugalete,3.483,3.63,20:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Portugalete,3.255,3.63,20:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Portugalete,2.988,3.63,20:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Portugalete,3.02,3.53,08:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Portugalete,3.2,3.53,08:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Portugalete,3.353,3.53,08:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Portugalete,3.348,3.53,08:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Portugalete,3.22,3.53,08:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Portugalete,3.213,3.53,08:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Portugalete,3.225,3.53,08:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Portugalete,3.43,3.53,08:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Portugalete,3.468,3.53,08:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Portugalete,3.393,3.53,08:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Portugalete,3.175,3.53,08:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Portugalete,3.155,3.53,08:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Portugalete,3.138,3.53,08:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Portugalete,3.223,3.53,08:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Portugalete,3.308,3.53,08:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Portugalete,3.073,3.53,08:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Portugalete,3.025,3.53,08:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Portugalete,3.078,3.53,08:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Portugalete,3.105,3.53,08:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Portugalete,3.17,3.53,08:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Portugalete,3.378,3.53,08:00,2024-09-02,21:00:00
