Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-11-25 01:00:00,Potosí 115,41.956,48.525,21:00,2024-11-25,01:00:00
2024-11-25 02:00:00,Potosí 115,40.573,48.525,21:00,2024-11-25,02:00:00
2024-11-25 03:00:00,Potosí 115,39.373,48.525,21:00,2024-11-25,03:00:00
2024-11-25 04:00:00,Potosí 115,38.892,48.525,21:00,2024-11-25,04:00:00
2024-11-25 05:00:00,Potosí 115,40.141,48.525,21:00,2024-11-25,05:00:00
2024-11-25 06:00:00,Potosí 115,40.064,48.525,21:00,2024-11-25,06:00:00
2024-11-25 07:00:00,Potosí 115,41.233,48.525,21:00,2024-11-25,07:00:00
2024-11-25 08:00:00,Potosí 115,42.698,48.525,21:00,2024-11-25,08:00:00
2024-11-25 09:00:00,Potosí 115,41.506,48.525,21:00,2024-11-25,09:00:00
2024-11-25 10:00:00,Potosí 115,42.103,48.525,21:00,2024-11-25,10:00:00
2024-11-25 11:00:00,Potosí 115,42.371,48.525,21:00,2024-11-25,11:00:00
2024-11-25 12:00:00,Potosí 115,43.663,48.525,21:00,2024-11-25,12:00:00
2024-11-25 13:00:00,Potosí 115,42.812,48.525,21:00,2024-11-25,13:00:00
2024-11-25 14:00:00,Potosí 115,42.203,48.525,21:00,2024-11-25,14:00:00
2024-11-25 15:00:00,Potosí 115,43.281,48.525,21:00,2024-11-25,15:00:00
2024-11-25 16:00:00,Potosí 115,44.079,48.525,21:00,2024-11-25,16:00:00
2024-11-25 17:00:00,Potosí 115,44.014,48.525,21:00,2024-11-25,17:00:00
2024-11-25 18:00:00,Potosí 115,45.088,48.525,21:00,2024-11-25,18:00:00
2024-11-25 19:00:00,Potosí 115,45.713,48.525,21:00,2024-11-25,19:00:00
2024-11-25 20:00:00,Potosí 115,46.431,48.525,21:00,2024-11-25,20:00:00
2024-11-25 21:00:00,Potosí 115,48.219,48.525,21:00,2024-11-25,21:00:00
2024-11-25 22:00:00,Potosí 115,47.929,48.525,21:00,2024-11-25,22:00:00
2024-11-25 23:00:00,Potosí 115,45.589,48.525,21:00,2024-11-25,23:00:00
2024-11-26 00:00:00,Potosí 115,42.698,48.525,21:00,2024-11-26,00:00:00
2024-11-26 01:00:00,Potosí 115,42.44,53.856,19:30,2024-11-26,01:00:00
2024-11-26 02:00:00,Potosí 115,41.839,53.856,19:30,2024-11-26,02:00:00
2024-11-26 03:00:00,Potosí 115,41.988,53.856,19:30,2024-11-26,03:00:00
2024-11-26 04:00:00,Potosí 115,41.65,53.856,19:30,2024-11-26,04:00:00
2024-11-26 05:00:00,Potosí 115,41.337,53.856,19:30,2024-11-26,05:00:00
2024-11-26 06:00:00,Potosí 115,41.198,53.856,19:30,2024-11-26,06:00:00
2024-11-26 07:00:00,Potosí 115,38.792,53.856,19:30,2024-11-26,07:00:00
2024-11-26 08:00:00,Potosí 115,40.663,53.856,19:30,2024-11-26,08:00:00
2024-11-26 09:00:00,Potosí 115,43.448,53.856,19:30,2024-11-26,09:00:00
2024-11-26 10:00:00,Potosí 115,44.434,53.856,19:30,2024-11-26,10:00:00
2024-11-26 11:00:00,Potosí 115,43.642,53.856,19:30,2024-11-26,11:00:00
2024-11-26 12:00:00,Potosí 115,44.667,53.856,19:30,2024-11-26,12:00:00
2024-11-26 13:00:00,Potosí 115,44.027,53.856,19:30,2024-11-26,13:00:00
2024-11-26 14:00:00,Potosí 115,38.579,53.856,19:30,2024-11-26,14:00:00
2024-11-26 15:00:00,Potosí 115,44.635,53.856,19:30,2024-11-26,15:00:00
2024-11-26 16:00:00,Potosí 115,47.749,53.856,19:30,2024-11-26,16:00:00
2024-11-26 17:00:00,Potosí 115,49.238,53.856,19:30,2024-11-26,17:00:00
2024-11-26 18:00:00,Potosí 115,49.874,53.856,19:30,2024-11-26,18:00:00
2024-11-26 19:00:00,Potosí 115,51.32,53.856,19:30,2024-11-26,19:00:00
2024-11-26 20:00:00,Potosí 115,53.716,53.856,19:30,2024-11-26,20:00:00
2024-11-26 21:00:00,Potosí 115,53.577,53.856,19:30,2024-11-26,21:00:00
2024-11-26 22:00:00,Potosí 115,52.478,53.856,19:30,2024-11-26,22:00:00
2024-11-26 23:00:00,Potosí 115,49.798,53.856,19:30,2024-11-26,23:00:00
2024-11-27 00:00:00,Potosí 115,47.349,53.856,19:30,2024-11-27,00:00:00
2024-11-27 01:00:00,Potosí 115,45.951,54.543,21:00,2024-11-27,01:00:00
2024-11-27 02:00:00,Potosí 115,45.568,54.543,21:00,2024-11-27,02:00:00
2024-11-27 03:00:00,Potosí 115,45.064,54.543,21:00,2024-11-27,03:00:00
2024-11-27 04:00:00,Potosí 115,45.72,54.543,21:00,2024-11-27,04:00:00
2024-11-27 05:00:00,Potosí 115,45.784,54.543,21:00,2024-11-27,05:00:00
2024-11-27 06:00:00,Potosí 115,45.351,54.543,21:00,2024-11-27,06:00:00
2024-11-27 07:00:00,Potosí 115,45.403,54.543,21:00,2024-11-27,07:00:00
2024-11-27 08:00:00,Potosí 115,46.211,54.543,21:00,2024-11-27,08:00:00
2024-11-27 09:00:00,Potosí 115,45.327,54.543,21:00,2024-11-27,09:00:00
2024-11-27 10:00:00,Potosí 115,41.538,54.543,21:00,2024-11-27,10:00:00
2024-11-27 11:00:00,Potosí 115,41.564,54.543,21:00,2024-11-27,11:00:00
2024-11-27 12:00:00,Potosí 115,43.462,54.543,21:00,2024-11-27,12:00:00
2024-11-27 13:00:00,Potosí 115,43.208,54.543,21:00,2024-11-27,13:00:00
2024-11-27 14:00:00,Potosí 115,41.952,54.543,21:00,2024-11-27,14:00:00
2024-11-27 15:00:00,Potosí 115,43.079,54.543,21:00,2024-11-27,15:00:00
2024-11-27 16:00:00,Potosí 115,45.743,54.543,21:00,2024-11-27,16:00:00
2024-11-27 17:00:00,Potosí 115,48.535,54.543,21:00,2024-11-27,17:00:00
2024-11-27 18:00:00,Potosí 115,47.444,54.543,21:00,2024-11-27,18:00:00
2024-11-27 19:00:00,Potosí 115,48.999,54.543,21:00,2024-11-27,19:00:00
2024-11-27 20:00:00,Potosí 115,54.283,54.543,21:00,2024-11-27,20:00:00
2024-11-27 21:00:00,Potosí 115,54.518,54.543,21:00,2024-11-27,21:00:00
2024-11-27 22:00:00,Potosí 115,54.175,54.543,21:00,2024-11-27,22:00:00
2024-11-27 23:00:00,Potosí 115,51.344,54.543,21:00,2024-11-27,23:00:00
2024-11-28 00:00:00,Potosí 115,48.542,54.543,21:00,2024-11-28,00:00:00
2024-11-28 01:00:00,Potosí 115,46.156,53.81,20:15,2024-11-28,01:00:00
2024-11-28 02:00:00,Potosí 115,44.993,53.81,20:15,2024-11-28,02:00:00
2024-11-28 03:00:00,Potosí 115,44.246,53.81,20:15,2024-11-28,03:00:00
2024-11-28 04:00:00,Potosí 115,43.969,53.81,20:15,2024-11-28,04:00:00
2024-11-28 05:00:00,Potosí 115,45.204,53.81,20:15,2024-11-28,05:00:00
2024-11-28 06:00:00,Potosí 115,45.268,53.81,20:15,2024-11-28,06:00:00
2024-11-28 07:00:00,Potosí 115,45.409,53.81,20:15,2024-11-28,07:00:00
2024-11-28 08:00:00,Potosí 115,46.717,53.81,20:15,2024-11-28,08:00:00
2024-11-28 09:00:00,Potosí 115,46.737,53.81,20:15,2024-11-28,09:00:00
2024-11-28 10:00:00,Potosí 115,46.899,53.81,20:15,2024-11-28,10:00:00
2024-11-28 11:00:00,Potosí 115,46.954,53.81,20:15,2024-11-28,11:00:00
2024-11-28 12:00:00,Potosí 115,47.548,53.81,20:15,2024-11-28,12:00:00
2024-11-28 13:00:00,Potosí 115,42.707,53.81,20:15,2024-11-28,13:00:00
2024-11-28 14:00:00,Potosí 115,42.012,53.81,20:15,2024-11-28,14:00:00
2024-11-28 15:00:00,Potosí 115,44.758,53.81,20:15,2024-11-28,15:00:00
2024-11-28 16:00:00,Potosí 115,46.624,53.81,20:15,2024-11-28,16:00:00
2024-11-28 17:00:00,Potosí 115,46.426,53.81,20:15,2024-11-28,17:00:00
2024-11-28 18:00:00,Potosí 115,47.836,53.81,20:15,2024-11-28,18:00:00
2024-11-28 19:00:00,Potosí 115,50.318,53.81,20:15,2024-11-28,19:00:00
2024-11-28 20:00:00,Potosí 115,53.407,53.81,20:15,2024-11-28,20:00:00
2024-11-28 21:00:00,Potosí 115,53.557,53.81,20:15,2024-11-28,21:00:00
2024-11-28 22:00:00,Potosí 115,52.504,53.81,20:15,2024-11-28,22:00:00
2024-11-28 23:00:00,Potosí 115,50.432,53.81,20:15,2024-11-28,23:00:00
2024-11-29 00:00:00,Potosí 115,47.69,53.81,20:15,2024-11-29,00:00:00
2024-11-29 01:00:00,Potosí 115,45.298,53.255,20:15,2024-11-29,01:00:00
2024-11-29 02:00:00,Potosí 115,44.751,53.255,20:15,2024-11-29,02:00:00
2024-11-29 03:00:00,Potosí 115,44.346,53.255,20:15,2024-11-29,03:00:00
2024-11-29 04:00:00,Potosí 115,44.34,53.255,20:15,2024-11-29,04:00:00
2024-11-29 05:00:00,Potosí 115,44.458,53.255,20:15,2024-11-29,05:00:00
2024-11-29 06:00:00,Potosí 115,40.388,53.255,20:15,2024-11-29,06:00:00
2024-11-29 07:00:00,Potosí 115,43.724,53.255,20:15,2024-11-29,07:00:00
