Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Potosí,9.412,10.46,15:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Potosí,9.302,10.46,15:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Potosí,9.117,10.46,15:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Potosí,9.06,10.46,15:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Potosí,8.935,10.46,15:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Potosí,9.45,10.46,15:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Potosí,9.562,10.46,15:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Potosí,8.954,10.46,15:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Potosí,9.011,10.46,15:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Potosí,9.827,10.46,15:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Potosí,9.99,10.46,15:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Potosí,9.689,10.46,15:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Potosí,9.978,10.46,15:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Potosí,9.798,10.46,15:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Potosí,9.941,10.46,15:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Potosí,10.309,10.46,15:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Potosí,9.745,10.46,15:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Potosí,9.979,10.46,15:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Potosí,9.36,10.46,15:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Potosí,9.417,10.46,15:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Potosí,9.557,10.46,15:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Potosí,9.844,10.46,15:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Potosí,10.03,10.46,15:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Potosí,9.439,10.46,15:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Potosí,9.401,11.766,16:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Potosí,9.284,11.766,16:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Potosí,9.159,11.766,16:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Potosí,9.043,11.766,16:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Potosí,8.871,11.766,16:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Potosí,8.732,11.766,16:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Potosí,9.124,11.766,16:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Potosí,9.21,11.766,16:30,2024-09-02,08:00:00
2024-09-02 09:00:00,Potosí,10.096,11.766,16:30,2024-09-02,09:00:00
2024-09-02 10:00:00,Potosí,10.881,11.766,16:30,2024-09-02,10:00:00
2024-09-02 11:00:00,Potosí,11.308,11.766,16:30,2024-09-02,11:00:00
2024-09-02 12:00:00,Potosí,11.286,11.766,16:30,2024-09-02,12:00:00
2024-09-02 13:00:00,Potosí,11.232,11.766,16:30,2024-09-02,13:00:00
2024-09-02 14:00:00,Potosí,11.532,11.766,16:30,2024-09-02,14:00:00
2024-09-02 15:00:00,Potosí,11.576,11.766,16:30,2024-09-02,15:00:00
2024-09-02 16:00:00,Potosí,11.178,11.766,16:30,2024-09-02,16:00:00
2024-09-02 17:00:00,Potosí,11.62,11.766,16:30,2024-09-02,17:00:00
2024-09-02 18:00:00,Potosí,11.345,11.766,16:30,2024-09-02,18:00:00
2024-09-02 19:00:00,Potosí,11.182,11.766,16:30,2024-09-02,19:00:00
2024-09-02 20:00:00,Potosí,11.055,11.766,16:30,2024-09-02,20:00:00
2024-09-02 21:00:00,Potosí,10.582,11.766,16:30,2024-09-02,21:00:00
2024-09-02 22:00:00,Potosí,9.635,11.766,16:30,2024-09-02,22:00:00
2024-09-02 23:00:00,Potosí,10.346,11.766,16:30,2024-09-02,23:00:00
2024-09-03 00:00:00,Potosí,9.641,11.766,16:30,2024-09-03,00:00:00
2024-09-03 01:00:00,Potosí,9.965,13.075,14:45,2024-09-03,01:00:00
2024-09-03 02:00:00,Potosí,10.288,13.075,14:45,2024-09-03,02:00:00
2024-09-03 03:00:00,Potosí,10.178,13.075,14:45,2024-09-03,03:00:00
2024-09-03 04:00:00,Potosí,10.29,13.075,14:45,2024-09-03,04:00:00
