Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Punutuma,3.387,4.268,23:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Punutuma,3.826,4.268,23:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Punutuma,4.042,4.268,23:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Punutuma,3.946,4.268,23:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Punutuma,4.149,4.268,23:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Punutuma,3.851,4.268,23:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Punutuma,3.805,4.268,23:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Punutuma,3.188,4.268,23:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Punutuma,3.094,4.268,23:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Punutuma,3.439,4.268,23:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Punutuma,3.714,4.268,23:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Punutuma,3.901,4.268,23:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Punutuma,3.959,4.268,23:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Punutuma,3.89,4.268,23:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Punutuma,3.96,4.268,23:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Punutuma,3.915,4.268,23:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Punutuma,3.767,4.268,23:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Punutuma,3.884,4.268,23:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Punutuma,4.026,4.268,23:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Punutuma,4.082,4.268,23:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Punutuma,4.092,4.268,23:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Punutuma,4.045,4.268,23:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Punutuma,4.173,4.268,23:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Punutuma,4.161,4.268,23:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Punutuma,3.837,5.118,22:15,2024-09-02,01:00:00
2024-09-02 02:00:00,Punutuma,3.846,5.118,22:15,2024-09-02,02:00:00
2024-09-02 03:00:00,Punutuma,3.708,5.118,22:15,2024-09-02,03:00:00
2024-09-02 04:00:00,Punutuma,3.684,5.118,22:15,2024-09-02,04:00:00
2024-09-02 05:00:00,Punutuma,3.777,5.118,22:15,2024-09-02,05:00:00
2024-09-02 06:00:00,Punutuma,3.798,5.118,22:15,2024-09-02,06:00:00
2024-09-02 07:00:00,Punutuma,3.405,5.118,22:15,2024-09-02,07:00:00
2024-09-02 08:00:00,Punutuma,3.367,5.118,22:15,2024-09-02,08:00:00
2024-09-02 09:00:00,Punutuma,3.605,5.118,22:15,2024-09-02,09:00:00
2024-09-02 10:00:00,Punutuma,4.142,5.118,22:15,2024-09-02,10:00:00
2024-09-02 11:00:00,Punutuma,4.449,5.118,22:15,2024-09-02,11:00:00
2024-09-02 12:00:00,Punutuma,4.357,5.118,22:15,2024-09-02,12:00:00
2024-09-02 13:00:00,Punutuma,4.229,5.118,22:15,2024-09-02,13:00:00
2024-09-02 14:00:00,Punutuma,4.713,5.118,22:15,2024-09-02,14:00:00
