Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Qollpana,3.471,5.229,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Qollpana,3.332,5.229,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Qollpana,3.227,5.229,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Qollpana,3.189,5.229,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Qollpana,3.164,5.229,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Qollpana,3.24,5.229,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Qollpana,3.103,5.229,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Qollpana,3.032,5.229,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Qollpana,3.147,5.229,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Qollpana,3.122,5.229,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Qollpana,3.203,5.229,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Qollpana,3.177,5.229,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Qollpana,3.28,5.229,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Qollpana,3.315,5.229,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Qollpana,3.329,5.229,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Qollpana,3.398,5.229,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Qollpana,3.488,5.229,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Qollpana,3.532,5.229,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Qollpana,4.45,5.229,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Qollpana,5.161,5.229,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Qollpana,4.967,5.229,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Qollpana,4.517,5.229,19:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Qollpana,4.034,5.229,19:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Qollpana,3.642,5.229,19:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Qollpana,3.353,5.316,20:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Qollpana,3.332,5.316,20:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Qollpana,3.155,5.316,20:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Qollpana,3.105,5.316,20:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Qollpana,3.287,5.316,20:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Qollpana,3.458,5.316,20:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Qollpana,3.49,5.316,20:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Qollpana,3.321,5.316,20:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Qollpana,2.979,5.316,20:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Qollpana,3.137,5.316,20:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Qollpana,3.155,5.316,20:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Qollpana,3.22,5.316,20:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Qollpana,3.068,5.316,20:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Qollpana,3.175,5.316,20:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Qollpana,3.376,5.316,20:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Qollpana,3.414,5.316,20:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Qollpana,3.505,5.316,20:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Qollpana,3.669,5.316,20:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Qollpana,4.558,5.316,20:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Qollpana,5.247,5.316,20:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Qollpana,5.124,5.316,20:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Qollpana,4.64,5.316,20:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Qollpana,4.07,5.316,20:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Qollpana,3.611,5.316,20:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Qollpana,3.358,5.64,20:00,2024-09-03,01:00:00
2024-09-03 02:00:00,Qollpana,3.273,5.64,20:00,2024-09-03,02:00:00
2024-09-03 03:00:00,Qollpana,3.15,5.64,20:00,2024-09-03,03:00:00
2024-09-03 04:00:00,Qollpana,3.224,5.64,20:00,2024-09-03,04:00:00
2024-09-03 05:00:00,Qollpana,3.245,5.64,20:00,2024-09-03,05:00:00
2024-09-03 06:00:00,Qollpana,3.452,5.64,20:00,2024-09-03,06:00:00
2024-09-03 07:00:00,Qollpana,3.394,5.64,20:00,2024-09-03,07:00:00
2024-09-03 08:00:00,Qollpana,3.235,5.64,20:00,2024-09-03,08:00:00
2024-09-03 09:00:00,Qollpana,3.256,5.64,20:00,2024-09-03,09:00:00
2024-09-03 10:00:00,Qollpana,3.319,5.64,20:00,2024-09-03,10:00:00
2024-09-03 11:00:00,Qollpana,3.402,5.64,20:00,2024-09-03,11:00:00
2024-09-03 12:00:00,Qollpana,3.382,5.64,20:00,2024-09-03,12:00:00
2024-09-03 13:00:00,Qollpana,3.247,5.64,20:00,2024-09-03,13:00:00
2024-09-03 14:00:00,Qollpana,3.637,5.64,20:00,2024-09-03,14:00:00
2024-09-03 15:00:00,Qollpana,3.807,5.64,20:00,2024-09-03,15:00:00
2024-09-03 16:00:00,Qollpana,3.654,5.64,20:00,2024-09-03,16:00:00
2024-09-03 17:00:00,Qollpana,3.612,5.64,20:00,2024-09-03,17:00:00
2024-09-03 18:00:00,Qollpana,3.746,5.64,20:00,2024-09-03,18:00:00
2024-09-03 19:00:00,Qollpana,4.8,5.64,20:00,2024-09-03,19:00:00
2024-09-03 20:00:00,Qollpana,5.554,5.64,20:00,2024-09-03,20:00:00
2024-09-03 21:00:00,Qollpana,5.446,5.64,20:00,2024-09-03,21:00:00
2024-09-03 22:00:00,Qollpana,4.855,5.64,20:00,2024-09-03,22:00:00
2024-09-03 23:00:00,Qollpana,4.284,5.64,20:00,2024-09-03,23:00:00
2024-09-04 00:00:00,Qollpana,3.798,5.64,20:00,2024-09-04,00:00:00
2024-09-04 01:00:00,Qollpana,3.41,5.455,20:00,2024-09-04,01:00:00
2024-09-04 02:00:00,Qollpana,3.262,5.455,20:00,2024-09-04,02:00:00
2024-09-04 03:00:00,Qollpana,3.223,5.455,20:00,2024-09-04,03:00:00
2024-09-04 04:00:00,Qollpana,3.174,5.455,20:00,2024-09-04,04:00:00
2024-09-04 05:00:00,Qollpana,3.292,5.455,20:00,2024-09-04,05:00:00
2024-09-04 06:00:00,Qollpana,3.525,5.455,20:00,2024-09-04,06:00:00
2024-09-04 07:00:00,Qollpana,3.444,5.455,20:00,2024-09-04,07:00:00
2024-09-04 08:00:00,Qollpana,3.369,5.455,20:00,2024-09-04,08:00:00
2024-09-04 09:00:00,Qollpana,3.255,5.455,20:00,2024-09-04,09:00:00
2024-09-04 10:00:00,Qollpana,3.226,5.455,20:00,2024-09-04,10:00:00
2024-09-04 11:00:00,Qollpana,3.228,5.455,20:00,2024-09-04,11:00:00
2024-09-04 12:00:00,Qollpana,3.303,5.455,20:00,2024-09-04,12:00:00
2024-09-04 13:00:00,Qollpana,3.336,5.455,20:00,2024-09-04,13:00:00
2024-09-04 14:00:00,Qollpana,3.557,5.455,20:00,2024-09-04,14:00:00
2024-09-04 15:00:00,Qollpana,3.529,5.455,20:00,2024-09-04,15:00:00
2024-09-04 16:00:00,Qollpana,3.599,5.455,20:00,2024-09-04,16:00:00
2024-09-04 17:00:00,Qollpana,3.611,5.455,20:00,2024-09-04,17:00:00
2024-09-04 18:00:00,Qollpana,3.644,5.455,20:00,2024-09-04,18:00:00
2024-09-04 19:00:00,Qollpana,4.67,5.455,20:00,2024-09-04,19:00:00
2024-09-04 20:00:00,Qollpana,5.405,5.455,20:00,2024-09-04,20:00:00
2024-09-04 21:00:00,Qollpana,5.316,5.455,20:00,2024-09-04,21:00:00
2024-09-04 22:00:00,Qollpana,4.844,5.455,20:00,2024-09-04,22:00:00
2024-09-04 23:00:00,Qollpana,4.268,5.455,20:00,2024-09-04,23:00:00
2024-09-05 00:00:00,Qollpana,3.766,5.455,20:00,2024-09-05,00:00:00
2024-09-05 01:00:00,Qollpana,3.48,5.196,19:15,2024-09-05,01:00:00
2024-09-05 02:00:00,Qollpana,3.399,5.196,19:15,2024-09-05,02:00:00
2024-09-05 03:00:00,Qollpana,3.355,5.196,19:15,2024-09-05,03:00:00
2024-09-05 04:00:00,Qollpana,3.282,5.196,19:15,2024-09-05,04:00:00
2024-09-05 05:00:00,Qollpana,3.423,5.196,19:15,2024-09-05,05:00:00
2024-09-05 06:00:00,Qollpana,3.603,5.196,19:15,2024-09-05,06:00:00
2024-09-05 07:00:00,Qollpana,3.524,5.196,19:15,2024-09-05,07:00:00
2024-09-05 08:00:00,Qollpana,3.214,5.196,19:15,2024-09-05,08:00:00
2024-09-05 09:00:00,Qollpana,3.291,5.196,19:15,2024-09-05,09:00:00
2024-09-05 10:00:00,Qollpana,3.163,5.196,19:15,2024-09-05,10:00:00
2024-09-05 11:00:00,Qollpana,3.168,5.196,19:15,2024-09-05,11:00:00
2024-09-05 12:00:00,Qollpana,3.177,5.196,19:15,2024-09-05,12:00:00
2024-09-05 13:00:00,Qollpana,2.936,5.196,19:15,2024-09-05,13:00:00
2024-09-05 14:00:00,Qollpana,3.044,5.196,19:15,2024-09-05,14:00:00
2024-09-05 15:00:00,Qollpana,3.331,5.196,19:15,2024-09-05,15:00:00
2024-09-05 16:00:00,Qollpana,3.374,5.196,19:15,2024-09-05,16:00:00
2024-09-05 17:00:00,Qollpana,3.315,5.196,19:15,2024-09-05,17:00:00
2024-09-05 18:00:00,Qollpana,3.459,5.196,19:15,2024-09-05,18:00:00
2024-09-05 19:00:00,Qollpana,4.489,5.196,19:15,2024-09-05,19:00:00
2024-09-05 20:00:00,Qollpana,5.171,5.196,19:15,2024-09-05,20:00:00
2024-09-05 21:00:00,Qollpana,5.068,5.196,19:15,2024-09-05,21:00:00
2024-09-05 22:00:00,Qollpana,4.523,5.196,19:15,2024-09-05,22:00:00
2024-09-05 23:00:00,Qollpana,3.881,5.196,19:15,2024-09-05,23:00:00
2024-09-06 00:00:00,Qollpana,3.425,5.196,19:15,2024-09-06,00:00:00
2024-09-06 01:00:00,Qollpana,3.209,5.487,20:00,2024-09-06,01:00:00
2024-09-06 02:00:00,Qollpana,3.273,5.487,20:00,2024-09-06,02:00:00
2024-09-06 03:00:00,Qollpana,3.262,5.487,20:00,2024-09-06,03:00:00
2024-09-06 04:00:00,Qollpana,3.191,5.487,20:00,2024-09-06,04:00:00
2024-09-06 05:00:00,Qollpana,3.194,5.487,20:00,2024-09-06,05:00:00
2024-09-06 06:00:00,Qollpana,3.399,5.487,20:00,2024-09-06,06:00:00
2024-09-06 07:00:00,Qollpana,3.39,5.487,20:00,2024-09-06,07:00:00
2024-09-06 08:00:00,Qollpana,3.424,5.487,20:00,2024-09-06,08:00:00
2024-09-06 09:00:00,Qollpana,3.203,5.487,20:00,2024-09-06,09:00:00
2024-09-06 10:00:00,Qollpana,3.277,5.487,20:00,2024-09-06,10:00:00
2024-09-06 11:00:00,Qollpana,3.324,5.487,20:00,2024-09-06,11:00:00
2024-09-06 12:00:00,Qollpana,3.409,5.487,20:00,2024-09-06,12:00:00
2024-09-06 13:00:00,Qollpana,3.234,5.487,20:00,2024-09-06,13:00:00
2024-09-06 14:00:00,Qollpana,3.507,5.487,20:00,2024-09-06,14:00:00
2024-09-06 15:00:00,Qollpana,3.655,5.487,20:00,2024-09-06,15:00:00
2024-09-06 16:00:00,Qollpana,3.685,5.487,20:00,2024-09-06,16:00:00
2024-09-06 17:00:00,Qollpana,3.728,5.487,20:00,2024-09-06,17:00:00
2024-09-06 18:00:00,Qollpana,3.603,5.487,20:00,2024-09-06,18:00:00
2024-09-06 19:00:00,Qollpana,4.625,5.487,20:00,2024-09-06,19:00:00
2024-09-06 20:00:00,Qollpana,5.411,5.487,20:00,2024-09-06,20:00:00
2024-09-06 21:00:00,Qollpana,5.313,5.487,20:00,2024-09-06,21:00:00
2024-09-06 22:00:00,Qollpana,4.846,5.487,20:00,2024-09-06,22:00:00
2024-09-06 23:00:00,Qollpana,4.319,5.487,20:00,2024-09-06,23:00:00
2024-09-07 00:00:00,Qollpana,3.877,5.487,20:00,2024-09-07,00:00:00
2024-09-07 01:00:00,Qollpana,3.555,5.241,20:00,2024-09-07,01:00:00
2024-09-07 02:00:00,Qollpana,3.448,5.241,20:00,2024-09-07,02:00:00
2024-09-07 03:00:00,Qollpana,3.275,5.241,20:00,2024-09-07,03:00:00
2024-09-07 04:00:00,Qollpana,3.227,5.241,20:00,2024-09-07,04:00:00
2024-09-07 05:00:00,Qollpana,3.285,5.241,20:00,2024-09-07,05:00:00
2024-09-07 06:00:00,Qollpana,3.522,5.241,20:00,2024-09-07,06:00:00
2024-09-07 07:00:00,Qollpana,3.303,5.241,20:00,2024-09-07,07:00:00
2024-09-07 08:00:00,Qollpana,3.113,5.241,20:00,2024-09-07,08:00:00
2024-09-07 09:00:00,Qollpana,3.24,5.241,20:00,2024-09-07,09:00:00
2024-09-07 10:00:00,Qollpana,3.374,5.241,20:00,2024-09-07,10:00:00
2024-09-07 11:00:00,Qollpana,3.445,5.241,20:00,2024-09-07,11:00:00
2024-09-07 12:00:00,Qollpana,3.495,5.241,20:00,2024-09-07,12:00:00
2024-09-07 13:00:00,Qollpana,3.385,5.241,20:00,2024-09-07,13:00:00
2024-09-07 14:00:00,Qollpana,3.464,5.241,20:00,2024-09-07,14:00:00
2024-09-07 15:00:00,Qollpana,3.54,5.241,20:00,2024-09-07,15:00:00
2024-09-07 16:00:00,Qollpana,3.582,5.241,20:00,2024-09-07,16:00:00
2024-09-07 17:00:00,Qollpana,3.568,5.241,20:00,2024-09-07,17:00:00
2024-09-07 18:00:00,Qollpana,3.594,5.241,20:00,2024-09-07,18:00:00
2024-09-07 19:00:00,Qollpana,4.528,5.241,20:00,2024-09-07,19:00:00
2024-09-07 20:00:00,Qollpana,5.182,5.241,20:00,2024-09-07,20:00:00
2024-09-07 21:00:00,Qollpana,5.054,5.241,20:00,2024-09-07,21:00:00
2024-09-07 22:00:00,Qollpana,4.695,5.241,20:00,2024-09-07,22:00:00
2024-09-07 23:00:00,Qollpana,4.212,5.241,20:00,2024-09-07,23:00:00
