Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Retiros ENDE para YLB,4.881,5.557,09:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Retiros ENDE para YLB,4.916,5.557,09:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Retiros ENDE para YLB,5.033,5.557,09:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Retiros ENDE para YLB,4.993,5.557,09:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Retiros ENDE para YLB,5.017,5.557,09:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Retiros ENDE para YLB,4.827,5.557,09:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Retiros ENDE para YLB,4.707,5.557,09:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Retiros ENDE para YLB,4.725,5.557,09:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Retiros ENDE para YLB,5.019,5.557,09:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Retiros ENDE para YLB,5.517,5.557,09:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Retiros ENDE para YLB,5.454,5.557,09:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Retiros ENDE para YLB,5.376,5.557,09:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Retiros ENDE para YLB,5.238,5.557,09:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Retiros ENDE para YLB,5.218,5.557,09:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Retiros ENDE para YLB,5.17,5.557,09:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Retiros ENDE para YLB,5.007,5.557,09:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Retiros ENDE para YLB,4.963,5.557,09:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Retiros ENDE para YLB,4.974,5.557,09:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Retiros ENDE para YLB,4.701,5.557,09:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Retiros ENDE para YLB,4.566,5.557,09:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Retiros ENDE para YLB,4.725,5.557,09:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Retiros ENDE para YLB,4.725,5.557,09:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Retiros ENDE para YLB,4.77,5.557,09:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Retiros ENDE para YLB,4.761,5.557,09:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Retiros ENDE para YLB,5.054,5.48,18:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Retiros ENDE para YLB,5.09,5.48,18:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Retiros ENDE para YLB,4.907,5.48,18:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Retiros ENDE para YLB,4.994,5.48,18:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Retiros ENDE para YLB,4.971,5.48,18:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Retiros ENDE para YLB,4.875,5.48,18:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Retiros ENDE para YLB,4.741,5.48,18:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Retiros ENDE para YLB,4.778,5.48,18:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Retiros ENDE para YLB,5.085,5.48,18:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Retiros ENDE para YLB,5.217,5.48,18:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Retiros ENDE para YLB,5.151,5.48,18:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Retiros ENDE para YLB,5.18,5.48,18:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Retiros ENDE para YLB,4.932,5.48,18:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Retiros ENDE para YLB,4.939,5.48,18:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Retiros ENDE para YLB,5.123,5.48,18:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Retiros ENDE para YLB,5.03,5.48,18:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Retiros ENDE para YLB,5.059,5.48,18:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Retiros ENDE para YLB,5.218,5.48,18:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Retiros ENDE para YLB,5.275,5.48,18:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Retiros ENDE para YLB,4.908,5.48,18:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Retiros ENDE para YLB,5.098,5.48,18:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Retiros ENDE para YLB,5.099,5.48,18:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Retiros ENDE para YLB,5.158,5.48,18:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Retiros ENDE para YLB,4.646,5.48,18:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Retiros ENDE para YLB,4.699,4.727,01:00,2024-09-03,01:00:00
2024-09-03 02:00:00,Retiros ENDE para YLB,4.379,4.727,01:00,2024-09-03,02:00:00
2024-09-03 03:00:00,Retiros ENDE para YLB,3.563,4.727,01:00,2024-09-03,03:00:00
2024-09-03 04:00:00,Retiros ENDE para YLB,2.865,4.727,01:00,2024-09-03,04:00:00
2024-09-03 05:00:00,Retiros ENDE para YLB,3.009,4.727,01:00,2024-09-03,05:00:00
2024-09-03 06:00:00,Retiros ENDE para YLB,2.87,4.727,01:00,2024-09-03,06:00:00
2024-09-03 07:00:00,Retiros ENDE para YLB,2.604,4.727,01:00,2024-09-03,07:00:00
2024-09-03 08:00:00,Retiros ENDE para YLB,2.443,4.727,01:00,2024-09-03,08:00:00
2024-09-03 09:00:00,Retiros ENDE para YLB,2.634,4.727,01:00,2024-09-03,09:00:00
2024-09-03 10:00:00,Retiros ENDE para YLB,2.873,4.727,01:00,2024-09-03,10:00:00
2024-09-03 11:00:00,Retiros ENDE para YLB,2.969,4.727,01:00,2024-09-03,11:00:00
2024-09-03 12:00:00,Retiros ENDE para YLB,3.004,4.727,01:00,2024-09-03,12:00:00
2024-09-03 13:00:00,Retiros ENDE para YLB,2.838,4.727,01:00,2024-09-03,13:00:00
2024-09-03 14:00:00,Retiros ENDE para YLB,2.827,4.727,01:00,2024-09-03,14:00:00
2024-09-03 15:00:00,Retiros ENDE para YLB,2.886,4.727,01:00,2024-09-03,15:00:00
2024-09-03 16:00:00,Retiros ENDE para YLB,3.003,4.727,01:00,2024-09-03,16:00:00
2024-09-03 17:00:00,Retiros ENDE para YLB,2.975,4.727,01:00,2024-09-03,17:00:00
2024-09-03 18:00:00,Retiros ENDE para YLB,2.873,4.727,01:00,2024-09-03,18:00:00
2024-09-03 19:00:00,Retiros ENDE para YLB,2.65,4.727,01:00,2024-09-03,19:00:00
2024-09-03 20:00:00,Retiros ENDE para YLB,2.48,4.727,01:00,2024-09-03,20:00:00
2024-09-03 21:00:00,Retiros ENDE para YLB,2.465,4.727,01:00,2024-09-03,21:00:00
2024-09-03 22:00:00,Retiros ENDE para YLB,2.536,4.727,01:00,2024-09-03,22:00:00
2024-09-03 23:00:00,Retiros ENDE para YLB,2.494,4.727,01:00,2024-09-03,23:00:00
2024-09-04 00:00:00,Retiros ENDE para YLB,2.421,4.727,01:00,2024-09-04,00:00:00
2024-09-04 01:00:00,Retiros ENDE para YLB,2.469,3.226,09:45,2024-09-04,01:00:00
2024-09-04 02:00:00,Retiros ENDE para YLB,2.727,3.226,09:45,2024-09-04,02:00:00
2024-09-04 03:00:00,Retiros ENDE para YLB,2.76,3.226,09:45,2024-09-04,03:00:00
2024-09-04 04:00:00,Retiros ENDE para YLB,2.783,3.226,09:45,2024-09-04,04:00:00
2024-09-04 05:00:00,Retiros ENDE para YLB,2.761,3.226,09:45,2024-09-04,05:00:00
2024-09-04 06:00:00,Retiros ENDE para YLB,2.821,3.226,09:45,2024-09-04,06:00:00
2024-09-04 07:00:00,Retiros ENDE para YLB,2.666,3.226,09:45,2024-09-04,07:00:00
2024-09-04 08:00:00,Retiros ENDE para YLB,2.762,3.226,09:45,2024-09-04,08:00:00
2024-09-04 09:00:00,Retiros ENDE para YLB,2.881,3.226,09:45,2024-09-04,09:00:00
2024-09-04 10:00:00,Retiros ENDE para YLB,3.165,3.226,09:45,2024-09-04,10:00:00
2024-09-04 11:00:00,Retiros ENDE para YLB,2.874,3.226,09:45,2024-09-04,11:00:00
2024-09-04 12:00:00,Retiros ENDE para YLB,2.87,3.226,09:45,2024-09-04,12:00:00
2024-09-04 13:00:00,Retiros ENDE para YLB,2.525,3.226,09:45,2024-09-04,13:00:00
2024-09-04 14:00:00,Retiros ENDE para YLB,2.521,3.226,09:45,2024-09-04,14:00:00
2024-09-04 15:00:00,Retiros ENDE para YLB,2.972,3.226,09:45,2024-09-04,15:00:00
2024-09-04 16:00:00,Retiros ENDE para YLB,2.783,3.226,09:45,2024-09-04,16:00:00
2024-09-04 17:00:00,Retiros ENDE para YLB,2.541,3.226,09:45,2024-09-04,17:00:00
2024-09-04 18:00:00,Retiros ENDE para YLB,2.365,3.226,09:45,2024-09-04,18:00:00
2024-09-04 19:00:00,Retiros ENDE para YLB,2.311,3.226,09:45,2024-09-04,19:00:00
2024-09-04 20:00:00,Retiros ENDE para YLB,2.202,3.226,09:45,2024-09-04,20:00:00
2024-09-04 21:00:00,Retiros ENDE para YLB,2.248,3.226,09:45,2024-09-04,21:00:00
2024-09-04 22:00:00,Retiros ENDE para YLB,2.298,3.226,09:45,2024-09-04,22:00:00
2024-09-04 23:00:00,Retiros ENDE para YLB,2.26,3.226,09:45,2024-09-04,23:00:00
2024-09-05 00:00:00,Retiros ENDE para YLB,2.274,3.226,09:45,2024-09-05,00:00:00
2024-09-05 01:00:00,Retiros ENDE para YLB,2.248,4.915,18:00,2024-09-05,01:00:00
2024-09-05 02:00:00,Retiros ENDE para YLB,2.272,4.915,18:00,2024-09-05,02:00:00
2024-09-05 03:00:00,Retiros ENDE para YLB,2.266,4.915,18:00,2024-09-05,03:00:00
2024-09-05 04:00:00,Retiros ENDE para YLB,2.47,4.915,18:00,2024-09-05,04:00:00
2024-09-05 05:00:00,Retiros ENDE para YLB,2.712,4.915,18:00,2024-09-05,05:00:00
2024-09-05 06:00:00,Retiros ENDE para YLB,2.765,4.915,18:00,2024-09-05,06:00:00
2024-09-05 07:00:00,Retiros ENDE para YLB,2.666,4.915,18:00,2024-09-05,07:00:00
2024-09-05 08:00:00,Retiros ENDE para YLB,2.582,4.915,18:00,2024-09-05,08:00:00
2024-09-05 09:00:00,Retiros ENDE para YLB,2.427,4.915,18:00,2024-09-05,09:00:00
2024-09-05 10:00:00,Retiros ENDE para YLB,2.62,4.915,18:00,2024-09-05,10:00:00
2024-09-05 11:00:00,Retiros ENDE para YLB,3.038,4.915,18:00,2024-09-05,11:00:00
2024-09-05 12:00:00,Retiros ENDE para YLB,3.554,4.915,18:00,2024-09-05,12:00:00
