Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Sacaca,0.674,1.241,19:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Sacaca,0.649,1.241,19:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Sacaca,0.625,1.241,19:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Sacaca,0.622,1.241,19:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Sacaca,0.632,1.241,19:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Sacaca,0.656,1.241,19:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Sacaca,0.62,1.241,19:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Sacaca,0.557,1.241,19:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Sacaca,0.555,1.241,19:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Sacaca,0.539,1.241,19:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Sacaca,0.551,1.241,19:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Sacaca,0.543,1.241,19:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Sacaca,0.551,1.241,19:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Sacaca,0.575,1.241,19:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Sacaca,0.622,1.241,19:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Sacaca,0.656,1.241,19:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Sacaca,0.646,1.241,19:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Sacaca,0.673,1.241,19:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Sacaca,0.958,1.241,19:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Sacaca,1.218,1.241,19:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Sacaca,1.127,1.241,19:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Sacaca,1.002,1.241,19:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Sacaca,0.831,1.241,19:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Sacaca,0.728,1.241,19:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Sacaca,0.668,1.187,19:45,2024-09-02,01:00:00
2024-09-02 02:00:00,Sacaca,0.641,1.187,19:45,2024-09-02,02:00:00
2024-09-02 03:00:00,Sacaca,0.628,1.187,19:45,2024-09-02,03:00:00
2024-09-02 04:00:00,Sacaca,0.619,1.187,19:45,2024-09-02,04:00:00
2024-09-02 05:00:00,Sacaca,0.628,1.187,19:45,2024-09-02,05:00:00
2024-09-02 06:00:00,Sacaca,0.66,1.187,19:45,2024-09-02,06:00:00
2024-09-02 07:00:00,Sacaca,0.68,1.187,19:45,2024-09-02,07:00:00
2024-09-02 08:00:00,Sacaca,0.677,1.187,19:45,2024-09-02,08:00:00
2024-09-02 09:00:00,Sacaca,0.593,1.187,19:45,2024-09-02,09:00:00
2024-09-02 10:00:00,Sacaca,0.478,1.187,19:45,2024-09-02,10:00:00
2024-09-02 11:00:00,Sacaca,0.499,1.187,19:45,2024-09-02,11:00:00
2024-09-02 12:00:00,Sacaca,0.493,1.187,19:45,2024-09-02,12:00:00
2024-09-02 13:00:00,Sacaca,0.499,1.187,19:45,2024-09-02,13:00:00
2024-09-02 14:00:00,Sacaca,0.506,1.187,19:45,2024-09-02,14:00:00
2024-09-02 15:00:00,Sacaca,0.5,1.187,19:45,2024-09-02,15:00:00
2024-09-02 16:00:00,Sacaca,0.52,1.187,19:45,2024-09-02,16:00:00
2024-09-02 17:00:00,Sacaca,0.55,1.187,19:45,2024-09-02,17:00:00
2024-09-02 18:00:00,Sacaca,0.605,1.187,19:45,2024-09-02,18:00:00
2024-09-02 19:00:00,Sacaca,0.925,1.187,19:45,2024-09-02,19:00:00
2024-09-02 20:00:00,Sacaca,1.176,1.187,19:45,2024-09-02,20:00:00
