Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,San Borja,1.85,1.967,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,San Borja,1.688,1.967,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,San Borja,1.587,1.967,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,San Borja,1.508,1.967,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,San Borja,1.449,1.967,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,San Borja,1.426,1.967,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,San Borja,1.334,1.967,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,San Borja,1.173,1.967,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,San Borja,1.205,1.967,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,San Borja,1.226,1.967,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,San Borja,1.228,1.967,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,San Borja,1.252,1.967,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,San Borja,1.296,1.967,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,San Borja,1.331,1.967,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,San Borja,1.376,1.967,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,San Borja,1.419,1.967,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,San Borja,1.417,1.967,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,San Borja,1.427,1.967,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,San Borja,1.758,1.967,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,San Borja,1.949,1.967,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,San Borja,1.887,1.967,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,San Borja,1.796,1.967,19:45,2024-09-01,22:00:00
2024-09-01 23:00:00,San Borja,1.653,1.967,19:45,2024-09-01,23:00:00
2024-09-02 00:00:00,San Borja,1.477,1.967,19:45,2024-09-02,00:00:00
2024-09-02 01:00:00,San Borja,1.344,2.278,19:15,2024-09-02,01:00:00
2024-09-02 02:00:00,San Borja,1.249,2.278,19:15,2024-09-02,02:00:00
2024-09-02 03:00:00,San Borja,1.19,2.278,19:15,2024-09-02,03:00:00
2024-09-02 04:00:00,San Borja,1.159,2.278,19:15,2024-09-02,04:00:00
2024-09-02 05:00:00,San Borja,1.13,2.278,19:15,2024-09-02,05:00:00
2024-09-02 06:00:00,San Borja,1.122,2.278,19:15,2024-09-02,06:00:00
2024-09-02 07:00:00,San Borja,1.074,2.278,19:15,2024-09-02,07:00:00
2024-09-02 08:00:00,San Borja,1.04,2.278,19:15,2024-09-02,08:00:00
2024-09-02 09:00:00,San Borja,1.125,2.278,19:15,2024-09-02,09:00:00
2024-09-02 10:00:00,San Borja,1.237,2.278,19:15,2024-09-02,10:00:00
2024-09-02 11:00:00,San Borja,1.307,2.278,19:15,2024-09-02,11:00:00
