Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,San Buenaventura,0.779,1.055,19:45,2024-09-01,01:00:00
2024-09-01 01:00:00,San Buenaventura,2.326,2.699,19:15,2024-09-01,01:00:00
2024-09-01 02:00:00,San Buenaventura,0.69,1.055,19:45,2024-09-01,02:00:00
2024-09-01 02:00:00,San Buenaventura,2.15,2.699,19:15,2024-09-01,02:00:00
2024-09-01 03:00:00,San Buenaventura,0.659,1.055,19:45,2024-09-01,03:00:00
2024-09-01 03:00:00,San Buenaventura,2.015,2.699,19:15,2024-09-01,03:00:00
2024-09-01 04:00:00,San Buenaventura,0.635,1.055,19:45,2024-09-01,04:00:00
2024-09-01 04:00:00,San Buenaventura,1.916,2.699,19:15,2024-09-01,04:00:00
2024-09-01 05:00:00,San Buenaventura,0.615,1.055,19:45,2024-09-01,05:00:00
2024-09-01 05:00:00,San Buenaventura,1.827,2.699,19:15,2024-09-01,05:00:00
2024-09-01 06:00:00,San Buenaventura,0.622,1.055,19:45,2024-09-01,06:00:00
2024-09-01 06:00:00,San Buenaventura,1.789,2.699,19:15,2024-09-01,06:00:00
2024-09-01 07:00:00,San Buenaventura,0.614,1.055,19:45,2024-09-01,07:00:00
2024-09-01 07:00:00,San Buenaventura,1.702,2.699,19:15,2024-09-01,07:00:00
2024-09-01 08:00:00,San Buenaventura,0.603,1.055,19:45,2024-09-01,08:00:00
2024-09-01 08:00:00,San Buenaventura,1.539,2.699,19:15,2024-09-01,08:00:00
2024-09-01 09:00:00,San Buenaventura,0.652,1.055,19:45,2024-09-01,09:00:00
2024-09-01 09:00:00,San Buenaventura,1.6,2.699,19:15,2024-09-01,09:00:00
2024-09-01 10:00:00,San Buenaventura,0.683,1.055,19:45,2024-09-01,10:00:00
2024-09-01 10:00:00,San Buenaventura,1.69,2.699,19:15,2024-09-01,10:00:00
2024-09-01 11:00:00,San Buenaventura,0.716,1.055,19:45,2024-09-01,11:00:00
2024-09-01 11:00:00,San Buenaventura,1.73,2.699,19:15,2024-09-01,11:00:00
2024-09-01 12:00:00,San Buenaventura,0.717,1.055,19:45,2024-09-01,12:00:00
2024-09-01 12:00:00,San Buenaventura,1.575,2.699,19:15,2024-09-01,12:00:00
2024-09-01 13:00:00,San Buenaventura,0.725,1.055,19:45,2024-09-01,13:00:00
2024-09-01 13:00:00,San Buenaventura,1.514,2.699,19:15,2024-09-01,13:00:00
2024-09-01 14:00:00,San Buenaventura,0.748,1.055,19:45,2024-09-01,14:00:00
2024-09-01 14:00:00,San Buenaventura,1.88,2.699,19:15,2024-09-01,14:00:00
2024-09-01 15:00:00,San Buenaventura,0.776,1.055,19:45,2024-09-01,15:00:00
2024-09-01 15:00:00,San Buenaventura,1.925,2.699,19:15,2024-09-01,15:00:00
2024-09-01 16:00:00,San Buenaventura,0.778,1.055,19:45,2024-09-01,16:00:00
2024-09-01 16:00:00,San Buenaventura,1.959,2.699,19:15,2024-09-01,16:00:00
2024-09-01 17:00:00,San Buenaventura,0.775,1.055,19:45,2024-09-01,17:00:00
2024-09-01 17:00:00,San Buenaventura,1.956,2.699,19:15,2024-09-01,17:00:00
2024-09-01 18:00:00,San Buenaventura,0.784,1.055,19:45,2024-09-01,18:00:00
2024-09-01 18:00:00,San Buenaventura,1.965,2.699,19:15,2024-09-01,18:00:00
2024-09-01 19:00:00,San Buenaventura,0.909,1.055,19:45,2024-09-01,19:00:00
2024-09-01 19:00:00,San Buenaventura,2.39,2.699,19:15,2024-09-01,19:00:00
2024-09-01 20:00:00,San Buenaventura,1.041,1.055,19:45,2024-09-01,20:00:00
2024-09-01 20:00:00,San Buenaventura,2.685,2.699,19:15,2024-09-01,20:00:00
2024-09-01 21:00:00,San Buenaventura,1.035,1.055,19:45,2024-09-01,21:00:00
2024-09-01 21:00:00,San Buenaventura,2.613,2.699,19:15,2024-09-01,21:00:00
2024-09-01 22:00:00,San Buenaventura,0.969,1.055,19:45,2024-09-01,22:00:00
2024-09-01 22:00:00,San Buenaventura,2.508,2.699,19:15,2024-09-01,22:00:00
2024-09-01 23:00:00,San Buenaventura,0.879,1.055,19:45,2024-09-01,23:00:00
2024-09-01 23:00:00,San Buenaventura,2.302,2.699,19:15,2024-09-01,23:00:00
2024-09-02 00:00:00,San Buenaventura,0.746,1.055,19:45,2024-09-02,00:00:00
2024-09-02 00:00:00,San Buenaventura,2.03,2.699,19:15,2024-09-02,00:00:00
2024-09-02 01:00:00,San Buenaventura,0.646,1.157,19:30,2024-09-02,01:00:00
2024-09-02 01:00:00,San Buenaventura,1.805,2.958,19:15,2024-09-02,01:00:00
2024-09-02 02:00:00,San Buenaventura,0.601,1.157,19:30,2024-09-02,02:00:00
2024-09-02 02:00:00,San Buenaventura,1.658,2.958,19:15,2024-09-02,02:00:00
2024-09-02 03:00:00,San Buenaventura,0.574,1.157,19:30,2024-09-02,03:00:00
2024-09-02 03:00:00,San Buenaventura,1.58,2.958,19:15,2024-09-02,03:00:00
2024-09-02 04:00:00,San Buenaventura,0.56,1.157,19:30,2024-09-02,04:00:00
2024-09-02 04:00:00,San Buenaventura,1.531,2.958,19:15,2024-09-02,04:00:00
2024-09-02 05:00:00,San Buenaventura,0.552,1.157,19:30,2024-09-02,05:00:00
2024-09-02 05:00:00,San Buenaventura,1.503,2.958,19:15,2024-09-02,05:00:00
2024-09-02 06:00:00,San Buenaventura,0.57,1.157,19:30,2024-09-02,06:00:00
2024-09-02 06:00:00,San Buenaventura,1.509,2.958,19:15,2024-09-02,06:00:00
2024-09-02 07:00:00,San Buenaventura,0.613,1.157,19:30,2024-09-02,07:00:00
2024-09-02 07:00:00,San Buenaventura,1.583,2.958,19:15,2024-09-02,07:00:00
2024-09-02 08:00:00,San Buenaventura,0.67,1.157,19:30,2024-09-02,08:00:00
2024-09-02 08:00:00,San Buenaventura,1.512,2.958,19:15,2024-09-02,08:00:00
2024-09-02 09:00:00,San Buenaventura,0.713,1.157,19:30,2024-09-02,09:00:00
2024-09-02 09:00:00,San Buenaventura,1.576,2.958,19:15,2024-09-02,09:00:00
2024-09-02 10:00:00,San Buenaventura,0.72,1.157,19:30,2024-09-02,10:00:00
2024-09-02 10:00:00,San Buenaventura,1.669,2.958,19:15,2024-09-02,10:00:00
2024-09-02 11:00:00,San Buenaventura,0.775,1.157,19:30,2024-09-02,11:00:00
2024-09-02 11:00:00,San Buenaventura,1.811,2.958,19:15,2024-09-02,11:00:00
2024-09-02 12:00:00,San Buenaventura,0.827,1.157,19:30,2024-09-02,12:00:00
2024-09-02 12:00:00,San Buenaventura,1.977,2.958,19:15,2024-09-02,12:00:00
2024-09-02 13:00:00,San Buenaventura,0.771,1.157,19:30,2024-09-02,13:00:00
2024-09-02 13:00:00,San Buenaventura,2.002,2.958,19:15,2024-09-02,13:00:00
2024-09-02 14:00:00,San Buenaventura,0.898,1.157,19:30,2024-09-02,14:00:00
2024-09-02 14:00:00,San Buenaventura,2.132,2.958,19:15,2024-09-02,14:00:00
2024-09-02 15:00:00,San Buenaventura,0.967,1.157,19:30,2024-09-02,15:00:00
2024-09-02 15:00:00,San Buenaventura,2.336,2.958,19:15,2024-09-02,15:00:00
2024-09-02 16:00:00,San Buenaventura,0.99,1.157,19:30,2024-09-02,16:00:00
