Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,San Ignacio de Moxos,2.24,2.6,19:00,2024-09-01,01:00:00
2024-09-01 02:00:00,San Ignacio de Moxos,2.123,2.6,19:00,2024-09-01,02:00:00
2024-09-01 03:00:00,San Ignacio de Moxos,2.02,2.6,19:00,2024-09-01,03:00:00
2024-09-01 04:00:00,San Ignacio de Moxos,1.908,2.6,19:00,2024-09-01,04:00:00
2024-09-01 05:00:00,San Ignacio de Moxos,1.273,2.6,19:00,2024-09-01,05:00:00
2024-09-01 06:00:00,San Ignacio de Moxos,1.168,2.6,19:00,2024-09-01,06:00:00
2024-09-01 07:00:00,San Ignacio de Moxos,0.975,2.6,19:00,2024-09-01,07:00:00
2024-09-01 08:00:00,San Ignacio de Moxos,1.353,2.6,19:00,2024-09-01,08:00:00
2024-09-01 09:00:00,San Ignacio de Moxos,1.525,2.6,19:00,2024-09-01,09:00:00
2024-09-01 10:00:00,San Ignacio de Moxos,1.558,2.6,19:00,2024-09-01,10:00:00
2024-09-01 11:00:00,San Ignacio de Moxos,1.53,2.6,19:00,2024-09-01,11:00:00
2024-09-01 12:00:00,San Ignacio de Moxos,1.53,2.6,19:00,2024-09-01,12:00:00
2024-09-01 13:00:00,San Ignacio de Moxos,1.588,2.6,19:00,2024-09-01,13:00:00
2024-09-01 14:00:00,San Ignacio de Moxos,1.673,2.6,19:00,2024-09-01,14:00:00
2024-09-01 15:00:00,San Ignacio de Moxos,1.708,2.6,19:00,2024-09-01,15:00:00
2024-09-01 16:00:00,San Ignacio de Moxos,1.728,2.6,19:00,2024-09-01,16:00:00
2024-09-01 17:00:00,San Ignacio de Moxos,1.775,2.6,19:00,2024-09-01,17:00:00
2024-09-01 18:00:00,San Ignacio de Moxos,1.79,2.6,19:00,2024-09-01,18:00:00
2024-09-01 19:00:00,San Ignacio de Moxos,2.3,2.6,19:00,2024-09-01,19:00:00
2024-09-01 20:00:00,San Ignacio de Moxos,2.553,2.6,19:00,2024-09-01,20:00:00
2024-09-01 21:00:00,San Ignacio de Moxos,2.43,2.6,19:00,2024-09-01,21:00:00
2024-09-01 22:00:00,San Ignacio de Moxos,2.295,2.6,19:00,2024-09-01,22:00:00
2024-09-01 23:00:00,San Ignacio de Moxos,2.04,2.6,19:00,2024-09-01,23:00:00
2024-09-02 00:00:00,San Ignacio de Moxos,1.81,2.6,19:00,2024-09-02,00:00:00
2024-09-02 01:00:00,San Ignacio de Moxos,1.638,2.72,19:00,2024-09-02,01:00:00
2024-09-02 02:00:00,San Ignacio de Moxos,1.515,2.72,19:00,2024-09-02,02:00:00
2024-09-02 03:00:00,San Ignacio de Moxos,1.445,2.72,19:00,2024-09-02,03:00:00
2024-09-02 04:00:00,San Ignacio de Moxos,1.405,2.72,19:00,2024-09-02,04:00:00
2024-09-02 05:00:00,San Ignacio de Moxos,1.365,2.72,19:00,2024-09-02,05:00:00
2024-09-02 06:00:00,San Ignacio de Moxos,1.39,2.72,19:00,2024-09-02,06:00:00
2024-09-02 07:00:00,San Ignacio de Moxos,1.288,2.72,19:00,2024-09-02,07:00:00
2024-09-02 08:00:00,San Ignacio de Moxos,1.353,2.72,19:00,2024-09-02,08:00:00
2024-09-02 09:00:00,San Ignacio de Moxos,1.395,2.72,19:00,2024-09-02,09:00:00
2024-09-02 10:00:00,San Ignacio de Moxos,1.458,2.72,19:00,2024-09-02,10:00:00
2024-09-02 11:00:00,San Ignacio de Moxos,1.463,2.72,19:00,2024-09-02,11:00:00
2024-09-02 12:00:00,San Ignacio de Moxos,1.608,2.72,19:00,2024-09-02,12:00:00
2024-09-02 13:00:00,San Ignacio de Moxos,1.645,2.72,19:00,2024-09-02,13:00:00
2024-09-02 14:00:00,San Ignacio de Moxos,1.825,2.72,19:00,2024-09-02,14:00:00
2024-09-02 15:00:00,San Ignacio de Moxos,1.898,2.72,19:00,2024-09-02,15:00:00
2024-09-02 16:00:00,San Ignacio de Moxos,2.045,2.72,19:00,2024-09-02,16:00:00
2024-09-02 17:00:00,San Ignacio de Moxos,2.028,2.72,19:00,2024-09-02,17:00:00
2024-09-02 18:00:00,San Ignacio de Moxos,2.065,2.72,19:00,2024-09-02,18:00:00
2024-09-02 19:00:00,San Ignacio de Moxos,2.508,2.72,19:00,2024-09-02,19:00:00
