Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Sucre - FANCESSA,1.859,2.683,20:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Sucre - FANCESSA,1.784,2.683,20:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Sucre - FANCESSA,1.724,2.683,20:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Sucre - FANCESSA,1.697,2.683,20:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Sucre - FANCESSA,1.721,2.683,20:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Sucre - FANCESSA,1.779,2.683,20:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Sucre - FANCESSA,1.575,2.683,20:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Sucre - FANCESSA,1.516,2.683,20:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Sucre - FANCESSA,1.597,2.683,20:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Sucre - FANCESSA,1.581,2.683,20:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Sucre - FANCESSA,1.555,2.683,20:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Sucre - FANCESSA,1.545,2.683,20:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Sucre - FANCESSA,1.54,2.683,20:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Sucre - FANCESSA,1.591,2.683,20:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Sucre - FANCESSA,1.661,2.683,20:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Sucre - FANCESSA,1.643,2.683,20:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Sucre - FANCESSA,1.636,2.683,20:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Sucre - FANCESSA,1.735,2.683,20:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Sucre - FANCESSA,2.379,2.683,20:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Sucre - FANCESSA,2.669,2.683,20:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Sucre - FANCESSA,2.545,2.683,20:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Sucre - FANCESSA,2.289,2.683,20:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Sucre - FANCESSA,1.995,2.683,20:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Sucre - FANCESSA,1.826,2.683,20:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Sucre - FANCESSA,1.723,2.664,20:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Sucre - FANCESSA,1.672,2.664,20:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Sucre - FANCESSA,1.63,2.664,20:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Sucre - FANCESSA,1.614,2.664,20:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Sucre - FANCESSA,1.63,2.664,20:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Sucre - FANCESSA,1.703,2.664,20:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Sucre - FANCESSA,1.605,2.664,20:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Sucre - FANCESSA,1.557,2.664,20:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Sucre - FANCESSA,1.478,2.664,20:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Sucre - FANCESSA,1.508,2.664,20:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Sucre - FANCESSA,1.447,2.664,20:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Sucre - FANCESSA,1.537,2.664,20:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Sucre - FANCESSA,1.434,2.664,20:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Sucre - FANCESSA,1.467,2.664,20:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Sucre - FANCESSA,1.57,2.664,20:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Sucre - FANCESSA,1.57,2.664,20:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Sucre - FANCESSA,1.605,2.664,20:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Sucre - FANCESSA,1.657,2.664,20:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Sucre - FANCESSA,2.214,2.664,20:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Sucre - FANCESSA,2.653,2.664,20:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Sucre - FANCESSA,2.575,2.664,20:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Sucre - FANCESSA,2.323,2.664,20:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Sucre - FANCESSA,2.025,2.664,20:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Sucre - FANCESSA,1.857,2.664,20:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Sucre - FANCESSA,1.761,2.775,20:00,2024-09-03,01:00:00
2024-09-03 02:00:00,Sucre - FANCESSA,1.708,2.775,20:00,2024-09-03,02:00:00
2024-09-03 03:00:00,Sucre - FANCESSA,1.664,2.775,20:00,2024-09-03,03:00:00
2024-09-03 04:00:00,Sucre - FANCESSA,1.685,2.775,20:00,2024-09-03,04:00:00
2024-09-03 05:00:00,Sucre - FANCESSA,1.697,2.775,20:00,2024-09-03,05:00:00
2024-09-03 06:00:00,Sucre - FANCESSA,1.764,2.775,20:00,2024-09-03,06:00:00
2024-09-03 07:00:00,Sucre - FANCESSA,1.597,2.775,20:00,2024-09-03,07:00:00
2024-09-03 08:00:00,Sucre - FANCESSA,1.535,2.775,20:00,2024-09-03,08:00:00
2024-09-03 09:00:00,Sucre - FANCESSA,1.49,2.775,20:00,2024-09-03,09:00:00
2024-09-03 10:00:00,Sucre - FANCESSA,1.572,2.775,20:00,2024-09-03,10:00:00
2024-09-03 11:00:00,Sucre - FANCESSA,1.561,2.775,20:00,2024-09-03,11:00:00
2024-09-03 12:00:00,Sucre - FANCESSA,1.594,2.775,20:00,2024-09-03,12:00:00
2024-09-03 13:00:00,Sucre - FANCESSA,1.504,2.775,20:00,2024-09-03,13:00:00
2024-09-03 14:00:00,Sucre - FANCESSA,1.535,2.775,20:00,2024-09-03,14:00:00
2024-09-03 15:00:00,Sucre - FANCESSA,1.671,2.775,20:00,2024-09-03,15:00:00
2024-09-03 16:00:00,Sucre - FANCESSA,1.687,2.775,20:00,2024-09-03,16:00:00
2024-09-03 17:00:00,Sucre - FANCESSA,1.674,2.775,20:00,2024-09-03,17:00:00
2024-09-03 18:00:00,Sucre - FANCESSA,1.656,2.775,20:00,2024-09-03,18:00:00
2024-09-03 19:00:00,Sucre - FANCESSA,2.239,2.775,20:00,2024-09-03,19:00:00
2024-09-03 20:00:00,Sucre - FANCESSA,2.68,2.775,20:00,2024-09-03,20:00:00
2024-09-03 21:00:00,Sucre - FANCESSA,2.686,2.775,20:00,2024-09-03,21:00:00
2024-09-03 22:00:00,Sucre - FANCESSA,2.397,2.775,20:00,2024-09-03,22:00:00
2024-09-03 23:00:00,Sucre - FANCESSA,2.108,2.775,20:00,2024-09-03,23:00:00
2024-09-04 00:00:00,Sucre - FANCESSA,1.874,2.775,20:00,2024-09-04,00:00:00
2024-09-04 01:00:00,Sucre - FANCESSA,1.766,2.813,19:45,2024-09-04,01:00:00
2024-09-04 02:00:00,Sucre - FANCESSA,1.726,2.813,19:45,2024-09-04,02:00:00
2024-09-04 03:00:00,Sucre - FANCESSA,1.729,2.813,19:45,2024-09-04,03:00:00
2024-09-04 04:00:00,Sucre - FANCESSA,1.696,2.813,19:45,2024-09-04,04:00:00
2024-09-04 05:00:00,Sucre - FANCESSA,1.711,2.813,19:45,2024-09-04,05:00:00
2024-09-04 06:00:00,Sucre - FANCESSA,1.797,2.813,19:45,2024-09-04,06:00:00
