Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-11-25 01:00:00,Sucre - Fancesa,1.779,2.777,19:45,2024-11-25,01:00:00
2024-11-25 02:00:00,Sucre - Fancesa,1.737,2.777,19:45,2024-11-25,02:00:00
2024-11-25 03:00:00,Sucre - Fancesa,1.705,2.777,19:45,2024-11-25,03:00:00
2024-11-25 04:00:00,Sucre - Fancesa,1.701,2.777,19:45,2024-11-25,04:00:00
2024-11-25 05:00:00,Sucre - Fancesa,1.745,2.777,19:45,2024-11-25,05:00:00
2024-11-25 06:00:00,Sucre - Fancesa,1.627,2.777,19:45,2024-11-25,06:00:00
2024-11-25 07:00:00,Sucre - Fancesa,1.497,2.777,19:45,2024-11-25,07:00:00
2024-11-25 08:00:00,Sucre - Fancesa,1.539,2.777,19:45,2024-11-25,08:00:00
2024-11-25 09:00:00,Sucre - Fancesa,1.486,2.777,19:45,2024-11-25,09:00:00
2024-11-25 10:00:00,Sucre - Fancesa,1.527,2.777,19:45,2024-11-25,10:00:00
2024-11-25 11:00:00,Sucre - Fancesa,1.553,2.777,19:45,2024-11-25,11:00:00
2024-11-25 12:00:00,Sucre - Fancesa,1.588,2.777,19:45,2024-11-25,12:00:00
2024-11-25 13:00:00,Sucre - Fancesa,1.588,2.777,19:45,2024-11-25,13:00:00
2024-11-25 14:00:00,Sucre - Fancesa,1.528,2.777,19:45,2024-11-25,14:00:00
2024-11-25 15:00:00,Sucre - Fancesa,1.636,2.777,19:45,2024-11-25,15:00:00
2024-11-25 16:00:00,Sucre - Fancesa,1.619,2.777,19:45,2024-11-25,16:00:00
2024-11-25 17:00:00,Sucre - Fancesa,1.698,2.777,19:45,2024-11-25,17:00:00
2024-11-25 18:00:00,Sucre - Fancesa,1.685,2.777,19:45,2024-11-25,18:00:00
2024-11-25 19:00:00,Sucre - Fancesa,1.95,2.777,19:45,2024-11-25,19:00:00
2024-11-25 20:00:00,Sucre - Fancesa,2.733,2.777,19:45,2024-11-25,20:00:00
2024-11-25 21:00:00,Sucre - Fancesa,2.712,2.777,19:45,2024-11-25,21:00:00
2024-11-25 22:00:00,Sucre - Fancesa,2.506,2.777,19:45,2024-11-25,22:00:00
2024-11-25 23:00:00,Sucre - Fancesa,2.181,2.777,19:45,2024-11-25,23:00:00
2024-11-26 00:00:00,Sucre - Fancesa,2.001,2.777,19:45,2024-11-26,00:00:00
2024-11-26 01:00:00,Sucre - Fancesa,1.875,2.685,19:30,2024-11-26,01:00:00
2024-11-26 02:00:00,Sucre - Fancesa,1.839,2.685,19:30,2024-11-26,02:00:00
2024-11-26 03:00:00,Sucre - Fancesa,1.807,2.685,19:30,2024-11-26,03:00:00
2024-11-26 04:00:00,Sucre - Fancesa,1.812,2.685,19:30,2024-11-26,04:00:00
2024-11-26 05:00:00,Sucre - Fancesa,1.811,2.685,19:30,2024-11-26,05:00:00
2024-11-26 06:00:00,Sucre - Fancesa,1.696,2.685,19:30,2024-11-26,06:00:00
2024-11-26 07:00:00,Sucre - Fancesa,1.48,2.685,19:30,2024-11-26,07:00:00
2024-11-26 08:00:00,Sucre - Fancesa,1.525,2.685,19:30,2024-11-26,08:00:00
2024-11-26 09:00:00,Sucre - Fancesa,1.532,2.685,19:30,2024-11-26,09:00:00
2024-11-26 10:00:00,Sucre - Fancesa,1.544,2.685,19:30,2024-11-26,10:00:00
2024-11-26 11:00:00,Sucre - Fancesa,1.515,2.685,19:30,2024-11-26,11:00:00
2024-11-26 12:00:00,Sucre - Fancesa,1.54,2.685,19:30,2024-11-26,12:00:00
2024-11-26 13:00:00,Sucre - Fancesa,1.55,2.685,19:30,2024-11-26,13:00:00
2024-11-26 14:00:00,Sucre - Fancesa,1.508,2.685,19:30,2024-11-26,14:00:00
2024-11-26 15:00:00,Sucre - Fancesa,1.595,2.685,19:30,2024-11-26,15:00:00
2024-11-26 16:00:00,Sucre - Fancesa,1.615,2.685,19:30,2024-11-26,16:00:00
2024-11-26 17:00:00,Sucre - Fancesa,1.628,2.685,19:30,2024-11-26,17:00:00
2024-11-26 18:00:00,Sucre - Fancesa,1.756,2.685,19:30,2024-11-26,18:00:00
2024-11-26 19:00:00,Sucre - Fancesa,2.014,2.685,19:30,2024-11-26,19:00:00
2024-11-26 20:00:00,Sucre - Fancesa,2.654,2.685,19:30,2024-11-26,20:00:00
2024-11-26 21:00:00,Sucre - Fancesa,2.61,2.685,19:30,2024-11-26,21:00:00
2024-11-26 22:00:00,Sucre - Fancesa,2.425,2.685,19:30,2024-11-26,22:00:00
2024-11-26 23:00:00,Sucre - Fancesa,2.112,2.685,19:30,2024-11-26,23:00:00
2024-11-27 00:00:00,Sucre - Fancesa,1.931,2.685,19:30,2024-11-27,00:00:00
