Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Tazna,0.076,0.154,20:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Tazna,0.095,0.154,20:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Tazna,0.086,0.154,20:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Tazna,0.079,0.154,20:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Tazna,0.078,0.154,20:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Tazna,0.081,0.154,20:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Tazna,0.098,0.154,20:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Tazna,0.108,0.154,20:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Tazna,0.118,0.154,20:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Tazna,0.125,0.154,20:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Tazna,0.14,0.154,20:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Tazna,0.137,0.154,20:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Tazna,0.114,0.154,20:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Tazna,0.118,0.154,20:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Tazna,0.137,0.154,20:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Tazna,0.134,0.154,20:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Tazna,0.138,0.154,20:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Tazna,0.14,0.154,20:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Tazna,0.139,0.154,20:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Tazna,0.152,0.154,20:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Tazna,0.141,0.154,20:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Tazna,0.118,0.154,20:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Tazna,0.105,0.154,20:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Tazna,0.088,0.154,20:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Tazna,0.097,0.756,15:15,2024-09-02,01:00:00
2024-09-02 02:00:00,Tazna,0.096,0.756,15:15,2024-09-02,02:00:00
2024-09-02 03:00:00,Tazna,0.093,0.756,15:15,2024-09-02,03:00:00
2024-09-02 04:00:00,Tazna,0.09,0.756,15:15,2024-09-02,04:00:00
2024-09-02 05:00:00,Tazna,0.093,0.756,15:15,2024-09-02,05:00:00
2024-09-02 06:00:00,Tazna,0.113,0.756,15:15,2024-09-02,06:00:00
2024-09-02 07:00:00,Tazna,0.106,0.756,15:15,2024-09-02,07:00:00
2024-09-02 08:00:00,Tazna,0.138,0.756,15:15,2024-09-02,08:00:00
2024-09-02 09:00:00,Tazna,0.189,0.756,15:15,2024-09-02,09:00:00
2024-09-02 10:00:00,Tazna,0.363,0.756,15:15,2024-09-02,10:00:00
2024-09-02 11:00:00,Tazna,0.367,0.756,15:15,2024-09-02,11:00:00
2024-09-02 12:00:00,Tazna,0.381,0.756,15:15,2024-09-02,12:00:00
2024-09-02 13:00:00,Tazna,0.466,0.756,15:15,2024-09-02,13:00:00
2024-09-02 14:00:00,Tazna,0.607,0.756,15:15,2024-09-02,14:00:00
2024-09-02 15:00:00,Tazna,0.722,0.756,15:15,2024-09-02,15:00:00
2024-09-02 16:00:00,Tazna,0.469,0.756,15:15,2024-09-02,16:00:00
2024-09-02 17:00:00,Tazna,0.306,0.756,15:15,2024-09-02,17:00:00
2024-09-02 18:00:00,Tazna,0.161,0.756,15:15,2024-09-02,18:00:00
2024-09-02 19:00:00,Tazna,0.143,0.756,15:15,2024-09-02,19:00:00
2024-09-02 20:00:00,Tazna,0.132,0.756,15:15,2024-09-02,20:00:00
2024-09-02 21:00:00,Tazna,0.139,0.756,15:15,2024-09-02,21:00:00
2024-09-02 22:00:00,Tazna,0.124,0.756,15:15,2024-09-02,22:00:00
2024-09-02 23:00:00,Tazna,0.109,0.756,15:15,2024-09-02,23:00:00
2024-09-03 00:00:00,Tazna,0.102,0.756,15:15,2024-09-03,00:00:00
2024-09-03 01:00:00,Tazna,0.107,0.726,15:30,2024-09-03,01:00:00
2024-09-03 02:00:00,Tazna,0.102,0.726,15:30,2024-09-03,02:00:00
2024-09-03 03:00:00,Tazna,0.096,0.726,15:30,2024-09-03,03:00:00
2024-09-03 04:00:00,Tazna,0.094,0.726,15:30,2024-09-03,04:00:00
2024-09-03 05:00:00,Tazna,0.093,0.726,15:30,2024-09-03,05:00:00
2024-09-03 06:00:00,Tazna,0.1,0.726,15:30,2024-09-03,06:00:00
2024-09-03 07:00:00,Tazna,0.135,0.726,15:30,2024-09-03,07:00:00
2024-09-03 08:00:00,Tazna,0.138,0.726,15:30,2024-09-03,08:00:00
2024-09-03 09:00:00,Tazna,0.174,0.726,15:30,2024-09-03,09:00:00
2024-09-03 10:00:00,Tazna,0.374,0.726,15:30,2024-09-03,10:00:00
2024-09-03 11:00:00,Tazna,0.526,0.726,15:30,2024-09-03,11:00:00
2024-09-03 12:00:00,Tazna,0.605,0.726,15:30,2024-09-03,12:00:00
2024-09-03 13:00:00,Tazna,0.667,0.726,15:30,2024-09-03,13:00:00
2024-09-03 14:00:00,Tazna,0.605,0.726,15:30,2024-09-03,14:00:00
2024-09-03 15:00:00,Tazna,0.636,0.726,15:30,2024-09-03,15:00:00
2024-09-03 16:00:00,Tazna,0.708,0.726,15:30,2024-09-03,16:00:00
2024-09-03 17:00:00,Tazna,0.514,0.726,15:30,2024-09-03,17:00:00
2024-09-03 18:00:00,Tazna,0.226,0.726,15:30,2024-09-03,18:00:00
2024-09-03 19:00:00,Tazna,0.123,0.726,15:30,2024-09-03,19:00:00
2024-09-03 20:00:00,Tazna,0.13,0.726,15:30,2024-09-03,20:00:00
2024-09-03 21:00:00,Tazna,0.135,0.726,15:30,2024-09-03,21:00:00
2024-09-03 22:00:00,Tazna,0.127,0.726,15:30,2024-09-03,22:00:00
2024-09-03 23:00:00,Tazna,0.111,0.726,15:30,2024-09-03,23:00:00
2024-09-04 00:00:00,Tazna,0.095,0.726,15:30,2024-09-04,00:00:00
2024-09-04 01:00:00,Tazna,0.101,0.579,14:30,2024-09-04,01:00:00
2024-09-04 02:00:00,Tazna,0.103,0.579,14:30,2024-09-04,02:00:00
2024-09-04 03:00:00,Tazna,0.096,0.579,14:30,2024-09-04,03:00:00
2024-09-04 04:00:00,Tazna,0.09,0.579,14:30,2024-09-04,04:00:00
2024-09-04 05:00:00,Tazna,0.077,0.579,14:30,2024-09-04,05:00:00
