Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Telamayu,1.679,1.779,19:15,2024-09-01,01:00:00
2024-09-01 02:00:00,Telamayu,1.625,1.779,19:15,2024-09-01,02:00:00
2024-09-01 03:00:00,Telamayu,1.579,1.779,19:15,2024-09-01,03:00:00
2024-09-01 04:00:00,Telamayu,1.546,1.779,19:15,2024-09-01,04:00:00
2024-09-01 05:00:00,Telamayu,1.517,1.779,19:15,2024-09-01,05:00:00
2024-09-01 06:00:00,Telamayu,1.551,1.779,19:15,2024-09-01,06:00:00
2024-09-01 07:00:00,Telamayu,1.51,1.779,19:15,2024-09-01,07:00:00
2024-09-01 08:00:00,Telamayu,1.546,1.779,19:15,2024-09-01,08:00:00
2024-09-01 09:00:00,Telamayu,1.535,1.779,19:15,2024-09-01,09:00:00
2024-09-01 10:00:00,Telamayu,1.589,1.779,19:15,2024-09-01,10:00:00
2024-09-01 11:00:00,Telamayu,1.625,1.779,19:15,2024-09-01,11:00:00
2024-09-01 12:00:00,Telamayu,1.623,1.779,19:15,2024-09-01,12:00:00
2024-09-01 13:00:00,Telamayu,1.579,1.779,19:15,2024-09-01,13:00:00
2024-09-01 14:00:00,Telamayu,1.496,1.779,19:15,2024-09-01,14:00:00
2024-09-01 15:00:00,Telamayu,1.455,1.779,19:15,2024-09-01,15:00:00
2024-09-01 16:00:00,Telamayu,1.532,1.779,19:15,2024-09-01,16:00:00
2024-09-01 17:00:00,Telamayu,1.527,1.779,19:15,2024-09-01,17:00:00
2024-09-01 18:00:00,Telamayu,1.496,1.779,19:15,2024-09-01,18:00:00
2024-09-01 19:00:00,Telamayu,1.679,1.779,19:15,2024-09-01,19:00:00
2024-09-01 20:00:00,Telamayu,1.751,1.779,19:15,2024-09-01,20:00:00
2024-09-01 21:00:00,Telamayu,1.762,1.779,19:15,2024-09-01,21:00:00
2024-09-01 22:00:00,Telamayu,1.744,1.779,19:15,2024-09-01,22:00:00
2024-09-01 23:00:00,Telamayu,1.72,1.779,19:15,2024-09-01,23:00:00
2024-09-02 00:00:00,Telamayu,1.574,1.779,19:15,2024-09-02,00:00:00
2024-09-02 01:00:00,Telamayu,1.468,2.86,11:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Telamayu,1.4,2.86,11:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Telamayu,1.373,2.86,11:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Telamayu,1.355,2.86,11:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Telamayu,1.306,2.86,11:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Telamayu,1.321,2.86,11:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Telamayu,1.286,2.86,11:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Telamayu,1.426,2.86,11:30,2024-09-02,08:00:00
2024-09-02 09:00:00,Telamayu,1.75,2.86,11:30,2024-09-02,09:00:00
2024-09-02 10:00:00,Telamayu,2.32,2.86,11:30,2024-09-02,10:00:00
2024-09-02 11:00:00,Telamayu,2.593,2.86,11:30,2024-09-02,11:00:00
2024-09-02 12:00:00,Telamayu,2.748,2.86,11:30,2024-09-02,12:00:00
2024-09-02 13:00:00,Telamayu,2.466,2.86,11:30,2024-09-02,13:00:00
2024-09-02 14:00:00,Telamayu,2.464,2.86,11:30,2024-09-02,14:00:00
2024-09-02 15:00:00,Telamayu,2.493,2.86,11:30,2024-09-02,15:00:00
2024-09-02 16:00:00,Telamayu,2.363,2.86,11:30,2024-09-02,16:00:00
2024-09-02 17:00:00,Telamayu,1.872,2.86,11:30,2024-09-02,17:00:00
2024-09-02 18:00:00,Telamayu,1.766,2.86,11:30,2024-09-02,18:00:00
2024-09-02 19:00:00,Telamayu,1.872,2.86,11:30,2024-09-02,19:00:00
2024-09-02 20:00:00,Telamayu,1.983,2.86,11:30,2024-09-02,20:00:00
2024-09-02 21:00:00,Telamayu,1.881,2.86,11:30,2024-09-02,21:00:00
2024-09-02 22:00:00,Telamayu,1.825,2.86,11:30,2024-09-02,22:00:00
2024-09-02 23:00:00,Telamayu,1.779,2.86,11:30,2024-09-02,23:00:00
2024-09-03 00:00:00,Telamayu,1.623,2.86,11:30,2024-09-03,00:00:00
2024-09-03 01:00:00,Telamayu,1.486,2.942,10:45,2024-09-03,01:00:00
2024-09-03 02:00:00,Telamayu,1.436,2.942,10:45,2024-09-03,02:00:00
2024-09-03 03:00:00,Telamayu,1.454,2.942,10:45,2024-09-03,03:00:00
2024-09-03 04:00:00,Telamayu,1.443,2.942,10:45,2024-09-03,04:00:00
2024-09-03 05:00:00,Telamayu,1.438,2.942,10:45,2024-09-03,05:00:00
2024-09-03 06:00:00,Telamayu,1.514,2.942,10:45,2024-09-03,06:00:00
2024-09-03 07:00:00,Telamayu,1.533,2.942,10:45,2024-09-03,07:00:00
2024-09-03 08:00:00,Telamayu,1.664,2.942,10:45,2024-09-03,08:00:00
2024-09-03 09:00:00,Telamayu,2.035,2.942,10:45,2024-09-03,09:00:00
2024-09-03 10:00:00,Telamayu,2.63,2.942,10:45,2024-09-03,10:00:00
2024-09-03 11:00:00,Telamayu,2.88,2.942,10:45,2024-09-03,11:00:00
2024-09-03 12:00:00,Telamayu,2.726,2.942,10:45,2024-09-03,12:00:00
2024-09-03 13:00:00,Telamayu,2.632,2.942,10:45,2024-09-03,13:00:00
2024-09-03 14:00:00,Telamayu,2.561,2.942,10:45,2024-09-03,14:00:00
2024-09-03 15:00:00,Telamayu,2.624,2.942,10:45,2024-09-03,15:00:00
2024-09-03 16:00:00,Telamayu,2.484,2.942,10:45,2024-09-03,16:00:00
2024-09-03 17:00:00,Telamayu,2.141,2.942,10:45,2024-09-03,17:00:00
2024-09-03 18:00:00,Telamayu,1.823,2.942,10:45,2024-09-03,18:00:00
2024-09-03 19:00:00,Telamayu,1.825,2.942,10:45,2024-09-03,19:00:00
2024-09-03 20:00:00,Telamayu,1.883,2.942,10:45,2024-09-03,20:00:00
2024-09-03 21:00:00,Telamayu,1.915,2.942,10:45,2024-09-03,21:00:00
2024-09-03 22:00:00,Telamayu,1.87,2.942,10:45,2024-09-03,22:00:00
2024-09-03 23:00:00,Telamayu,1.816,2.942,10:45,2024-09-03,23:00:00
2024-09-04 00:00:00,Telamayu,1.704,2.942,10:45,2024-09-04,00:00:00
2024-09-04 01:00:00,Telamayu,1.518,2.928,11:15,2024-09-04,01:00:00
2024-09-04 02:00:00,Telamayu,1.485,2.928,11:15,2024-09-04,02:00:00
2024-09-04 03:00:00,Telamayu,1.44,2.928,11:15,2024-09-04,03:00:00
2024-09-04 04:00:00,Telamayu,1.434,2.928,11:15,2024-09-04,04:00:00
2024-09-04 05:00:00,Telamayu,1.423,2.928,11:15,2024-09-04,05:00:00
2024-09-04 06:00:00,Telamayu,1.59,2.928,11:15,2024-09-04,06:00:00
2024-09-04 07:00:00,Telamayu,1.655,2.928,11:15,2024-09-04,07:00:00
2024-09-04 08:00:00,Telamayu,1.731,2.928,11:15,2024-09-04,08:00:00
2024-09-04 09:00:00,Telamayu,2.132,2.928,11:15,2024-09-04,09:00:00
2024-09-04 10:00:00,Telamayu,2.799,2.928,11:15,2024-09-04,10:00:00
2024-09-04 11:00:00,Telamayu,2.839,2.928,11:15,2024-09-04,11:00:00
2024-09-04 12:00:00,Telamayu,2.879,2.928,11:15,2024-09-04,12:00:00
2024-09-04 13:00:00,Telamayu,2.725,2.928,11:15,2024-09-04,13:00:00
2024-09-04 14:00:00,Telamayu,2.658,2.928,11:15,2024-09-04,14:00:00
2024-09-04 15:00:00,Telamayu,2.332,2.928,11:15,2024-09-04,15:00:00
2024-09-04 16:00:00,Telamayu,2.174,2.928,11:15,2024-09-04,16:00:00
2024-09-04 17:00:00,Telamayu,1.844,2.928,11:15,2024-09-04,17:00:00
2024-09-04 18:00:00,Telamayu,1.774,2.928,11:15,2024-09-04,18:00:00
2024-09-04 19:00:00,Telamayu,1.643,2.928,11:15,2024-09-04,19:00:00
2024-09-04 20:00:00,Telamayu,1.733,2.928,11:15,2024-09-04,20:00:00
2024-09-04 21:00:00,Telamayu,1.919,2.928,11:15,2024-09-04,21:00:00
2024-09-04 22:00:00,Telamayu,1.796,2.928,11:15,2024-09-04,22:00:00
2024-09-04 23:00:00,Telamayu,1.732,2.928,11:15,2024-09-04,23:00:00
2024-09-05 00:00:00,Telamayu,1.625,2.928,11:15,2024-09-05,00:00:00
2024-09-05 01:00:00,Telamayu,1.578,2.74,11:00,2024-09-05,01:00:00
2024-09-05 02:00:00,Telamayu,1.552,2.74,11:00,2024-09-05,02:00:00
2024-09-05 03:00:00,Telamayu,1.443,2.74,11:00,2024-09-05,03:00:00
