Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Torre Huayco,5.182,7.886,19:15,2024-09-01,01:00:00
2024-09-01 02:00:00,Torre Huayco,4.813,7.886,19:15,2024-09-01,02:00:00
2024-09-01 03:00:00,Torre Huayco,4.376,7.886,19:15,2024-09-01,03:00:00
2024-09-01 04:00:00,Torre Huayco,4.241,7.886,19:15,2024-09-01,04:00:00
2024-09-01 05:00:00,Torre Huayco,4.13,7.886,19:15,2024-09-01,05:00:00
2024-09-01 06:00:00,Torre Huayco,4.133,7.886,19:15,2024-09-01,06:00:00
2024-09-01 07:00:00,Torre Huayco,3.813,7.886,19:15,2024-09-01,07:00:00
2024-09-01 08:00:00,Torre Huayco,4.054,7.886,19:15,2024-09-01,08:00:00
2024-09-01 09:00:00,Torre Huayco,4.657,7.886,19:15,2024-09-01,09:00:00
2024-09-01 10:00:00,Torre Huayco,5.013,7.886,19:15,2024-09-01,10:00:00
2024-09-01 11:00:00,Torre Huayco,5.183,7.886,19:15,2024-09-01,11:00:00
2024-09-01 12:00:00,Torre Huayco,5.361,7.886,19:15,2024-09-01,12:00:00
2024-09-01 13:00:00,Torre Huayco,5.152,7.886,19:15,2024-09-01,13:00:00
2024-09-01 14:00:00,Torre Huayco,5.136,7.886,19:15,2024-09-01,14:00:00
2024-09-01 15:00:00,Torre Huayco,5.238,7.886,19:15,2024-09-01,15:00:00
2024-09-01 16:00:00,Torre Huayco,5.429,7.886,19:15,2024-09-01,16:00:00
2024-09-01 17:00:00,Torre Huayco,5.705,7.886,19:15,2024-09-01,17:00:00
2024-09-01 18:00:00,Torre Huayco,5.964,7.886,19:15,2024-09-01,18:00:00
2024-09-01 19:00:00,Torre Huayco,7.227,7.886,19:15,2024-09-01,19:00:00
2024-09-01 20:00:00,Torre Huayco,7.871,7.886,19:15,2024-09-01,20:00:00
2024-09-01 21:00:00,Torre Huayco,7.591,7.886,19:15,2024-09-01,21:00:00
2024-09-01 22:00:00,Torre Huayco,7.135,7.886,19:15,2024-09-01,22:00:00
2024-09-01 23:00:00,Torre Huayco,6.319,7.886,19:15,2024-09-01,23:00:00
