Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Villa Tunari,4.434,5.916,20:15,2024-09-01,01:00:00
2024-09-01 02:00:00,Villa Tunari,4.153,5.916,20:15,2024-09-01,02:00:00
2024-09-01 03:00:00,Villa Tunari,3.719,5.916,20:15,2024-09-01,03:00:00
2024-09-01 04:00:00,Villa Tunari,3.87,5.916,20:15,2024-09-01,04:00:00
2024-09-01 05:00:00,Villa Tunari,3.775,5.916,20:15,2024-09-01,05:00:00
2024-09-01 06:00:00,Villa Tunari,3.833,5.916,20:15,2024-09-01,06:00:00
2024-09-01 07:00:00,Villa Tunari,3.748,5.916,20:15,2024-09-01,07:00:00
2024-09-01 08:00:00,Villa Tunari,3.728,5.916,20:15,2024-09-01,08:00:00
2024-09-01 09:00:00,Villa Tunari,3.805,5.916,20:15,2024-09-01,09:00:00
2024-09-01 10:00:00,Villa Tunari,4.0,5.916,20:15,2024-09-01,10:00:00
2024-09-01 11:00:00,Villa Tunari,4.158,5.916,20:15,2024-09-01,11:00:00
2024-09-01 12:00:00,Villa Tunari,4.109,5.916,20:15,2024-09-01,12:00:00
2024-09-01 13:00:00,Villa Tunari,4.296,5.916,20:15,2024-09-01,13:00:00
2024-09-01 14:00:00,Villa Tunari,4.335,5.916,20:15,2024-09-01,14:00:00
2024-09-01 15:00:00,Villa Tunari,4.263,5.916,20:15,2024-09-01,15:00:00
2024-09-01 16:00:00,Villa Tunari,4.375,5.916,20:15,2024-09-01,16:00:00
2024-09-01 17:00:00,Villa Tunari,4.377,5.916,20:15,2024-09-01,17:00:00
2024-09-01 18:00:00,Villa Tunari,4.418,5.916,20:15,2024-09-01,18:00:00
2024-09-01 19:00:00,Villa Tunari,5.299,5.916,20:15,2024-09-01,19:00:00
2024-09-01 20:00:00,Villa Tunari,5.847,5.916,20:15,2024-09-01,20:00:00
2024-09-01 21:00:00,Villa Tunari,5.766,5.916,20:15,2024-09-01,21:00:00
2024-09-01 22:00:00,Villa Tunari,5.383,5.916,20:15,2024-09-01,22:00:00
2024-09-01 23:00:00,Villa Tunari,4.822,5.916,20:15,2024-09-01,23:00:00
2024-09-02 00:00:00,Villa Tunari,4.346,5.916,20:15,2024-09-02,00:00:00
2024-09-02 01:00:00,Villa Tunari,4.038,6.649,19:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Villa Tunari,3.793,6.649,19:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Villa Tunari,3.675,6.649,19:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Villa Tunari,3.602,6.649,19:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Villa Tunari,3.57,6.649,19:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Villa Tunari,3.738,6.649,19:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Villa Tunari,4.014,6.649,19:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Villa Tunari,3.789,6.649,19:30,2024-09-02,08:00:00
2024-09-02 09:00:00,Villa Tunari,3.773,6.649,19:30,2024-09-02,09:00:00
2024-09-02 10:00:00,Villa Tunari,3.905,6.649,19:30,2024-09-02,10:00:00
2024-09-02 11:00:00,Villa Tunari,4.179,6.649,19:30,2024-09-02,11:00:00
2024-09-02 12:00:00,Villa Tunari,4.292,6.649,19:30,2024-09-02,12:00:00
2024-09-02 13:00:00,Villa Tunari,4.476,6.649,19:30,2024-09-02,13:00:00
2024-09-02 14:00:00,Villa Tunari,4.799,6.649,19:30,2024-09-02,14:00:00
2024-09-02 15:00:00,Villa Tunari,4.97,6.649,19:30,2024-09-02,15:00:00
2024-09-02 16:00:00,Villa Tunari,5.107,6.649,19:30,2024-09-02,16:00:00
2024-09-02 17:00:00,Villa Tunari,5.115,6.649,19:30,2024-09-02,17:00:00
2024-09-02 18:00:00,Villa Tunari,5.192,6.649,19:30,2024-09-02,18:00:00
2024-09-02 19:00:00,Villa Tunari,6.057,6.649,19:30,2024-09-02,19:00:00
2024-09-02 20:00:00,Villa Tunari,6.592,6.649,19:30,2024-09-02,20:00:00
2024-09-02 21:00:00,Villa Tunari,6.514,6.649,19:30,2024-09-02,21:00:00
2024-09-02 22:00:00,Villa Tunari,6.024,6.649,19:30,2024-09-02,22:00:00
2024-09-02 23:00:00,Villa Tunari,5.387,6.649,19:30,2024-09-02,23:00:00
2024-09-03 00:00:00,Villa Tunari,4.805,6.649,19:30,2024-09-03,00:00:00
2024-09-03 01:00:00,Villa Tunari,4.447,7.178,19:15,2024-09-03,01:00:00
2024-09-03 02:00:00,Villa Tunari,4.147,7.178,19:15,2024-09-03,02:00:00
2024-09-03 03:00:00,Villa Tunari,3.99,7.178,19:15,2024-09-03,03:00:00
2024-09-03 04:00:00,Villa Tunari,3.926,7.178,19:15,2024-09-03,04:00:00
2024-09-03 05:00:00,Villa Tunari,3.906,7.178,19:15,2024-09-03,05:00:00
2024-09-03 06:00:00,Villa Tunari,4.153,7.178,19:15,2024-09-03,06:00:00
2024-09-03 07:00:00,Villa Tunari,4.382,7.178,19:15,2024-09-03,07:00:00
2024-09-03 08:00:00,Villa Tunari,4.08,7.178,19:15,2024-09-03,08:00:00
2024-09-03 09:00:00,Villa Tunari,4.088,7.178,19:15,2024-09-03,09:00:00
