Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Yacuiba,7.572,11.107,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Yacuiba,7.055,11.107,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Yacuiba,6.873,11.107,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Yacuiba,6.708,11.107,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Yacuiba,6.843,11.107,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Yacuiba,6.983,11.107,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Yacuiba,6.256,11.107,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Yacuiba,5.957,11.107,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Yacuiba,6.3,11.107,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Yacuiba,6.772,11.107,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Yacuiba,7.012,11.107,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Yacuiba,7.302,11.107,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Yacuiba,7.248,11.107,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Yacuiba,7.141,11.107,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Yacuiba,7.253,11.107,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Yacuiba,7.297,11.107,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Yacuiba,7.301,11.107,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Yacuiba,7.542,11.107,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Yacuiba,9.704,11.107,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Yacuiba,10.942,11.107,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Yacuiba,10.758,11.107,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Yacuiba,10.169,11.107,19:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Yacuiba,9.255,11.107,19:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Yacuiba,8.274,11.107,19:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Yacuiba,7.353,12.147,19:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Yacuiba,6.779,12.147,19:30,2024-09-02,02:00:00
