Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Retiros EMDEECRUZ,13.14,24.298,04:45,2024-09-01,01:00:00
2024-09-01 01:03:00,Retiros EMDEECRUZ,13.8648493125,24.298,04:45,2024-09-01,01:03:00
2024-09-01 01:06:00,Retiros EMDEECRUZ,14.5656045,24.298,04:45,2024-09-01,01:06:00
2024-09-01 01:09:00,Retiros EMDEECRUZ,15.2408514375,24.298,04:45,2024-09-01,01:09:00
2024-09-01 01:12:00,Retiros EMDEECRUZ,15.889175999999999,24.298,04:45,2024-09-01,01:12:00
2024-09-01 01:15:00,Retiros EMDEECRUZ,16.5091640625,24.298,04:45,2024-09-01,01:15:00
2024-09-01 01:18:00,Retiros EMDEECRUZ,17.099401500000003,24.298,04:45,2024-09-01,01:18:00
2024-09-01 01:21:00,Retiros EMDEECRUZ,17.6584741875,24.298,04:45,2024-09-01,01:21:00
2024-09-01 01:24:00,Retiros EMDEECRUZ,18.184967999999998,24.298,04:45,2024-09-01,01:24:00
2024-09-01 01:27:00,Retiros EMDEECRUZ,18.6774688125,24.298,04:45,2024-09-01,01:27:00
2024-09-01 01:30:00,Retiros EMDEECRUZ,19.134562499999998,24.298,04:45,2024-09-01,01:30:00
2024-09-01 01:33:00,Retiros EMDEECRUZ,19.5548349375,24.298,04:45,2024-09-01,01:33:00
2024-09-01 01:36:00,Retiros EMDEECRUZ,19.936872,24.298,04:45,2024-09-01,01:36:00
2024-09-01 01:39:00,Retiros EMDEECRUZ,20.279259562499995,24.298,04:45,2024-09-01,01:39:00
2024-09-01 01:42:00,Retiros EMDEECRUZ,20.5805835,24.298,04:45,2024-09-01,01:42:00
2024-09-01 01:45:00,Retiros EMDEECRUZ,20.8394296875,24.298,04:45,2024-09-01,01:45:00
2024-09-01 01:48:00,Retiros EMDEECRUZ,21.054384000000002,24.298,04:45,2024-09-01,01:48:00
2024-09-01 01:51:00,Retiros EMDEECRUZ,21.2240323125,24.298,04:45,2024-09-01,01:51:00
2024-09-01 01:54:00,Retiros EMDEECRUZ,21.346960499999994,24.298,04:45,2024-09-01,01:54:00
2024-09-01 01:57:00,Retiros EMDEECRUZ,21.4217544375,24.298,04:45,2024-09-01,01:57:00
2024-09-01 02:00:00,Retiros EMDEECRUZ,21.447,24.298,04:45,2024-09-01,02:00:00
2024-09-01 02:03:00,Retiros EMDEECRUZ,21.418809542068967,24.298,04:45,2024-09-01,02:03:00
2024-09-01 02:06:00,Retiros EMDEECRUZ,21.337785633103447,24.298,04:45,2024-09-01,02:06:00
2024-09-01 02:09:00,Retiros EMDEECRUZ,21.209249470344826,24.298,04:45,2024-09-01,02:09:00
2024-09-01 02:12:00,Retiros EMDEECRUZ,21.038522251034482,24.298,04:45,2024-09-01,02:12:00
2024-09-01 02:15:00,Retiros EMDEECRUZ,20.830925172413792,24.298,04:45,2024-09-01,02:15:00
2024-09-01 02:18:00,Retiros EMDEECRUZ,20.591779431724138,24.298,04:45,2024-09-01,02:18:00
2024-09-01 02:21:00,Retiros EMDEECRUZ,20.326406226206895,24.298,04:45,2024-09-01,02:21:00
2024-09-01 02:24:00,Retiros EMDEECRUZ,20.040126753103447,24.298,04:45,2024-09-01,02:24:00
2024-09-01 02:27:00,Retiros EMDEECRUZ,19.738262209655172,24.298,04:45,2024-09-01,02:27:00
2024-09-01 02:30:00,Retiros EMDEECRUZ,19.42613379310345,24.298,04:45,2024-09-01,02:30:00
2024-09-01 02:33:00,Retiros EMDEECRUZ,19.109062700689655,24.298,04:45,2024-09-01,02:33:00
2024-09-01 02:36:00,Retiros EMDEECRUZ,18.792370129655176,24.298,04:45,2024-09-01,02:36:00
2024-09-01 02:39:00,Retiros EMDEECRUZ,18.481377277241382,24.298,04:45,2024-09-01,02:39:00
2024-09-01 02:42:00,Retiros EMDEECRUZ,18.181405340689658,24.298,04:45,2024-09-01,02:42:00
2024-09-01 02:45:00,Retiros EMDEECRUZ,17.897775517241378,24.298,04:45,2024-09-01,02:45:00
2024-09-01 02:48:00,Retiros EMDEECRUZ,17.635809004137933,24.298,04:45,2024-09-01,02:48:00
2024-09-01 02:51:00,Retiros EMDEECRUZ,17.40082699862069,24.298,04:45,2024-09-01,02:51:00
2024-09-01 02:54:00,Retiros EMDEECRUZ,17.198150697931034,24.298,04:45,2024-09-01,02:54:00
2024-09-01 02:57:00,Retiros EMDEECRUZ,17.033101299310346,24.298,04:45,2024-09-01,02:57:00
2024-09-01 03:00:00,Retiros EMDEECRUZ,16.911,24.298,04:45,2024-09-01,03:00:00
2024-09-01 03:03:00,Retiros EMDEECRUZ,16.812620700689653,24.298,04:45,2024-09-01,03:03:00
2024-09-01 03:06:00,Retiros EMDEECRUZ,16.715465302068967,24.298,04:45,2024-09-01,03:06:00
2024-09-01 03:09:00,Retiros EMDEECRUZ,16.619947001379312,24.298,04:45,2024-09-01,03:09:00
2024-09-01 03:12:00,Retiros EMDEECRUZ,16.52647899586207,24.298,04:45,2024-09-01,03:12:00
2024-09-01 03:15:00,Retiros EMDEECRUZ,16.435474482758625,24.298,04:45,2024-09-01,03:15:00
2024-09-01 03:18:00,Retiros EMDEECRUZ,16.347346659310347,24.298,04:45,2024-09-01,03:18:00
2024-09-01 03:21:00,Retiros EMDEECRUZ,16.26250872275862,24.298,04:45,2024-09-01,03:21:00
2024-09-01 03:24:00,Retiros EMDEECRUZ,16.181373870344824,24.298,04:45,2024-09-01,03:24:00
2024-09-01 03:27:00,Retiros EMDEECRUZ,16.104355299310345,24.298,04:45,2024-09-01,03:27:00
2024-09-01 03:30:00,Retiros EMDEECRUZ,16.031866206896552,24.298,04:45,2024-09-01,03:30:00
2024-09-01 03:33:00,Retiros EMDEECRUZ,15.964319790344828,24.298,04:45,2024-09-01,03:33:00
2024-09-01 03:36:00,Retiros EMDEECRUZ,15.902129246896552,24.298,04:45,2024-09-01,03:36:00
2024-09-01 03:39:00,Retiros EMDEECRUZ,15.845707773793105,24.298,04:45,2024-09-01,03:39:00
2024-09-01 03:42:00,Retiros EMDEECRUZ,15.795468568275862,24.298,04:45,2024-09-01,03:42:00
2024-09-01 03:45:00,Retiros EMDEECRUZ,15.751824827586207,24.298,04:45,2024-09-01,03:45:00
2024-09-01 03:48:00,Retiros EMDEECRUZ,15.715189748965518,24.298,04:45,2024-09-01,03:48:00
2024-09-01 03:51:00,Retiros EMDEECRUZ,15.685976529655171,24.298,04:45,2024-09-01,03:51:00
2024-09-01 03:54:00,Retiros EMDEECRUZ,15.664598366896552,24.298,04:45,2024-09-01,03:54:00
2024-09-01 03:57:00,Retiros EMDEECRUZ,15.651468457931035,24.298,04:45,2024-09-01,03:57:00
2024-09-01 04:00:00,Retiros EMDEECRUZ,15.647,24.298,04:45,2024-09-01,04:00:00
2024-09-01 04:03:00,Retiros EMDEECRUZ,15.667137533471934,24.298,04:45,2024-09-01,04:03:00
2024-09-01 04:06:00,Retiros EMDEECRUZ,15.725112758419959,24.298,04:45,2024-09-01,04:06:00
