Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Arboleda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492,1.325,2.781,1.694,0.329,0,0,0.27,6.892,3.317,18:45,2024-09-01
Arboleda,0.484,0,0,0,0,0,0,0.575,3.971,6.249,10.137,11.863,9.336,9.816,10.454,10.177,7.653,3.099,3.234,2.623,1.658,0.111,0.353,1.349,93.141,12.759,11:15,2024-09-02
Arboleda,0.591,0,0,0,0,0,0,0.861,3.694,4.793,6.162,8.161,9.217,14.323,17.159,17.628,13.886,6.233,7.979,7.554,5.662,5.047,1,4.194,134.141,18.282,15:00,2024-09-03
Arboleda,4.773,4.42,3.916,4.503,2.603,3.36,1.139,1.527,7.705,9.292,12.918,15.838,14.842,16.279,19.992,18.131,15.12,8.209,6.614,5.301,2.067,0,0.464,2.67,181.684,20.647,15:00,2024-09-04
Arboleda,3.047,2.047,1.008,2.317,1.67,0.659,0.448,0.805,2.428,1.682,4.098,4.678,3.642,5.745,1.877,1.472,5.011,1.024,2.813,2.607,0.956,0.365,0.044,0.238,50.681,7.935,16:15,2024-09-05
Arboleda,0.472,0,0.095,0,0,0,0,0,0,0.063,0.071,0.056,0,0.258,0.996,0,0,0,0,0,0,0,0,0,2.012,1.381,14:30,2024-09-06
Arboleda,0,0,0,0,0,0,0,0,0,0.492,3.472,5.257,4.09,6.475,7.649,7.201,4.614,0.948,2.746,1.147,0.008,0,0.381,0,44.48,8.189,15:15,2024-09-07
Arboleda,0,0,0,0,0,0,0,0,0.611,0.186,4.944,11.53,13.359,20.687,22.658,4.634,2.008,0.579,4.65,6.225,4.737,2.269,0.69,0.111,99.878,24.17,14:30,2024-09-08
Arboleda,0.004,0,0,0,0,0,0,0,4.087,7.693,11.629,13.755,13.716,15.644,17.699,18.302,14.914,8.677,7.717,9.391,7.55,8.201,7.649,8.193,174.82,18.52,15:30,2024-09-09
Arboleda,3.718,1.896,0.401,0,0.008,0,0,0,5.995,15.957,18.861,21.841,20.048,22.043,12.085,11.311,8.522,7.649,7.483,9.149,7.685,6.035,4.448,5.503,190.638,23.742,13:45,2024-09-10
Arboleda,2.222,0,0,0,0,0,0,0,3.452,9.526,12.744,17.921,15.584,18.969,24.174,25.015,18.635,12.18,12.66,15.148,12.91,12.319,13.132,14.398,240.99,25.535,15:15,2024-09-11
Arboleda,10.316,7.324,4.277,0.401,0,0,0,0.436,5.804,7.955,11.184,13.402,12.049,14.311,17.04,16.596,11.042,4.011,4.813,6.249,4.694,5.027,2.444,0.528,159.902,17.552,15:00,2024-09-12
Arboleda,1.258,1.662,1.892,0.254,0,0,0,2.246,9.058,11.006,14.275,15.33,10.764,15.489,18.869,17.838,11.99,6.856,6.876,7.193,8.554,8.653,7.062,9.121,186.246,19.536,14:45,2024-09-13
Arboleda,7.768,5.182,4.206,2.67,0.782,1.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.968,9.966,00:15,2024-09-14
Arboleda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,1.198,0,2.563,3.559,1.028,0,0,0,8.479,4.396,19:00,2024-09-15
Arboleda,0,0,0,0,0,0,0,0,0,0,0.524,0.825,0.21,2.131,6.332,8.213,8.098,4.436,5.189,6.138,4.277,0.845,0,3.801,51.018,9.316,16:15,2024-09-16
Arboleda,2.146,0.845,1.639,2.476,2.797,2.428,0,1.043,4.705,9.117,11.188,12.914,12.47,12.708,13.168,11.216,8.625,1.313,0.107,0,0,0,0,0,110.908,13.966,14:30,2024-09-17
Arboleda,0,0,0,0,0,0,0,0,0.468,1.174,1.861,2.876,2.373,5.646,7.32,10.534,7.304,1.924,0.988,1.773,0.496,0,0,0,44.738,11.077,15:45,2024-09-18
Arboleda,0,0,0,0,0,0,0,0,0,0.016,3.13,6.408,5.634,10.427,12.831,12.724,8.264,1.012,0.21,1.305,0.968,1.186,0.579,2.686,67.38,13.267,14:00,2024-09-19
Arboleda,0.234,0,0,0,0,0,0,0,0.468,3.249,6.642,9.554,9.728,12.922,17.318,17.183,12.315,6.098,5.824,6.082,6.221,5.189,3.035,4.071,126.135,18.742,15:00,2024-09-20
Arboleda,3.301,1.825,2.44,4.206,2.174,3.753,2.861,2.48,4.662,10.966,12.91,11.625,8.99,10.05,12.49,11.827,8.062,4.475,4.737,6.154,3.833,1.964,1.504,3.646,140.934,13.696,11:00,2024-09-21
Arboleda,1.877,0.012,0,0,0,0,0,0,0,0.028,1.738,3.642,4.61,6.773,4.352,4.872,4.011,1.928,4.297,6.098,4.007,5.717,4.995,12.585,71.542,17.632,23:30,2024-09-22
Arboleda,2.686,1.194,0.282,1.028,1.151,0.317,0,0.69,6.332,8.947,10.839,14.926,14.263,18.155,19.909,21.127,16.576,9.661,6.868,7.84,5.388,5.67,4.495,6.201,184.544,21.742,15:15,2024-09-23
Arboleda,3.745,2.424,1.139,0.083,0,0,0,0,0.746,2.531,5.368,7.102,7.308,9.236,9.812,8.927,7.483,5.32,6.154,7.118,7.165,7.32,7.276,9.522,115.78,11.331,15:15,2024-09-24
