Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Arocagua,53.354,46.075,41.918,39.99,39.311,39.222,36.408,37.258,41.795,46.193,49.846,53.29,53.461,52.912,53.574,53.544,54.632,57.083,61.064,61.081,70.085,74.683,68.267,57.74,1242.787,78.122,20:45,2024-09-01
Arocagua,50.264,42.074,39.182,37.95,38.299,43.682,59.15,62.289,66.61,70.736,74.408,78.119,75.51,75.937,78.542,79.214,78.184,74.926,72.439,66.038,71.972,79.398,72.858,64.4,1552.178,82.683,21:00,2024-09-02
Arocagua,56.641,48.876,45.681,45.14,45.394,49.768,61.219,64.703,68.308,71.57,71.905,74.461,71.536,74.206,78.849,80.289,80.062,73.194,69.68,68.747,75.458,81.825,74.144,67.368,1599.024,86.258,21:00,2024-09-03
Arocagua,58.308,52.935,50.733,49.928,50.405,54.486,63.4,66.035,69.682,74.531,74.021,74.653,71.739,74.062,78.054,80.393,82.122,78.053,76.818,69.448,72.683,78.781,72.317,64.874,1638.461,82.988,21:00,2024-09-04
Arocagua,58.227,51.212,47.774,46.424,46.795,51.304,64.858,67.125,69.522,72.529,74.378,74.029,68.893,70.836,75.802,78.09,78.153,71.853,70.859,69.504,73.09,80.458,73.744,64.291,1599.751,83.807,21:00,2024-09-05
Arocagua,56.001,48.403,46.771,46.329,46.456,50.292,60.248,63.598,66.096,70.755,70.779,73.619,71.73,72.965,75.833,76.796,75.7,74.562,71.587,67.711,80.332,79.563,73.682,66.873,1586.682,86.495,20:45,2024-09-06
Arocagua,57.153,50.276,48.258,47.307,47.896,50.779,51.623,54.705,60.065,64.117,65.953,68.086,66.561,67.593,69.038,68.426,66.503,64.852,65.612,62.505,68.563,71.868,69.232,56.457,1463.425,78.007,21:00,2024-09-07
Arocagua,51.004,46.802,43.694,42.8,43.314,44.418,42.537,44.826,51.066,50.63,52.152,52.972,53.21,53.525,57.693,54.715,57.203,60.253,62.375,61.513,71.872,75.905,70.336,62.601,1307.416,80.65,20:45,2024-09-08
Arocagua,54.222,44.508,40.324,39.916,40.147,44.721,55.526,62.304,65.437,70.366,74.743,77.952,76.166,76.906,80.86,83.315,83.441,81.302,74.756,73.354,81.861,87.055,77.4,68.56,1615.141,90.764,21:00,2024-09-09
Arocagua,61.319,53.921,48.726,48.243,48.161,52.558,61.768,65.228,71.01,77.548,79.037,80.766,77.365,80.38,85.045,87.546,86.232,82.977,80.333,76.136,84.853,89.513,80.519,71.225,1730.409,93.279,21:00,2024-09-10
Arocagua,63.478,53.816,46.316,44.671,44.792,51.195,59.663,66.654,72.956,78.847,80.488,83.398,81.109,84.198,87.358,87.669,87.03,83.328,82.576,78.906,84.678,90.334,83.31,73.068,1749.842,94.749,21:00,2024-09-11
Arocagua,64.947,59.701,51.189,47.327,48.614,51.963,60.269,70.915,77.6,80.801,81.263,82.324,78.92,80.479,84.37,85.595,83.792,79.735,78.901,73.403,82.276,87.314,76.151,66.427,1734.278,91.828,21:00,2024-09-12
Arocagua,61.52,58.446,52.582,47.211,49.02,53.107,60.199,66.26,72.774,77.378,78.441,80.254,73.767,80.695,86.054,86.407,83.567,78.626,75.581,73.344,81.757,84.13,75.132,70.121,1706.371,89.304,20:45,2024-09-13
Arocagua,59.984,51.352,47.091,45.235,44.434,46.361,44.279,45.834,50.355,58.229,59.635,59.632,59.328,62.699,62.727,63.345,64.312,62.912,63.999,55.516,58.309,68.983,61.901,56.845,1353.294,71.255,21:00,2024-09-14
Arocagua,49.024,42.991,41.072,38.996,38.002,38.948,38.272,39.458,43.585,47.754,52.273,54.906,57.045,59.785,60.444,63.595,64.23,62.614,58.876,59.147,65.809,76.44,68.111,60.952,1282.33,78.372,21:15,2024-09-15
Arocagua,48.646,41.866,39.875,38.033,39.086,43.156,51.444,60.143,64.26,67.404,68.459,71.976,71.024,74.672,77.646,80.71,79.746,75.817,71.027,68.354,77.247,81.715,70.892,66.249,1529.446,85.956,20:45,2024-09-16
Arocagua,59.25,54.145,51.516,51.913,52.04,55.565,62.45,67.228,72.384,77.125,77.641,78.969,76.402,78.89,82.961,83.716,83.465,79.394,78.87,73.575,79.032,85.907,76.485,70.396,1709.32,90.441,21:00,2024-09-17
Arocagua,61.953,57.581,55.92,54.126,55.917,61.245,69.516,70.788,74.853,78.532,79.723,81.225,77.847,79.413,83.778,86.069,85.193,82.258,78.817,77.537,83.809,88.964,80.45,71.264,1776.779,92.932,21:00,2024-09-18
Arocagua,62.3,54.299,52.258,51.84,51.56,56.224,63.393,67.142,72.098,76.536,79.201,81.173,77.649,81.715,85.318,87.139,85.024,78.417,71.538,69.227,85.931,91.74,83.831,76.566,1742.119,95.624,21:00,2024-09-19
Arocagua,65.564,57.906,52.491,51.525,50.56,55.107,62.865,69.661,74.273,77.423,79.953,81.995,80.845,84.352,87.925,88.418,88.217,80.228,72.082,72.272,85.708,85.785,78.552,73.846,1757.552,91.943,21:00,2024-09-20
Arocagua,65.391,57.539,53.759,52.397,50.776,55.707,56.072,60.967,70.027,77.192,78.44,76.334,77.329,78.109,78.415,79.178,77.52,75.076,74.236,70.553,78.833,81.345,78.266,72.578,1676.037,86.454,21:00,2024-09-21
Arocagua,62.156,52.316,46.614,44.16,42.219,42.878,39.995,50.345,59.549,64.245,68.233,69.758,70.734,69.791,70.158,70.498,70.437,68.13,68.712,66.657,77.207,83.828,74.678,68.55,1501.848,86.014,21:00,2024-09-22
Arocagua,54.627,46.126,43.035,41.947,41.824,45.346,55.424,63.1,69.849,76.075,78.435,78.294,74.785,77.725,82.24,83.857,81.886,75.744,73.663,75.644,83.229,84.819,76.619,72.552,1636.845,90.089,21:00,2024-09-23
Arocagua,60.745,52.741,49.683,46.894,46.305,50.611,55.903,62.686,67.645,72.179,73.745,80.043,76.55,80.704,84.495,86.136,83.202,77.827,72.971,74.05,86.197,88.362,81.069,75.155,1685.897,92.174,21:00,2024-09-24
Arocagua,67.337,56.64,50.636,46.507,47.074,52.605,62.541,68.801,75.175,79.912,81.119,83.782,79.755,82.795,87.607,88.77,86.972,81.025,69.2,71.449,89.365,88.063,80.289,75.505,1752.924,92.472,21:00,2024-09-25
