Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Bermejo,2.453,2.253,2.18,2.119,2.078,2.091,1.979,1.972,2.149,2.283,2.376,2.419,2.464,2.439,2.506,2.576,2.596,2.732,3.404,3.682,3.639,3.472,3.12,2.692,61.677,3.757,19:15,2024-09-01
Bermejo,2.386,2.178,2.06,1.979,2.07,2.186,2.433,2.5,2.567,2.704,2.792,2.851,2.911,2.927,2.878,2.933,2.99,3.094,3.72,4.006,3.904,3.63,3.24,2.802,67.74,4.065,19:00,2024-09-02
Bermejo,2.408,2.22,2.115,2.065,2.107,2.227,2.358,2.52,2.618,2.801,2.935,3.04,2.965,3.04,2.993,3.049,3.098,3.109,3.787,4.047,3.98,3.713,3.283,2.838,69.319,4.081,19:15,2024-09-03
Bermejo,2.446,2.243,2.126,2.077,2.122,2.315,2.475,2.531,2.683,2.75,2.847,2.948,2.947,2.992,2.999,3.038,3.039,3.183,3.88,4.046,3.956,3.749,3.415,3.006,69.815,4.071,19:45,2024-09-04
Bermejo,2.56,2.363,2.253,2.184,2.198,2.354,2.544,2.647,2.75,2.874,3.017,3.129,3.166,3.096,3.086,3.179,3.159,3.241,3.827,4.14,3.995,3.756,3.306,2.843,71.668,4.186,19:15,2024-09-05
Bermejo,2.434,2.246,2.202,2.116,2.158,2.361,2.42,2.516,2.706,2.806,2.948,3.054,3.115,3.095,3.195,3.295,3.348,3.365,3.934,4.222,4.057,3.844,3.464,3.025,71.925,4.254,19:15,2024-09-06
Bermejo,2.661,2.421,2.278,2.234,2.245,2.384,2.405,2.461,2.659,2.863,2.951,3.08,3.075,3.086,3.131,3.259,3.243,3.362,3.976,4.159,4.087,3.91,3.532,3.14,72.602,4.22,19:00,2024-09-07
Bermejo,2.849,2.6,2.474,2.431,2.382,2.36,2.204,2.101,2.315,2.466,2.648,2.766,2.865,2.815,2.914,2.886,2.973,3.125,3.712,3.906,3.833,3.638,3.351,2.964,68.577,3.959,19:30,2024-09-08
Bermejo,2.608,2.373,2.283,2.202,2.269,2.45,2.635,2.693,2.792,2.978,3.126,3.234,3.294,3.372,3.38,3.484,3.569,3.613,4.12,4.422,4.297,3.98,3.617,3.138,75.929,4.461,19:30,2024-09-09
Bermejo,2.683,2.469,2.342,2.288,2.355,2.503,2.611,2.733,2.935,3.042,3.209,3.364,3.516,3.579,3.714,3.858,3.972,4.019,4.57,4.694,4.574,4.323,3.962,3.509,80.822,4.774,19:00,2024-09-10
Bermejo,3.001,2.727,2.557,2.457,2.525,2.707,2.831,2.92,3.144,3.23,3.408,3.548,3.669,3.702,3.617,3.662,3.679,3.734,4.491,4.644,4.438,4.177,3.792,3.352,82.013,4.698,19:15,2024-09-11
Bermejo,2.821,2.562,2.446,2.353,2.361,2.544,2.797,2.867,3.033,3.008,3.064,3.119,3.075,3.016,2.959,3.005,3.077,3.268,3.808,4.016,3.909,3.699,3.334,2.841,72.984,4.076,20:00,2024-09-12
Bermejo,2.524,2.362,2.388,2.317,2.334,2.505,2.567,2.81,3.031,3.117,3.215,3.372,3.387,3.493,3.548,3.65,3.521,3.535,4.057,4.356,4.174,3.942,3.618,3.222,77.046,4.413,19:15,2024-09-13
Bermejo,2.808,2.57,2.456,2.385,2.404,2.527,2.664,2.667,2.873,3.033,3.095,3.129,3.051,2.891,2.885,2.911,2.909,3.034,3.707,3.876,3.751,3.526,3.219,2.863,71.231,3.943,19:15,2024-09-14
Bermejo,2.567,2.375,2.257,2.19,2.186,2.217,1.975,2.109,2.276,2.444,2.533,2.638,2.676,2.635,2.732,2.8,2.861,2.978,3.485,3.895,3.803,3.635,3.301,2.888,65.456,3.956,19:30,2024-09-15
Bermejo,2.535,2.357,2.25,2.191,2.23,2.348,2.398,2.529,2.747,2.915,3.05,3.172,3.2,3.277,3.273,3.334,3.35,3.451,3.913,4.168,4.086,3.783,3.422,2.939,72.915,4.207,20:00,2024-09-16
Bermejo,2.56,2.309,2.202,2.143,2.176,2.381,2.413,2.596,2.721,2.928,3.089,3.173,3.232,3.385,3.536,3.642,3.726,3.788,4.233,4.537,4.464,4.205,3.803,3.258,76.502,4.571,19:30,2024-09-17
Bermejo,2.807,2.529,2.414,2.307,2.38,2.549,2.53,2.804,3.029,3.163,3.333,3.544,3.592,3.702,3.889,4.016,4.088,4.123,4.582,4.811,4.662,4.416,4.03,3.526,82.825,4.875,19:15,2024-09-18
