Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Brechas - 115,24.371,23.923,22.199,21.019,19.347,15.848,13.596,15.547,17.542,18.311,18.307,18.355,18.104,18.057,18.087,18.079,17.792,18.164,23.213,24.841,24.958,24.243,21.751,20.82,476.473,25.174,21:00,2024-09-01
Brechas - 115,19.523,17.992,17.145,16.501,16.557,17.915,18.101,19.115,21.54,23.787,25.463,27.806,29.632,31.856,34.463,34.211,32.726,31.453,33.264,34.128,34.053,33.7,30.885,30.079,631.896,35.178,15:00,2024-09-02
Brechas - 115,28.552,26.361,25.696,25.968,25.563,26.888,26.41,27.035,29.389,32.471,33.988,35.263,35.357,37.368,38.5,38.997,37.891,33.69,36.937,37.514,36.79,35.933,35.55,33.023,781.134,39.356,15:45,2024-09-03
Brechas - 115,31.559,30.568,25.122,23.513,22.47,23.365,22.599,23.147,26.485,28.414,30.083,30.978,31.517,33.79,35.6,37.181,35.539,34.059,36.953,38.111,38.217,37.725,35.438,34.381,746.815,38.81,20:00,2024-09-04
Brechas - 115,32.408,31.257,29.675,29.08,28.642,28.772,27.984,27.469,29.155,31.107,31.745,32.139,31.19,31.842,68.24,71.634,30.086,26.754,29.522,29.815,29.708,27.16,24.718,23.989,784.092,81.375,15:30,2024-09-05
Brechas - 115,23.086,21.502,20.793,19.84,20.012,20.633,19.988,21.561,23.623,26.245,28.68,30.161,30.009,30.433,31.718,48.744,34.704,29.872,32.995,33.398,32.866,31.916,29.533,28.357,670.67,66.305,16:00,2024-09-06
Brechas - 115,28.142,26.852,26.714,26.248,26.288,26.826,25.597,26.184,28.5,30.975,32.092,33.29,32.424,33.098,33.791,34.431,33.822,31.827,34.508,34.758,34.193,33.365,31.835,32.264,738.024,35.472,18:45,2024-09-07
Brechas - 115,30.954,28.937,27.313,26.619,26.245,26.205,24.401,23.706,22.942,25.795,30.077,34.125,35.328,36.134,36.401,32.776,32.735,32.352,35.159,35.963,35.179,36.147,35.492,32.257,743.242,37.098,19:15,2024-09-08
Brechas - 115,29.386,28.073,27.864,27.376,26.608,26.559,25.757,27.524,30.661,35.15,38.922,40.144,39.819,41.247,42.781,43.344,41.542,39.426,41.331,42.107,41.645,38.823,37.837,37.432,851.358,43.626,16:00,2024-09-09
Brechas - 115,35.313,33.206,31.466,30.941,30.92,31.829,31.104,30.739,35.35,39.951,41.647,42.993,43.331,47.768,99.853,108.796,82.109,40.009,42.371,42.443,42.512,42.022,40.846,39.829,1087.347,109.142,15:15,2024-09-10
Brechas - 115,37.85,35.605,34.169,33.376,33.64,34.143,31.98,33.026,37.044,39.031,40.35,41.281,39.896,42.327,44.204,45.056,42.179,39.784,42.456,44.261,44.297,44.261,42.025,40.633,942.873,45.454,15:15,2024-09-11
Brechas - 115,39.334,37.837,36.98,33.422,30.465,29.469,26.931,26.153,28.552,29.628,30.631,31.377,30.359,32.092,34.62,36.166,35.711,34.062,36.761,36.735,35.811,33.143,30.856,29.772,786.866,39.694,00:45,2024-09-12
Brechas - 115,31.926,28.689,27.34,26.877,27.042,27.53,26.09,26.456,29.369,31.166,32.769,36.142,39.843,42.196,43.986,44.728,41.163,38.846,40.798,42.658,41.768,41.091,39.19,38.345,846.009,44.884,15:30,2024-09-13
Brechas - 115,38.358,34.362,33.816,33.41,29.889,28.212,27.796,26.891,29.514,29.9,31.624,31.994,31.38,30.052,29.882,30.741,28.831,23.552,26.73,28.489,28.693,26.937,25.539,23.367,709.959,39.591,00:30,2024-09-14
