Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Brechas 115,36.928,34.42,33.844,32.85,32.944,31.572,32.638,34.171,37.092,39.272,40.771,42.173,42.322,44.333,46.239,46.843,44.556,40.929,40.137,43.313,44.037,43.87,42.785,42.3,950.339,47.085,15:15,2024-11-25
Brechas 115,40.79,38.582,37.019,36.435,36.291,34.74,34.103,36.018,38.494,40.233,40.939,42.118,41.6,43.37,45.019,45.472,43.496,40.446,40.508,43.95,44.189,44.015,42.814,41.928,972.568,45.664,15:15,2024-11-26
Brechas 115,40.746,39.158,37.615,36.911,36.494,34.351,34.25,35.059,38.067,39.515,40.146,41.082,40.616,42.747,43.481,43.574,42.028,38.86,38.717,42.389,42.639,42.765,41.847,40.935,953.992,43.787,15:45,2024-11-27
Brechas 115,39.479,37.337,36.039,35.06,35.002,34.161,33.373,34.179,36.788,38.52,39.613,40.783,40.624,42.674,43.486,42.917,41.254,37.807,37.556,40.944,41.656,42.103,40.957,40.166,932.476,43.779,14:45,2024-11-28
Brechas 115,38.09,36.779,35.245,35.314,34.149,33.634,32.538,33.874,36.599,38.051,38.871,39.939,40.411,42.699,44.523,44.651,42.524,39.516,37.841,40.078,39.824,39.772,38.518,37.902,921.345,45.069,15:15,2024-11-29
Brechas 115,36.561,35.273,34.279,33.243,32.765,32.447,31.292,32.954,35.516,37.561,38.529,40.009,40.346,41.441,42.6,42.503,41.253,39.564,39.89,42.639,42.041,41.745,40.631,41.193,916.277,42.964,19:30,2024-11-30
Brechas 115,40.748,38.319,37.265,36.407,35.496,32.837,31.121,31.977,33.066,34.644,34.703,35.683,36.886,38.678,38.517,37.18,37.249,36.283,36.565,40.215,40.597,40.313,39.61,39.562,883.92,41.219,00:30,2024-12-01
Brechas 115,38.658,37.338,35.83,35.218,34.78,33.659,33.939,34.162,34.457,31.976,32.674,34.679,32.584,33.357,33.864,32.366,30.806,29.828,30.723,33.318,33.094,32.233,30.021,29.438,799.002,39.268,00:30,2024-12-02
Brechas 115,28.501,27.096,26.485,26.296,26.903,27.001,26.852,27.633,29.477,30.049,30.429,31.681,31.182,31.82,32.936,34.143,32.566,30.36,30.601,33.581,33.3,32.733,31.081,29.864,722.57,34.187,15:30,2024-12-03
Brechas 115,29.935,28.916,28.691,27.996,28.188,27.571,27.582,28.222,28.23,29.666,30.572,31.503,34.654,36.651,37.941,37.374,35.649,33.342,32.893,36.319,36.071,34.924,33.454,32.662,769.005,38.108,15:00,2024-12-04
Brechas 115,32.158,31.047,30.058,30.036,30.019,28.739,28.014,29.894,33.016,34.899,36.13,37.456,37.277,38.077,39.243,39.991,38.082,35.093,34.411,38.255,38.126,37.622,35.773,35.189,828.607,40.222,16:00,2024-12-05
Brechas 115,34.179,33.093,31.845,31.686,31.915,30.952,31.001,32.293,34.218,35.877,36.768,36.985,35.845,37.1,37.863,37.844,36.304,35.021,34.414,37.19,37.066,36.763,35.732,35.465,837.416,38.121,15:00,2024-12-06
Brechas 115,35.042,33.201,32.033,31.529,31.467,30.961,30.045,30.339,31.956,33.608,34.115,34.551,34.165,34.374,35.271,35.42,34.186,33.715,33.699,36.826,36.347,35.568,34.224,34.125,806.767,37.132,19:15,2024-12-07
