Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Brechas,36.084,34.028,32.974,31.745,29.31,30.037,34.366,37.242,38.717,40.467,40.67,41.202,40.6,40.39,40.261,40.19,40.127,35.84,35.157,38.047,38.929,38.882,36.15,31.559,882.976,41.229,11:15,2024-09-01
Brechas,28.557,26.92,25.915,25.348,25.016,25.544,27.312,29.768,33.097,36.178,37.499,40.468,43.923,47.533,46.612,48.171,48.096,46.532,47.547,47.573,47.065,46.022,45.383,42.828,918.903,48.546,14:00,2024-09-02
Brechas,39.623,38.012,36.792,35.562,35.451,36.037,38.643,40.476,43.039,43.983,46.854,47.984,47.636,49.388,52.015,53.711,52.879,51.015,51.226,50.666,48.559,46.039,45.664,44.843,1076.099,53.936,16:00,2024-09-03
Brechas,42.298,39.579,34.364,31.303,31.074,31.283,33.72,34.526,34.127,38.429,40.187,42.23,41.922,43.677,46.405,43.447,42.052,41.892,46.08,52.297,54.094,53.81,49.728,44.586,993.108,55.419,20:45,2024-09-04
Brechas,43.277,42.638,40.884,38.849,38.311,38.793,40.315,41.374,44.393,44.091,44.83,44.24,43.306,43.966,41.391,41.355,44.224,41.648,42.393,42.272,40.964,43.341,41.489,38.066,1006.41,45.126,14:15,2024-09-05
Brechas,34.336,32.272,29.77,28.671,28.471,28.997,29.299,31.979,34.279,36.234,39.749,42.336,43.051,43.864,44.543,42.846,44.477,45.655,49.325,50.486,50.06,49.07,46.366,43.199,949.334,50.672,19:30,2024-09-06
Brechas,40.48,38.043,36.118,35.369,35.174,35.529,35.807,38.053,42.55,45.847,47.312,48.991,49.555,49.484,50.105,50.446,50.618,50.433,53.856,54.927,54.432,52.968,50.307,48.534,1094.941,55.065,19:45,2024-09-07
Brechas,45.667,42.687,40.468,38.815,37.996,37.81,36.76,36.077,34.992,38.821,43.407,47.295,48.922,49.219,48.116,48.525,48.322,45.722,46.192,48.077,49.038,51.186,49.453,46.462,1060.028,51.488,21:45,2024-09-08
Brechas,44.69,42.295,41.986,40.773,39.192,38.981,40.095,43.073,45.725,48.16,52.546,53.167,53.949,53.732,55.663,55.783,53.862,50.702,50.397,53.865,53.512,50.191,48.889,51.805,1163.033,56.196,15:30,2024-09-09
Brechas,48.678,44.368,42.319,41.128,40.364,41.761,43.157,44.99,46.398,50.095,53.584,55.414,53.096,52.398,48.067,45.407,46.035,48.477,49.34,53.832,53.736,52.825,52.067,52.635,1160.168,56.01,11:45,2024-09-10
Brechas,52.273,49.183,47.312,46.179,45.421,45.012,45.444,45.184,49.453,53.335,52.615,51.152,51.899,53.568,56.397,55.357,54.121,50.801,51.258,53.728,53.176,53.771,49.331,44.71,1210.68,57.222,14:45,2024-09-11
Brechas,47.224,43.398,41.605,38.363,40.298,39.186,37.774,38.878,42.593,40.469,37.569,37.842,38.939,40.051,41.218,39.524,40.965,42.422,48.117,49.598,47.483,43.539,41.367,38.993,997.415,50.293,19:15,2024-09-12
Brechas,36.627,36.976,34.702,34.143,33.828,34.224,34.228,37.374,40.066,37.98,39.476,43.146,45.823,50.521,51.676,52.917,51.441,50.323,53.483,51.499,52.097,51.042,50.446,46.801,1050.839,54.674,18:45,2024-09-13
Brechas,45.046,40.094,43.195,44.464,40.309,35.572,36.007,37.883,43.838,43.976,45.742,47.651,45.523,42.237,40.454,40.925,39.963,39.642,43.504,44.982,44.936,42.199,40.85,37.378,1006.369,48.21,11:15,2024-09-14
Brechas,36.151,34.113,36.495,35.604,35.322,34.71,31.602,30.104,29.519,31.383,32.187,34.283,32.735,32.008,31.921,30.378,30.216,31.725,35.902,38.297,38.97,38.165,35.872,33.042,810.703,39.384,21:00,2024-09-15
Brechas,32.845,30.966,29.227,27.83,27.807,28.803,32.47,33.984,36.457,39.459,40.525,42.903,43.144,43.144,45.354,45.296,44.21,43.058,44.644,44.83,44.361,44.289,42.703,36.761,925.071,46.088,15:15,2024-09-16
Brechas,32.962,30.404,28.749,27.39,27.307,28.254,30.352,27.805,31.611,35.387,38.274,40.179,41.561,44.83,47.642,49.715,49.056,47.935,49.09,48.805,49.121,48.544,49.833,45.801,950.61,50.813,22:00,2024-09-17
Brechas,42.294,38.727,36.826,34.021,31.829,31.919,34.538,37.811,40.903,45.481,48.379,50.716,51.322,51.731,51.139,47.181,43.448,40.057,44.448,50.028,48.757,50.983,52.544,50.154,1055.238,53.826,22:30,2024-09-18
Brechas,46.435,43.76,41.346,39.016,38.13,39.409,41.649,44.932,49.716,50.094,51.177,53.615,54.028,55.653,51.631,49.186,47.445,41.12,45.074,50.666,51.395,51.787,50.636,50.779,1138.682,56.4,13:30,2024-09-19
Brechas,47.369,48.653,46.804,44.527,43.481,43.443,41.776,41.613,47.124,49.677,51.963,53.182,52.747,51.887,51.591,52.533,50.621,49.727,52.296,53.076,56.108,55.605,54.911,52.009,1192.724,56.746,20:45,2024-09-20
Brechas,48.278,44.989,45.252,42.987,42.513,38.753,36.924,35.988,37.267,40.569,45.37,52.971,54.654,54.777,55.499,54.201,54.111,51.715,53.714,53.522,53.82,53.68,55.02,52.676,1159.25,55.783,14:45,2024-09-21
Brechas,51.703,48.89,48.644,48.611,46.885,45.36,42.135,42.629,45.992,49.7,50.681,49.663,50.868,50.921,53.277,54.756,52.612,51.227,52.825,52.798,53.539,55.339,54.613,51.404,1205.072,55.79,21:45,2024-09-22
Brechas,50.654,49.589,49.345,46.787,44.917,44.324,44.337,47.876,50.768,53.629,51.769,52.913,51.7,52.251,52.273,52.491,50.297,46.375,46.446,50.643,48.964,50.697,49.443,50.688,1189.177,54.325,10:00,2024-09-23
Brechas,47.423,48.493,51.867,50.394,49.137,46.854,43.615,44.352,46.605,50.52,51.189,50.845,50.628,51.442,51.354,52.618,52.533,53.131,53.044,52.32,52.917,53.579,53.4,56.994,1215.253,59.484,23:45,2024-09-24
Brechas,56.17,53.066,51.239,49.52,47.892,46.721,43.305,39.562,48.071,51.619,52.644,52.039,51.776,52.617,53.293,53.84,51.629,48.481,49.171,50.644,49.16,50.316,51.138,50.214,1204.126,57.315,00:15,2024-09-25
Brechas,50.786,46.51,45.789,47.887,48.111,46.099,45.869,47.543,51.111,52.709,52.965,53.244,52.107,52.704,54.188,52.884,52.267,49.939,51.042,52.945,51.726,50.558,49.523,45.63,1204.135,54.683,14:30,2024-09-26
Brechas,40.265,36.966,37.818,37.135,36.849,35.01,38.467,40.176,45.13,47.113,44.427,45.107,43.703,44.985,45.761,45.414,45.08,42.879,45.605,45.201,43.57,43.196,44.395,41.494,1015.745,47.988,09:15,2024-09-27
Brechas,38.45,36.174,33.829,32.109,31.236,31.472,32.155,34.175,39.485,45.048,44.622,47.454,49.04,49.971,48.932,49.977,49.517,49.113,53.081,53.558,52.098,50.875,52.016,50.118,1054.504,53.964,18:45,2024-09-28
Brechas,47.339,44.44,40.574,40.083,37.376,35.194,34.331,35.309,38.492,42.852,47.628,51.138,53.191,54.516,53.923,55.475,55.492,53.933,54.507,54.674,55.046,57.024,57.913,55.692,1156.143,58.531,22:30,2024-09-29
Brechas,52.078,48.361,45.643,43.148,41.434,41.523,42.018,45.339,49.666,52.548,54.451,54.307,55.067,55.533,57.316,57.523,55.2,54.265,57.376,54.888,54.499,54.504,52.987,50.03,1229.703,58.022,18:15,2024-09-30
Brechas,51.328,49.082,50.738,48.603,46.634,45.551,45.712,47.753,50.449,54.253,54.59,55.181,53.43,55.387,57.217,58.498,56.902,53.455,55.697,55.302,57.334,57.15,56.662,53.307,1270.215,58.708,15:15,2024-10-01
Brechas,50.292,48.333,51.503,47.748,46.326,44.195,42.299,42.748,49.088,48.823,48.369,46.661,44.522,45.977,43.38,39.877,37.895,36.972,45.76,47.573,52.733,53.482,51.083,45.95,1111.589,54.104,21:30,2024-10-02
Brechas,45.351,48.831,46.642,44.524,43.047,41.749,42.291,41.379,42.44,45.165,46.117,48.101,46.652,47.769,48.97,48.956,47.824,46.453,47.775,48.348,47.556,48.125,47.776,44.619,1106.46,49.462,01:15,2024-10-03
Brechas,41.333,43.843,41.419,38.72,39.197,40.048,40.829,41.587,44.361,44.269,45.009,45.511,44.617,46.085,47.176,46.661,45.813,44.441,44.882,44.227,45.101,44.018,44.599,43.702,1047.449,47.944,14:45,2024-10-04
Brechas,41.328,40.937,39.597,38.582,38.248,37.921,38.135,39.708,44.048,47.951,50.261,50.985,49.614,49.408,50.393,48.48,48.008,46.881,48.607,49.284,52.603,51.962,51.078,48.728,1102.747,52.933,20:30,2024-10-05
Brechas,45.107,43.802,43.953,44.425,42.908,39.992,33.689,34.896,34.554,38.4,41.434,45.935,45.815,46.242,42.218,40.312,36.689,34.455,37.062,39.191,43.464,45.708,45.983,43.776,990.011,47.549,12:15,2024-10-06
Brechas,41.028,48.083,50.201,48.228,46.116,45.387,46.054,48.798,54.546,55.208,55.077,54.725,53.171,51.31,50.835,52.126,49.597,47.105,45.708,48.012,48.617,49.069,47.772,45.559,1182.332,56.007,09:30,2024-10-07
Brechas,42.541,39.5,37.006,35.584,40.011,38.758,38.417,40.216,48.155,49.407,50.922,53.757,51.051,53.846,55.13,54.73,52.036,48.737,48.652,49.131,47.374,46.838,46.087,44.1,1111.986,55.651,14:45,2024-10-08
Brechas,37.905,31.835,31.828,34.734,39.161,35.759,33.759,37.269,42.456,40.625,39.481,41.238,39.178,39.095,40.539,41.541,39.221,39.05,40.81,44.277,38.56,32.784,30.924,30.109,902.137,45.708,19:45,2024-10-09
Brechas,28.43,27.269,24.869,24.084,23.611,23.237,23.631,17.092,20.002,21.647,22.526,24.822,26.236,30.92,35.818,37.733,37.352,34.782,33.131,34.075,34.31,31.782,28.825,27.563,673.748,37.987,15:15,2024-10-10
Brechas,32.174,32.214,34.897,32.822,31.344,30.938,30.83,32.498,33.224,33.143,33.751,34.589,34.516,36.536,38.441,36.5,35.263,33.755,33.677,33.988,36.796,35.336,34.671,33.531,815.434,39.427,14:45,2024-10-11
Brechas,30.718,28.646,27.447,26.477,26.037,25.307,25.061,26.56,26.581,25.796,27.255,28.457,27.492,28.654,28.944,29.48,29.346,28.078,29.161,28.27,25.914,24.757,24.89,29.951,659.279,31.921,23:45,2024-10-12
Brechas,30.576,34.329,45.285,45.683,44.693,42.622,37.607,36.658,36.358,40.199,44.42,51.076,52.783,56.366,56.086,56.504,54.525,51.157,49.544,49.107,48.68,49.121,48.38,43.983,1105.745,57.114,13:45,2024-10-13
Brechas,43.743,42.969,42.109,40.274,39.391,37.281,36.568,38.899,42.201,47.495,48.448,47.994,46.383,48.942,50.746,47.311,47.104,44.707,48.011,49.532,49.998,50.312,47.283,44.812,1082.515,51.4,14:45,2024-10-14
Brechas,41.848,39.39,41.436,41.449,40.27,39.348,37.171,38.972,44.066,45.657,47.478,49.361,49.819,48.63,46.47,45.184,44.262,41.447,39.046,34.306,33.083,39.908,42.1,35.74,1006.442,50.747,13:00,2024-10-15
Brechas,34.264,38.057,40.211,39.088,37.467,38.079,37.921,38.61,39.343,44.901,47.642,46.147,45.254,45.484,43.206,40.858,41.98,41.679,44.77,47.334,45.883,49.253,43.131,38.81,1009.373,50.203,21:30,2024-10-16
Brechas,34.667,33.02,32.924,31.903,30.412,29.124,28.589,28.787,35.816,43.592,47.016,48.042,48.528,51.295,52.563,53.86,52.556,48.49,46.848,42.046,40.828,39.656,36.278,32.096,968.939,54.056,15:30,2024-10-17
Brechas,29.307,27.245,24.991,21.58,17.236,17.291,19.126,21.72,28.74,32.855,34.816,35.815,37.464,39.285,37.575,29.347,25.449,21.8,25.848,23.988,19.316,17.512,16.75,13.522,618.577,41.711,13:15,2024-10-18
Brechas,11.013,7.974,6.501,5.253,5.014,4.802,3.875,6.751,10.874,13.891,15.79,17.468,18.033,18.382,20.312,22.045,22.088,21.535,23.218,25.309,24.143,22.875,20.785,17.873,365.803,25.909,19:15,2024-10-19
Brechas,14.855,12.34,12.223,11.013,10.219,8.208,5.885,7.759,12.48,18.178,23.353,28.883,32.852,36.358,40.66,43.664,45.083,37.948,31.893,30.342,30.373,29.328,28.825,26.751,579.472,47.004,16:30,2024-10-20
Brechas,21.974,18.779,16.582,14.921,14.226,12.957,14.937,16.835,23.771,31.29,34.365,37.113,37.128,40.94,43.772,44.032,42.073,38.977,37.88,38.839,37.171,36.258,34.404,30.129,719.352,44.397,15:15,2024-10-21
Brechas,26.27,22.187,18.214,15.516,14.925,12.573,12.117,14.771,24.568,31.392,35.702,40.269,40.708,43.784,45.779,46.855,45.899,42.28,39.829,40.059,39.757,38.939,36.297,32.622,761.313,47.185,15:15,2024-10-22
Brechas,28.225,23.031,20.654,18.619,16.315,15.03,15.247,19.421,28.39,34.458,37.525,39.487,39.948,43.379,45.664,46.092,45.019,42.672,40.908,39.243,38.566,37.501,35.538,32.43,783.362,46.37,15:30,2024-10-23
Brechas,29.772,26.542,23.925,21.865,20.477,19.268,20.894,25.418,31.492,34.007,36.608,38.888,39.188,42.102,45.71,46.342,44.471,40.449,37.139,36.651,35.566,34.393,35.644,34.107,800.915,46.598,15:30,2024-10-24
Brechas,28.751,22.339,19.123,16.304,14.576,12.957,13.298,15.41,20.24,25.723,30.163,35.449,39.401,43.153,46.403,47.839,46.592,43.788,42.109,41.004,40.301,39.124,36.792,32.33,753.175,48.084,15:30,2024-10-25
Brechas,28.544,25.653,24.946,21.174,19.179,17.224,17.186,16.55,17.943,19.486,17.558,17.519,16.875,15.001,14.467,13.646,13.711,13.674,17.785,19.446,17.792,15.632,13.091,11.13,425.214,29.911,00:15,2024-10-26
Brechas,9.68,11.274,11.872,12.171,11.641,10.321,8.716,8.993,9.571,10.585,11.041,10.879,13.891,15.341,17.445,18.464,18.534,19.403,22.333,21.708,22.042,21.369,19.692,16.686,353.652,22.594,19:00,2024-10-27
Brechas,12.341,9.441,8.304,7.302,6.815,6.53,8.392,11.071,16.656,22.446,25.916,28.04,28.517,30.794,34.048,36.457,35.677,34.244,32.565,34.49,33.708,32.752,31.248,27.762,555.516,36.616,15:30,2024-10-28
Brechas,22.524,18.547,16.268,14.476,13.546,12.145,13.689,16.479,23.457,28.995,32.07,35.15,36.087,40.034,42.628,43.165,41.566,39.364,38.453,40.62,40.587,39.698,38.568,34.072,722.186,43.705,15:30,2024-10-29
Brechas,29.797,26.46,24.43,23.172,18.733,15.945,16.855,20.796,30.949,37.021,38.615,39.612,40.354,45.559,48.29,48.05,46.528,44.784,41.946,41.967,40.35,41.471,41.095,36.655,839.432,49.007,15:15,2024-10-30
Brechas,31.709,32.174,28.457,22.633,19.95,18.377,19.613,22.781,33.261,42.106,45.867,46.836,46.956,51.153,53.931,54.815,52.409,47.116,45.104,44.84,44.11,42.869,42.292,37.241,926.599,55.099,15:30,2024-10-31
Brechas,32.28,27.679,26.375,22.296,22.531,21.876,20.948,21.862,30.372,35.417,38.51,38.866,38.393,38.211,39.716,40.308,40.396,40.029,42.482,42.68,41.9,38.95,35.547,34.178,811.801,44.426,18:45,2024-11-01
Brechas,31.148,29.868,28.518,27.316,28.032,26.262,24.251,26.04,27.679,29.059,29.654,29.989,29.913,30.184,31.259,32.495,32.774,32.44,34.218,37.115,35.563,34.113,32.333,29.932,730.154,37.598,19:30,2024-11-02
Brechas,27.205,23.846,22.378,20.337,19.061,16.592,15.469,16.63,0,0,0,0,0,0,0,0,0.464,36.665,35.946,36.819,37.354,36.98,35.319,31.012,412.077,38.644,17:30,2024-11-03
Brechas,26.262,22.908,20.289,18.673,16.681,15.377,18.596,23.592,31.491,35.793,36.182,40.235,41.179,44.24,48.246,48.777,47.115,43.141,40.452,40.679,39.459,38.85,35.257,31.339,804.813,49.127,15:30,2024-11-04
Brechas,24.782,21.149,18.657,17.563,16.652,15.358,16.749,21.464,28.883,34.698,37.552,38.892,39.478,42.608,46.186,45.383,36.759,30.891,28.735,28.355,29.662,28.742,25.915,24.43,699.541,47.267,15:00,2024-11-05
Brechas,19.476,15.712,14.848,15.757,14.769,13.627,14.276,16.487,22.423,27.464,29.699,32.142,31.307,33.297,36.892,37.183,36.943,34.982,33.115,33.843,33.324,31.523,28.586,24.792,632.467,37.791,16:15,2024-11-06
Brechas,20.852,17.832,15.951,14.212,13.365,12.465,14.378,18.668,25.85,31.597,32.636,35.622,37.55,38.461,38.218,38.686,37.3,32.637,30.147,31.945,32.134,30.371,28.637,24.873,654.387,39.607,12:00,2024-11-07
Brechas,20.883,18.018,17.243,16.864,16.807,15.753,17.353,18.429,26.163,31.139,31,32.663,33.005,36.35,40.356,41.759,40.911,37.96,35.639,36.14,35.267,34.642,33.103,30.186,697.632,42.155,15:15,2024-11-08
