Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Bélgica,12.638,12.638,12.041,11.796,10.692,11.128,10.509,7.157,7.252,7.616,7.911,8.179,8.116,8.262,8.423,8.608,8.785,9.154,11.491,12.436,12.367,12.018,11.127,9.75,240.095,13.132,00:30,2024-09-01
Bélgica,8.631,8.157,7.922,10.559,10.744,11.083,9.866,11.967,13.01,13.686,14.169,14.814,15.248,15.806,16.177,16.484,16.346,14.503,13.607,14.582,14.859,14.603,13.579,11.866,312.267,16.734,15:45,2024-09-02
Bélgica,10.667,10.067,9.833,12.252,11.91,12.273,10.188,11.217,12.639,14.151,15.089,15.808,16.354,17.386,17.561,18.683,18.378,14.909,15.66,16.591,16.994,16.929,15.982,14.678,346.201,18.825,15:30,2024-09-03
Bélgica,15.563,14.659,13.896,13.468,13.371,13.616,13.777,13.389,14.163,14.714,13.514,16.064,16.735,17.909,19.204,19.428,19.137,17.319,16.283,17.205,17.732,17.503,16.432,15.462,380.545,19.578,16:15,2024-09-04
Bélgica,16.328,15.224,14.447,13.969,12.435,13.618,13.356,10.433,11.109,13.481,14.969,15.533,15.303,15.931,14.944,16.321,15.964,14.302,13.72,14.44,14.518,14.183,13.209,12.161,339.897,16.918,00:15,2024-09-05
Bélgica,13.236,13.081,12.853,12.454,11.636,11.8,11.114,8.359,8.809,9.613,10.176,10.649,10.841,11.157,11.448,11.354,11.501,11.724,13.945,14.514,14.102,13.671,12.833,11.764,282.633,14.641,19:15,2024-09-06
Bélgica,13.285,13.302,12.925,12.494,12.246,12.266,11.961,12.205,13.108,13.648,14.009,14.274,14.34,14.96,15.733,13.412,12.623,12.585,14.447,15.062,14.954,14.6,13.96,12.938,325.337,15.953,15:00,2024-09-07
Bélgica,11.573,10.493,9.831,9.444,9.148,8.915,7.946,7.928,8.588,9.235,9.77,11.273,12.046,12.951,13.809,14.322,14.32,14.2,16.227,16.809,16.841,16.785,16.006,14.322,292.783,16.928,21:15,2024-09-08
Bélgica,14.064,14.296,13.494,12.986,12.833,12.755,13.025,13.651,14.987,16.058,17.461,18.827,19.492,20.635,21.572,21.61,21.072,18.509,17.395,18.468,18.653,18.615,18.111,17.076,405.646,21.973,15:00,2024-09-09
Bélgica,17.625,16.407,15.289,14.741,14.315,14.028,13.653,14.265,15.993,17.395,18.431,19.537,18.891,21.219,20.99,22.325,21.537,19.356,18.287,18.835,18.945,18.802,18.219,17.377,426.462,22.433,15:45,2024-09-10
Bélgica,18.027,16.726,15.731,15.202,14.97,14.743,14.475,15.302,16.848,17.857,18.96,20.265,18.706,20.272,22.85,23.117,22.658,19.963,18.701,19.538,19.847,19.908,19.634,18.83,443.131,23.338,16:00,2024-09-11
Bélgica,19.075,17.813,16.858,15.994,14.813,14.354,13.858,13.853,15.16,15.45,15.688,16.179,16.427,17.16,18.049,18.301,17.466,15.776,15.131,15.932,16.053,15.812,15.256,14.795,385.253,19.714,00:15,2024-09-12
Bélgica,15.949,14.876,14.172,13.852,13.551,13.448,13.251,13.893,15.421,16.383,17.298,18.621,19.251,20.468,21.387,21.388,20.632,18.439,17.635,18.448,18.575,18.34,18.044,17.523,410.844,21.557,15:45,2024-09-13
