Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
COBOCE,6.856,6.732,6.72,5.168,3.096,3.299,3.224,3.239,3.382,3.73,3.781,3.678,3.696,3.638,3.654,3.661,3.729,3.683,3.723,3.658,3.706,3.442,2.922,3.081,95.498,6.889,00:30,2024-09-01
COBOCE,3.788,3.736,3.789,3.659,4.031,4.362,4.373,4.293,4.401,4.406,4.465,4.079,3.517,3.554,3.549,3.475,3.189,2.953,2.903,2.04,1.816,5.347,5.507,5.371,92.605,5.837,21:30,2024-09-02
COBOCE,5.205,5.219,5.175,5.139,5.175,5.416,5.333,5.268,5.132,4.967,4.854,4.818,3.471,4.076,4.131,2.526,4.917,4.967,4.921,4.785,4.7,4.672,4.734,4.686,114.289,5.469,06:00,2024-09-03
COBOCE,4.809,4.759,4.77,4.674,4.901,5.162,5.322,5.415,5.399,5.428,5.535,5.412,5.343,5.414,5.546,5.423,5.493,4.49,1.808,1.662,1.616,1.638,4.06,5.444,109.522,5.579,14:45,2024-09-04
COBOCE,5.636,6.075,6.051,6.052,6.123,6.317,6.222,6.376,6.551,3.931,4.613,7.623,7.593,6.004,9.302,9.573,9.258,9.08,8.965,9.031,8.981,9.034,8.927,8.95,176.268,9.648,15:45,2024-09-05
COBOCE,8.908,8.982,8.914,8.837,8.872,9.181,9.117,9.218,9.217,9.164,9.216,9.061,8.851,9.03,9.221,8.971,9.058,9.067,9.013,8.975,8.95,8.97,8.984,8.906,216.686,9.385,14:45,2024-09-06
COBOCE,8.636,8.586,8.876,8.805,8.952,9.06,8.997,8.98,8.959,8.894,8.98,8.562,8.104,8.624,8.675,8.553,8.666,8.711,8.745,8.676,8.707,8.749,8.714,6.853,208.064,9.077,05:30,2024-09-07
COBOCE,5.073,4.806,3.948,3.882,3.849,3.902,3.89,4.092,4.169,4.197,4.085,4.039,3.856,3.905,3.882,3.962,3.91,4.009,4.059,4.04,3.951,4.037,3.94,4.014,97.498,5.129,01:00,2024-09-08
COBOCE,4.272,4.373,4.306,4.271,4.353,4.685,4.598,4.666,4.665,4.72,4.999,5.047,4.936,5.042,5.486,5.781,5.773,5.817,5.927,5.682,5.697,5.687,5.758,5.726,122.265,5.942,18:30,2024-09-09
COBOCE,5.706,5.488,5.795,5.783,5.924,5.96,5.603,6.282,9.906,9.642,9.761,9.198,8.673,9.67,9.562,9.659,9.853,6.753,5.955,5.075,5.186,9.057,9.842,10.552,184.887,10.586,23:45,2024-09-10
COBOCE,10.562,11.743,12.964,13.02,13.032,14.238,14.306,14.22,14.452,14.308,14.288,14.067,14.037,14.242,14.197,13.76,12.612,11.325,9.01,5.031,4.982,8.99,14.115,14.314,297.816,14.528,08:30,2024-09-11
COBOCE,14.198,14.238,14.149,14.13,13.979,13.467,13.501,13.379,13.447,13.495,13.4,13.334,13.329,13.426,13.253,13.24,13.218,13.364,13.269,13.203,13.248,13.285,13.175,13.133,323.862,14.282,01:30,2024-09-12
COBOCE,13.104,13.142,13.051,13.049,13.069,14.296,14.302,14.427,14.393,14.341,14.441,13.754,13.555,12.848,12.735,12.68,12.752,12.618,12.93,12.733,12.598,13.084,13.866,13.884,321.652,14.589,08:00,2024-09-13
COBOCE,13.23,13.323,13.167,13.283,10.392,10.2,9.674,8.978,8.766,8.829,8.883,8.724,8.126,8.506,6.668,6.355,6.431,6.786,6.897,7.63,7.853,7.86,7.834,7.747,216.142,14.068,03:30,2024-09-14
COBOCE,7.713,7.678,7.372,7.034,6.174,6.104,6.199,6.153,6.174,6.205,6.498,6.572,6.208,6.13,6.385,6.511,6.526,6.588,6.635,6.668,6.573,8.126,9.177,9.194,164.597,9.304,23:00,2024-09-15
COBOCE,9.284,9.339,9.306,9.376,9.354,10.522,13.288,14.559,14.483,14.482,14.611,14.472,14.286,14.403,14.491,14.491,14.407,14.464,14.572,14.376,14.195,14.297,14.261,14.303,315.622,14.71,10:30,2024-09-16
COBOCE,14.167,14.223,14.147,14.13,14.285,14.736,14.5,14.52,14.51,13.45,13.651,13.712,13.768,13.962,14.008,13.955,11.819,10.377,10.243,10.402,10.323,10.565,10.484,10.593,310.531,14.813,05:30,2024-09-17
