Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Camiri,3.327,3.138,3.076,2.909,3.002,3.04,2.721,2.595,2.673,2.61,2.693,2.79,3.044,3.088,3.126,3.178,3.275,3.434,4.545,4.93,4.851,4.615,4.143,3.578,80.38,4.992,19:00,2024-09-01
Camiri,3.174,2.961,2.796,2.746,2.727,2.858,2.907,2.873,2.965,3.044,3.123,3.182,3.252,3.323,3.617,3.705,3.805,3.95,4.956,5.239,4.978,4.7,4.447,3.992,85.319,5.286,19:15,2024-09-02
Camiri,3.391,3.105,2.979,2.925,2.898,2.906,3.025,3.028,3.162,3.314,3.38,3.489,3.757,3.929,4.074,4.159,4.107,4.112,5.133,5.606,5.429,5.103,4.636,4.111,91.758,5.626,19:00,2024-09-03
Camiri,3.558,3.281,3.117,3.051,3.001,3.238,3.053,3.12,3.232,3.158,3.25,3.401,3.637,3.796,3.868,3.93,3.972,3.977,5.03,5.404,5.272,4.957,4.422,3.864,90.588,5.455,19:15,2024-09-04
Camiri,3.495,3.211,3.062,3.006,2.999,3.225,3.158,3.135,3.23,3.282,3.348,3.299,3.315,3.388,3.719,3.845,3.822,3.919,4.806,5.212,5.122,4.854,4.317,3.662,88.434,5.262,19:30,2024-09-05
Camiri,3.282,3.109,2.965,2.88,2.857,2.94,2.859,2.913,2.833,2.882,3.187,3.487,3.665,3.796,3.94,4.062,4.103,4.052,5.027,5.471,5.325,5.033,4.571,4.056,89.292,5.489,20:00,2024-09-06
Camiri,3.579,3.327,3.172,3.075,3.03,3.099,2.813,2.799,3.164,3.35,3.447,3.592,3.598,3.632,3.868,4.143,4.067,4.26,5.278,5.526,5.466,5.292,4.912,4.535,93.024,5.567,19:15,2024-09-07
Camiri,4.015,3.68,3.487,3.345,3.274,3.267,3.022,2.901,3.078,3.118,3.177,3.427,3.621,3.621,3.721,3.746,3.76,4.071,5.082,5.346,5.165,4.992,4.58,4.104,91.601,5.368,19:45,2024-09-08
Camiri,3.646,3.367,3.228,3.196,3.288,3.324,3.095,3.21,3.24,3.45,3.64,3.862,4.003,4.104,4.207,4.327,4.54,4.556,5.427,5.749,5.585,5.283,4.839,4.194,97.359,5.79,19:15,2024-09-09
Camiri,3.705,3.4,3.234,3.141,3.151,3.312,3.038,3.149,3.374,3.607,3.634,3.79,4.07,4.405,4.645,4.824,4.723,4.744,5.678,5.958,5.759,5.391,4.983,4.432,100.144,6.013,19:30,2024-09-10
