Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Caranavi,9.012,8.385,8.044,7.79,7.59,7.597,7.572,7.436,7.812,8.099,8.391,8.661,8.847,8.987,9.185,9.26,9.193,9.595,11.176,12.749,12.737,12.238,11.127,9.777,221.254,12.813,20:00,2024-09-01
Caranavi,8.789,8.168,7.805,7.542,7.532,7.642,8.026,8.019,7.88,8.161,8.647,8.919,9.028,9.347,9.592,9.858,9.834,10.034,11.635,13.271,13.29,12.726,11.352,9.927,227.021,13.352,20:30,2024-09-02
Caranavi,8.784,8.118,7.778,7.67,7.628,7.754,8.035,8.034,7.882,8.057,8.358,8.66,8.83,9.449,9.953,10.129,10.035,10.144,11.694,13.399,13.392,12.871,11.603,10.146,228.399,13.501,19:45,2024-09-03
Caranavi,8.999,8.266,7.969,7.695,7.625,7.776,8.178,8.252,8.216,8.369,8.678,9.003,9.166,9.652,10.08,10.284,10.278,10.431,11.902,13.642,13.636,13.165,11.997,10.516,233.772,13.732,20:00,2024-09-04
Caranavi,9.359,8.523,8.197,8.043,8.009,8.107,8.544,8.631,8.654,8.797,8.906,9.2,9.196,9.382,9.646,9.761,9.906,10.091,11.661,13.289,13.234,12.64,11.502,10.154,233.43,13.332,20:00,2024-09-05
Caranavi,9.069,8.296,7.987,7.789,7.747,7.953,8.283,8.362,8.407,8.483,8.596,9.012,9.139,9.914,10.171,10.464,10.408,10.498,12.046,13.801,13.742,13.2,11.954,10.377,235.693,13.849,20:15,2024-09-06
Caranavi,9.443,8.666,8.375,8.087,7.957,8.008,8.103,7.996,8.3,8.491,8.92,9.332,9.475,9.755,10.002,10.059,10.032,10.089,11.509,13.026,12.923,12.492,11.516,10.397,232.949,13.103,19:45,2024-09-07
Caranavi,9.428,8.872,8.49,8.234,8.124,8.038,7.94,7.792,8.071,8.248,8.592,8.853,9.038,9.304,9.519,9.621,9.56,9.743,11.285,12.956,12.89,12.37,11.238,10.026,228.227,13.03,19:45,2024-09-08
Caranavi,8.899,8.35,7.973,7.785,7.673,7.807,8.129,8.076,7.881,8.113,8.483,8.807,8.967,9.395,9.863,10.186,10.074,10.221,12.054,13.698,13.733,13.12,11.822,10.283,231.39,13.785,19:45,2024-09-09
Caranavi,9.123,8.472,8.169,7.91,7.842,8.027,8.367,8.395,8.405,8.732,9.055,9.494,9.643,10.1,10.487,10.697,10.735,10.768,12.074,13.81,13.874,13.278,11.9,10.27,239.623,13.926,20:30,2024-09-10
Caranavi,9.036,8.309,7.948,7.737,7.668,7.848,8.127,8.179,8.184,8.552,8.771,9.129,9.487,9.987,10.2,10.345,10.625,10.787,12.14,14.041,14.109,13.551,12.331,10.938,238.024,14.185,19:45,2024-09-11
Caranavi,9.726,9.047,8.615,8.389,8.375,8.556,8.865,8.86,8.888,9.137,9.37,9.77,9.967,10.276,10.742,11.011,10.834,10.959,12.402,14.205,14.321,13.725,12.396,10.06,248.494,14.352,20:45,2024-09-12
Caranavi,7.187,6.264,5.771,5.613,5.518,5.525,5.722,5.953,6.213,6.485,7.335,8.199,9.547,9.778,10.185,10.865,10.828,10.941,12.132,13.855,13.933,13.538,12.404,11.078,214.866,14.005,20:45,2024-09-13
Caranavi,10.011,9.224,8.712,8.437,8.385,8.407,8.446,8.458,8.826,9.322,9.586,9.739,9.889,10.14,10.246,10.258,10.023,10.228,10.234,9.908,12.158,11.643,10.912,9.819,233.007,12.424,20:15,2024-09-14
Caranavi,9.1,8.588,8.146,7.362,7.191,7.182,7.251,7.274,7.655,8.074,8.602,8.999,8.903,8.803,8.682,8.671,8.521,8.695,10.395,12.182,12.16,11.626,10.419,8.716,213.193,12.253,20:00,2024-09-15
Caranavi,7.152,6.652,6.514,6.795,6.726,6.792,7.061,7.097,6.88,7.15,7.458,7.575,8.804,9.144,9.247,9.325,9.387,9.892,10.517,13.12,13.169,12.618,11.21,9.802,210.082,13.242,20:00,2024-09-16
Caranavi,8.816,8.253,8.051,7.878,7.842,8.087,8.513,8.687,8.683,8.831,9.153,9.468,9.55,10,10.375,10.521,10.502,10.474,11.72,13.838,13.784,13.334,12.05,10.516,238.923,13.997,20:00,2024-09-17
Caranavi,9.252,8.556,8.106,7.831,7.795,7.942,8.164,8.278,8.356,8.767,9.106,9.468,9.61,10.262,10.717,10.871,10.796,10.602,11.895,14.02,14.174,13.779,12.526,10.997,241.868,14.212,20:15,2024-09-18
Caranavi,9.861,9.069,8.613,8.479,8.414,8.601,8.779,8.869,9.118,9.501,9.836,10.107,10.198,10.649,11.012,11.021,10.974,11.136,12.579,14.341,14.334,13.752,12.61,11.125,252.975,14.477,20:00,2024-09-19
Caranavi,9.861,9.095,8.659,8.433,8.392,8.564,8.747,8.772,7.419,7.344,7.634,8.029,8.127,8.405,8.586,10.054,10.179,10.301,12.198,13.463,13.4,13.789,12.722,11.372,233.543,14.148,21:15,2024-09-20
Caranavi,10.427,9.627,9.15,8.817,8.726,8.722,8.512,8.708,8.566,9.325,9.992,10.283,10.357,10.574,10.673,10.702,10.564,10.444,11.916,13.164,13.229,12.882,12.158,11.518,249.035,13.642,19:30,2024-09-21
Caranavi,10.417,9.57,9.226,8.897,8.702,8.71,8.461,8.411,8.806,9.256,9.666,10.063,10.217,10.394,10.484,10.556,10.55,10.541,11.947,13.938,14.056,13.581,12.441,11.086,249.974,14.141,20:30,2024-09-22
Caranavi,9.958,9.18,8.671,8.482,8.371,8.549,8.753,8.79,9.062,9.516,9.837,10.211,10.531,10.976,11.399,11.501,11.267,11.2,12.567,14.573,14.55,13.993,12.757,11.27,255.96,14.638,20:00,2024-09-23
Caranavi,10.005,9.327,8.831,8.634,8.579,8.749,8.849,8.896,9.179,9.799,10.073,10.626,10.649,11.117,11.383,11.535,11.411,11.368,12.447,14.381,14.527,14.02,12.768,11.407,258.557,14.569,20:30,2024-09-24
Caranavi,10.155,9.328,8.872,8.614,8.531,8.722,8.736,8.813,9.185,9.73,10.194,10.72,11.041,11.319,11.746,11.86,11.921,11.823,12.972,14.948,15.076,14.55,13.436,11.996,264.285,15.108,20:15,2024-09-25
Caranavi,10.714,9.93,9.469,9.136,9.129,9.334,9.497,9.476,9.768,10.268,10.579,10.803,10.82,10.929,11.114,10.97,10.441,10.638,12.115,14.109,14.143,13.634,12.269,10.505,259.787,14.204,20:00,2024-09-26
Caranavi,9.432,8.792,8.089,8.201,8.194,8.378,8.508,8.34,8.237,8.391,8.635,8.79,8.863,9.442,9.869,9.926,9.789,10.082,11.721,13.365,13.278,12.709,11.561,10.38,232.97,13.413,20:00,2024-09-27
Caranavi,9.344,8.814,8.529,8.339,8.33,8.459,8.372,8.4,8.755,9.257,9.482,9.793,9.849,10.195,10.247,10.242,10.186,10.192,11.587,13.496,13.526,13.034,11.969,10.787,241.182,13.616,20:00,2024-09-28
Caranavi,9.692,9.082,8.69,8.447,8.325,8.361,8.086,8.132,8.461,8.871,9.255,9.597,9.782,10.079,9.972,9.708,9.648,9.898,11.67,13.501,13.567,13.004,11.743,10.458,238.028,13.614,20:30,2024-09-29
Caranavi,9.562,8.887,8.536,8.223,8.131,8.305,8.506,8.516,8.57,9.107,9.555,10.082,10.192,10.704,11.081,11.089,10.828,10.933,12.381,14.26,14.314,13.806,12.462,11.073,249.099,14.379,20:30,2024-09-30
Caranavi,9.836,9.1,8.775,8.607,8.545,8.747,8.769,8.812,9.063,9.666,10.068,10.543,10.757,11.107,11.41,11.391,11.275,11.213,12.529,14.549,14.651,14.211,13.066,11.617,258.305,14.736,20:00,2024-10-01
Caranavi,10.336,9.538,9.105,8.947,8.892,9.116,9.137,9.315,9.75,10.144,10.538,11.003,11.267,11.801,12.167,12.105,12.034,11.73,13.213,15.073,15.113,14.238,13.198,11.817,269.576,15.225,20:00,2024-10-02
Caranavi,10.572,9.811,9.272,9.04,9.011,8.809,9.214,9.116,9.379,9.319,9.369,9.396,9.323,9.263,9.208,9.364,9.423,9.837,11.465,13.385,13.166,12.401,11.137,9.833,240.112,13.497,19:30,2024-10-03
Caranavi,8.874,8.285,7.962,7.869,7.831,7.978,8.228,8.388,8.349,8.592,8.979,9.361,9.65,10.007,10.227,10.529,10.659,10.727,12.04,13.933,13.942,13.374,11.946,10.729,238.455,14.089,20:00,2024-10-04
Caranavi,9.708,9.255,8.938,8.714,8.621,8.744,8.475,8.501,8.972,9.471,9.872,10.206,10.445,10.618,10.846,10.899,10.787,10.879,12.184,13.945,13.758,13.175,12.179,11.064,250.251,14.013,19:45,2024-10-05
Caranavi,9.991,9.289,8.859,8.621,8.535,8.572,8.201,8.298,8.779,9.223,9.576,9.987,10.252,10.501,10.692,10.64,10.499,10.435,11.576,13.584,13.794,13.24,12.161,10.712,246.015,13.823,20:30,2024-10-06
Caranavi,9.564,8.871,8.53,8.28,8.168,8.364,8.337,8.319,8.394,8.936,9.396,9.933,10.057,10.642,11,11.189,11.482,11.022,12.341,14.416,14.438,13.943,12.715,11.284,249.619,14.523,19:45,2024-10-07
Caranavi,10.071,9.32,8.987,8.831,8.743,8.961,8.966,8.991,9.194,9.637,10.163,10.626,10.661,11.037,11.422,11.411,11.196,11.417,12.828,14.412,14.484,13.956,12.632,11.036,258.981,14.538,20:30,2024-10-08
Caranavi,9.935,9.162,8.844,8.706,8.591,8.768,8.894,9.1,9.25,9.513,9.711,9.748,9.853,10.097,10.33,10.519,10.562,10.494,11.757,13.799,13.946,13.457,12.188,10.817,248.038,13.976,20:15,2024-10-09
Caranavi,9.755,9.096,8.787,8.631,8.604,8.827,8.917,8.981,9.156,9.646,10.109,10.559,10.779,11.224,11.579,11.783,11.6,11.527,12.544,14.611,14.456,13.781,12.673,11.146,258.769,14.709,20:00,2024-10-10
Caranavi,9.957,9.183,8.945,8.677,8.597,8.792,8.819,8.85,9.193,9.735,10.07,10.405,10.533,10.907,11.183,11.297,11.136,11.073,12.244,14.097,14.152,13.707,12.713,11.352,255.617,14.262,20:00,2024-10-11
Caranavi,10.176,9.346,9.033,8.834,8.766,8.873,8.549,8.627,9.191,9.746,10.221,10.522,10.649,10.915,11.119,11.018,10.858,10.76,12.065,13.964,13.838,13.358,12.53,11.443,254.398,14.063,20:00,2024-10-12
Caranavi,10.357,9.661,9.275,9.002,8.836,8.87,8.388,8.583,9.092,9.615,10.003,10.341,10.346,10.206,10.003,9.744,8.967,9.206,10.465,12.838,12.796,12.337,11.281,10.076,240.286,13.028,19:45,2024-10-13
Caranavi,9.11,8.312,8.161,8.014,7.959,8.116,8.166,8.171,8.375,8.998,9.376,9.89,10.052,10.461,10.858,11.026,10.93,10.875,12.014,13.98,14.121,13.614,11.979,10.817,243.374,14.168,20:30,2024-10-14
Caranavi,9.662,8.915,8.557,8.418,8.414,8.655,8.652,8.799,9.059,9.54,10.049,10.385,10.67,11.124,11.587,11.435,11.484,11.52,12.676,14.793,14.658,14.082,13.002,11.487,257.62,14.907,20:00,2024-10-15
Caranavi,10.22,9.477,8.848,8.589,8.555,8.687,8.751,8.89,9.261,9.929,10.25,10.652,10.528,8.717,9.581,9.1,9.537,10.14,11.127,13.129,13.127,12.701,11.394,10.245,241.431,13.265,20:00,2024-10-16
Caranavi,9.289,8.688,8.458,8.287,8.243,8.45,8.425,8.594,7.594,7.392,7.672,8.062,8.332,8.653,9,10.883,11.887,11.753,12.654,14.74,14.684,14.114,12.869,11.529,240.251,14.856,19:45,2024-10-17
Caranavi,10.248,9.495,9.051,8.826,8.724,8.989,8.983,9.111,9.161,9.446,9.877,10.662,11.041,11.371,11.895,12.003,11.903,11.683,12.775,14.779,14.885,14.522,13.442,11.891,264.761,14.918,20:45,2024-10-18
Caranavi,10.735,9.995,9.55,9.145,8.98,9.031,8.824,8.921,9.311,9.584,9.64,9.655,9.751,9.89,9.893,9.836,9.731,9.632,10.77,12.85,13.133,12.715,11.638,10.504,243.711,13.197,20:45,2024-10-19
Caranavi,9.465,8.857,8.552,8.275,8.233,8.279,7.94,8.143,8.459,8.896,9.302,9.693,9.83,10.079,10.303,10.345,10.229,10.17,11.221,13.495,13.621,13.247,12.18,10.842,239.654,13.67,20:00,2024-10-20
Caranavi,9.795,8.862,8.369,8.309,8.209,8.343,8.347,8.387,8.692,9.381,10.008,10.404,10.644,11.042,11.412,11.842,11.524,11.582,12.534,14.834,15.066,14.289,12.957,11.55,256.377,15.118,20:30,2024-10-21
Caranavi,10.215,9.472,9.014,8.83,8.929,9.101,8.936,8.985,9.318,9.733,10.107,10.137,10.119,9.918,8.668,9.166,10.906,10.716,11.741,14.001,14.03,13.302,11.85,10.473,247.665,14.32,20:00,2024-10-22
Caranavi,9.348,8.718,8.381,8.204,8.221,8.382,8.486,8.742,8.949,9.568,10.055,10.559,11.062,11.436,11.639,11.63,11.629,11.483,12.366,14.643,14.804,14.362,13.17,11.634,257.47,14.88,20:30,2024-10-23
Caranavi,10.399,9.56,9.118,8.874,8.765,8.993,8.957,9.051,9.47,10.146,10.711,11.082,11.264,11.545,11.833,12.045,11.624,11.38,12.403,14.638,14.66,14.166,13.013,11.678,265.373,14.751,19:45,2024-10-24
Caranavi,10.507,9.682,9.407,9.084,9.056,9.124,9.052,9.264,9.75,10.301,10.818,11.145,11.638,12.028,12.206,12.287,12.007,11.784,12.995,14.998,15.053,14.653,13.142,9.445,269.422,15.127,20:00,2024-10-25
Caranavi,8.201,7.561,7.248,6.992,6.014,5.693,5.835,7.879,9.539,10.023,10.533,10.691,10.905,10.994,11.082,11.158,10.924,10.703,11.687,13.615,13.758,13.245,12.159,10.68,237.116,13.808,20:30,2024-10-26
Caranavi,9.871,9.124,8.71,8.381,8.234,8.296,8.032,8.149,8.437,8.688,8.873,9.066,9.103,9.157,9.269,9.258,9.127,9.252,10.512,12.633,12.779,12.445,11.398,10.213,229.001,12.838,20:30,2024-10-27
Caranavi,9.233,8.557,8.29,8.091,8.03,8.185,8.379,8.457,8.452,8.912,9.225,9.514,9.724,10.137,10.494,10.659,10.646,10.711,11.682,13.933,14.123,13.682,12.417,10.901,242.429,14.157,20:45,2024-10-28
Caranavi,9.84,9.195,8.818,8.773,8.731,8.911,8.913,9.129,9.4,9.776,10.23,10.646,10.719,11.204,11.718,11.724,11.594,11.537,12.388,14.621,14.408,13.7,12.61,11.298,259.883,14.719,20:00,2024-10-29
Caranavi,10.1,9.534,8.995,8.793,8.723,8.849,8.878,9.156,9.454,9.902,10.336,10.624,10.591,10.966,11.608,11.821,11.696,9.911,10.662,12.421,12.48,12.022,11.103,9.855,248.476,12.584,20:00,2024-10-30
Caranavi,8.873,8.196,8.153,7.778,7.709,8.372,8.867,9.046,9.207,9.522,9.85,10.355,10.721,11.385,12.091,12.177,11.823,11.531,12.258,14.335,14.549,13.941,12.782,11.474,254.991,14.654,20:30,2024-10-31
Caranavi,10.437,9.706,9.248,8.979,8.922,9.002,8.762,9.145,9.701,10.253,10.622,11.062,11.123,11.398,11.617,11.443,11.349,11.237,12.035,14.188,14.345,13.987,13.231,11.862,263.65,14.472,20:15,2024-11-01
Caranavi,10.526,9.872,9.367,8.767,8.47,8.446,8.084,8.352,8.961,9.533,10.033,10.528,10.603,10.708,10.647,10.679,10.439,10.235,11.269,13.312,13.831,13.12,12.164,10.985,248.927,13.897,21:00,2024-11-02
Caranavi,10,9.285,8.869,8.672,8.48,8.424,8.01,8.222,8.544,9.019,9.416,9.834,10.097,10.384,10.523,10.401,10.395,10.199,10.978,13.354,13.568,13.16,12.202,10.997,243.028,13.616,20:30,2024-11-03
Caranavi,9.86,9.307,8.839,8.361,8.17,8.271,8.301,8.624,9.093,9.707,10.051,10.368,10.594,10.643,11.359,11.564,11.414,11.17,11.965,14.403,14.545,14.204,12.993,11.669,255.472,14.566,20:30,2024-11-04
Caranavi,10.589,9.873,9.386,9.138,9.08,9.113,8.617,8.789,9.574,9.999,10.533,10.882,10.931,11.241,11.661,11.8,11.583,11.179,12.072,14.226,14.307,13.754,12.332,10.945,261.6,14.436,20:30,2024-11-05
Caranavi,9.765,8.991,8.619,8.37,8.28,8.218,8.349,8.677,8.937,9.283,9.739,10.116,10.055,10.45,10.848,11.033,10.951,10.891,11.602,13.91,13.915,13.45,12.197,10.867,247.51,13.965,20:45,2024-11-06
Caranavi,9.775,9.085,8.738,8.503,8.473,8.615,8.719,8.934,9.164,9.618,10.099,10.349,10.394,10.709,10.931,10.965,10.784,10.583,11.339,13.358,13.989,13.617,12.437,11.116,250.291,14.009,20:30,2024-11-07
Caranavi,10.063,9.154,8.842,8.536,8.28,8.476,8.515,8.73,8.905,9.296,9.604,9.995,9.95,10.233,10.348,10.833,10.888,10.742,11.762,13.777,13.88,13.391,12.338,11.094,247.625,13.956,19:45,2024-11-08
