Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Carrasco,4.012,3.838,3.734,3.72,3.629,3.705,3.798,3.732,3.79,3.81,3.837,3.833,3.917,3.931,3.971,3.96,3.933,4.047,4.783,5.138,5.035,4.668,4.293,3.941,97.054,5.171,19:45,2024-09-01
Carrasco,3.691,3.55,3.46,3.432,3.375,3.48,3.839,3.59,3.547,3.725,3.865,4.103,4.101,4.281,4.528,4.627,4.688,4.668,5.253,5.68,5.547,5.199,4.644,4.173,101.042,5.732,20:00,2024-09-02
Carrasco,3.881,3.686,3.51,3.503,3.571,3.758,3.911,3.601,3.661,3.861,4.081,4.263,4.308,4.583,4.841,4.845,4.78,4.145,4.947,5.875,5.85,5.426,4.876,4.322,104.082,5.939,20:00,2024-09-03
Carrasco,3.976,3.836,3.718,3.66,3.596,3.719,3.942,3.743,3.872,4.111,4.308,4.537,4.482,4.795,5.101,5.192,5.179,5.198,5.71,6.073,6.104,5.828,5.236,4.635,110.549,6.145,20:00,2024-09-04
Carrasco,4.308,4.091,3.897,3.809,3.767,3.923,4.208,3.989,3.946,4.052,4.114,4.17,4.128,4.232,4.536,4.519,4.597,4.719,5.41,5.945,5.662,5.154,4.545,4.114,105.832,5.99,19:45,2024-09-05
Carrasco,3.865,3.698,3.538,3.453,3.423,3.638,3.765,3.502,3.66,4.069,4.351,4.447,4.233,4.275,4.489,4.67,4.75,4.794,5.265,5.607,5.573,5.216,4.684,4.268,103.23,5.662,20:15,2024-09-06
Carrasco,3.946,3.854,3.728,3.665,3.695,3.863,3.911,3.854,3.951,4.167,4.244,4.346,4.158,4.128,4.167,4.228,4.39,4.567,5.257,5.566,5.538,5.32,4.828,4.396,103.765,5.618,20:30,2024-09-07
Carrasco,4.109,3.942,3.897,3.841,3.825,3.875,3.872,3.917,4.004,4.14,4.221,4.364,4.462,4.554,4.545,4.634,4.675,4.742,5.49,5.9,5.774,5.482,4.996,4.527,107.785,5.917,19:30,2024-09-08
Carrasco,4.15,3.987,3.824,3.722,3.691,3.759,3.989,3.817,3.902,4.168,4.403,4.682,4.652,4.91,5.2,5.17,5.107,5.245,5.84,6.18,6.089,5.761,5.171,4.617,112.032,6.188,19:30,2024-09-09
Carrasco,4.16,4.062,3.922,3.788,3.758,3.916,4.028,3.837,4.012,4.197,4.262,4.534,4.58,4.877,5.261,5.273,5.263,5.288,5.789,6.097,6.027,5.711,5.149,4.548,112.336,6.11,19:45,2024-09-10
Carrasco,4.204,3.919,3.823,3.758,3.706,3.848,4.006,3.815,3.941,4.257,4.54,4.959,4.768,5.031,5.218,5.236,5.284,5.283,5.964,6.397,6.355,5.98,5.461,4.957,114.707,6.427,20:15,2024-09-11
Carrasco,4.507,4.247,4.157,4.036,4.014,4.173,4.4,4.208,4.333,4.432,4.504,4.435,4.258,4.21,4.44,4.521,4.553,4.633,5.213,5.55,5.497,5.053,4.604,4.184,108.156,5.594,20:00,2024-09-12
Carrasco,3.941,3.798,3.694,3.657,3.628,3.878,3.925,3.839,4.036,4.187,4.309,4.475,4.628,4.833,5.079,5.215,5.087,5.094,5.889,6.355,6.387,6.081,5.592,5.165,112.769,6.489,20:15,2024-09-13
Carrasco,4.821,4.53,4.362,4.318,4.289,4.335,4.461,4.385,4.413,4.649,3.605,2.39,3.19,3.547,4.121,4.007,4.153,4.477,4.987,5.215,5.039,4.85,4.482,4.171,102.796,5.274,19:30,2024-09-14
Carrasco,3.979,3.844,3.75,3.674,3.624,3.733,3.738,3.739,3.718,3.828,3.804,3.887,3.888,3.912,3.846,3.849,3.858,3.94,4.614,5.082,5.038,4.749,4.357,3.99,96.437,5.126,19:30,2024-09-15
Carrasco,3.781,3.676,3.627,3.568,3.568,3.709,3.898,3.699,3.769,3.964,4.117,4.232,4.306,4.426,4.411,4.432,4.364,4.504,5.089,5.608,5.489,5.148,4.606,4.14,102.128,5.652,19:45,2024-09-16
Carrasco,3.807,3.657,3.597,3.596,3.568,3.761,3.905,3.69,3.767,4.01,4.27,4.354,4.436,4.674,4.904,4.994,4.844,4.88,5.382,5.909,5.784,5.455,4.906,4.373,106.518,5.945,19:45,2024-09-17
Carrasco,4.036,3.906,3.767,3.649,3.611,3.784,4.003,3.851,3.772,4.175,4.331,4.57,4.564,4.733,4.939,5.188,5.133,5.14,5.641,6.149,6.033,5.747,5.197,4.713,110.631,6.23,19:45,2024-09-18
Carrasco,4.336,4.171,4.023,3.943,3.884,4.047,4.109,3.975,4.194,4.518,4.736,4.992,5.017,5.324,5.727,5.883,5.842,5.83,6.264,6.721,6.699,6.488,5.924,5.307,121.952,6.768,20:00,2024-09-19
Carrasco,4.847,4.605,4.41,4.289,4.242,4.351,4.372,4.296,4.645,5.135,5.256,5.497,5.37,5.567,5.898,6.007,5.907,5.841,6.28,6.737,6.781,6.553,6.108,5.423,128.415,6.834,20:15,2024-09-20
Carrasco,5.092,4.863,4.652,4.51,4.406,4.453,4.39,4.334,4.652,5.041,5.343,5.578,5.489,5.588,5.699,5.687,5.643,5.597,6.25,6.664,6.719,6.567,6.085,5.599,128.895,6.766,20:45,2024-09-21
Carrasco,5.221,4.895,4.701,4.564,4.413,4.339,4.175,4.213,4.521,4.881,5.119,5.42,5.531,5.592,5.65,5.618,5.624,5.552,6.158,6.641,6.686,6.629,6.25,5.682,128.074,6.728,21:00,2024-09-22
Carrasco,5.29,5.004,4.83,4.676,4.463,4.544,4.482,4.38,5.01,5.512,5.862,6.027,5.97,6.175,6.522,6.601,6.554,6.215,6.717,7.288,7.271,7.087,6.669,5.971,139.117,7.353,20:00,2024-09-23
Carrasco,5.483,5.151,4.955,4.854,4.753,4.757,4.643,4.617,5.164,5.529,5.778,5.882,5.858,6.176,6.488,6.578,6.542,6.494,6.73,7.21,7.175,6.98,6.603,6.082,140.478,7.267,19:45,2024-09-24
Carrasco,5.615,5.247,5.005,4.752,4.677,4.769,4.593,4.643,5.096,5.44,5.51,5.921,6.027,6.109,6.306,6.501,6.337,6.114,6.54,7.148,7.211,7.031,6.512,5.974,139.076,7.26,20:30,2024-09-25
Carrasco,5.501,5.28,5.055,4.903,4.756,4.841,4.707,4.721,5.122,5.432,5.607,5.83,5.678,5.582,5.658,5.459,5.286,5.219,5.827,6.304,6.284,5.909,5.316,4.872,129.147,6.351,19:45,2024-09-26
Carrasco,4.563,4.311,4.136,4.071,4.061,4.202,4.248,4.066,4.289,4.474,4.547,4.654,4.622,4.82,4.925,5.011,4.954,4.894,5.42,5.773,5.779,5.485,5.063,4.584,112.95,5.874,19:45,2024-09-27
Carrasco,4.245,4.036,3.946,3.886,3.878,3.953,3.804,3.794,4.096,4.268,4.454,4.623,4.676,4.764,4.83,4.888,4.822,4.777,5.364,5.927,5.989,5.739,5.238,4.742,110.737,6.035,20:00,2024-09-28
Carrasco,4.378,4.183,4.084,3.99,3.93,3.993,3.873,3.916,4.152,4.501,4.746,4.9,5.041,5.162,5.235,5.249,5.293,5.257,5.911,6.408,6.446,6.267,5.78,5.203,117.896,6.532,20:30,2024-09-29
Carrasco,4.837,4.63,4.468,4.349,4.286,4.33,4.351,4.227,4.648,5.02,5.249,5.53,5.531,5.843,6.246,6.346,6.289,6.234,6.667,7.149,7.123,7.024,6.512,5.992,132.88,7.237,20:15,2024-09-30
Carrasco,5.525,5.263,5.048,4.913,4.793,4.787,4.676,4.648,4.956,5.201,5.416,5.566,5.526,5.74,6.099,6.189,6.07,6.066,6.504,7.061,7.126,6.974,6.609,6.128,136.881,7.148,21:00,2024-10-01
Carrasco,5.799,5.552,5.281,5.142,5.091,5.109,4.93,4.877,5.209,5.494,5.644,5.84,5.748,6.023,6.508,6.434,6.307,6.271,6.552,7.168,7.269,7.123,6.61,6.118,142.096,7.32,20:00,2024-10-02
Carrasco,5.685,5.386,5.104,4.896,4.781,4.767,4.866,4.695,4.821,5.067,5.236,5.257,4.924,5.059,5.333,5.401,5.248,5.253,5.59,5.984,5.957,5.639,5.076,4.572,124.594,6.019,19:30,2024-10-03
Carrasco,4.35,4.153,4.079,4.071,4.041,4.144,4.124,3.974,4.294,4.7,4.801,4.953,4.807,5.029,5.474,5.609,5.39,5.386,5.737,6.149,6.104,5.902,5.413,4.903,117.582,6.179,20:00,2024-10-04
Carrasco,4.592,4.347,4.154,4.045,4.096,4.172,3.938,3.92,4.19,4.483,4.697,4.937,5.041,5.164,5.323,5.353,5.347,5.266,5.746,6.24,6.338,6.148,5.719,5.203,118.458,6.362,20:30,2024-10-05
Carrasco,4.854,4.706,4.487,4.341,4.326,4.386,4.262,4.316,4.508,4.733,5.048,5.253,5.415,5.526,5.67,5.618,5.575,5.47,6.07,6.517,6.618,6.566,6.204,5.709,126.175,6.677,20:30,2024-10-06
Carrasco,5.335,5.07,4.861,4.681,4.558,4.536,4.427,4.361,4.852,5.155,5.488,5.809,5.752,5.975,6.305,6.384,6.289,6.134,6.555,7.056,7.152,6.907,6.449,5.926,136.015,7.21,20:30,2024-10-07
Carrasco,5.447,5.172,4.993,4.838,4.825,4.829,4.648,4.68,5.236,5.404,5.565,5.783,5.881,6.163,6.466,6.547,6.355,6.268,6.636,7.222,7.371,7.185,6.708,6.141,140.361,7.432,20:45,2024-10-08
Carrasco,5.661,5.386,5.204,4.858,4.715,4.725,4.761,4.701,4.936,5.154,5.273,5.467,5.275,5.322,5.64,5.328,5.148,5.298,5.711,6.103,6.015,5.729,5.182,4.781,126.37,6.142,20:00,2024-10-09
Carrasco,4.531,4.318,4.205,4.109,4.088,4.255,4.471,4.384,4.468,4.714,4.784,4.788,4.83,4.983,5.25,5.413,5.406,5.414,5.835,6.49,6.473,6.273,5.848,5.326,120.651,6.593,20:30,2024-10-10
Carrasco,4.935,4.758,4.581,4.46,4.341,4.371,4.242,4.239,4.49,4.61,4.764,4.875,4.907,5.061,5.427,5.522,5.526,5.624,5.989,6.521,6.572,6.383,5.939,5.442,123.575,6.614,20:30,2024-10-11
Carrasco,5.034,4.8,4.638,4.483,4.398,4.442,4.329,4.389,4.708,5.199,5.401,5.666,5.558,5.631,5.863,5.901,5.864,5.788,6.31,6.83,6.991,6.83,6.463,5.943,131.455,7.008,20:30,2024-10-12
Carrasco,5.462,5.155,5.003,4.859,4.719,4.653,4.408,4.586,4.924,5.272,5.554,5.667,5.734,5.873,5.946,5.942,5.74,5.721,6.169,6.714,6.874,6.814,6.565,6.136,134.487,6.92,20:30,2024-10-13
Carrasco,5.658,5.347,5.205,4.995,4.849,4.779,4.646,4.502,4.766,5.045,5.243,5.386,5.259,5.346,5.551,5.65,5.588,5.538,6.01,6.736,6.728,6.438,5.972,5.419,130.651,6.832,20:00,2024-10-14
Carrasco,5.009,4.704,4.503,4.365,4.315,4.413,4.448,4.388,4.636,4.908,5.146,5.416,5.478,5.818,6.08,6.134,6.01,6.015,6.499,7.09,7.016,6.796,6.402,5.885,131.473,7.167,19:45,2024-10-15
Carrasco,5.507,5.246,4.994,4.822,4.658,4.561,4.588,3.837,3.965,4.068,4.237,4.658,4.561,4.659,4.738,4.757,4.719,4.717,5.336,5.917,5.811,5.508,4.976,4.422,115.258,6.014,20:00,2024-10-16
Carrasco,4.15,4.004,3.898,3.811,3.781,4.058,4.2,4.11,4.335,4.541,4.655,4.815,4.753,4.931,5.127,5.238,5.249,5.242,5.771,6.369,6.457,6.189,5.58,5.03,116.292,6.504,20:30,2024-10-17
Carrasco,4.599,4.344,4.275,4.184,4.202,4.362,4.475,4.402,4.717,4.958,5.194,5.583,5.556,5.708,5.982,6.038,5.869,5.742,5.997,6.514,6.526,6.154,5.486,4.835,125.699,6.565,19:45,2024-10-18
Carrasco,4.427,4.236,4.149,4.118,3.987,4.066,3.962,4.055,4.201,4.323,4.438,4.51,4.608,4.669,4.842,4.955,4.972,4.93,5.365,5.976,6.054,5.807,5.294,4.869,112.811,6.096,20:15,2024-10-19
Carrasco,4.523,4.278,4.122,3.986,3.904,3.823,3.748,4.009,4.195,4.361,4.664,4.898,4.988,5.039,5.095,5.174,5.072,4.95,5.421,6.039,6.141,5.924,5.528,5.11,114.986,6.144,20:15,2024-10-20
Carrasco,4.7,4.428,4.261,4.137,4.119,4.178,4.262,4.059,4.502,4.784,5.049,5.245,5.299,5.549,5.96,5.96,5.847,5.726,6.053,6.789,6.906,6.736,6.238,5.703,126.487,6.951,20:30,2024-10-21
Carrasco,5.272,4.88,4.644,4.512,4.461,4.481,4.335,4.311,4.437,4.615,4.874,5.181,5.307,5.586,5.873,5.908,5.826,5.593,5.941,6.651,6.587,6.424,5.931,5.296,126.925,6.734,19:45,2024-10-22
Carrasco,4.891,4.534,4.322,4.219,4.117,4.145,4.02,4.028,4.432,4.649,4.815,5.006,5.035,5.565,5.838,5.722,5.584,5.44,5.658,6.464,6.598,6.492,5.967,5.439,122.977,6.637,21:00,2024-10-23
Carrasco,5.004,4.772,4.572,4.346,4.322,4.298,3.539,3.365,3.575,4.661,4.721,4.874,4.938,5.21,5.516,5.559,5.485,5.414,5.846,6.539,6.73,6.632,6.303,5.784,122,6.758,20:45,2024-10-24
Carrasco,5.376,5.028,4.69,4.488,4.469,4.473,4.435,4.323,4.549,4.765,4.997,5.168,5.233,5.514,5.691,5.747,5.662,5.434,5.767,6.487,6.717,6.733,6.328,5.852,127.92,6.819,21:00,2024-10-25
