Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Carreras,3.251,3.176,3.097,3.082,3.068,3.113,3.138,3.116,3.244,3.272,3.283,3.286,3.255,3.208,3.316,3.468,3.383,3.569,4.14,4.464,4.33,4.051,3.677,3.358,82.345,4.472,19:15,2024-09-01
Carreras,3.138,3.078,2.981,2.987,3.008,3.042,3.366,3.596,3.299,2.575,1.94,1.906,1.876,1.97,2.017,2.14,2.216,2.289,3.956,4.65,4.652,4.252,3.828,3.512,72.274,4.756,20:15,2024-09-02
Carreras,3.327,3.269,3.21,3.192,3.199,3.288,3.326,3.443,3.252,3.302,3.273,3.278,3.239,3.402,3.495,3.537,3.56,3.67,4.35,4.856,4.749,4.519,3.969,3.589,86.294,4.928,19:30,2024-09-03
Carreras,3.329,3.225,3.185,3.176,3.202,3.273,3.345,3.556,3.32,3.326,3.378,3.395,3.318,3.451,3.629,3.648,3.588,3.692,4.299,4.739,4.73,4.382,3.95,3.578,86.714,4.824,20:30,2024-09-04
Carreras,3.387,3.311,3.243,3.237,3.284,3.392,3.534,3.634,3.068,2.117,2.131,2.376,3.45,3.561,3.619,3.665,3.666,3.75,4.337,4.84,4.729,4.399,4.04,3.668,84.438,4.86,19:15,2024-09-05
Carreras,3.431,3.37,3.313,3.317,3.357,3.383,3.445,3.574,3.357,3.363,3.544,3.571,3.536,3.567,3.609,3.68,3.591,3.692,4.286,4.714,4.578,4.088,3.802,3.498,87.666,4.764,19:15,2024-09-06
Carreras,3.309,3.217,3.133,3.152,3.153,3.249,3.153,3.096,3.204,3.421,3.39,3.4,3.364,3.432,3.611,3.614,3.523,3.543,4.196,4.575,4.42,4.104,3.795,3.494,84.548,4.612,19:30,2024-09-07
Carreras,3.295,3.231,3.183,3.151,3.195,3.251,3.225,3.173,3.24,3.436,3.573,3.565,3.445,3.462,3.588,3.529,3.443,3.489,4.173,4.478,4.322,4.082,3.714,3.424,84.667,4.496,19:45,2024-09-08
Carreras,3.242,3.246,3.242,3.253,3.264,3.358,3.469,3.651,3.27,3.286,3.373,3.326,3.231,3.342,3.418,3.526,3.518,3.604,4.228,4.622,4.554,4.257,3.856,3.513,85.649,4.64,20:00,2024-09-09
Carreras,3.311,3.222,3.143,3.159,3.204,3.314,3.376,3.492,3.327,3.369,3.369,3.386,3.331,3.433,3.502,3.488,3.628,3.811,4.396,4.75,4.65,4.342,3.947,3.603,86.553,4.784,19:45,2024-09-10
Carreras,3.408,3.3,3.241,3.253,3.258,3.418,3.466,3.675,3.42,3.438,3.385,3.381,3.357,3.518,3.55,3.658,3.744,3.77,4.333,4.841,4.835,4.481,4.044,3.529,88.303,4.884,19:30,2024-09-11
Carreras,2.273,2.056,1.995,1.984,2.005,2.103,2.189,2.355,2.125,2.085,2.099,2.024,2.008,2.112,2.192,2.302,2.302,2.381,2.971,3.465,3.393,3.133,2.716,2.378,56.646,3.476,19:45,2024-09-12
Carreras,2.069,1.959,1.924,1.893,1.904,1.995,2.04,2.238,2.043,2.086,2.107,2.146,2.014,2.064,2.188,2.176,2.098,2.056,2.657,3.122,3.037,2.76,2.466,2.188,53.23,3.156,19:45,2024-09-13
Carreras,2.018,1.908,1.863,1.868,1.879,1.937,1.859,1.879,1.95,2.02,2.001,1.963,1.891,1.896,1.924,1.946,1.96,2.096,2.619,2.877,2.743,2.5,2.241,2.052,49.89,2.908,19:30,2024-09-14
Carreras,1.923,1.839,1.794,1.778,1.799,1.846,1.77,1.778,1.946,2.026,2.288,3.385,3.397,3.418,3.524,3.619,3.299,3.607,4.143,4.5,4.367,4.028,3.63,3.389,69.093,4.528,19:00,2024-09-15
Carreras,3.241,3.173,3.158,3.14,3.229,3.332,3.393,3.696,3.342,3.316,2.965,3.375,3.435,3.514,3.591,3.761,3.613,3.683,4.201,4.645,4.601,4.303,3.946,3.647,86.3,4.692,20:15,2024-09-16
Carreras,3.466,3.347,3.302,3.302,3.355,3.459,3.432,3.579,3.426,3.526,3.616,3.59,3.516,3.618,3.766,3.724,3.753,3.814,4.361,4.936,4.862,4.477,4.127,3.806,90.16,4.984,20:15,2024-09-17
Carreras,3.577,3.496,3.451,3.429,3.489,3.561,3.628,3.827,3.629,3.588,3.645,3.645,3.053,3.641,3.796,3.855,3.756,3.681,4.366,4.879,4.797,4.441,4.069,3.784,91.083,4.924,19:45,2024-09-18
Carreras,3.582,3.491,3.399,3.365,3.392,3.497,3.48,3.664,3.431,3.474,3.459,3.429,3.446,3.521,3.701,3.787,3.739,3.783,4.314,4.28,4.611,4.387,4.122,3.696,89.05,4.88,19:30,2024-09-19
Carreras,3.474,3.373,3.329,3.304,3.34,3.43,3.414,3.548,3.464,3.442,2.407,2.291,2.904,3.539,3.685,3.718,3.688,3.728,4.262,4.781,4.733,4.23,3.892,3.669,85.645,4.816,19:45,2024-09-20
Carreras,3.417,3.342,3.342,3.351,3.4,3.44,3.453,3.527,3.502,3.409,3.371,3.363,3.332,3.425,3.548,3.622,3.63,3.677,4.219,4.727,4.629,4.34,3.985,3.641,87.692,4.76,19:30,2024-09-21
Carreras,3.445,3.335,3.229,3.234,3.23,3.013,2.874,3.021,3.212,3.293,3.298,3.327,3.34,3.411,3.464,3.779,3.66,3.663,4.189,4.591,4.453,4.266,3.894,3.584,84.805,4.616,19:15,2024-09-22
Carreras,3.39,3.267,3.224,3.207,3.261,3.375,3.425,3.638,3.319,3.375,3.304,3.315,3.311,3.42,3.527,3.684,3.63,3.651,4.13,4.644,4.713,4.348,4.006,3.697,86.861,4.776,20:15,2024-09-23
Carreras,3.47,3.382,3.282,3.303,3.318,3.437,3.409,3.639,3.421,3.427,3.415,3.397,3.402,3.615,3.704,3.675,3.713,3.747,4.343,4.817,4.817,4.458,4.118,3.743,89.052,4.856,20:15,2024-09-24
Carreras,3.535,3.453,3.452,3.439,3.492,3.529,3.503,3.704,3.461,3.513,3.54,3.451,3.412,3.613,3.739,3.783,3.742,3.808,4.376,4.799,4.633,4.352,3.997,3.71,90.036,4.852,19:30,2024-09-25
Carreras,3.5,3.393,3.34,3.35,3.33,3.505,3.54,3.768,3.471,3.535,3.621,3.57,3.524,3.605,3.699,3.713,3.748,3.883,4.487,4.851,4.735,4.367,3.956,3.664,90.155,4.896,19:30,2024-09-26
Carreras,3.496,3.433,3.41,3.317,3.35,3.466,3.39,3.52,3.362,3.414,3.503,3.477,3.471,3.592,3.669,3.694,3.686,3.779,4.289,4.848,4.719,4.427,4.075,3.753,89.14,4.88,20:00,2024-09-27
Carreras,3.556,3.48,3.419,3.367,3.417,3.514,3.347,3.322,3.434,3.449,3.473,3.506,3.549,3.561,3.688,3.709,3.573,3.548,4.11,4.68,4.524,4.152,3.92,3.619,87.917,4.712,19:45,2024-09-28
Carreras,3.447,3.356,3.338,3.305,3.35,3.409,3.152,3.269,3.407,3.542,3.583,3.687,3.637,3.598,3.731,3.694,3.718,3.676,4.188,4.674,4.598,4.353,3.947,3.616,88.275,4.688,19:30,2024-09-29
Carreras,3.429,3.397,3.439,3.43,3.457,3.515,3.09,3.825,3.363,3.382,3.44,3.398,3.416,3.547,3.617,3.714,3.758,3.718,4.25,4.839,4.755,4.476,4.108,3.784,89.147,4.88,19:30,2024-09-30
Carreras,3.557,3.412,3.363,3.341,3.376,3.477,3.411,3.591,3.382,3.437,3.679,3.851,3.874,4.048,4.144,4.167,4.167,4.237,4.867,5.639,5.655,5.145,5.285,4.79,97.895,5.788,20:45,2024-10-01
Carreras,4.602,4.928,5.067,5.113,5.177,5.283,5.442,5.621,5.348,5.421,5.418,5.399,5.486,5.678,5.757,5.171,5.203,5.575,6.351,6.667,6.588,6.29,5.985,5.708,133.278,6.72,19:15,2024-10-02
