Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Catavi - 115,1.369,1.297,1.238,1.224,1.271,1.312,1.267,1.239,1.278,1.253,1.223,1.234,1.219,1.218,1.22,1.287,1.376,1.409,1.828,2.104,1.971,1.791,1.6,1.398,33.625,2.12,19:30,2024-09-01
Catavi - 115,1.284,1.219,1.193,1.158,1.168,1.237,1.319,1.518,1.449,1.435,1.478,1.463,1.418,1.448,1.439,1.446,1.528,1.564,1.924,2.26,2.189,1.957,1.688,1.442,36.225,2.273,20:00,2024-09-02
Catavi - 115,1.301,1.246,1.17,1.165,1.224,1.295,1.342,1.462,1.504,1.292,1.268,1.262,1.233,1.263,1.278,1.335,1.375,1.396,1.811,2.189,2.143,1.955,1.644,1.369,34.522,2.215,20:00,2024-09-03
Catavi - 115,1.241,1.177,1.154,1.13,1.162,1.285,1.362,1.562,1.611,1.667,1.621,1.609,1.474,1.426,1.45,1.404,1.423,1.498,1.94,2.28,2.189,1.994,1.674,1.406,36.737,2.341,19:30,2024-09-04
Catavi - 115,1.292,1.205,1.172,1.189,1.192,1.329,1.364,1.491,1.578,1.701,1.786,1.831,1.586,1.598,1.513,1.519,1.513,1.514,1.894,2.3,2.284,2.051,1.717,1.407,38.027,2.354,19:45,2024-09-05
Catavi - 115,1.354,1.295,1.251,1.207,1.252,1.456,1.525,1.672,1.684,1.876,1.925,1.962,1.796,1.547,1.47,1.444,1.514,1.573,1.754,2.169,2.216,2.023,1.729,1.453,39.147,2.309,20:00,2024-09-06
Catavi - 115,1.342,1.268,1.237,1.206,1.251,1.307,1.377,1.506,1.596,1.79,1.798,1.865,1.601,1.481,1.384,1.305,1.377,1.472,1.816,2.121,2.063,1.877,1.666,1.442,37.148,2.134,20:00,2024-09-07
Catavi - 115,1.347,1.27,1.234,1.18,1.205,1.302,1.267,1.279,1.276,1.336,1.241,1.301,1.245,1.271,1.176,1.149,1.154,1.316,1.83,2.122,2.012,1.873,1.57,1.383,33.341,2.155,19:30,2024-09-08
Catavi - 115,1.294,1.236,1.199,1.252,1.244,1.315,1.42,1.704,1.673,1.702,1.776,1.826,1.651,1.447,1.114,1.115,1.111,1.199,1.906,2.305,2.225,2.021,1.653,1.428,36.816,2.34,19:15,2024-09-09
Catavi - 115,1.302,1.21,1.2,1.223,1.249,1.41,1.474,1.607,1.815,1.831,1.942,1.988,1.793,1.707,1.55,1.588,1.611,1.703,2.015,2.325,2.287,2.052,1.687,1.475,40.043,2.363,19:45,2024-09-10
Catavi - 115,1.381,1.293,1.22,1.217,1.267,1.395,1.5,1.69,1.756,1.759,1.883,2.078,1.861,1.833,1.599,1.517,1.469,1.47,1.931,2.329,2.268,2.016,1.679,1.469,39.88,2.355,19:45,2024-09-11
Catavi - 115,1.399,1.28,1.226,1.251,1.263,1.299,1.401,1.581,1.591,1.6,1.606,1.643,1.594,1.602,1.543,1.495,1.473,1.581,2.033,2.334,2.284,2.106,1.683,1.426,38.294,2.362,20:15,2024-09-12
Catavi - 115,1.26,1.263,1.223,1.22,1.306,1.437,1.516,1.568,1.53,1.597,1.715,1.791,1.683,1.575,1.391,1.449,1.382,1.46,1.907,2.224,2.177,1.967,1.707,1.451,37.8,2.241,20:00,2024-09-13
