Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Catavi 115,1.562,1.462,1.523,1.428,1.468,1.39,1.481,1.941,1.906,1.764,1.838,1.968,1.856,1.652,1.652,1.795,1.657,1.582,1.835,2.305,2.332,1.936,1.715,1.519,41.567,2.387,20:45,2024-11-25
Catavi 115,1.47,1.391,1.408,1.429,1.357,1.422,1.562,1.907,1.831,1.849,2.067,2.142,2,1.704,1.615,1.513,1.469,1.496,1.75,2.112,2.023,1.832,1.58,1.362,40.291,2.203,12:00,2024-11-26
Catavi 115,1.306,1.289,1.251,1.264,1.359,1.481,1.517,1.722,1.8,1.834,1.909,1.924,1.82,1.774,1.542,1.459,1.421,1.379,1.659,2.209,2.173,1.956,1.653,1.414,39.112,2.296,20:15,2024-11-27
Catavi 115,1.409,1.331,1.345,1.297,1.346,1.501,1.48,1.91,1.949,1.916,2.032,2.072,1.916,1.706,1.748,1.512,1.25,1.333,1.747,2.082,2.087,1.795,1.697,1.585,40.046,2.179,20:00,2024-11-28
Catavi 115,1.571,1.529,1.416,1.472,1.386,1.506,1.655,1.911,2.025,2.126,2.197,2.13,1.832,1.512,1.598,1.536,1.553,1.546,1.721,2.288,2.241,1.94,1.777,1.679,42.145,2.356,20:15,2024-11-29
Catavi 115,1.573,1.519,1.421,1.63,1.62,1.755,1.823,1.84,1.621,1.543,1.509,1.454,1.425,1.324,1.471,1.48,1.581,1.721,1.825,2.324,2.148,1.824,1.564,1.504,39.499,2.378,19:30,2024-11-30
Catavi 115,1.487,1.385,1.427,1.313,1.24,1.193,1.39,1.508,1.486,1.516,1.519,1.321,1.469,1.374,1.43,1.052,0.933,1.596,1.686,2.184,2.121,1.8,1.641,1.548,35.62,2.23,20:00,2024-12-01
Catavi 115,1.422,1.414,1.421,1.343,1.306,1.324,1.49,1.83,1.774,1.771,1.199,1.344,1.708,1.611,1.41,1.393,1.427,1.657,1.773,2.206,2.159,1.924,1.623,1.414,37.94,2.249,19:45,2024-12-02
Catavi 115,1.328,1.254,1.276,1.291,1.266,1.428,1.393,1.652,1.81,1.845,1.899,1.91,1.849,1.749,1.549,1.381,1.432,1.488,1.598,2.014,2.075,1.951,1.672,1.397,38.508,2.118,20:15,2024-12-03
Catavi 115,1.253,1.199,1.196,1.224,1.264,1.392,1.415,1.621,1.574,1.61,1.696,1.74,1.733,1.551,1.514,1.449,1.414,1.413,1.461,2.003,2.138,2.001,1.732,1.669,37.261,2.183,20:45,2024-12-04
Catavi 115,1.519,1.497,1.437,1.45,1.584,1.46,1.594,1.921,1.751,1.825,2.006,2.105,2.033,1.815,1.662,1.686,1.817,1.701,1.789,2.224,2.378,2.042,1.797,1.768,42.862,2.398,21:00,2024-12-05
Catavi 115,1.663,1.55,1.469,1.514,1.479,1.406,1.43,1.686,1.582,1.537,1.63,1.572,1.544,1.39,1.388,1.413,1.513,1.551,1.588,2.048,2.253,2.056,1.77,1.565,38.599,2.285,20:30,2024-12-06
Catavi 115,1.396,1.106,1.033,0.971,0.942,0.99,1.079,1.383,1.507,1.562,1.657,1.494,1.387,1.371,1.394,1.522,1.501,1.476,1.581,2.051,2.063,1.826,1.666,1.59,34.547,2.162,19:45,2024-12-07
Catavi 115,1.614,1.541,1.447,1.438,1.49,1.379,1.448,1.55,1.4,1.395,1.547,1.539,1.34,1.304,1.524,1.468,1.502,1.416,1.488,1.965,1.981,1.755,1.609,1.527,36.669,2.07,19:45,2024-12-08
Catavi 115,1.404,1.392,1.246,1.291,1.352,1.357,1.377,1.639,1.818,1.975,1.959,1.958,1.761,1.692,1.558,1.498,1.552,1.638,1.755,2.071,2.127,1.945,1.665,1.492,39.521,2.195,20:15,2024-12-09
Catavi 115,1.403,1.362,1.451,1.462,1.451,1.456,1.537,1.85,1.833,1.885,2.136,2.131,2.01,1.752,1.611,1.592,1.569,1.461,1.682,2.18,2.278,2.059,1.833,1.686,41.672,2.307,20:00,2024-12-10
Catavi 115,1.549,1.547,1.52,1.588,1.555,1.506,1.542,1.847,1.75,1.879,1.962,2.107,2.107,1.962,1.736,1.607,1.534,1.543,1.595,2.017,2.178,2.104,1.897,1.691,42.321,2.203,21:00,2024-12-11
Catavi 115,1.551,1.479,1.359,1.321,1.369,1.448,1.491,1.699,1.831,1.797,1.97,2.081,1.918,1.702,1.56,1.491,1.28,1.235,1.403,2.152,2.207,2.006,1.833,1.728,39.909,2.237,20:30,2024-12-12
Catavi 115,1.666,1.505,1.471,1.553,1.586,1.54,1.592,1.749,1.678,1.653,1.723,1.715,1.586,1.471,1.546,1.563,1.51,1.47,1.513,2.058,2.098,1.912,1.708,1.616,39.483,2.2,20:00,2024-12-13
