Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Catavi,14.694,14.227,13.407,13.499,13.936,13.792,13.175,7.232,7.889,8.901,9.226,10.831,11.192,11.68,12.664,13.406,13.274,13.264,14.057,15.622,15.517,14.537,14.223,13.149,303.39,15.958,19:30,2024-09-01
Catavi,13.536,13.101,12.349,12.673,12.731,12.51,14.918,17.117,16.891,17.546,17.007,16.824,16.767,15.801,15.631,15.987,16.966,16.508,17.177,18.382,18.138,16.841,16.526,16.518,378.439,18.941,20:15,2024-09-02
Catavi,16.136,15.475,15.058,15.593,15.195,14.636,15.669,16.732,16.548,17.243,16.605,16.85,16.368,15.178,16.154,16.664,15.827,15.174,17.242,18.39,18.639,17.134,17.248,17.107,392.862,19.023,20:15,2024-09-03
Catavi,15.724,15.313,15.188,15.151,14.953,14.784,15.504,16.761,16.574,17.1,17.448,17.349,16.762,15.848,16.316,16.802,16.833,16.938,17.517,18.936,18.37,16.842,16.761,15.626,395.397,19.484,19:45,2024-09-04
Catavi,15.247,15.401,14.542,14.935,15.351,14.747,15.75,16.283,16.526,17.508,17.729,17.779,16.824,16.197,16.995,17.301,16.482,15.163,15.824,17.963,17.64,16.039,16.048,15.833,390.105,18.458,20:00,2024-09-05
Catavi,15.438,14.941,14.928,14.049,14.051,13.385,13.396,14.299,14.782,14.406,14.909,15.091,13.872,13.519,14.066,15.324,14.777,14.072,14.906,16.435,14.723,15.364,15.117,15.091,350.939,16.9,19:00,2024-09-06
Catavi,14.749,13.4,13.221,12.578,13.078,13.576,14.721,16.024,16.576,16.555,13.202,13.989,13.127,13.174,13.974,14.625,14.19,11.969,13.07,15.163,14.579,14.8,14.771,14.561,339.669,16.812,09:00,2024-09-07
Catavi,13.697,12.69,12.738,12.479,12.368,12.556,10.562,6.283,10.289,10.472,11.481,11.622,11.713,11.314,12.367,12.955,13.099,12.214,12.714,14.931,15.276,14.445,14.16,13.193,295.615,15.767,20:15,2024-09-08
Catavi,12.511,11.983,11.781,11.48,11.421,11.894,14.56,16.572,16.93,17.733,17.294,17.101,17.145,16.645,17.535,18.925,18.449,17.676,18.418,19.706,19.736,18.846,18.124,16.962,389.427,20.088,20:15,2024-09-09
Catavi,16.322,15.638,15.262,15.35,15.159,14.93,15.444,16.75,17.307,17.803,17.781,17.873,17.182,16.146,17.522,17.014,16.292,16.372,17.471,18.939,18.361,17.32,17.278,16.196,401.706,19.114,19:30,2024-09-10
