Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Cerámica Guadalquivir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.095,0.182,0.26,0.629,1.171,0.722,24:00,2024-11-01
Cerámica Guadalquivir,0.675,0.453,0.577,0.589,0.496,0.489,0.542,0.668,0.675,0.671,0.658,0.568,0.376,0.434,0.557,0.688,0.714,0.702,0.635,0.501,0.473,0.307,0.304,0.302,13.05,0.747,18:00,2024-11-02
Cerámica Guadalquivir,0.303,0.303,0.301,0.301,0.301,0.303,0.385,0.484,0.492,0.493,0.476,0.303,0.306,0.305,0.377,0.468,0.471,0.474,0.026,0.006,0.603,0.704,0.5,0.455,9.138,0.745,21:00,2024-11-03
Cerámica Guadalquivir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-11-04
Cerámica Guadalquivir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-11-05
Cerámica Guadalquivir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-11-06
Cerámica Guadalquivir,0.84,0.677,0.505,0.523,0.535,0.536,0.808,0.893,0.871,0.759,0.784,0.976,0.786,0.648,0.752,0.875,0.813,0.743,0.839,0.595,0.747,0.855,0.75,0.864,17.971,0.995,11:15,2024-11-07
Cerámica Guadalquivir,0.873,0.818,0.538,0.53,0.533,0.536,0.808,0.875,0.886,0.894,0.885,0.935,0.705,0.676,0.697,0.859,0.738,0.824,0.819,0.551,0.856,0.857,0.791,0.882,18.363,0.987,11:30,2024-11-08
Cerámica Guadalquivir,0.864,0.668,0.536,0.535,0.53,0.541,0.84,0.865,0.87,0.869,0.773,0.879,0.693,0.635,0.75,0.795,0.815,0.761,0.836,0.887,0.835,0.88,0.739,0.771,18.163,0.986,11:45,2024-11-09
Cerámica Guadalquivir,0.763,0.596,0.534,0.529,0.525,0.531,0.677,0.784,0.807,0.786,0.789,0.624,0.512,0.505,0.557,0.777,0.785,0.798,0.814,0.819,0.806,0.578,0.529,0.53,15.953,0.881,01:00,2024-11-10
Cerámica Guadalquivir,0.528,0.529,0.523,0.524,0.523,0.53,0.779,0.781,0.791,0.859,0.816,0.834,0.691,0.692,0.614,0.803,0.792,0.817,0.837,0.576,0.838,0.851,0.84,0.902,17.268,0.955,11:45,2024-11-11
Cerámica Guadalquivir,0.883,0.791,0.543,0.541,0.542,0.546,0.843,0.886,0.813,0.889,0.84,0.991,0.777,0.658,0.825,0.879,0.878,0.814,0.86,0.624,0.902,0.914,0.891,0.882,19.007,1.039,12:00,2024-11-12
Cerámica Guadalquivir,0.764,0.557,0.548,0.551,0.545,0.556,0.851,0.896,0.888,0.813,0.762,0.777,0.741,0.708,0.547,0.816,0.82,0.763,0.841,0.417,0.837,0.904,0.9,0.898,17.695,0.929,20:45,2024-11-13
Cerámica Guadalquivir,0.87,0.816,0.55,0.547,0.543,0.561,0.861,0.848,0.857,0.868,0.767,0.903,0.712,0.636,0.766,0.821,0.858,0.914,0.87,0.42,0.845,0.899,0.879,0.916,18.523,1.033,11:30,2024-11-14
Cerámica Guadalquivir,0.908,0.795,0.552,0.551,0.551,0.556,0.819,0.847,0.881,0.862,0.787,0.919,0.761,0.646,0.703,0.874,0.737,0.889,0.874,0.419,0.814,0.9,0.815,0.848,18.304,1.027,11:30,2024-11-15
Cerámica Guadalquivir,0.846,0.837,0.548,0.546,0.545,0.556,0.808,0.85,0.809,0.885,0.835,0.841,0.726,0.731,0.814,0.801,0.769,0.793,0.837,0.728,0.823,0.868,0.787,0.818,18.4,0.981,11:45,2024-11-16
Cerámica Guadalquivir,0.836,0.631,0.575,0.542,0.54,0.543,0.608,0.818,0.826,0.813,0.822,0.739,0.514,0.509,0.634,0.807,0.791,0.817,0.804,0.81,0.753,0.502,0.499,0.495,16.225,0.842,00:30,2024-11-17
Cerámica Guadalquivir,0.499,0.494,0.495,0.494,0.493,0.497,0.751,0.786,0.837,0.822,0.815,0.819,0.826,0.693,0.721,0.878,0.869,0.825,0.803,0.41,0.743,0.866,0.816,0.822,17.072,0.975,12:30,2024-11-18
Cerámica Guadalquivir,0.815,0.816,0.582,0.532,0.528,0.535,0.784,0.875,0.861,0.865,0.805,0.837,0.702,0.685,0.671,0.893,0.771,0.84,0.834,0.41,0.711,0.849,0.841,0.835,17.874,0.924,11:30,2024-11-19
Cerámica Guadalquivir,0.804,0.826,0.65,0.567,0.534,0.538,0.772,0.793,0.822,0.831,0.808,0.871,0.714,0.659,0.789,0.827,0.88,0.817,0.864,0.412,0.818,0.86,0.807,0.834,18.095,1.023,11:30,2024-11-20
Cerámica Guadalquivir,0.809,0.833,0.596,0.587,0.53,0.544,0.856,0.853,0.863,0.866,0.813,0.886,0.793,0.597,0.858,0.836,0.812,0.885,0.835,0.413,0.793,0.874,0.764,0.821,18.316,0.936,12:00,2024-11-21
Cerámica Guadalquivir,0.695,0.835,0.59,0.592,0.536,0.535,0.799,0.825,0.873,0.85,0.841,0.914,0.726,0.661,0.701,0.802,0.867,0.788,0.86,0.421,0.795,0.878,0.843,0.819,18.042,0.965,11:45,2024-11-22
Cerámica Guadalquivir,0.832,0.768,0.567,0.576,0.527,0.539,0.802,0.808,0.848,0.865,0.825,0.901,0.694,0.674,0.697,0.754,0.813,0.719,0.65,0.767,0.832,0.65,0.888,0.859,17.852,0.944,12:00,2024-11-23
Cerámica Guadalquivir,0.787,0.737,0.589,0.528,0.523,0.526,0.711,0.839,0.839,0.782,0.796,0.585,0.496,0.498,0.61,0.738,0.739,0.798,0.756,0.796,0.804,0.63,0.525,0.529,16.158,0.887,07:00,2024-11-24
Cerámica Guadalquivir,0.524,0.523,0.522,0.519,0.519,0.529,0.745,0.726,0.709,0.829,0.827,0.826,0.636,0.671,0.645,0.825,0.829,0.769,0.807,0.198,0.66,0.877,0.877,0.858,16.446,0.912,11:45,2024-11-25
Cerámica Guadalquivir,0.8,0.821,0.783,0.599,0.535,0.54,0.832,0.908,0.901,0.865,0.84,0.947,0.932,0.645,0.699,0.854,0.826,0.812,0.845,0.403,0.813,0.869,0.798,0.877,18.74,0.981,11:30,2024-11-26
Cerámica Guadalquivir,0.782,0.767,0.631,0.592,0.532,0.543,0.791,0.879,0.902,0.866,0.791,0.884,0.71,0.709,0.717,0.743,0.748,0.867,0.857,0.295,0.373,0.625,0.879,0.862,17.341,0.968,12:00,2024-11-27
Cerámica Guadalquivir,0.651,0.851,0.816,0.593,0.534,0.535,0.77,0.842,0.856,0.819,0.837,0.911,0.949,0.669,0.783,0.849,0.846,0.795,0.831,0.4,0.779,0.843,0.812,0.801,18.368,0.992,11:45,2024-11-28
Cerámica Guadalquivir,0.833,0.74,0.597,0.594,0.532,0.491,0.038,0,0,0.167,0.762,0.891,0.924,0.94,0.752,0.87,0.808,0.812,0.831,0.404,0.729,0.84,0.88,0.866,15.298,0.981,12:00,2024-11-29
Cerámica Guadalquivir,0.835,0.823,0.623,0.599,0.534,0.538,0.839,0.897,0.882,0.804,0.841,0.824,0.745,0.691,0.641,0.798,0.805,0.749,0.798,0.406,0.679,0.867,0.84,0.853,17.909,0.949,11:30,2024-11-30
Cerámica Guadalquivir,0.832,0.75,0.598,0.601,0.53,0.53,0.655,0.817,0.817,0.785,0.705,0.51,0.501,0.494,0.58,0.767,0.743,0.779,0.771,0.771,0.767,0.505,0.507,0.504,15.813,0.842,00:30,2024-12-01
Cerámica Guadalquivir,0.504,0.503,0.503,0.501,0.501,0.509,0.824,0.852,0.857,0.893,0.895,0.884,0.729,0.598,0.707,0.874,0.809,0.85,0.811,0.415,0.78,0.854,0.795,0.872,17.318,0.916,17:15,2024-12-02
Cerámica Guadalquivir,0.81,0.793,0.594,0.568,0.531,0.539,0.858,0.868,0.834,0.825,0.872,0.82,0.577,0.583,0.652,0.821,0.757,0.886,0.828,0.409,0.707,0.85,0.826,0.826,17.629,0.908,07:00,2024-12-03
Cerámica Guadalquivir,0.824,0.815,0.684,0.592,0.531,0.541,0.854,0.89,0.883,0.881,0.848,0.847,0.603,0.611,0.708,0.809,0.85,0.81,0.846,0.417,0.8,0.862,0.761,0.823,18.088,0.936,07:00,2024-12-04
Cerámica Guadalquivir,0.823,0.823,0.644,0.573,0.53,0.545,0.834,0.856,0.847,0.878,0.905,0.893,0.691,0.671,0.721,0.812,0.809,0.8,0.86,0.427,0.788,0.819,0.893,0.887,18.328,0.984,11:45,2024-12-05
Cerámica Guadalquivir,0.817,0.768,0.604,0.601,0.543,0.546,0.802,0.854,0.851,0.859,0.801,0.942,0.723,0.705,0.632,0.793,0.759,0.902,0.796,0.421,0.76,0.874,0.88,0.847,18.077,1.036,12:00,2024-12-06
Cerámica Guadalquivir,0.827,0.842,0.698,0.604,0.542,0.549,0.778,0.849,0.894,0.87,0.779,0.717,0.719,0.705,0.657,0.682,0.662,0.7,0.807,0.421,0.71,0.856,0.861,0.864,17.59,0.916,08:15,2024-12-07
Cerámica Guadalquivir,0.814,0.826,0.724,0.609,0.543,0.548,0.588,0.792,0.779,0.824,0.784,0.797,0.529,0.526,0.653,0.838,0.793,0.827,0.851,0.818,0.84,0.584,0.54,0.535,16.959,0.86,20:00,2024-12-08
Cerámica Guadalquivir,0.534,0.531,0.531,0.525,0.526,0.529,0.838,0.881,0.868,0.899,0.836,0.886,0.779,0.675,0.763,0.8,0.792,0.763,0.862,0.411,0.82,0.892,0.901,0.873,17.715,0.964,12:15,2024-12-09
Cerámica Guadalquivir,0.841,0.796,0.604,0.6,0.545,0.539,0.788,0.88,0.84,0.887,0.828,0.822,0.84,0.688,0.735,0.744,0.594,0.801,0.694,0.527,0.79,0.904,0.879,0.898,18.064,0.987,12:15,2024-12-10
Cerámica Guadalquivir,0.874,0.885,0.808,0.592,0.528,0.548,0.831,0.875,0.89,0.874,0.866,0.923,0.713,0.714,0.649,0.846,0.77,0.913,0.844,0.529,0.763,0.917,0.885,0.834,18.869,0.957,11:30,2024-12-11
Cerámica Guadalquivir,0.849,0.842,0.716,0.596,0.528,0.535,0.734,0.83,0.882,0.878,0.846,0.866,0.61,0.596,0.736,0.816,0.804,0.78,0.734,0.531,0.741,0.86,0.87,0.839,18.014,0.911,22:15,2024-12-12
Cerámica Guadalquivir,0.843,0.843,0.671,0.584,0.533,0.542,0.834,0.852,0.874,0.862,0.845,0.64,0.728,0.635,0.644,0.835,0.859,0.839,0.851,0.528,0.758,0.787,0.889,0.86,18.135,0.91,22:30,2024-12-13
Cerámica Guadalquivir,0.834,0.82,0.735,0.582,0.527,0.534,0.787,0.847,0.881,0.87,0.853,0.822,0.677,0.588,0.584,0.776,0.749,0.761,0.723,0.809,0.808,0.767,0.737,0.829,17.896,0.907,21:00,2024-12-14
Cerámica Guadalquivir,0.83,0.659,0.533,0.526,0.531,0.532,0.587,0.817,0.794,0.807,0.685,0.51,0.503,0.499,0.568,0.711,0.802,0.777,0.779,0.788,0.746,0.457,0.459,0.457,15.353,0.853,00:45,2024-12-15
Cerámica Guadalquivir,0.458,0.454,0.455,0.454,0.453,0.465,0.597,0.759,0.829,0.832,0.817,0.828,0.71,0.563,0.611,0.757,0.757,0.805,0.764,0.675,0.779,0.765,0.836,0.819,16.241,0.877,23:45,2024-12-16
Cerámica Guadalquivir,0.76,0.812,0.664,0.57,0.506,0.515,0.772,0.846,0.847,0.848,0.846,0.621,0.575,0.573,0.672,0.786,0.627,0.785,0.8,0.805,0.844,0.861,0.853,0.839,17.626,0.891,23:15,2024-12-17
Cerámica Guadalquivir,0.799,0.772,0.52,0.517,0.519,0.526,0.763,0.798,0.839,0.825,0.831,0.743,0.676,0.575,0.528,0.535,0.591,0.73,0.818,0.85,0.783,0.837,0.782,0.798,16.954,0.874,09:00,2024-12-18
Cerámica Guadalquivir,0.806,0.821,0.625,0.572,0.516,0.529,0.785,0.856,0.856,0.871,0.833,0.873,0.752,0.568,0.649,0.79,0.745,0.823,0.76,0.703,0.763,0.803,0.834,0.809,17.939,0.886,09:45,2024-12-19
Cerámica Guadalquivir,0.811,0.736,0.585,0.585,0.519,0.524,0.733,0.8,0.853,0.83,0.828,0.868,0.729,0.669,0.627,0.745,0.788,0.776,0.768,0.674,0.792,0.824,0.852,0.848,17.762,0.882,23:45,2024-12-20
Cerámica Guadalquivir,0.821,0.738,0.586,0.576,0.517,0.527,0.772,0.859,0.855,0.836,0.763,0.788,0.67,0.611,0.654,0.798,0.798,0.721,0.822,0.674,0.822,0.707,0.872,0.865,17.647,0.893,22:45,2024-12-21
Cerámica Guadalquivir,0.825,0.705,0.594,0.591,0.529,0.525,0.653,0.792,0.811,0.811,0.824,0.794,0.661,0.523,0.625,0.797,0.804,0.723,0.786,0.715,0.748,0.765,0.528,0.527,16.653,0.839,18:45,2024-12-22
Cerámica Guadalquivir,0.524,0.521,0.518,0.514,0.51,0.519,0.798,0.861,0.795,0.681,0.832,0.842,0.847,0.805,0.584,0.742,0.795,0.833,0.793,0.715,0.79,0.836,0.847,0.854,17.352,0.934,13:15,2024-12-23
Cerámica Guadalquivir,0.796,0.806,0.597,0.592,0.526,0.526,0.712,0.836,0.77,0.73,0.805,0.657,0.725,0.607,0.468,0.666,0.647,0.755,0.699,0.733,0.689,0.53,0.575,0.444,15.889,0.851,08:00,2024-12-24
Cerámica Guadalquivir,0.439,0.439,0.435,0.434,0.431,0.437,0.43,0.424,0.423,0.416,0.409,0.38,0.38,0.379,0.506,0.579,0.644,0.655,0.688,0.638,0.652,0.401,0.39,0.391,11.399,0.742,16:45,2024-12-25
