Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Chilcobija,0.805,0.684,0.787,0.713,0.807,0.692,0.61,0.675,0.608,0.699,0.638,0.629,0.724,0.873,0.787,0.769,0.815,0.788,0.702,0.64,0.581,0.651,0.669,0.663,17.005,0.931,13:45,2024-09-01
Chilcobija,0.677,0.736,0.7,0.673,0.658,0.805,0.612,0.665,0.596,0.858,1.007,1,0.547,0.708,0.813,1.052,0.782,0.68,0.62,0.492,0.53,0.571,0.606,0.656,17.038,1.138,11:00,2024-09-02
Chilcobija,0.76,0.689,0.683,0.68,0.666,0.833,0.713,0.622,0.58,0.891,0.946,1.012,0.593,0.854,1.023,1.133,0.823,0.771,0.731,0.826,0.735,0.722,0.687,0.663,18.633,1.185,15:15,2024-09-03
Chilcobija,0.74,0.688,0.689,0.68,0.667,0.833,0.676,0.703,0.607,0.762,0.884,0.764,0.426,0.61,0.863,0.927,0.824,0.761,0.837,0.844,0.706,0.677,0.66,0.629,17.454,0.975,15:30,2024-09-04
Chilcobija,0.598,0.55,0.568,0.637,0.637,0.776,0.637,0.618,0.531,0.709,0.87,0.929,0.592,0.831,0.979,0.988,0.752,0.711,0.752,0.743,0.628,0.72,0.707,0.634,17.096,1.05,15:45,2024-09-05
Chilcobija,0.698,0.739,0.606,0.416,0.411,0.403,0.311,0.315,0.344,0.589,0.699,0.643,0.415,0.708,0.778,0.619,0.435,0.321,0.326,0.389,0.518,0.528,0.53,0.43,12.168,0.832,14:00,2024-09-06
Chilcobija,0.322,0.304,0.369,0.411,0.413,0.345,0.297,0.301,0.312,0.432,0.533,0.595,0.401,0.522,0.654,0.738,0.496,0.489,0.482,0.471,0.517,0.491,0.363,0.358,10.616,0.775,15:30,2024-09-07
Chilcobija,0.34,0.359,0.453,0.433,0.435,0.445,0.337,0.339,0.329,0.339,0.35,0.338,0.321,0.445,0.449,0.435,0.429,0.455,0.436,0.324,0.301,0.316,0.311,0.297,9.011,0.466,05:30,2024-09-08
Chilcobija,0.365,0.423,0.413,0.404,0.4,0.382,0.309,0.319,0.311,0.593,0.746,0.66,0.391,0.413,0.427,0.477,0.477,0.467,0.486,0.471,0.426,0.445,0.441,0.505,10.748,0.809,10:15,2024-09-09
Chilcobija,0.395,0.411,0.413,0.402,0.411,0.391,0.407,0.416,0.347,0.589,0.655,0.664,0.345,0.638,0.815,0.764,0.47,0.338,0.433,0.482,0.449,0.486,0.468,0.448,11.632,0.864,14:15,2024-09-10
Chilcobija,0.433,0.424,0.295,0.293,0.283,0.343,0.333,0.308,0.3,0.445,0.523,0.557,0.365,0.513,0.532,0.461,0.295,0.295,0.328,0.285,0.336,0.454,0.418,0.356,9.172,0.579,11:30,2024-09-11
Chilcobija,0.295,0.336,0.319,0.312,0.273,0.293,0.294,0.274,0.195,0.496,0.527,0.585,0.37,0.558,0.693,0.624,0.439,0.41,0.584,0.646,0.535,0.535,0.521,0.519,10.632,0.72,14:00,2024-09-12
Chilcobija,0.42,0.417,0.403,0.415,0.402,0.427,0.423,0.419,0.499,0.745,0.847,0.788,0.456,0.443,0.474,0.451,0.45,0.367,0.385,0.295,0.255,0.251,0.217,0.231,10.476,0.904,11:15,2024-09-13
Chilcobija,0.306,0.302,0.302,0.307,0.357,0.339,0.355,0.254,0.232,0.533,0.669,0.606,0.255,0.427,0.52,0.398,0.29,0.357,0.38,0.276,0.26,0.253,0.247,0.256,8.479,0.687,10:45,2024-09-14
Chilcobija,0.266,0.274,0.257,0.225,0.237,0.241,0.247,0.256,0.284,0.288,0.313,0.379,0.398,0.431,0.4,0.374,0.399,0.396,0.395,0.433,0.412,0.425,0.369,0.334,8.029,0.465,19:45,2024-09-15
Chilcobija,0.318,0.342,0.328,0.341,0.322,0.295,0.28,0.261,0.284,0.476,0.625,0.531,0.183,0.433,0.671,0.502,0.298,0.401,0.436,0.359,0.346,0.364,0.355,0.375,9.124,0.701,14:15,2024-09-16
Chilcobija,0.368,0.369,0.318,0.355,0.434,0.488,0.464,0.372,0.39,0.617,0.871,0.929,0.79,0.696,0.642,0.718,0.649,0.487,0.48,0.59,0.623,0.808,0.869,0.807,14.133,1.027,11:15,2024-09-17
Chilcobija,0.471,0.623,0.732,0.641,0.457,0.474,0.497,0.356,0.368,0.538,0.618,0.58,0.462,0.517,0.632,0.673,0.51,0.384,0.388,0.503,0.536,0.481,0.436,0.352,12.225,0.759,02:15,2024-09-18
