Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Chimore,5.741,5.391,5.145,4.856,4.812,4.931,4.904,4.842,5.05,5.159,5.253,5.475,5.607,5.688,5.817,5.815,5.849,5.954,7.198,7.751,7.63,7.122,6.363,5.624,137.976,7.792,19:30,2024-09-01
Chimore,5.149,4.835,4.677,4.572,4.526,4.761,5.214,5.015,5.033,5.374,5.695,5.954,5.934,6.295,6.65,6.97,7.21,7.112,8.167,8.809,8.508,7.825,6.983,6.141,147.41,8.887,19:15,2024-09-02
Chimore,5.562,5.079,4.862,4.742,4.76,5.018,5.538,5.259,5.348,5.611,6.009,6.119,6.233,6.814,7.257,7.58,7.675,7.814,8.873,9.361,9.156,8.621,7.719,6.845,157.854,9.412,19:15,2024-09-03
Chimore,6.095,5.569,5.152,5.047,5.035,5.286,5.885,5.719,5.795,6.151,6.614,6.956,7.167,7.604,8.181,8.344,8.26,8.552,9.446,9.894,9.634,9.046,8.217,7.15,170.801,9.998,19:15,2024-09-04
Chimore,6.259,5.735,5.475,5.251,5.132,5.342,5.838,5.801,5.978,6.123,6.277,6.458,6.227,6.559,7.053,7.246,7.274,7.447,8.546,9.048,8.871,8.215,7.216,6.198,159.57,9.085,19:30,2024-09-05
Chimore,5.599,5.242,4.98,4.746,4.721,5.002,5.266,5.261,5.372,5.686,5.847,6.169,6.103,6.402,6.895,7.137,6.864,6.923,7.996,8.411,8.124,7.648,6.75,6.057,149.203,8.475,19:15,2024-09-06
Chimore,5.524,5.176,4.999,4.854,4.836,5.075,5.345,5.158,5.397,5.642,5.755,5.863,5.929,6.064,6.207,6.412,6.572,6.949,8.131,8.547,8.343,7.691,6.973,6.214,147.658,8.609,20:00,2024-09-07
Chimore,5.631,5.282,4.967,4.906,4.904,4.963,5.049,5.182,5.4,5.596,5.842,6.156,6.48,6.677,6.921,7.027,7.17,7.384,8.409,8.947,8.821,8.321,7.508,6.534,154.078,8.984,19:45,2024-09-08
Chimore,5.919,5.417,5.178,4.955,4.919,5.055,5.571,5.333,5.474,5.968,6.211,6.906,7.111,7.668,8.265,8.26,8.335,8.297,9.084,9.656,9.412,8.892,7.919,6.906,166.711,9.759,19:30,2024-09-09
Chimore,6.123,5.651,5.342,5.173,5.181,5.321,5.759,5.434,5.771,6.27,6.723,7.132,7.139,7.615,8.146,8.416,8.479,8.608,9.339,9.802,9.6,9.178,8.157,7.044,171.404,9.936,19:45,2024-09-10
