Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Choquetanga,0.664,0.688,0.579,0.456,0.421,0.435,0.669,0.736,0.68,0.523,0.711,0.769,0.622,0.524,0.599,0.573,0.759,0.796,0.817,0.611,0.546,0.561,0.76,0.752,15.246,0.828,19:00,2024-09-01
Choquetanga,0.597,0.391,0.43,0.43,0.426,0.448,0.509,0.475,0.597,0.611,0.523,0.567,0.553,0.408,0.458,0.411,0.407,0.452,0.487,0.498,0.708,0.703,0.692,0.657,12.433,0.757,20:15,2024-09-02
Choquetanga,0.812,0.68,0.57,0.556,0.567,0.592,0.669,0.572,0.441,0.537,0.652,0.509,0.573,0.467,0.428,0.444,0.448,0.467,0.574,0.577,0.578,0.548,0.513,0.536,13.306,0.822,00:30,2024-09-03
Choquetanga,0.547,0.515,0.521,0.572,0.728,0.702,0.749,0.642,0.489,0.442,0.401,0.405,0.388,0.533,0.605,0.606,0.416,0.537,0.529,0.522,0.591,0.581,0.611,0.597,13.227,0.828,07:15,2024-09-04
Choquetanga,0.683,0.737,0.438,0.404,0.398,0.421,0.541,0.519,0.503,0.444,0.429,0.442,0.433,0.408,0.416,0.663,0.668,0.465,0.571,0.758,0.544,0.509,0.492,0.53,12.411,0.783,01:45,2024-09-05
Choquetanga,0.559,0.571,0.63,0.757,0.695,0.67,0.669,0.537,0.379,0.383,0.396,0.41,0.485,0.453,0.481,0.612,0.811,0.734,0.561,0.686,0.641,0.603,0.616,0.592,13.928,0.831,17:00,2024-09-06
Choquetanga,0.583,0.582,0.788,0.809,0.8,0.823,0.803,0.608,0.54,0.574,0.59,0.655,0.437,0.741,0.81,0.789,0.603,0.719,0.625,0.639,0.651,0.64,0.626,0.605,16.036,0.901,06:00,2024-09-07
Choquetanga,0.585,0.625,0.848,0.816,0.632,0.572,0.627,0.604,0.823,0.761,0.63,0.604,0.512,0.598,0.651,0.636,0.67,0.692,0.597,0.681,0.86,0.837,0.772,0.562,16.191,0.891,20:30,2024-09-08
Choquetanga,0.502,0.556,0.529,0.499,0.602,0.633,0.626,0.593,0.772,0.818,0.821,0.763,0.626,0.468,0.455,0.507,0.501,0.515,0.537,0.485,0.463,0.608,0.543,0.465,13.884,0.852,09:00,2024-09-09
Choquetanga,0.488,0.682,0.783,0.795,0.825,0.658,0.74,0.602,0.622,0.657,0.654,0.642,0.56,0.568,0.621,0.751,0.796,0.806,0.77,0.714,0.681,0.644,0.609,0.613,16.279,0.854,04:15,2024-09-10
Choquetanga,0.628,0.652,0.823,0.909,0.86,0.876,0.829,0.576,0.462,0.56,0.392,0.374,0.37,0.432,0.347,0.341,0.328,0.467,0.549,0.604,0.623,0.68,0.655,0.695,14.026,0.915,03:00,2024-09-11
Choquetanga,0.682,0.616,0.718,0.839,0.827,0.6,0.76,0.528,0.493,0.477,0.436,0.413,0.408,0.41,0.641,0.607,0.622,0.719,0.814,0.807,0.734,0.667,0.726,0.568,15.11,0.873,20:15,2024-09-12
Choquetanga,0.555,0.569,0.628,0.635,0.699,0.733,0.712,0.648,0.74,0.64,0.783,0.806,0.694,0.632,0.548,0.346,0.373,0.406,0.488,0.594,0.597,0.772,0.754,0.84,15.188,0.866,23:15,2024-09-13
Choquetanga,0.768,0.626,0.735,0.643,0.575,0.601,0.599,0.622,0.677,0.756,0.75,0.541,0.585,0.447,0.364,0.379,0.41,0.47,0.51,0.702,0.607,0.747,0.752,0.731,14.595,0.828,00:30,2024-09-14
Choquetanga,0.633,0.627,0.808,0.822,0.815,0.624,0.571,0.616,0.781,0.767,0.783,0.774,0.736,0.525,0.683,0.724,0.708,0.579,0.543,0.832,0.889,0.846,0.63,0.703,17.018,0.895,20:30,2024-09-15
Choquetanga,0.592,0.536,0.541,0.551,0.475,0.505,0.523,0.525,0.526,0.512,0.54,0.412,0.538,0.424,0.432,0.593,0.672,0.695,0.618,0.662,0.694,0.639,0.637,0.607,13.448,0.869,20:00,2024-09-16
Choquetanga,0.592,0.622,0.812,0.794,0.62,0.658,0.819,0.623,0.56,0.596,0.608,0.567,0.55,0.524,0.458,0.413,0.669,0.699,0.668,0.754,0.56,0.535,0.55,0.659,14.906,0.855,06:45,2024-09-17
Choquetanga,0.708,0.888,0.865,0.723,0.787,0.644,0.668,0.682,0.556,0.58,0.617,0.547,0.491,0.736,0.828,0.812,0.694,0.797,0.694,0.677,0.669,0.639,0.733,0.89,16.921,0.903,23:30,2024-09-18
Choquetanga,0.843,0.652,0.799,0.561,0.579,0.596,0.645,0.586,0.582,0.599,0.669,0.63,0.573,0.653,0.658,0.644,0.514,0.541,0.457,0.577,0.588,0.581,0.615,0.78,14.919,0.855,00:15,2024-09-19
Choquetanga,0.76,0.665,0.505,0.607,0.487,0.524,0.552,0.567,0.495,0.603,0.636,0.617,0.46,0.564,0.389,0.351,0.464,0.601,0.561,0.854,0.698,0.616,0.57,0.574,13.717,0.887,20:00,2024-09-20
Choquetanga,0.578,0.682,0.831,0.829,0.472,0.488,0.455,0.463,0.405,0.394,0.365,0.355,0.367,0.626,0.79,0.816,0.659,0.613,0.63,0.544,0.547,0.577,0.696,0.713,13.891,0.84,02:15,2024-09-21
Choquetanga,0.606,0.558,0.76,0.753,0.776,0.782,0.612,0.452,0.394,0.66,0.604,0.509,0.442,0.426,0.434,0.482,0.528,0.595,0.476,0.656,0.709,0.636,0.479,0.321,13.647,0.808,05:00,2024-09-22
