Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Chuspipata,3.37,3.093,2.974,2.892,2.873,2.965,3.128,3.382,3.507,3.502,3.559,3.563,3.588,3.59,3.556,3.608,3.608,3.745,4.242,4.797,4.707,4.376,3.968,3.494,86.086,4.824,19:45,2024-09-01
Chuspipata,3.187,2.979,2.901,2.816,2.828,2.937,3.478,3.843,3.488,3.415,3.421,3.479,3.294,3.61,3.691,3.673,3.637,3.665,4.38,4.998,4.841,4.526,4.036,3.548,86.673,5.026,20:00,2024-09-02
Chuspipata,3.261,3.038,2.979,2.989,3.045,3.15,3.531,3.759,3.643,3.562,3.599,3.672,3.392,3.807,3.921,3.979,3.889,3.78,4.36,5.017,5.066,4.838,4.289,3.727,90.292,5.096,20:15,2024-09-03
Chuspipata,3.393,3.238,3.119,3.089,3.07,3.143,3.598,3.829,3.523,3.519,3.627,3.64,3.416,3.757,3.887,3.897,3.959,4.038,4.506,5.16,5.164,4.909,4.381,3.647,91.512,5.188,20:45,2024-09-04
Chuspipata,3.498,3.333,3.126,3.035,3.102,3.296,3.79,4.2,3.819,3.739,3.668,3.754,3.511,3.545,3.589,3.677,3.784,4.059,4.646,5.119,5.095,4.865,4.289,3.798,92.338,5.186,20:00,2024-09-05
Chuspipata,3.53,3.268,3.133,3.053,3.024,3.098,3.635,3.947,3.64,3.766,3.78,3.814,3.714,3.904,3.831,3.743,3.907,3.974,4.445,5.072,5.014,4.791,4.32,3.793,92.197,5.096,19:30,2024-09-06
Chuspipata,3.436,3.206,3.094,3.021,3.003,3.156,3.419,3.535,3.592,3.558,3.601,3.59,3.648,3.709,3.815,3.818,3.804,3.912,4.473,5.146,5.114,4.811,4.358,3.85,90.667,5.236,20:00,2024-09-07
Chuspipata,3.501,3.285,3.187,3.122,3.036,3.204,3.356,3.552,3.65,3.761,3.76,3.772,3.759,3.732,3.751,3.779,3.757,3.838,4.386,4.943,4.9,4.649,4.18,3.78,90.641,5.01,20:15,2024-09-08
Chuspipata,3.379,3.119,3.039,3.028,3.022,3.208,3.722,3.847,3.512,3.512,3.493,3.466,3.39,3.688,3.84,3.883,3.825,3.714,4.205,4.973,4.978,4.621,4.11,3.617,89.193,5.044,20:00,2024-09-09
Chuspipata,3.342,3.129,3.05,2.953,3,3.132,3.6,3.734,3.532,3.468,3.458,3.456,3.371,3.678,3.488,2.791,2.957,2.919,3.231,3.71,3.734,3.667,4.5,3.945,81.845,4.804,22:30,2024-09-10
Chuspipata,3.522,3.287,3.195,3.071,3.026,3.201,3.779,4.006,3.64,3.556,3.655,3.701,3.51,3.816,3.763,3.796,3.896,3.978,4.517,5.122,5.067,4.805,4.344,3.851,92.105,5.16,20:00,2024-09-11
Chuspipata,3.435,3.255,3.178,3.104,3.148,3.292,3.708,3.959,3.695,3.72,3.693,3.709,3.611,3.761,3.743,3.729,3.748,3.965,4.558,5.213,5.145,4.933,4.327,3.816,92.444,5.236,20:00,2024-09-12
Chuspipata,3.579,3.321,3.184,3.069,3.063,3.248,3.678,3.921,3.803,3.832,3.855,3.948,3.733,3.99,4.002,4.022,4.067,4.149,4.666,5.171,5.056,4.779,4.277,3.831,94.246,5.242,19:30,2024-09-13
Chuspipata,3.514,3.32,3.175,3.112,3.177,3.278,3.449,3.54,3.722,3.759,3.762,3.788,3.824,3.782,3.842,3.962,3.977,4.106,4.693,5.098,5.025,4.7,4.155,3.819,92.577,5.131,19:30,2024-09-14
Chuspipata,3.55,3.381,3.288,3.213,3.195,3.271,3.461,3.679,3.878,3.906,3.876,3.839,3.835,3.716,3.771,3.8,3.737,3.732,4.256,4.9,4.836,4.481,4.012,3.576,91.191,4.948,19:45,2024-09-15
Chuspipata,3.301,3.132,3.066,3.042,3.074,3.165,3.668,3.919,3.579,3.533,3.499,3.502,3.309,3.657,3.743,3.714,3.839,3.844,4.386,5.135,5.041,4.702,4.128,3.656,89.635,5.234,20:00,2024-09-16
Chuspipata,3.319,3.183,3.05,3.046,3.11,3.326,3.877,4.224,3.957,3.842,3.867,3.908,3.457,3.839,3.884,3.864,3.909,4.036,4.572,5.389,5.293,5.079,4.536,4.005,94.571,5.417,19:45,2024-09-17
Chuspipata,3.646,3.451,3.323,3.208,3.249,3.474,4.051,4.238,3.989,3.937,3.959,3.915,3.817,4.185,2.99,3.243,4.344,4.185,4.649,5.422,5.495,5.193,4.564,3.778,96.304,5.533,20:15,2024-09-18
Chuspipata,3.672,3.467,3.367,3.365,3.344,3.481,4.011,4.45,4.218,4.067,4.067,4.064,3.884,4.364,4.496,4.493,4.379,4.347,4.948,5.662,5.448,5.208,4.734,4.179,101.712,5.719,19:30,2024-09-19
Chuspipata,3.727,3.473,3.433,3.415,3.422,3.529,4.018,4.398,4.148,4.127,4.196,4.263,3.766,2.518,3.921,4.58,4.344,4.175,4.636,5.315,5.317,5.056,4.59,4.062,98.43,5.373,20:00,2024-09-20
Chuspipata,3.764,3.601,3.47,3.445,3.465,3.608,3.757,3.856,3.99,4.058,4.035,4.046,4.028,4.043,4.05,4.125,4.103,4.191,4.619,5.366,5.321,5.105,4.657,4.037,98.741,5.402,19:30,2024-09-21
Chuspipata,3.843,3.643,3.532,3.443,3.431,3.537,3.697,3.846,3.98,4.063,4.081,4.223,3.325,2.176,2.891,3.607,3.502,3.452,4.52,5.388,5.423,5.191,4.681,4.125,93.601,5.471,20:15,2024-09-22
Chuspipata,3.797,3.598,3.439,3.335,3.401,3.585,4.091,4.253,3.99,3.991,3.961,4.035,3.816,4.131,4.181,4.122,4.092,4.134,4.52,5.407,5.569,5.25,4.699,4.208,99.605,5.709,20:00,2024-09-23
Chuspipata,3.751,3.58,3.497,3.568,3.546,3.637,4.182,4.258,4.025,4.06,4.124,4.224,4.011,4.392,4.552,4.541,4.347,4.371,4.778,5.61,5.544,5.281,4.689,4.142,102.712,5.643,19:45,2024-09-24
Chuspipata,3.759,3.523,3.413,3.389,3.478,3.696,4.181,4.376,4.105,4.109,4.125,4.146,3.967,4.296,4.346,4.409,4.301,4.212,4.719,5.472,5.565,5.28,4.707,4.143,101.715,5.626,20:45,2024-09-25
Chuspipata,3.725,3.573,3.506,3.437,3.514,3.662,4.115,4.395,4.169,4.16,4.169,4.253,4.004,4.32,4.527,4.504,4.349,4.143,4.571,5.319,5.301,5.012,4.58,4.051,101.36,5.393,20:00,2024-09-26
Chuspipata,3.722,3.567,3.424,3.399,3.45,3.597,4.115,4.323,4.128,4.118,4.138,4.165,4.034,4.292,4.268,3.994,4.153,4.102,4.652,5.159,5.05,4.817,4.279,3.819,98.763,5.203,19:30,2024-09-27
Chuspipata,3.529,3.457,3.325,3.33,3.365,3.563,3.749,3.853,3.853,3.889,3.936,3.929,3.934,3.996,4.049,4.047,4.121,4.094,4.58,5.25,5.201,4.964,4.428,3.923,96.366,5.316,19:45,2024-09-28
Chuspipata,3.597,3.462,3.328,3.255,3.287,3.427,3.611,3.804,3.863,3.883,3.96,4.009,4.029,3.892,4.001,4.006,4.011,4.005,4.44,5.17,5.155,4.895,4.437,3.959,95.488,5.197,20:00,2024-09-29
Chuspipata,3.559,3.455,3.435,3.405,3.365,3.473,3.981,4.177,3.772,3.781,3.804,3.893,3.756,4.031,4.286,4.308,4.125,3.974,4.426,5.262,5.25,4.941,4.083,3.899,96.443,5.314,19:45,2024-09-30
Chuspipata,3.549,3.384,3.344,3.301,3.42,3.622,4.088,4.323,3.952,3.936,3.969,4.03,4.004,4.32,4.629,4.636,4.409,4.29,4.643,5.413,5.476,5.131,4.58,4.066,100.514,5.536,20:45,2024-10-01
Chuspipata,3.762,3.488,3.428,3.399,3.492,3.727,4.14,4.367,4.071,4.032,4.01,4.179,3.842,4.407,4.605,4.672,4.414,4.281,5.046,5.681,5.623,5.153,4.655,4.095,102.566,5.71,19:30,2024-10-02
Chuspipata,3.752,3.608,3.532,3.497,2.457,1.566,1.865,2.947,3.61,3.643,3.684,3.502,3.859,4.205,4.367,4.535,4.402,4.247,4.717,5.508,5.485,5.21,4.604,4.01,92.813,5.574,20:15,2024-10-03
Chuspipata,3.668,3.509,3.378,3.34,3.354,3.538,3.971,4.137,4.068,4.256,4.198,4.029,3.745,4.244,4.463,4.564,4.358,4.145,4.517,5.268,5.208,5.053,4.531,4.05,99.592,5.344,20:00,2024-10-04
Chuspipata,3.597,3.449,3.305,3.251,3.272,3.498,3.713,3.898,3.875,3.886,4.059,4.045,4.013,4.108,4.122,4.115,3.976,4.012,4.452,5.312,5.298,5.063,4.646,4.199,97.164,5.367,20:00,2024-10-05
Chuspipata,3.741,3.539,3.44,3.369,3.346,3.495,3.639,3.77,3.978,3.97,4.026,4.07,4.11,4.052,4.074,4.065,4.047,4.066,4.491,5.227,5.156,4.895,4.419,4.008,96.994,5.267,19:45,2024-10-06
Chuspipata,3.654,3.412,3.294,3.275,3.277,3.43,3.941,3.991,3.752,3.692,3.677,3.811,3.761,4.05,4.253,4.223,4.084,4.103,4.42,5.159,5.26,4.991,4.48,3.929,95.918,5.32,20:45,2024-10-07
Chuspipata,3.55,3.369,3.296,3.274,3.277,3.41,3.826,3.942,3.729,3.805,3.906,3.988,3.872,4.295,4.499,4.374,4.264,3.986,4.46,5.253,5.287,5.072,4.477,3.906,97.115,5.348,20:15,2024-10-08
Chuspipata,3.59,3.429,3.376,3.329,3.359,3.602,4.176,4.366,4.208,4.175,4.05,4.003,3.8,4.041,4.239,4.225,4.165,3.949,4.367,5.001,5.03,4.93,4.445,3.911,97.765,5.147,21:00,2024-10-09
Chuspipata,3.635,3.507,3.407,3.321,3.387,3.653,4.096,4.126,4.018,4.01,4.123,4.299,4.195,4.367,4.624,4.599,4.569,4.312,4.569,5.383,5.403,5.184,4.675,4.068,101.528,5.452,20:15,2024-10-10
Chuspipata,3.706,3.574,3.441,3.289,3.334,3.56,3.996,4.28,4.177,4.228,4.278,4.243,4.117,4.394,4.553,4.5,4.393,4.236,4.401,5.241,5.292,5.062,4.615,3.986,100.895,5.328,20:15,2024-10-11
Chuspipata,3.633,3.439,3.359,3.314,3.41,3.527,3.745,3.846,3.896,3.883,4.084,4.069,4.186,4.12,4.011,4.074,4.061,4.038,4.505,5.145,5.14,4.917,4.473,3.936,96.813,5.198,19:30,2024-10-12
Chuspipata,3.531,3.285,3.206,3.203,3.157,3.355,3.545,3.686,3.802,3.825,3.958,3.985,3.924,3.664,3.843,3.698,3.621,3.73,4.16,4.815,4.862,4.637,4.001,3.508,91.002,4.909,20:15,2024-10-13
Chuspipata,3.162,3.013,3.037,3,3.061,3.213,3.583,3.695,3.416,3.456,3.635,3.617,3.509,3.834,4.076,4.047,4.002,3.935,4.251,4.975,5.015,4.704,4.081,3.838,90.153,5.08,20:45,2024-10-14
Chuspipata,3.434,3.264,3.109,3.133,3.157,3.344,3.856,4.076,3.789,3.814,3.913,4.038,3.831,4.13,4.243,4.252,4.328,4.295,4.487,5.171,5.041,4.807,4.269,3.742,95.525,5.287,20:00,2024-10-15
Chuspipata,3.4,3.201,3.074,3.066,3.15,3.305,3.79,4.002,3.871,3.992,3.99,4.197,3.822,4.012,4.037,4.065,4.017,3.876,4.419,5.23,5.205,4.902,4.21,3.728,94.559,5.304,20:30,2024-10-16
Chuspipata,3.456,3.317,3.231,3.117,3.245,3.432,3.905,4.088,3.888,3.853,3.984,4.132,3.817,4.069,4.274,4.301,4.179,4.11,4.457,5.353,5.318,5.129,4.453,4.062,97.173,5.455,20:00,2024-10-17
Chuspipata,3.655,3.484,3.395,3.314,3.288,3.614,4.146,4.434,4.138,4.178,4.103,4.182,4.004,4.278,4.311,4.342,4.262,4.105,4.479,5.314,5.393,5.209,4.691,4.197,100.515,5.441,20:15,2024-10-18
Chuspipata,3.79,3.548,3.438,3.374,3.354,3.535,3.73,3.949,4.035,4.147,4.183,4.208,4.213,4.111,4.109,4.061,4.012,3.954,4.36,5.06,5.13,4.84,4.415,3.999,97.557,5.148,20:30,2024-10-19
Chuspipata,3.644,3.451,3.318,3.271,3.329,3.45,3.549,3.894,3.927,4.007,4.099,4.069,4.07,3.971,4.08,4.051,4.07,4.049,4.417,5.133,5.207,4.991,4.464,3.827,96.336,5.257,20:45,2024-10-20
Chuspipata,3.587,3.407,3.3,3.247,3.308,3.465,3.857,4.088,3.676,3.643,3.69,3.733,3.63,4.191,4.497,4.412,3.873,4.11,4.587,5.32,5.288,5.054,4.625,4.099,96.688,5.432,19:45,2024-10-21
Chuspipata,3.647,3.468,3.453,3.453,3.524,3.728,4.188,4.389,4.139,3.987,4.163,4.3,4.037,4.356,4.498,4.467,4.366,4.061,4.492,5.367,5.314,4.982,4.461,3.89,100.73,5.428,19:45,2024-10-22
Chuspipata,3.547,3.451,3.429,3.34,3.321,3.55,3.98,4.202,4.085,4.189,4.182,4.21,4.053,4.394,4.511,4.521,4.27,4.21,4.65,5.323,5.375,5.105,4.635,4.037,100.571,5.422,20:30,2024-10-23
Chuspipata,3.674,3.507,3.389,3.287,3.32,3.546,3.934,4.134,3.9,3.896,4.077,4.276,4.042,4.302,4.554,4.524,4.326,4.174,4.484,5.255,5.333,5.106,4.586,4.106,99.73,5.405,20:00,2024-10-24
Chuspipata,3.696,3.562,3.415,3.41,3.443,3.651,4.056,4.312,4.148,4.2,4.254,4.125,4.099,4.386,4.59,4.617,4.372,4.114,4.514,5.303,5.336,5.112,4.565,4.094,101.373,5.389,20:15,2024-10-25
Chuspipata,3.712,3.535,3.393,3.323,3.355,3.515,3.623,3.783,3.882,3.812,3.927,4.002,3.972,3.934,4.033,4.085,3.726,3.899,4.31,5.082,4.987,4.748,4.282,3.843,94.763,5.157,19:45,2024-10-26
Chuspipata,3.54,3.355,3.195,3.165,3.218,3.323,3.426,3.561,3.745,3.794,3.843,3.895,3.859,3.833,3.867,3.81,3.753,3.819,4.315,4.95,4.919,4.603,3.983,3.633,91.403,5.007,19:45,2024-10-27
Chuspipata,3.345,3.199,3.057,2.991,3.004,3.195,3.689,3.806,3.382,3.491,3.615,3.639,3.619,4,4.177,4.032,3.889,3.513,4.178,5.144,5.183,4.903,4.348,3.841,91.24,5.246,19:45,2024-10-28
Chuspipata,3.488,3.315,3.261,3.25,3.239,3.357,3.715,3.974,3.801,3.875,3.948,4.14,3.984,4.213,4.41,4.415,4.344,4.132,4.49,5.228,5.038,4.894,4.394,3.889,96.791,5.336,19:45,2024-10-29
Chuspipata,3.52,3.367,3.237,3.275,3.356,3.611,4.089,4.165,3.95,3.943,3.951,4.083,4.084,4.393,4.49,4.497,4.316,4.241,4.57,5.376,5.345,5.05,4.604,4.108,99.622,5.451,20:00,2024-10-30
Chuspipata,3.716,3.551,3.321,3.19,3.002,3.427,3.901,4.023,3.749,3.688,3.778,3.683,3.817,4.097,4.238,4.196,4.046,3.962,4.425,5.086,5.081,4.866,4.287,3.846,94.977,5.162,19:45,2024-10-31
