Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Contorno Bajo,26.277,25.398,24.99,24.867,24.566,25.031,24.202,22.493,19.842,20.565,23.591,23.901,23.674,23.948,24.6,25.234,26.202,26.694,28.32,30.453,31.722,30.271,28.007,26.185,611.03,32.088,20:00,2024-09-01
Contorno Bajo,25.134,24.406,24.769,24.5,25.909,27.227,29.4,26.151,28.316,28.279,28.433,32.815,28.405,28.192,32.578,32.292,30.359,27.697,29.568,32.397,31.589,29.112,28.262,27.181,682.97,33.65,11:30,2024-09-02
Contorno Bajo,25.285,24.715,22.171,20.94,21.131,23.129,24.522,25.312,25.115,26.51,26.527,27.336,21.835,24.638,26.614,26.431,24.843,22.102,23.865,28.043,27.58,26.877,25.517,23.869,594.906,28.098,19:45,2024-09-03
Contorno Bajo,23.111,25.13,22.162,24.914,26.056,27.181,28.931,28.16,29.856,31.522,32.099,33.767,28.292,31.307,33.572,32.883,30.468,27.137,27.937,31.902,31.851,30.336,27.926,25.985,692.487,34.363,11:45,2024-09-04
Contorno Bajo,25.239,25.287,24.855,25.17,26.464,28.917,30.435,31.24,30.864,32.746,32.973,33.401,28.248,31.654,33.337,32.709,30.666,27.636,29.415,33.225,32.593,31.518,28.991,27.354,714.934,33.741,11:45,2024-09-05
Contorno Bajo,26.208,25.717,25.562,25.987,26.988,28.393,30.054,31.47,30.55,32.195,32.673,33.387,27.606,30.48,33.157,32.596,31.121,27.788,28.51,32.51,32.208,31.128,29.15,27.483,712.92,34.328,11:15,2024-09-06
Contorno Bajo,26.327,26.151,24.901,26.504,26.457,27.528,29.726,30.654,30.661,30.439,30.226,30.214,26.281,25.33,25.141,24.808,24.959,25.042,28.562,31.709,31.209,30.104,28.021,26.783,667.734,31.826,19:45,2024-09-07
Contorno Bajo,25.816,25.165,24.505,24.378,24.761,25.127,24.224,23.638,24.731,25.741,26.997,26.79,23.362,23.614,23.866,23.983,23.715,24.278,26.515,30.252,29.286,28.015,26.039,25.783,610.578,30.384,19:15,2024-09-08
Contorno Bajo,24.716,24.41,24.045,24.04,24.469,26.085,27.852,27.975,27.903,29.903,31.122,33.494,29.483,31.813,32.804,31.983,29.582,27.185,29.244,32.973,32.661,30.197,27.305,25.445,686.691,34.993,11:45,2024-09-09
Contorno Bajo,24.688,24.183,24.845,25.811,26.865,29.222,30.283,31.178,30.825,32.227,32.583,34.016,28.264,31.687,34.272,33.257,30.692,28.006,28.496,31.87,31.978,30.424,28.253,24.025,707.948,34.486,14:30,2024-09-10
Contorno Bajo,23.87,23.762,23.087,23.347,24.732,27.537,29.158,30.685,30.058,30.948,31.721,33.382,28.335,31.085,32.963,32.925,30.798,27.924,30.158,33.1,32.412,30.215,28.899,29.967,701.067,34.011,11:30,2024-09-11
Contorno Bajo,27.259,24.54,24.122,24.009,19.794,21.409,20.877,21.758,20.923,21.966,22.281,23.253,17.639,20.799,22.169,21.693,20.029,17.63,19.159,23.481,23.593,23.338,21.786,20.418,523.926,28.238,00:15,2024-09-12
Contorno Bajo,20.074,19.487,20.042,23.299,20.529,20.474,22.816,25.583,27.705,30.056,30.2,27.493,21.432,28.999,29.222,31.353,29.697,26.673,28.452,32.553,31.911,30.486,28.424,27.11,634.069,32.805,19:30,2024-09-13
Contorno Bajo,26.077,25.925,25.827,26.197,27.093,28.512,29.679,30.281,28.91,30.557,31.487,30.645,27.003,26.594,26.415,26.052,26.074,25.653,28.616,32.502,31.822,29.923,28.903,27.492,678.238,32.718,19:30,2024-09-14
Contorno Bajo,24.915,22.913,22.971,22.645,23.847,24.343,22.742,22.405,23.181,23.921,24.082,23.777,22.765,23.53,24.088,24.447,25.135,24.994,27.618,30.675,29.101,28.175,25.815,24.052,592.137,31.422,19:30,2024-09-15
Contorno Bajo,23.175,22.395,23.613,24.058,24.694,25.722,27.52,28.419,27.885,30.307,30.987,32.862,28.347,30.525,31.8,30.954,28.368,26.066,28.179,32.288,31.692,30.378,27.911,25.694,673.839,33.439,11:45,2024-09-16
