Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Cumbre,45.748,40.073,36.018,34.405,33.733,34.028,32.605,32.09,39.69,50.768,55.938,60.448,60.82,59.58,57.15,56.57,59.99,63.995,83.173,96.783,93.21,81.38,66.74,51.025,1325.955,97.19,19:45,2024-09-01
Cumbre,42.915,35.228,32.513,32.715,33.423,38.998,60.63,76.545,73.415,77.293,82.29,88.913,83.205,75.098,74.29,75.935,76.448,79.345,88.748,101.235,98.548,89.05,71.44,56.593,1644.808,101.57,19:30,2024-09-02
Cumbre,49.27,42.653,39.4,38.058,38.13,41.035,55.755,67.95,69.198,73.41,77.748,83.963,77.67,73.398,75.113,82.59,84.003,87.605,94.173,101.515,98.975,86.72,74.273,60.808,1673.408,101.64,19:45,2024-09-03
Cumbre,50.47,42.495,39.433,38.163,38.435,42.078,59.595,73.028,71.208,76.005,81.913,85.923,79.435,74.235,75.395,77.68,78.785,80.148,93.845,101.86,99.353,92.023,80.725,63.388,1695.613,102.47,19:15,2024-09-04
Cumbre,51.135,44.07,40.593,38.905,39.215,42.475,58.965,72.17,71.275,75.885,77.625,81.273,77.933,74.988,76.058,77.193,77.99,83.658,92.163,101.66,98.945,92.515,80.258,60.418,1687.36,102.03,19:15,2024-09-05
Cumbre,50.688,44.115,39.538,38.488,39.148,42.89,58.655,78.665,79.218,86.265,89.583,89.055,87.048,82.993,83.73,86.013,86.763,86.983,94.648,99.42,95.828,88.97,79.158,63.925,1771.78,100.66,19:00,2024-09-06
Cumbre,52.808,45.115,41.13,39.63,39.54,41.028,47.043,60.008,68.675,73.783,76.528,79.013,78.005,74.728,73.113,73.998,74.428,76.06,79.983,88.35,86.603,79.613,67.793,57.65,1574.618,88.56,19:15,2024-09-07
Cumbre,50.378,43.305,40.038,37.808,37.205,38.138,39.425,44.213,52.755,59.655,61.963,61.105,61.378,60.408,60.803,63.185,64.37,68.095,82.985,94.275,93.08,86.633,72.533,59.015,1432.743,94.53,19:45,2024-09-08
Cumbre,48.25,40.765,37.663,36.12,35.64,40.318,60.183,73.678,69.21,73.618,78.433,87.35,84.968,77.743,73.958,73.78,74.538,76.985,89.93,98.43,95.75,88.125,73.753,54.688,1643.87,98.81,19:15,2024-09-09
Cumbre,46.893,42.953,40.05,38.593,38.748,41.138,53.733,66.87,68.895,56.368,56.973,57.995,56.858,54.873,55.183,55.648,55.998,69.458,93.82,99.788,94.523,81.423,72.283,59.783,1458.838,100.16,19:30,2024-09-10
Cumbre,49.508,43.568,40.073,39.023,39.195,41.785,56.293,73.055,75.41,58.465,59.003,60.98,77.468,70.655,68.195,67.99,72.723,75.538,86.898,97.5,93.778,80.158,64.685,51.645,1543.585,97.97,19:30,2024-09-11
Cumbre,47.75,43.255,40.178,39.188,39.1,41.823,54.62,69.568,74.655,78.878,80.795,81.165,80.018,75.913,73.89,73.003,73.358,73.805,88.838,99.34,96.453,89.96,79.35,62.978,1657.875,99.66,19:15,2024-09-12
Cumbre,50.77,44.12,40.875,39.493,39.475,42.175,54.818,70.153,71.015,75.845,71.385,73.11,74.373,71.623,70.665,72.73,72.14,75.393,84.3,92.893,89.495,82.548,75.325,61.51,1596.225,93.35,19:30,2024-09-13
Cumbre,51.903,45.108,41.188,39.913,39.7,40.835,46.795,53.54,62.193,70.183,74.633,75.383,74.033,71.193,69.543,68.848,68.613,69.065,78.745,88.648,86.19,81.393,72.22,60.228,1530.085,89.11,19:15,2024-09-14
